# UG-15 sensitivity map (c): containment, by value, transitive (03 §6). root	contained	defined in
ComponentPool	DropFn	crates/boyko_ecs/src/ecs/core/component/component_registry/mod.rs
ComponentPool	Layout	crates/boyko_ecs/src/ecs/core/profiling/store.rs
ComponentPool	PoolBacking	crates/boyko_ecs/src/ecs/memory/component_pool.rs
ComponentPool	VmReservation	crates/boyko_ecs/src/ecs/memory/vm.rs
EcsMaster	ArchetypeBundle	crates/boyko_ecs/src/ecs/core/archetype/archetype_bundle.rs
EcsMaster	ArchetypeGeneration	crates/boyko_ecs/src/ecs/core/archetype/generation.rs
EcsMaster	ArchetypeMaster	crates/boyko_ecs/src/ecs/core/archetype/archetype_master.rs
EcsMaster	ArchetypeRegistry	crates/boyko_ecs/src/ecs/core/archetype/archetype_registry.rs
EcsMaster	BitSet256	crates/boyko_utils/src/bit_mask/bit_set_256.rs
EcsMaster	BundleColumnCache	crates/boyko_ecs/src/ecs/core/bundle/bundle_column_cache.rs
EcsMaster	CommandQueue	crates/boyko_ecs/src/ecs/core/commands/command_queue.rs
EcsMaster	DenseRegistry	crates/boyko_ecs/src/ecs/core/component/dense/dense_registry.rs
EcsMaster	EnablePresence	crates/boyko_ecs/src/ecs/core/component/enable/enable_presence.rs
EcsMaster	Entity	crates/boyko_ecs/src/ecs/core/entity/entity.rs
EcsMaster	EntityMaster	crates/boyko_ecs/src/ecs/core/entity/entity_master.rs
EcsMaster	EntityObserverStore	crates/boyko_ecs/src/ecs/core/component/observers/entity_store.rs
EcsMaster	EntityReservoir	crates/boyko_ecs/src/ecs/core/entity/entity_reservoir.rs
EcsMaster	EventDispatcher	crates/boyko_ecs/src/ecs/core/events/event_dispatcher.rs
EcsMaster	InlandStore	crates/boyko_ecs/src/ecs/core/entity/inland_store.rs
EcsMaster	Layout	crates/boyko_ecs/src/ecs/core/profiling/store.rs
EcsMaster	ObserverRegistry	crates/boyko_ecs/src/ecs/core/component/observers/mod.rs
EcsMaster	PresenceWords	crates/boyko_ecs/src/ecs/core/component/enable/enable_presence.rs
EcsMaster	QueryStateCache	crates/boyko_ecs/src/ecs/core/ecs_master/ecs_master.rs
EcsMaster	Resources	crates/boyko_ecs/src/ecs/core/resources/resources.rs
EcsMaster	SparseMap	crates/boyko_utils/src/sparse_map/sparse_map.rs
EcsMaster	Tick	crates/boyko_ecs/src/ecs/core/change_detection/tick.rs
EcsMaster	TriggerRegistry	crates/boyko_ecs/src/ecs/core/component/observers/trigger.rs
EcsMaster	VmColumn	crates/boyko_ecs/src/ecs/memory/vm_column.rs
EcsMaster	VmReservation	crates/boyko_ecs/src/ecs/memory/vm.rs
EcsMaster	WorldId	crates/boyko_ecs/src/ecs/identifiers/primitives.rs
Scope	Cell	crates/boyko_diag/src/storage.rs,crates/boyko_ecs/src/ecs/core/profiling/store.rs
Scope	CellLabel	crates/boyko_ecs/src/ecs/core/profiling/store.rs
Scope	ScopeBlock	crates/boyko_threadpool/src/block.rs
