# UG-15 leg (2): the pin set capture froze, one row per pinned body (B3 review W1). Written by
# `ug15 leg2 capture` beside the pin files; every reader of a pin file REDs [pin set] unless the
# file holds exactly its subject's rows here, and unless every (candidate, subject) pair of the
# candidate list is either here or in leg2-absent.txt.
# subject	cand	name	size	copies	sha256
boyko_demo	P29-1	<boyko_ecs::ecs::memory::component_pool::ComponentPool>::grow_rows	412	1	6d1f39c203ae3ae9c50521dbd9d5b021aa198254dbe26bd568770f301277d9b5
boyko_demo	P29-2	<boyko_ecs::ecs::memory::component_pool::ComponentPool>::commit_subregion	93	1	8365a5d6b84ad3f372cfe674a6005bf82b6d99a42218d1e3a093f53dfff99a18
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	1163	1	270ce025c9d0df16ab7a8e669685751ed5ce544aafb1ebb2703adaafe76bdedb
boyko_demo	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	207	1	5d6330778d5586c76a7649bd63ec9bec1ca1e5c2f1f560e6c70928ecfb23b83c
boyko_demo	D-2	boyko_ecs::ecs::core::iters::query::query_type_registry::register_new	143	1	16a34425c52375ec5a34b1499396ee0db5071b8c596e9a9d99b89d042fde0e76
boyko_demo	D-3	boyko_ecs::ecs::core::bundle::bundle_type_registry::register_new	102	1	3d9d9328638bc8b9a5df0a428343eb6e001f944d18881594319786dd3cc9bf54
boyko_demo	D-4	boyko_ecs::ecs::core::resources::resource_registry::register_new::<boyko_demo::sim::grid::SpatialGrid>	651	1	e2cacac095a7312f1a2597de1eb117bf118715ac5dd7101d8dd9ecbbf75ce049
clear	P29-1	<boyko_ecs::ecs::memory::component_pool::ComponentPool>::grow_rows	412	1	6d1f39c203ae3ae9c50521dbd9d5b021aa198254dbe26bd568770f301277d9b5
clear	P29-2	<boyko_ecs::ecs::memory::component_pool::ComponentPool>::commit_subregion	93	1	8365a5d6b84ad3f372cfe674a6005bf82b6d99a42218d1e3a093f53dfff99a18
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	1163	1	270ce025c9d0df16ab7a8e669685751ed5ce544aafb1ebb2703adaafe76bdedb
clear	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	207	1	5d6330778d5586c76a7649bd63ec9bec1ca1e5c2f1f560e6c70928ecfb23b83c
clear	R-1	boyko_ecs::ecs::core::component::component_registry::register_new::<boyko_scene::transform::Transform>	439	3	04c8c1e8e39895cc47f2e61ae7eb6a222c7dccecafd635c4a561ce6b2cc27a2a
clear	R-2	<boyko_scene::transform::Transform as boyko_ecs::ecs::core::component::component::Component>::component_id	43	3	2a4ba09075f65ea6a2884253f5c9db89e0b799ed7057389359064e6c94dd5e7c
clear	D-2	boyko_ecs::ecs::core::iters::query::query_type_registry::register_new	143	1	8ebd64c85b1fdc603425814a5510d2bfbe52585dab6fe23349243c9fa440bb00
clear	D-3	boyko_ecs::ecs::core::bundle::bundle_type_registry::register_new	102	1	f6b801649e20fbf2bb79a64e0bab875880f51cf6a23c3c43b37a1c8edb911638
clear	D-4	boyko_ecs::ecs::core::resources::resource_registry::register_new::<boyko_app::occlusion_force::OcclusionForce>	648	1	069120729b00276ce193e6c60f552a52792a37a071b35b45e3b477d0b1033f50
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	13789	1	c6d02edcc5992c7d2c23db22b1fd0bdb48ea11d4819f50c495da14ade4e22992
swap_remove	H-2	<boyko_ecs::ecs::core::ecs_master::ecs_master::EcsMaster>::delete_entity	2195	1	1ee9ec205980725c2a85963d8aacf796846e829f5d6c9df3ac8efc757f10ed5b
swap_remove	H-2	<criterion::bencher::Bencher>::iter_batched::<(boyko_ecs::ecs::core::ecs_master::ecs_master::EcsMaster, alloc::vec::Vec<boyko_ecs::ecs::core::entity::entity::Entity>), (), swap_remove::bench_swap_remove::{closure#0}::{closure#0}, swap_remove::bench_swap_remove::{closure#0}::{closure#1}>	19788	1	a25d1e0763faa34c249c8ff24020c5ab1886f575c2f0785c1e518da65c8ccccb
swap_remove	H-2	<criterion::routine::Function<criterion::measurement::WallTime, swap_remove::bench_swap_remove::{closure#0}, usize> as criterion::routine::Routine<criterion::measurement::WallTime, usize>>::bench	403	1	aa8f34a27257394156349eacbb93c0bf195b01949a591b6f5d9d4442dfe6ee09
swap_remove	H-2	<criterion::routine::Function<criterion::measurement::WallTime, swap_remove::bench_swap_remove::{closure#0}, usize> as criterion::routine::Routine<criterion::measurement::WallTime, usize>>::warm_up	319	1	dd872ed5c018fad3458ea6e311eb8dca6a386111fbb1032e25219238f5f26ec7
swap_remove	H-2	swap_remove::bench_swap_remove::{closure#0}::{closure#0}	8476	1	f857fac1afd2fa0d15b5d0a7338fdd22b4ade85f8eff25838d57a8604b0a32b2
query_dsl	R-4	boyko_ecs::ecs::core::component::component_registry::register_layout::<query_dsl::Tag>	376	1	f010ad75ee62a86f049e8cfab92f099c7efd21a82e2beb5047c7c54c9721294a
query_dsl	H-1	<boyko_ecs::ecs::core::ecs_master::ecs_master::EcsMaster>::run_system::<query_dsl::bench_query_ref_iter::{closure#0}::{closure#0}::{closure#0}, (boyko_ecs::ecs::core::system::into_system::IsFunctionSystem, fn(boyko_ecs::ecs::core::iters::query::query::Query<&query_dsl::Position>)), ()>	1184	1	ac7105c2c6b4a6fc96f4bfc4859d6eea91c8804b3416e359579df29547a70bda
query_dsl	H-1	<criterion::bencher::Bencher>::iter::<(), query_dsl::bench_query_ref_iter::{closure#0}::{closure#0}>	119	1	e602b850ff6c5044f23b25c6d0351c1ad988b8c5427dea986f5e38324af0f795
query_dsl	H-1	<criterion::routine::Function<criterion::measurement::WallTime, <criterion::benchmark_group::BenchmarkGroup<criterion::measurement::WallTime>>::bench_function<criterion::benchmark_group::BenchmarkId, query_dsl::bench_query_ref_iter::{closure#0}>::{closure#0}, ()> as criterion::routine::Routine<criterion::measurement::WallTime, ()>>::bench	419	1	d6e9dd58824ce0cc967227552a41f296af45e14845257473e3e2700bc9c3f225
query_dsl	H-1	<criterion::routine::Function<criterion::measurement::WallTime, <criterion::benchmark_group::BenchmarkGroup<criterion::measurement::WallTime>>::bench_function<criterion::benchmark_group::BenchmarkId, query_dsl::bench_query_ref_iter::{closure#0}>::{closure#0}, ()> as criterion::routine::Routine<criterion::measurement::WallTime, ()>>::sample	6092	1	3273b4e0c5c09b5b3e6a6e572545f479595fa55deb40450051fa06ffef5e89c7
query_dsl	H-1	<criterion::routine::Function<criterion::measurement::WallTime, <criterion::benchmark_group::BenchmarkGroup<criterion::measurement::WallTime>>::bench_function<criterion::benchmark_group::BenchmarkId, query_dsl::bench_query_ref_iter::{closure#0}>::{closure#0}, ()> as criterion::routine::Routine<criterion::measurement::WallTime, ()>>::warm_up	342	1	f50360bac98bf319e82035a801dc85127cea9cb9cb9729caaa54924a6084b08d
phase9_scheduler	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	11626	1	d26fc7683a37e10c3020e3f01cfc634eaf404330fc49548ca6e2ab1963b6a240
phase9_scheduler	H-3	<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#0}, fn()> as boyko_ecs::ecs::core::system::system::System>::apply	1	1	bfb4f2a33b98810ab2a429e03b44fcfa2e8edae9bd589a241de5c7fcc040c1d3
phase9_scheduler	H-3	<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#0}, fn()> as boyko_ecs::ecs::core::system::system::System>::check_change_tick	64	1	1f80893059b2e50a93b55596de574023219c07ba10d9fb66f4ecd07e3f66cd32
phase9_scheduler	H-3	<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#0}, fn()> as boyko_ecs::ecs::core::system::system::System>::has_deferred	3	1	4180e57ab6de6ea731119347ae54f349e582839d05e05b941eb669f62efc3bc6
