site	test	class	action	evidence
crates/boyko_app/src/profiling/reduce.rs:939	a_stamped_derived_id_is_refused	(none: release-only)	exempt	cfg_attr(not(debug_assertions)) = release-only scope; the guard under test is a debug_assert!, so the test runs in every debug run and has no release leg
crates/boyko_app/tests/app12_timer_resolution.rs:157	park_timeout_expiry_with_and_without_raised_timer_resolution	slow	keep	re-verified: device-free; every sample is a sleep (12.6-22.1 s measured in its reason); --ignored leg
crates/boyko_app/tests/asset_streaming_f6_churn_headless.rs:297	mesh_churn_over_many_frames_never_leaks_or_double_frees_against_a_live_device	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner; compiled without any feature - the prose's --features hwrt run is an optional second pass
crates/boyko_app/tests/asset_streaming_f7_grow_headless.rs:428	f7_grow_and_defer_old_phased_headless	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner; compiled without any feature - the prose's --features hwrt run is an optional second pass
crates/boyko_app/tests/asset_streaming_f7_rt_cap_headless.rs:167	rt_leg_grows_past_instance_capacity_instead_of_panicking	feature+gpu-windowed+gpu-cap	insert	file is #![cfg(feature = "hwrt")] (:68) so default builds hold 0 tests; body adds `EnginePlugins::window(..)` and runs the windowed runner; the RT-leg claim is load-bearing only on hardware that negotiates ray tracing (module doc)
crates/boyko_app/tests/asset_upload_reject_mesh_leak.rs:267	a_fill_rejected_mesh_upload_releases_its_device_buffers	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/asset_upload_reject_texture_leak.rs:180	a_fill_rejected_texture_upload_releases_its_bindless_slot	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/boot_validation_clean.rs:581	boot_validation_worker_canary	gpu-windowed	keep	re-verified: worker (run_worker -> windowed boot), spawned by every_validated_boot_is_clean
crates/boyko_app/tests/boot_validation_clean.rs:587	boot_validation_worker_vb_froxel	gpu-windowed	keep	re-verified: worker (run_worker -> windowed boot), spawned by every_validated_boot_is_clean
crates/boyko_app/tests/boot_validation_clean.rs:593	boot_validation_worker_forward_both	gpu-windowed	keep	re-verified: worker (run_worker -> windowed boot), spawned by every_validated_boot_is_clean
crates/boyko_app/tests/boot_validation_clean.rs:599	boot_validation_worker_forward_plus	gpu-windowed	keep	re-verified: worker (run_worker -> windowed boot), spawned by every_validated_boot_is_clean
crates/boyko_app/tests/boot_validation_clean.rs:605	boot_validation_worker_deferred_smaa	gpu-windowed	keep	re-verified: worker (run_worker -> windowed boot), spawned by every_validated_boot_is_clean
crates/boyko_app/tests/boot_validation_clean.rs:611	boot_validation_worker_deferred_taa	gpu-windowed	keep	re-verified: worker (run_worker -> windowed boot), spawned by every_validated_boot_is_clean
crates/boyko_app/tests/boot_validation_clean.rs:762	every_validated_boot_is_clean	gpu-windowed	keep	re-verified: driver; arms the validation layer and spawns six windowed workers
crates/boyko_app/tests/csm_fit_eval.rs:106	csm_fit_eval_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/forward_both.rs:150	forward_both_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/forward_mesh.rs:159	forward_mesh_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/forward_teardown_destroys_forward_sets.rs:37	a_forward_teardown_destroys_its_forward_descriptor_sets	gpu-windowed	keep	re-verified: teardown_probe windowed boot (H7)
crates/boyko_app/tests/forwardplus_mesh.rs:169	forwardplus_mesh_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/grand_showcase_2mat.rs:173	grand_showcase_2mat_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/grand_showcase_mvpm.rs:163	grand_showcase_mvpm_screenshot_dump	gpu-windowed+gpu-cap	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner; module doc :19-21 needs ray-query + RG16 storage (run with --features hwrt, BOYKO_SHADOW_DENOISE=temporal); compiled without the feature, so not `feature`
crates/boyko_app/tests/hzb_build_oracle_gate.rs:1057	hzb_build_gpu_eq_oracle_to_bits	gpu	insert	body calls boot_or_skip (:418) = VulkanContext::boot, validation off, no window: a headless compute dispatch
crates/boyko_app/tests/hzb_build_oracle_gate.rs:1114	hzb_build_signed_zero_is_the_hardware_min_tie	gpu	insert	body calls boot_or_skip (:418) = VulkanContext::boot, validation off, no window: a headless compute dispatch
crates/boyko_app/tests/hzb_build_oracle_gate.rs:1222	hzb_build_nan_collapses_to_negative_infinity	gpu	insert	body calls boot_or_skip (:418) = VulkanContext::boot, validation off, no window: a headless compute dispatch
crates/boyko_app/tests/hzb_engine_pyramid_gate.rs:382	hzb_engine_pyramid_dump	gpu-windowed	insert	worker: dump_path_or_skip (env-driven) then body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/hzb_engine_pyramid_gate.rs:403	hzb_engine_pyramid_dump_occ	gpu-windowed	insert	worker: dump_path_or_skip (env-driven) then body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/hzb_engine_pyramid_gate.rs:454	hzb_engine_pyramid_dump_occ_late	gpu-windowed	insert	worker: dump_path_or_skip (env-driven) then body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/hzb_engine_pyramid_gate.rs:1156	hzb_engine_pyramid_equals_the_oracle	gpu-windowed	insert	driver: re-execs this binary (Command::new :740) to run the windowed dump workers
