arm,step,manifolds_live,points
full_step/1,1,4495,17980
full_step/1,2,4151,15891
full_step/1,3,4176,15859
full_step/1,4,4153,15826
full_step/1,5,4146,15833
full_step/1,6,4137,15853
full_step/1,7,4130,15849
full_step/1,8,4121,15879
full_step/1,9,4116,15884
full_step/1,10,4121,15880
full_step/1,11,4123,15889
full_step/1,12,4125,15916
full_step/1,13,4124,15918
full_step/1,14,4118,15917
full_step/1,15,4114,15901
full_step/1,16,4110,15884
full_step/1,17,4110,15882
full_step/1,18,4105,15886
full_step/1,19,4105,15883
full_step/1,20,4106,15880
full_step/1,21,4882,18993
full_step/1,22,4617,17242
full_step/1,23,4523,16852
full_step/1,24,4423,16377
full_step/1,25,4393,16082
full_step/1,26,4401,15960
full_step/1,27,4403,15877
full_step/1,28,4387,15790
full_step/1,29,5047,17370
full_step/1,30,4896,15816
full_step/1,31,4788,15466
full_step/1,32,4722,15224
full_step/1,33,4666,15017
full_step/1,34,4630,14890
full_step/1,35,5188,16230
full_step/1,36,5064,15048
full_step/1,37,4983,14722
full_step/1,38,4910,14459
full_step/1,39,4835,14367
full_step/1,40,5290,15452
full_step/1,41,5215,14610
full_step/1,42,5189,14566
full_step/1,43,5123,14392
full_step/1,44,5104,14349
full_step/1,45,5500,15327
full_step/1,46,5355,14514
full_step/1,47,5262,14151
full_step/1,48,5129,13769
full_step/1,49,5366,14426
full_step/1,50,5355,13905
full_step/1,51,5322,13753
full_step/1,52,5261,13514
full_step/1,53,5499,14119
full_step/1,54,5356,13386
full_step/1,55,5269,13153
full_step/1,56,5198,12973
full_step/1,57,5345,13382
full_step/1,58,5235,12964
full_step/1,59,5206,12817
full_step/1,60,5281,12960
full_step/1,61,5176,12503
full_step/1,62,5187,12474
full_step/1,63,5208,12571
full_step/1,64,5101,12278
full_step/1,65,5067,12237
full_step/1,66,5113,12426
full_step/1,67,5071,12241
full_step/1,68,5064,12217
full_step/1,69,5122,12449
full_step/1,70,5107,12303
full_step/1,71,5067,12265
full_step/1,72,5117,12401
full_step/1,73,5081,12300
full_step/1,74,5055,12210
full_step/1,75,5072,12246
full_step/1,76,5094,12360
full_step/1,77,5086,12401
full_step/1,78,5105,12382
full_step/1,79,5089,12347
full_step/1,80,5086,12277
full_step/1,81,5081,12296
full_step/1,82,5086,12399
full_step/1,83,5083,12415
full_step/1,84,5096,12445
full_step/1,85,5095,12455
full_step/1,86,5099,12486
full_step/1,87,5105,12502
full_step/1,88,5111,12488
full_step/1,89,5103,12489
full_step/1,90,5089,12439
full_step/1,91,5092,12466
full_step/1,92,5082,12467
full_step/1,93,5081,12449
full_step/1,94,5093,12451
full_step/1,95,5076,12393
full_step/1,96,5077,12363
full_step/1,97,5082,12363
full_step/1,98,5097,12350
full_step/1,99,5079,12316
full_step/1,100,5078,12293
full_step/1,101,5075,12317
full_step/1,102,5066,12335
full_step/1,103,5078,12407
full_step/1,104,5076,12349
full_step/1,105,5061,12419
full_step/1,106,5072,12438
full_step/1,107,5065,12417
full_step/1,108,5067,12446
full_step/1,109,5061,12487
full_step/1,110,5056,12498
full_step/1,111,5063,12573
full_step/1,112,5062,12563
full_step/1,113,5065,12596
full_step/1,114,5066,12697
full_step/1,115,5044,12659
full_step/1,116,5054,12704
full_step/1,117,5052,12666
full_step/1,118,5051,12658
full_step/1,119,5046,12644
full_step/1,120,5040,12652
full_step/1,121,5040,12634
full_step/1,122,5036,12594
full_step/1,123,5034,12631
full_step/1,124,5031,12653
full_step/1,125,5034,12679
full_step/1,126,5036,12725
full_step/1,127,5041,12741
full_step/1,128,5035,12693
full_step/1,129,5024,12652
full_step/1,130,5012,12639
full_step/1,131,5028,12720
full_step/1,132,5023,12734
full_step/1,133,5020,12765
full_step/1,134,5012,12846
full_step/1,135,5008,12843
full_step/1,136,5008,12873
full_step/1,137,5020,12951
full_step/1,138,5004,12964
full_step/1,139,5000,12901
full_step/1,140,5011,12923
full_step/1,141,5005,12965
full_step/1,142,5001,12985
full_step/1,143,5003,12960
full_step/1,144,4995,12979
full_step/1,145,4994,13004
full_step/1,146,5003,13045
full_step/1,147,4999,13035
full_step/1,148,5000,13037
full_step/1,149,5001,13091
full_step/1,150,4993,13069
full_step/1,151,4991,13047
full_step/1,152,4994,13040
full_step/1,153,4976,13033
full_step/1,154,4983,13083
full_step/1,155,4976,13042
full_step/1,156,4973,13040
full_step/1,157,4969,13040
full_step/1,158,4977,13078
full_step/1,159,4967,13062
full_step/1,160,4970,13059
full_step/1,161,4966,13082
full_step/1,162,4966,13116
full_step/1,163,4959,13082
full_step/1,164,4965,13115
full_step/1,165,4963,13140
full_step/1,166,4961,13137
full_step/1,167,4957,13230
full_step/1,168,4952,13253
full_step/1,169,4959,13285
full_step/1,170,4954,13253
full_step/1,171,4963,13309
full_step/1,172,4967,13356
full_step/1,173,4951,13272
full_step/1,174,4958,13301
