arm,step,manifolds_live,points
full_step/1,1,4495,17980
full_step/1,2,4189,15929
full_step/1,3,4195,15867
full_step/1,4,4163,15829
full_step/1,5,4155,15858
full_step/1,6,4150,15853
full_step/1,7,4134,15857
full_step/1,8,4128,15867
full_step/1,9,4127,15867
full_step/1,10,4128,15886
full_step/1,11,4134,15894
full_step/1,12,4136,15920
full_step/1,13,4135,15923
full_step/1,14,4135,15913
full_step/1,15,4134,15908
full_step/1,16,4127,15899
full_step/1,17,4125,15891
full_step/1,18,4122,15879
full_step/1,19,4122,15883
full_step/1,20,4122,15889
full_step/1,21,4901,19027
full_step/1,22,4636,17326
full_step/1,23,4516,16898
full_step/1,24,4452,16681
full_step/1,25,4435,16547
full_step/1,26,4415,16516
full_step/1,27,4416,16527
full_step/1,28,4401,16519
full_step/1,29,5055,19175
full_step/1,30,4872,17789
full_step/1,31,4800,17526
full_step/1,32,4744,17345
full_step/1,33,4697,17161
full_step/1,34,4638,16935
full_step/1,35,5173,19104
full_step/1,36,4998,17820
full_step/1,37,4931,17450
full_step/1,38,4864,16995
full_step/1,39,4749,16641
full_step/1,40,5243,18558
full_step/1,41,5184,18245
full_step/1,42,5142,17670
full_step/1,43,5022,17078
full_step/1,44,4991,16894
full_step/1,45,5463,18769
full_step/1,46,5437,18652
full_step/1,47,5279,17632
full_step/1,48,5094,16793
full_step/1,49,5358,17913
full_step/1,50,5428,18218
full_step/1,51,5403,18059
full_step/1,52,5341,17627
full_step/1,53,5582,18699
full_step/1,54,5391,18174
full_step/1,55,5305,17481
full_step/1,56,5329,17252
full_step/1,57,5248,17464
full_step/1,58,5210,17137
full_step/1,59,5149,16742
full_step/1,60,5227,17309
full_step/1,61,5125,16930
full_step/1,62,5158,16951
full_step/1,63,5149,17098
full_step/1,64,5081,16946
full_step/1,65,5148,17077
full_step/1,66,5137,17174
full_step/1,67,5063,17108
full_step/1,68,5140,17393
full_step/1,69,5071,17195
full_step/1,70,5086,17287
full_step/1,71,5106,17432
full_step/1,72,5068,17334
full_step/1,73,5086,17391
full_step/1,74,5112,17449
full_step/1,75,5089,17419
full_step/1,76,5083,17410
full_step/1,77,5102,17491
full_step/1,78,5082,17535
