arm,step,manifolds_live,points
pyramid_sleeping_off,1,8555,34220
pyramid_awake_sleeping_on,1,4495,17980
pyramid_sleeping_off,2,5705,16133
pyramid_awake_sleeping_on,2,4151,15891
pyramid_sleeping_off,3,6837,17830
pyramid_awake_sleeping_on,3,4176,15859
pyramid_sleeping_off,4,6673,17270
pyramid_awake_sleeping_on,4,4153,15826
pyramid_sleeping_off,5,6584,16753
pyramid_awake_sleeping_on,5,4146,15833
pyramid_sleeping_off,6,6488,16442
pyramid_awake_sleeping_on,6,4137,15853
pyramid_sleeping_off,7,6459,16335
pyramid_awake_sleeping_on,7,4130,15849
pyramid_sleeping_off,8,6481,16383
pyramid_awake_sleeping_on,8,4121,15879
pyramid_sleeping_off,9,6468,16308
pyramid_awake_sleeping_on,9,4116,15884
pyramid_sleeping_off,10,6471,16458
pyramid_awake_sleeping_on,10,4121,15880
pyramid_sleeping_off,11,6418,16350
pyramid_awake_sleeping_on,11,4123,15889
pyramid_sleeping_off,12,6403,16222
pyramid_awake_sleeping_on,12,4125,15916
pyramid_sleeping_off,13,6412,16280
pyramid_awake_sleeping_on,13,4124,15918
pyramid_sleeping_off,14,6392,16276
pyramid_awake_sleeping_on,14,4118,15917
pyramid_sleeping_off,15,6384,16164
pyramid_awake_sleeping_on,15,4114,15901
pyramid_sleeping_off,16,6356,16138
pyramid_awake_sleeping_on,16,4110,15884
pyramid_sleeping_off,17,6333,15995
pyramid_awake_sleeping_on,17,4110,15882
pyramid_sleeping_off,18,6267,15955
pyramid_awake_sleeping_on,18,4105,15886
pyramid_sleeping_off,19,6252,15962
pyramid_awake_sleeping_on,19,4105,15883
pyramid_sleeping_off,20,6240,15937
pyramid_awake_sleeping_on,20,4106,15880
pyramid_sleeping_off,21,6245,15960
pyramid_awake_sleeping_on,21,4882,18993
pyramid_sleeping_off,22,6253,15993
pyramid_awake_sleeping_on,22,4617,17242
pyramid_sleeping_off,23,6206,15922
pyramid_awake_sleeping_on,23,4523,16852
pyramid_sleeping_off,24,6226,15929
pyramid_awake_sleeping_on,24,4423,16377
pyramid_sleeping_off,25,6190,15856
pyramid_awake_sleeping_on,25,4393,16082
pyramid_sleeping_off,26,6197,15816
pyramid_awake_sleeping_on,26,4401,15960
pyramid_sleeping_off,27,6167,15763
pyramid_awake_sleeping_on,27,4403,15877
pyramid_sleeping_off,28,6165,15693
pyramid_awake_sleeping_on,28,4387,15790
pyramid_sleeping_off,29,6165,15687
pyramid_awake_sleeping_on,29,5047,17370
pyramid_sleeping_off,30,6170,15777
pyramid_awake_sleeping_on,30,4896,15816
