arm,step,manifolds_live,points
pyramid_sleeping_off,1,8555,34220
pyramid_awake_sleeping_on,1,4495,17980
pyramid_sleeping_off,2,5761,18316
pyramid_awake_sleeping_on,2,4189,15929
pyramid_sleeping_off,3,6723,22374
pyramid_awake_sleeping_on,3,4195,15867
pyramid_sleeping_off,4,6695,22167
pyramid_awake_sleeping_on,4,4163,15829
pyramid_sleeping_off,5,6672,22004
pyramid_awake_sleeping_on,5,4155,15858
pyramid_sleeping_off,6,6758,22429
pyramid_awake_sleeping_on,6,4150,15853
pyramid_sleeping_off,7,6793,22718
pyramid_awake_sleeping_on,7,4134,15857
pyramid_sleeping_off,8,6783,22677
pyramid_awake_sleeping_on,8,4128,15867
pyramid_sleeping_off,9,6772,22701
pyramid_awake_sleeping_on,9,4127,15867
pyramid_sleeping_off,10,6790,22895
pyramid_awake_sleeping_on,10,4128,15886
pyramid_sleeping_off,11,6786,22954
pyramid_awake_sleeping_on,11,4134,15894
pyramid_sleeping_off,12,6806,22979
pyramid_awake_sleeping_on,12,4136,15920
pyramid_sleeping_off,13,6806,23008
pyramid_awake_sleeping_on,13,4135,15923
pyramid_sleeping_off,14,6780,22989
pyramid_awake_sleeping_on,14,4135,15913
pyramid_sleeping_off,15,6784,23046
pyramid_awake_sleeping_on,15,4134,15908
pyramid_sleeping_off,16,6765,23029
pyramid_awake_sleeping_on,16,4127,15899
pyramid_sleeping_off,17,6760,22990
pyramid_awake_sleeping_on,17,4125,15891
pyramid_sleeping_off,18,6761,23005
pyramid_awake_sleeping_on,18,4122,15879
pyramid_sleeping_off,19,6734,22985
pyramid_awake_sleeping_on,19,4122,15883
pyramid_sleeping_off,20,6754,23021
pyramid_awake_sleeping_on,20,4122,15889
pyramid_sleeping_off,21,6753,23042
pyramid_awake_sleeping_on,21,4901,19027
pyramid_sleeping_off,22,6741,23012
pyramid_awake_sleeping_on,22,4636,17326
pyramid_sleeping_off,23,6739,23040
pyramid_awake_sleeping_on,23,4516,16898
pyramid_sleeping_off,24,6730,23028
pyramid_awake_sleeping_on,24,4452,16681
pyramid_sleeping_off,25,6730,23036
pyramid_awake_sleeping_on,25,4435,16547
pyramid_sleeping_off,26,6722,23003
pyramid_awake_sleeping_on,26,4415,16516
pyramid_sleeping_off,27,6733,23040
pyramid_awake_sleeping_on,27,4416,16527
pyramid_sleeping_off,28,6733,23065
pyramid_awake_sleeping_on,28,4401,16519
pyramid_sleeping_off,29,6715,23040
pyramid_awake_sleeping_on,29,5055,19175
pyramid_sleeping_off,30,6720,23038
pyramid_awake_sleeping_on,30,4872,17789
