step,wall_ns,manifolds,pairs,top_y,awake
0,9104200,4495,9570,35.998295,
1,7159800,4196,9570,35.993866,
2,6784400,4142,9570,35.986713,
3,6960100,4111,9570,35.976837,
4,7120600,4100,9570,35.964233,
5,7020000,4087,9570,35.948902,
6,7640500,4079,9570,35.93085,
7,6820500,4073,9570,35.910072,
8,6771500,4066,9570,35.88657,
9,7172900,4061,9570,35.86034,
10,6866400,4053,9570,35.831387,
11,6953100,4054,9570,35.79971,
12,6815900,4056,9570,35.765305,
13,6787000,4055,9570,35.728176,
14,6822700,4060,9570,35.688324,
15,6979800,4057,9570,35.64575,
16,6905900,4055,9570,35.600445,
17,6927600,4051,9570,35.552414,
18,7180600,4049,9570,35.501663,
19,6776700,4050,9570,35.448185,
20,7530400,4829,9570,35.391983,
21,7974000,4715,9570,35.333054,
22,7633700,4565,9570,35.2714,
23,7861000,4496,9570,35.207024,
24,9099200,4419,9570,35.13992,
25,8778000,4390,9570,35.07009,
26,8674300,4353,9570,34.997536,
27,8216700,4336,9570,34.92226,
28,8642000,4982,9570,34.844257,
29,8446400,4783,9570,34.763527,
30,7973100,4670,9570,34.680073,
31,9312200,4639,9570,34.593895,
32,8129600,4573,9570,34.504993,
33,8014700,4491,9570,34.413364,
34,8782300,5031,9570,34.31901,
35,8126600,4806,9570,34.221935,
36,7903000,4646,9570,34.12213,
37,8176300,4535,9570,34.019604,
38,8259400,4502,9570,33.91435,
39,8943300,4984,9570,33.806374,
40,8591700,5009,9570,33.69567,
41,10802400,4852,9570,33.58224,
42,9695500,4753,9570,33.466087,
43,8579600,4728,9570,33.34721,
44,8650200,4996,9570,33.22561,
45,8892400,5112,9570,33.10128,
46,10916900,4923,9570,32.974224,
47,10740700,4760,9570,32.844448,
48,9275200,5001,9570,32.711945,
49,9533800,5139,9570,32.576717,
50,9545400,4996,9570,32.438763,
51,9275900,4871,9570,32.298084,
52,12393300,5093,9570,32.154682,
53,9322700,4972,9570,32.008553,
54,9224500,4792,9570,31.8597,
55,8311300,4796,9570,31.70812,
56,8446000,4911,9570,31.553818,
57,8301700,4780,9570,31.39679,
58,8429500,4734,9570,31.237036,
59,8804100,4748,9570,31.074558,
60,8237200,4704,9570,30.909355,
61,8931300,4678,9570,30.741426,
62,8480400,4666,9570,30.570772,
63,8463100,4609,9570,30.397394,
64,8237100,4623,9570,30.22129,
65,8184500,4625,9570,30.042463,
66,8491100,4579,9570,29.860909,
67,8148400,4610,9570,29.67663,
68,8548300,4550,9570,29.489626,
69,8178100,4524,9570,29.299898,
70,9504300,4535,9570,29.107445,
