step,wall_ns,manifolds,pairs,top_y,awake
0,19925900,4495,9570,35.998295,
1,17223500,4196,9570,35.993866,
2,16581800,4142,9570,35.986713,
3,16534000,4111,9570,35.976837,
4,16777600,4100,9570,35.964233,
5,16598800,4087,9570,35.948902,
6,16569400,4079,9570,35.93085,
7,16715500,4073,9570,35.910072,
8,17369700,4066,9570,35.88657,
9,16942400,4061,9570,35.86034,
10,17330000,4053,9570,35.831387,
11,16545900,4054,9570,35.79971,
12,16532700,4056,9570,35.765305,
13,16568200,4055,9570,35.728176,
14,16590400,4060,9570,35.688324,
15,16574500,4057,9570,35.64575,
16,17033400,4055,9570,35.600445,
17,16688700,4051,9570,35.552414,
18,16582600,4049,9570,35.501663,
19,16938800,4050,9570,35.448185,
20,20529200,4829,9570,35.391983,
21,19065400,4715,9570,35.333054,
22,18703600,4565,9570,35.2714,
23,18071100,4496,9570,35.207024,
24,17807000,4419,9570,35.13992,
25,18262600,4390,9570,35.07009,
26,18472900,4353,9570,34.997536,
27,18308900,4336,9570,34.92226,
28,21078300,4982,9570,34.844257,
29,19764100,4783,9570,34.763527,
30,19647500,4670,9570,34.680073,
31,18788300,4639,9570,34.593895,
32,18969300,4573,9570,34.504993,
33,18074000,4491,9570,34.413364,
34,20211500,5031,9570,34.31901,
35,19250700,4806,9570,34.221935,
36,18542700,4646,9570,34.12213,
37,18064400,4535,9570,34.019604,
38,18211800,4502,9570,33.91435,
39,20383800,4984,9570,33.806374,
40,19984400,5009,9570,33.69567,
41,19541000,4852,9570,33.58224,
42,18535000,4753,9570,33.466087,
43,19014300,4728,9570,33.34721,
44,20150300,4996,9570,33.22561,
45,20327800,5112,9570,33.10128,
46,18972500,4923,9570,32.974224,
47,18251500,4760,9570,32.844448,
48,19302200,5001,9570,32.711945,
49,20135600,5139,9570,32.576717,
50,19312600,4996,9570,32.438763,
51,19255500,4871,9570,32.298084,
52,21102800,5093,9570,32.154682,
53,20170300,4972,9570,32.008553,
54,19208200,4792,9570,31.8597,
55,19246300,4796,9570,31.70812,
56,19699300,4911,9570,31.553818,
57,19423900,4780,9570,31.39679,
58,19520300,4734,9570,31.237036,
59,19632400,4748,9570,31.074558,
60,19628500,4704,9570,30.909355,
61,19645600,4678,9570,30.741426,
62,19635300,4666,9570,30.570772,
63,19390000,4609,9570,30.397394,
64,19653300,4623,9570,30.22129,
65,19901200,4625,9570,30.042463,
66,20079200,4579,9570,29.860909,
67,19749500,4610,9570,29.67663,
68,20082600,4550,9570,29.489626,
69,20244200,4524,9570,29.299898,
70,19551500,4535,9570,29.107445,
71,19269400,4528,9570,28.912266,
72,19287000,4533,9570,28.714361,
73,19778000,4529,9570,28.745474,
74,20057900,4530,9570,28.77165,
75,19879100,4529,9570,28.79591,
76,19350600,4524,9570,28.816788,
77,19491400,4517,9570,28.83433,
78,19258300,4520,9570,28.848581,
79,19281000,4514,9568,28.862343,
