Frame, Time (ms)
0, 7.63
1, 1.4156
2, 1.2945
3, 1.2477
4, 1.2313
5, 1.1424
6, 1.1779
7, 1.2901
8, 1.2814
9, 1.1476
10, 1.1291
11, 1.1243
12, 1.2752
13, 1.1445
14, 1.2145
15, 1.1289
16, 1.1288
17, 1.12
18, 1.2482
19, 1.9434
20, 1.8982
21, 1.7123
22, 1.8685
23, 1.8329
24, 1.647
25, 1.6032
26, 1.744
27, 2.4259
28, 2.3389
29, 3.049
30, 2.8104
31, 2.4096
32, 2.7221
33, 2.892
34, 4.1357
35, 4.3527
36, 4.1853
37, 3.3654
38, 3.8094
39, 4.9109
40, 4.438
41, 4.7558
42, 4.5051
43, 4.5717
44, 6.0109
45, 4.7533
46, 4.78
47, 4.8841
48, 4.861
49, 4.6088
50, 4.707
51, 4.8276
52, 5.2339
53, 4.785
54, 4.4608
55, 4.9986
56, 5.6921
57, 5.4249
58, 5.2535
59, 4.9632
60, 5.1174
61, 5.7191
62, 5.0722
63, 4.1506
64, 5.4622
65, 5.5523
66, 4.9836
67, 4.3361
68, 4.9685
69, 4.4349
70, 4.2204
71, 4.9372
72, 6.5565
73, 5.6773
74, 5.9776
75, 5.1044
76, 5.2248
77, 5.5622
78, 5.737
79, 4.7034
80, 5.1174
81, 6.0018
82, 5.2099
83, 5.5888
84, 4.6376
85, 5.4355
86, 5.7695
87, 5.2153
88, 4.2382
89, 5.8557
90, 5.1989
91, 5.2348
92, 5.7381
93, 5.5046
94, 5.9621
95, 5.5427
96, 5.3984
97, 5.5829
98, 4.5046
99, 5.6029
100, 4.7574
101, 4.074
102, 4.908
103, 4.3942
104, 3.9048
105, 5.0303
106, 4.2585
107, 3.976
108, 4.7821
109, 4.3089
110, 4.2477
111, 4.8288
112, 4.0958
113, 4.5223
114, 5.1468
115, 5.3075
116, 6.4606
117, 5.2021
118, 6.3807
119, 6.6287
120, 5.9039
121, 4.9067
122, 4.4197
123, 4.8643
124, 4.7512
125, 4.0685
126, 5.1207
127, 5.2471
128, 5.0811
129, 5.1177
130, 5.6243
131, 5.7902
132, 6.0304
133, 4.625
134, 4.1451
135, 5.6564
136, 4.4467
137, 3.7985
138, 4.9751
139, 4.2872
140, 4.0667
141, 5.1527
142, 4.1634
143, 3.889
144, 4.3976
145, 3.8017
146, 5.7982
147, 5.4224
148, 4.583
149, 4.6931
150, 5.1996
151, 4.2401
152, 4.1457
153, 4.6999
154, 4.3153
155, 4.0989
156, 4.843
157, 4.2014
158, 4.4973
159, 5.3196
160, 5.1433
161, 5.1822
162, 6.822
163, 6.5792
164, 5.849
165, 5.5939
166, 4.2194
167, 4.0761
168, 4.7356
169, 4.1718
170, 4.3289
171, 4.9133
172, 4.2471
173, 4.4472
174, 5.1498
175, 5.0465
176, 5.154
177, 5.7911
178, 5.8002
179, 5.4599
180, 5.3875
181, 4.6273
182, 6.1993
183, 5.5474
184, 4.2825
185, 4.3041
186, 5.8078
187, 4.3492
188, 3.7392
189, 5.3252
190, 4.627
191, 4.5743
192, 5.6189
193, 6.1064
194, 5.0206
195, 4.8595
196, 4.4268
197, 5.0221
198, 4.2502
199, 4.2572
200, 4.4473
201, 3.8947
202, 5.2759
203, 5.0326
204, 4.555
205, 4.3807
206, 5.2754
207, 4.6352
208, 4.2593
209, 5.8459
210, 4.7362
211, 4.1671
212, 4.8276
213, 4.3854
214, 3.7286
215, 4.2271
216, 4.5109
217, 4.2135
218, 4.4953
219, 3.8598
220, 4.8128
221, 4.3391
222, 4.1554
223, 6.4502
224, 5.7841
225, 5.2152
226, 5.3441
227, 4.862
228, 5.2644
229, 4.3191
230, 3.651
231, 4.2871
232, 4.1706
233, 4.5812
234, 4.1725
235, 3.7032
236, 5.4848
237, 4.1649
238, 5.1302
239, 5.6972
240, 6.0729
241, 5.629
242, 5.4918
243, 5.5364
244, 5.9616
245, 5.0962
246, 5.3169
247, 4.3153
248, 4.4911
249, 5.2598
250, 4.4016
251, 4.1323
252, 5.182
253, 4.3471
254, 4.0588
255, 5.0511
256, 4.4178
257, 4.0772
258, 5.7987
259, 4.2797
260, 3.7938
261, 5.0984
262, 4.3228
263, 4.4932
264, 5.184
265, 4.8178
266, 4.3412
267, 5.1514
268, 4.9192
269, 4.1872
270, 4.8647
271, 4.3703
272, 3.8261
273, 5.0506
274, 4.2213
275, 4.3377
276, 6.3325
277, 7.3312
278, 6.4612
279, 6.1284
280, 5.6231
281, 6.5451
282, 6.2369
283, 5.6473
284, 6.3515
285, 5.478
286, 5.7054
287, 5.4337
288, 5.336
289, 4.3748
290, 5.0984
291, 4.7228
292, 4.1761
293, 4.4791
294, 4.7956
295, 3.8494
296, 4.7442
297, 4.3087
298, 3.9265
299, 4.8806
300, 4.5012
301, 4.8521
302, 5.3445
303, 4.3259
304, 4.7725
305, 5.5486
306, 5.1912
307, 4.4132
308, 4.0997
309, 4.626
310, 4.1761
311, 4.5587
312, 4.1886
313, 4.3592
314, 4.775
315, 4.3411
316, 3.8106
317, 5.0408
318, 4.7755
319, 5.199
320, 5.5911
321, 5.6054
322, 5.3707
323, 5.6978
324, 6.5666
325, 6.6239
326, 5.2535
327, 5.4984
328, 5.1905
329, 4.5291
330, 4.191
331, 4.8684
332, 4.3372
333, 4.4568
334, 4.8957
335, 4.2855
336, 4.2336
337, 4.3897
338, 3.7755
339, 4.778
340, 4.4106
341, 4.4655
342, 5.4288
343, 4.8592
344, 5.1222
345, 4.5704
346, 5.0492
347, 4.4464
348, 4.1325
349, 4.9435
350, 4.4433
351, 4.2282
352, 4.7469
353, 4.1873
354, 5.092
355, 6.0045
356, 4.9647
357, 4.8224
358, 4.8308
359, 5.3117
360, 4.551
361, 3.9196
362, 5.2728
363, 4.5766
364, 4.4284
365, 5.1729
366, 5.0735
367, 4.3363
368, 5.0329
369, 4.9262
370, 5.0079
371, 4.7444
372, 5.5461
373, 4.4581
374, 3.9173
375, 4.882
376, 4.0385
377, 4.2692
378, 5.1512
379, 4.3737
380, 4.2472
381, 4.9836
382, 4.5688
383, 4.6437
384, 5.7737
385, 5.7575
386, 5.8805
387, 5.806
388, 5.85
389, 5.3609
390, 5.6291
391, 4.5039
392, 3.782
393, 4.8013
394, 4.1615
395, 4.28
396, 5.2715
397, 4.2275
398, 4.074
399, 5.1261
400, 4.4803
401, 4.2328
402, 5.6641
403, 4.8399
404, 4.5817
405, 5.4245
406, 5.847
407, 4.5908
408, 3.8574
409, 5.0432
410, 4.3734
411, 3.7559
412, 4.9576
413, 4.1224
414, 5.1334
415, 5.4692
416, 5.3712
417, 4.9779
418, 5.4086
419, 5.9024
420, 5.6233
421, 5.2539
422, 4.5762
423, 5.1488
424, 6.0646
425, 4.4091
426, 3.8556
427, 6.1255
428, 4.5258
429, 3.9977
430, 4.4752
431, 4.5703
432, 4.5381
433, 5.4932
434, 5.6199
435, 5.0959
436, 4.7956
437, 5.8601
438, 5.2187
439, 4.4781
440, 4.3251
441, 4.9612
442, 4.1877
443, 3.9089
444, 4.5527
445, 4.1408
446, 4.4973
447, 5.452
448, 4.6271
449, 4.5977
450, 5.6952
451, 4.7908
452, 4.4625
453, 5.1037
454, 4.8559
455, 4.0739
456, 4.5367
457, 4.3697
458, 3.6279
459, 4.812
460, 4.4774
461, 3.9215
462, 5.7559
463, 4.6711
464, 3.9816
465, 4.8662
466, 4.512
467, 4.5415
468, 5.2724
469, 4.1958
470, 3.7993
471, 4.9745
472, 4.2137
473, 3.8093
474, 4.6654
475, 3.8202
476, 4.635
477, 4.5216
478, 4.1347
479, 4.906
480, 4.8422
481, 5.061
482, 5.3702
483, 5.9309
484, 7.6966
485, 6.6751
486, 5.6788
487, 5.2961
488, 5.5992
489, 6.8597
490, 8.1123
491, 6.1407
492, 6.3672
493, 6.3787
494, 5.0986
495, 5.2899
496, 4.7953
497, 4.1277
498, 4.9657
499, 4.5094
