step,wall_ns,manifolds,pairs,top_y,awake
0,8730900,4495,9570,35.998295,
1,7325000,4196,9570,35.993866,
2,6733200,4142,9570,35.986713,
3,6607900,4111,9570,35.976837,
4,6628000,4100,9570,35.964233,
5,6559800,4087,9570,35.948902,
6,6644400,4079,9570,35.93085,
7,6645200,4073,9570,35.910072,
8,6616300,4066,9570,35.88657,
9,6647800,4061,9570,35.86034,
10,6598500,4053,9570,35.831387,
11,6594800,4054,9570,35.79971,
12,6661800,4056,9570,35.765305,
13,6591600,4055,9570,35.728176,
14,6665400,4060,9570,35.688324,
15,6586000,4057,9570,35.64575,
16,6647600,4055,9570,35.600445,
17,6620400,4051,9570,35.552414,
18,6684800,4049,9570,35.501663,
19,6676000,4050,9570,35.448185,
20,7469500,4829,9570,35.391983,
21,7632000,4715,9570,35.333054,
22,7315600,4565,9570,35.2714,
23,8850200,4496,9570,35.207024,
24,8772100,4419,9570,35.13992,
25,9024100,4390,9570,35.07009,
26,8372200,4353,9570,34.997536,
27,7352500,4336,9570,34.92226,
28,7724100,4982,9570,34.844257,
29,7602200,4783,9570,34.763527,
30,7471400,4670,9570,34.680073,
31,7542100,4639,9570,34.593895,
32,7393500,4573,9570,34.504993,
33,7442900,4491,9570,34.413364,
34,7784200,5031,9570,34.31901,
35,7736600,4806,9570,34.221935,
36,7617300,4646,9570,34.12213,
37,7513300,4535,9570,34.019604,
38,7481900,4502,9570,33.91435,
39,7859700,4984,9570,33.806374,
40,8038400,5009,9570,33.69567,
41,7846800,4852,9570,33.58224,
42,7745900,4753,9570,33.466087,
43,7749100,4728,9570,33.34721,
44,7995100,4996,9570,33.22561,
45,8287100,5112,9570,33.10128,
46,8153500,4923,9570,32.974224,
47,7896000,4760,9570,32.844448,
48,8005600,5001,9570,32.711945,
49,8800500,5139,9570,32.576717,
50,8187300,4996,9570,32.438763,
51,7954100,4871,9570,32.298084,
52,8133000,5093,9570,32.154682,
53,8290300,4972,9570,32.008553,
54,7929600,4792,9570,31.8597,
55,7922500,4796,9570,31.70812,
56,7978800,4911,9570,31.553818,
57,7887100,4780,9570,31.39679,
58,7843400,4734,9570,31.237036,
59,7881900,4748,9570,31.074558,
60,7830600,4704,9570,30.909355,
61,7830000,4678,9570,30.741426,
62,7815200,4666,9570,30.570772,
63,7990100,4609,9570,30.397394,
64,7804200,4623,9570,30.22129,
65,7787900,4625,9570,30.042463,
66,7716900,4579,9570,29.860909,
67,7766600,4610,9570,29.67663,
68,7673200,4550,9570,29.489626,
69,7672800,4524,9570,29.299898,
70,7672600,4535,9570,29.107445,
71,7757100,4528,9570,28.912266,
72,7725500,4533,9570,28.714361,
73,7630300,4529,9570,28.745474,
74,7660400,4530,9570,28.77165,
75,7625000,4529,9570,28.79591,
76,7658200,4524,9570,28.816788,
77,7681500,4517,9570,28.83433,
78,7619000,4520,9570,28.848581,
79,7691600,4514,9568,28.862343,
80,7671500,4519,9568,28.873486,
81,7687500,4518,9568,28.88324,
82,7666200,4518,9568,28.892859,
83,7653400,4516,9568,28.90075,
84,7679700,4517,9567,28.907646,
85,7670000,4508,9565,28.914537,
86,7686900,4519,9565,28.920815,
87,7600100,4516,9565,28.92588,
88,7658700,4518,9565,28.930962,
89,7677700,4519,9565,28.935617,
90,7659900,4514,9565,28.939785,
91,7642000,4516,9565,28.943506,
92,7744000,4512,9565,28.946703,
93,7637800,4508,9565,28.949604,
94,7671900,4522,9565,28.952375,
95,7683200,4519,9565,28.954878,
96,7673100,4521,9565,28.957104,
97,7688800,4517,9565,28.9592,
98,7701000,4515,9565,28.960983,
99,7624700,4520,9565,28.96278,
100,7666400,4521,9564,28.964386,
101,7629800,4521,9564,28.965906,
102,7658800,4521,9563,28.967402,
103,7678000,4520,9563,28.968788,
104,7661000,4522,9563,28.969984,
105,7686600,4518,9563,28.971111,
106,7680400,4521,9563,28.97221,
107,7639200,4523,9563,28.97325,
108,7685000,4515,9562,28.974203,
109,7706200,4517,9562,28.975157,
110,7646300,4516,9562,28.976004,
111,7666900,4515,9562,28.976778,
112,7746000,4519,9562,28.977486,
113,7653100,4520,9562,28.978231,
114,7697400,4520,9562,28.97893,
115,7677900,4519,9561,28.979557,
116,7633900,4526,9561,28.980162,
117,7665000,4519,9561,28.980728,
118,7690400,4521,9561,28.981266,
119,7700600,4517,9561,28.981787,
120,7667500,4523,9561,28.982262,
121,7703500,4523,9561,28.98269,
122,7633200,4521,9561,28.983118,
123,7685100,4522,9561,28.98351,
124,7697400,4518,9561,28.98387,
125,7632200,4521,9561,28.984217,
126,7644500,4521,9561,28.984558,
127,7702800,4517,9561,28.98485,
128,7631300,4522,9561,28.98514,
129,7723500,4521,9561,28.98541,
130,7710700,4519,9560,28.98568,
131,7638600,4526,9559,28.98593,
132,7678200,4524,9559,28.986149,
133,7739500,4516,9559,28.98636,
134,7639400,4520,9559,28.98657,
135,7666500,4522,9559,28.986776,
136,7692700,4519,9559,28.986969,
137,7644600,4521,9559,28.987137,
138,7663900,4521,9559,28.9873,
139,7680600,4521,9559,28.987465,
140,7664400,4518,9559,28.987623,
141,7681500,4523,9559,28.987766,
142,7671000,4524,9559,28.987892,
143,7650300,4523,9559,28.98802,
144,7670000,4520,9559,28.988153,
145,7630100,4519,9559,28.98826,
146,7653100,4520,9559,28.988363,
147,7731800,4522,9559,28.988459,
148,7629700,4517,9559,28.988543,
149,7719900,4519,9559,28.988642,
150,7714800,4522,9559,28.98874,
151,7611200,4520,9559,28.98882,
152,7651200,4523,9559,28.988888,
153,7777300,4523,9559,28.988964,
154,8334700,4524,9559,28.989048,
155,8151200,4521,9559,28.989117,
156,8312100,4520,9559,28.989172,
157,8151500,4519,9559,28.989218,
158,7731100,4519,9559,28.98927,
159,7740200,4518,9559,28.98933,
160,7680100,4519,9559,28.989386,
161,7858400,4521,9559,28.989433,
162,7684200,4518,9559,28.989477,
163,7707300,4520,9559,28.989515,
164,7666700,4520,9559,28.989552,
165,7638900,4519,9559,28.989582,
166,7641700,4516,9559,28.989613,
167,7657400,4518,9559,28.989645,
168,7616100,4518,9559,28.989676,
169,7649100,4514,9559,28.9897,
170,7625500,4515,9559,28.989725,
171,7634400,4512,9559,28.989754,
172,7672400,4513,9559,28.98977,
173,7597200,4515,9559,28.989801,
174,7631300,4515,9559,28.989834,
175,7595500,4515,9559,28.989851,
176,8090100,4514,9559,28.989864,
177,7839500,4516,9559,28.989883,
