step,wall_ns,manifolds,pairs,top_y,awake
0,6441400,4495,9570,35.998295,
1,4960000,4196,9570,35.993866,
2,4863900,4142,9570,35.986713,
3,4850300,4111,9570,35.976837,
4,4811200,4100,9570,35.964233,
5,4733800,4087,9570,35.948902,
6,4748100,4079,9570,35.93085,
7,4848500,4073,9570,35.910072,
8,4857600,4066,9570,35.88657,
9,4795400,4061,9570,35.86034,
10,4791800,4053,9570,35.831387,
11,4768100,4054,9570,35.79971,
12,4805000,4056,9570,35.765305,
13,4866300,4055,9570,35.728176,
14,4813300,4060,9570,35.688324,
15,4772300,4057,9570,35.64575,
16,4797100,4055,9570,35.600445,
17,4761200,4051,9570,35.552414,
18,4844600,4049,9570,35.501663,
19,4773800,4050,9570,35.448185,
20,5431400,4829,9570,35.391983,
21,5427900,4715,9570,35.333054,
22,5169100,4565,9570,35.2714,
23,5111900,4496,9570,35.207024,
24,5017800,4419,9570,35.13992,
25,5350300,4390,9570,35.07009,
26,5211200,4353,9570,34.997536,
27,5041400,4336,9570,34.92226,
28,5634200,4982,9570,34.844257,
29,5377800,4783,9570,34.763527,
30,5261400,4670,9570,34.680073,
31,5400900,4639,9570,34.593895,
32,5279900,4573,9570,34.504993,
33,5099600,4491,9570,34.413364,
34,5526100,5031,9570,34.31901,
35,5419600,4806,9570,34.221935,
36,5244300,4646,9570,34.12213,
37,5191700,4535,9570,34.019604,
38,5139700,4502,9570,33.91435,
39,5513700,4984,9570,33.806374,
40,5564400,5009,9570,33.69567,
41,5453100,4852,9570,33.58224,
42,5299800,4753,9570,33.466087,
43,5282200,4728,9570,33.34721,
44,5523300,4996,9570,33.22561,
45,5672000,5112,9570,33.10128,
46,5698500,4923,9570,32.974224,
47,5414700,4760,9570,32.844448,
48,5731800,5001,9570,32.711945,
49,5724400,5139,9570,32.576717,
50,5543400,4996,9570,32.438763,
51,5486800,4871,9570,32.298084,
52,5665700,5093,9570,32.154682,
53,5468000,4972,9570,32.008553,
54,5452300,4792,9570,31.8597,
55,5379600,4796,9570,31.70812,
56,5415500,4911,9570,31.553818,
57,5414300,4780,9570,31.39679,
58,5271300,4734,9570,31.237036,
59,5259500,4748,9570,31.074558,
60,5349400,4704,9570,30.909355,
61,5307500,4678,9570,30.741426,
62,5239700,4666,9570,30.570772,
63,5257300,4609,9570,30.397394,
64,5297300,4623,9570,30.22129,
65,5205200,4625,9570,30.042463,
66,5262800,4579,9570,29.860909,
67,5203500,4610,9570,29.67663,
68,5241300,4550,9570,29.489626,
69,5257900,4524,9570,29.299898,
70,5176400,4535,9570,29.107445,
71,5168600,4528,9570,28.912266,
72,5365500,4533,9570,28.714361,
73,5243600,4529,9570,28.745474,
74,5171700,4530,9570,28.77165,
75,5166800,4529,9570,28.79591,
76,5143300,4524,9570,28.816788,
77,5216600,4517,9570,28.83433,
78,5247600,4520,9570,28.848581,
79,5214000,4514,9568,28.862343,
80,5183300,4519,9568,28.873486,
81,5204100,4518,9568,28.88324,
82,5244600,4518,9568,28.892859,
83,5384600,4516,9568,28.90075,
84,5282100,4517,9567,28.907646,
85,5202700,4508,9565,28.914537,
86,5258100,4519,9565,28.920815,
87,5346400,4516,9565,28.92588,
88,5187200,4518,9565,28.930962,
89,5162500,4519,9565,28.935617,
90,5245200,4514,9565,28.939785,
91,5264700,4516,9565,28.943506,
92,5200200,4512,9565,28.946703,
93,5205400,4508,9565,28.949604,
