Frame, Time (ms)
0, 6.0581
1, 1.2877
2, 1.1074
3, 1.1237
4, 1.0209
5, 1.0688
6, 1.0812
7, 1.0395
8, 1.0536
9, 0.9877
10, 0.9875
11, 1.0382
12, 1.0169
13, 1.0388
14, 1.098
15, 1.0876
16, 1.0768
17, 1.003
18, 1.04
19, 1.5344
20, 1.5749
21, 1.5163
22, 1.5674
23, 1.4956
24, 1.4323
25, 1.4083
26, 1.4063
27, 2.0048
28, 2.0631
29, 2.4414
30, 2.1682
31, 1.9676
32, 1.9561
33, 2.4593
34, 2.7914
35, 2.9302
36, 2.8492
37, 2.6236
38, 3.0971
39, 3.6011
40, 3.2987
41, 3.3192
42, 2.9902
43, 3.2811
44, 3.7928
45, 3.5698
46, 3.6332
47, 4.44
48, 4.5167
49, 3.6652
50, 3.5353
51, 3.8252
52, 3.9151
53, 3.5671
54, 3.7384
55, 3.9692
56, 4.0194
57, 3.7615
58, 3.9353
59, 3.9333
60, 3.6398
61, 3.8897
62, 3.9014
63, 3.6462
64, 3.7235
65, 3.6292
66, 3.6276
67, 3.7133
68, 3.5738
69, 3.5373
70, 3.6848
71, 3.6476
72, 3.4855
73, 3.4679
74, 3.4513
75, 3.4929
76, 3.4859
77, 3.3969
78, 3.4114
79, 3.4656
80, 3.7171
81, 3.5649
82, 3.4018
83, 3.3076
84, 3.4029
85, 3.3716
86, 3.5015
87, 3.3434
88, 3.3545
89, 3.3137
90, 3.2814
91, 3.3648
92, 3.3331
93, 3.3041
94, 3.3062
95, 3.2904
96, 3.3231
97, 3.363
98, 3.3347
99, 3.3147
100, 3.2651
101, 3.3157
102, 3.2494
103, 3.3125
104, 3.3838
105, 3.3733
106, 3.3682
107, 3.418
108, 3.3156
109, 3.3441
110, 3.3383
111, 3.3009
112, 3.3635
113, 3.3537
114, 3.2601
115, 3.3495
116, 3.2027
117, 3.2445
118, 3.2453
119, 3.3148
120, 3.2373
121, 3.2855
122, 3.3874
123, 3.2415
124, 3.2931
125, 3.2635
126, 3.2693
127, 3.3277
128, 3.2172
129, 3.3289
130, 3.2644
131, 3.2968
132, 3.2824
133, 3.2614
134, 3.2847
135, 3.2842
136, 3.3698
137, 3.2899
138, 3.2373
139, 3.3902
140, 3.2277
141, 3.2821
142, 3.1891
143, 3.2755
144, 3.2912
145, 3.2371
146, 3.2351
147, 3.2857
148, 3.2557
149, 3.226
150, 3.2992
151, 3.3446
152, 3.193
153, 3.2222
154, 3.3197
155, 3.3975
156, 3.2391
157, 3.2605
158, 3.2535
159, 3.2512
160, 3.2516
161, 3.2545
162, 3.3527
163, 3.2234
164, 3.2522
165, 3.2609
166, 3.2119
167, 3.1876
168, 3.209
169, 3.3563
170, 3.3565
171, 3.3437
172, 3.3127
173, 3.2489
174, 3.1914
175, 3.2259
176, 3.2286
177, 3.2159
178, 3.1865
179, 3.2726
180, 3.2691
181, 3.2437
182, 3.2172
183, 3.2315
184, 3.2833
185, 3.2376
186, 3.1603
187, 3.1823
188, 3.3405
189, 3.2514
190, 3.1439
191, 3.1219
192, 3.1843
193, 3.2871
194, 3.2621
195, 3.1882
196, 3.2824
197, 3.2527
198, 3.2564
199, 3.2157
200, 3.3421
201, 3.2336
202, 3.2041
203, 3.1819
204, 3.2054
205, 3.2499
206, 3.1989
207, 3.1612
208, 3.2055
209, 3.2285
210, 3.2528
211, 3.1995
212, 3.1776
213, 3.4493
214, 3.3294
215, 3.384
216, 3.2846
217, 3.267
218, 3.276
219, 3.346
220, 3.2365
221, 3.2381
222, 3.224
