Frame, Time (ms)
0, 5.6728
1, 0.9803
2, 0.9286
3, 0.8741
4, 0.856
5, 0.8293
6, 0.8119
7, 0.7979
8, 0.8175
9, 0.7965
10, 0.8326
11, 0.8235
12, 0.7876
13, 0.7903
14, 0.7967
15, 0.823
16, 0.8311
17, 0.7896
18, 0.7962
19, 1.2194
20, 1.1173
21, 1.1791
22, 1.2048
23, 1.2043
24, 1.1407
25, 1.1057
26, 1.0956
27, 1.5755
28, 1.5801
29, 1.9356
30, 1.7597
31, 1.5643
32, 1.5249
33, 1.8606
34, 2.1957
35, 2.4188
36, 2.182
37, 1.9756
38, 2.1883
39, 2.6925
40, 2.6421
41, 2.5706
42, 2.3257
43, 2.4687
44, 2.9921
45, 2.7246
46, 2.8455
47, 2.9044
48, 3.1424
49, 2.5286
50, 2.8553
51, 3.1051
52, 3.1861
53, 2.8181
54, 2.9273
55, 3.0817
56, 3.221
57, 3.0048
58, 3.1433
59, 3.0335
60, 2.7843
61, 3.0257
62, 2.8701
63, 2.7469
64, 2.8577
65, 2.7183
66, 2.6254
67, 2.7506
68, 2.6109
69, 2.5755
70, 2.7256
71, 2.5915
72, 2.5352
73, 2.6197
74, 2.5691
75, 2.571
76, 2.6011
77, 2.6283
78, 2.6406
79, 2.7429
80, 2.6896
81, 2.5969
82, 2.581
83, 2.5849
84, 2.5005
85, 2.4635
86, 2.42
87, 2.4796
88, 2.4574
89, 2.4455
90, 2.4189
91, 2.4778
92, 2.4556
93, 2.412
94, 2.4394
95, 2.439
96, 2.4419
97, 2.4554
98, 2.5699
99, 2.6578
100, 2.6399
101, 2.6235
102, 2.5844
103, 2.5781
104, 2.5504
105, 2.534
106, 2.448
107, 2.4586
108, 2.4378
109, 2.4234
110, 2.4448
111, 2.4038
112, 2.4371
113, 2.3861
114, 2.4245
115, 2.423
116, 2.4056
117, 2.4423
118, 2.4419
119, 2.4672
120, 2.5124
121, 2.5022
122, 2.5567
123, 2.5645
124, 2.5133
125, 2.567
126, 2.4668
127, 2.4384
128, 2.4138
129, 2.4697
130, 2.4216
131, 2.4441
132, 2.3895
133, 2.4171
134, 2.4136
135, 2.3738
136, 2.4085
137, 2.4057
138, 2.4171
139, 2.4221
140, 2.4625
141, 2.5099
142, 2.5086
143, 2.5488
144, 2.5605
145, 2.4913
146, 2.5175
147, 2.4666
148, 2.5397
149, 2.4098
150, 2.4326
151, 2.4431
152, 2.4134
153, 2.4509
154, 2.3804
155, 2.3971
156, 2.4199
157, 2.3989
158, 2.4188
159, 2.4126
160, 2.4426
161, 2.5016
162, 2.4737
163, 2.5178
164, 2.5715
165, 2.5543
166, 2.5375
167, 2.5293
168, 2.5478
169, 2.4556
170, 2.4274
171, 2.3971
172, 2.4269
173, 2.4443
174, 2.661
175, 2.5916
176, 2.5083
177, 2.5258
178, 2.4526
179, 2.5358
180, 2.5408
181, 2.4947
182, 2.4429
183, 2.4241
184, 2.4431
185, 2.5278
186, 2.4849
187, 2.8963
188, 2.6566
189, 2.747
190, 2.677
191, 2.64
192, 2.5748
193, 2.5802
194, 2.6265
195, 2.6055
196, 2.5569
197, 2.558
198, 2.5667
199, 2.4022
200, 2.403
201, 2.3619
202, 2.3946
203, 2.3968
204, 2.3672
205, 2.3911
206, 2.3679
207, 2.3521
208, 2.4176
209, 2.3733
210, 2.3678
211, 2.444
212, 2.3726
213, 2.3864
214, 2.3733
215, 2.4305
216, 2.435
217, 2.4819
218, 2.5228
219, 2.453
220, 2.5072
221, 2.4505
222, 2.4403
223, 2.4038
224, 2.3911
225, 2.413
226, 2.3963
227, 2.3936
228, 2.3515
229, 2.3829
230, 2.3813
231, 2.391
232, 2.3778
233, 2.3798
234, 2.4557
235, 2.3497
236, 2.3568
237, 2.4642
238, 2.4344
239, 2.4579
240, 2.5064
241, 2.4634
242, 2.4432
243, 2.5661
244, 2.5628
245, 2.4891
246, 2.4057
247, 2.384
248, 2.37
249, 2.3894
250, 2.3935
251, 2.45
252, 2.3789
253, 2.4087
254, 2.4483
255, 2.3753
256, 2.3809
257, 2.4805
258, 2.431
259, 2.4318
260, 2.4591
261, 2.5071
262, 2.5151
263, 2.498
264, 2.4949
265, 2.4552
266, 2.4457
267, 2.4072
268, 2.4425
269, 2.3754
270, 2.4062
271, 2.4335
272, 2.4138
273, 2.3995
274, 2.4542
275, 2.4357
276, 2.406
277, 2.4032
278, 2.3679
279, 2.411
280, 2.3935
281, 2.4315
282, 2.4737
283, 2.475
284, 2.4944
285, 2.5172
286, 2.5183
287, 2.4728
288, 2.4964
289, 2.418
290, 2.4095
291, 2.3934
292, 2.4169
293, 2.4041
294, 2.4324
295, 2.4767
296, 2.4029
297, 2.4098
298, 2.4191
299, 2.3904
300, 2.4526
301, 2.4762
302, 2.5449
303, 2.5188
304, 2.5031
305, 2.4749
306, 2.4711
307, 2.4569
308, 2.4204
309, 2.3837
310, 2.413
311, 2.4
312, 2.3832
313, 2.394
314, 2.519
315, 2.4808
316, 2.4074
317, 2.4234
318, 2.3665
319, 2.3721
320, 2.4625
321, 2.4128
322, 2.4808
323, 2.486
324, 2.4723
325, 2.4868
326, 2.4971
327, 2.4793
328, 2.4905
329, 2.4222
330, 2.4281
331, 2.4119
332, 2.3981
333, 2.4742
334, 2.3898
335, 2.386
336, 2.4087
337, 2.3887
338, 2.4109
339, 2.488
340, 2.4396
341, 2.482
342, 2.5342
343, 2.5059
344, 2.5088
345, 2.4565
346, 2.5586
347, 2.4464
348, 2.4214
349, 2.441
350, 2.4314
351, 2.4294
352, 2.3956
353, 2.4134
354, 2.4099
355, 2.3809
356, 2.4041
357, 2.4299
358, 2.4174
359, 2.534
360, 2.5055
361, 2.4883
362, 2.543
363, 2.5232
364, 2.5077
365, 2.4737
366, 2.4399
367, 2.4627
368, 2.422
369, 2.4243
370, 2.4431
371, 2.4134
372, 2.395
373, 2.4075
374, 2.444
375, 2.4379
376, 2.3758
377, 2.4643
378, 2.464
379, 2.4888
380, 2.4839
381, 2.509
382, 2.518
383, 2.5261
384, 2.4918
385, 2.4253
386, 2.4292
387, 2.4642
388, 2.4245
389, 2.4102
390, 2.4362
391, 2.533
392, 2.5399
393, 2.4724
394, 2.452
395, 2.4542
396, 2.404
397, 2.4245
398, 2.4741
399, 2.4702
400, 2.4922
401, 2.5048
402, 2.5201
403, 2.4916
404, 2.5095
405, 2.4446
406, 2.399
407, 2.4494
408, 2.4428
409, 2.4362
410, 2.4967
411, 2.489
412, 2.5304
413, 2.468
414, 2.3766
415, 2.4639
416, 2.3838
417, 2.4768
418, 2.4353
419, 2.4752
420, 2.4764
421, 2.5072
422, 2.4852
423, 2.552
424, 2.495
425, 2.4538
426, 2.445
427, 2.3831
428, 2.3704
429, 2.4194
430, 2.4402
431, 2.4202
432, 2.5093
433, 2.416
434, 2.3849
435, 2.3816
436, 2.5052
437, 2.4427
438, 2.4814
439, 2.5536
440, 2.4673
441, 2.5298
442, 2.5263
443, 2.5021
444, 2.3933
445, 2.4108
446, 2.3813
447, 2.4434
448, 2.4484
449, 2.4504
450, 2.4425
451, 2.4149
452, 2.4373
453, 2.4222
454, 2.4459
455, 2.4446
456, 2.4557
457, 2.513
458, 2.4994
459, 2.5204
460, 2.5394
461, 2.525
462, 2.4472
463, 2.445
464, 2.4041
465, 2.4261
466, 2.4125
467, 2.4599
468, 2.4912
469, 2.4395
470, 2.5135
471, 2.5485
472, 2.4474
473, 2.4297
474, 2.4776
475, 2.4996
476, 2.5002
477, 2.5587
478, 2.5448
479, 2.5586
480, 2.569
481, 2.5034
482, 2.4484
483, 2.4157
484, 2.4145
485, 2.4538
486, 2.4064
487, 2.4161
488, 2.424
489, 2.3753
490, 2.4053
491, 2.3891
492, 2.367
493, 2.4195
494, 2.3767
495, 2.4204
496, 2.4336
497, 2.4705
498, 2.5143
499, 2.5268
