step,wall_ns,manifolds,pairs,top_y,awake
0,8335500,4495,9570,35.998295,
1,7002400,4196,9570,35.993866,
2,6857100,4142,9570,35.986713,
3,6805200,4111,9570,35.976837,
4,6860500,4100,9570,35.964233,
5,6741500,4087,9570,35.948902,
6,6747700,4079,9570,35.93085,
7,6703900,4073,9570,35.910072,
8,6774600,4066,9570,35.88657,
9,6822200,4061,9570,35.86034,
10,6768700,4053,9570,35.831387,
11,6951200,4054,9570,35.79971,
12,6784700,4056,9570,35.765305,
13,7273700,4055,9570,35.728176,
14,6898500,4060,9570,35.688324,
15,6797900,4057,9570,35.64575,
16,6817300,4055,9570,35.600445,
17,6759000,4051,9570,35.552414,
18,6754600,4049,9570,35.501663,
19,6771300,4050,9570,35.448185,
20,7661700,4829,9570,35.391983,
21,7892000,4715,9570,35.333054,
22,7805700,4565,9570,35.2714,
23,7547500,4496,9570,35.207024,
24,7416600,4419,9570,35.13992,
25,7367900,4390,9570,35.07009,
26,7540100,4353,9570,34.997536,
27,7390100,4336,9570,34.92226,
28,8032800,4982,9570,34.844257,
29,7919000,4783,9570,34.763527,
30,7930000,4670,9570,34.680073,
31,7991300,4639,9570,34.593895,
32,7794000,4573,9570,34.504993,
33,7628800,4491,9570,34.413364,
34,8091900,5031,9570,34.31901,
35,8015100,4806,9570,34.221935,
36,7884800,4646,9570,34.12213,
37,7791600,4535,9570,34.019604,
38,7695200,4502,9570,33.91435,
39,8137100,4984,9570,33.806374,
40,8329600,5009,9570,33.69567,
41,8128800,4852,9570,33.58224,
42,7986700,4753,9570,33.466087,
43,7911900,4728,9570,33.34721,
44,8648600,4996,9570,33.22561,
45,8442900,5112,9570,33.10128,
46,8346100,4923,9570,32.974224,
47,8070700,4760,9570,32.844448,
48,8277000,5001,9570,32.711945,
49,8431700,5139,9570,32.576717,
50,8494700,4996,9570,32.438763,
51,8219300,4871,9570,32.298084,
52,8482000,5093,9570,32.154682,
53,8474100,4972,9570,32.008553,
54,8354500,4792,9570,31.8597,
55,8244000,4796,9570,31.70812,
56,8325800,4911,9570,31.553818,
57,8171300,4780,9570,31.39679,
58,8106200,4734,9570,31.237036,
59,8174800,4748,9570,31.074558,
60,8170600,4704,9570,30.909355,
61,8081200,4678,9570,30.741426,
62,8254400,4666,9570,30.570772,
63,8491600,4609,9570,30.397394,
64,8092000,4623,9570,30.22129,
65,9832600,4625,9570,30.042463,
66,9734200,4579,9570,29.860909,
67,11304900,4610,9570,29.67663,
68,9738100,4550,9570,29.489626,
69,9336600,4524,9570,29.299898,
70,9675900,4535,9570,29.107445,
71,9392300,4528,9570,28.912266,
72,9181900,4533,9570,28.714361,
73,9069000,4529,9570,28.745474,
74,9006400,4530,9570,28.77165,
75,9588300,4529,9570,28.79591,
76,9593300,4524,9570,28.816788,
77,9726800,4517,9570,28.83433,
78,9206600,4520,9570,28.848581,
79,8156700,4514,9568,28.862343,
80,8091700,4519,9568,28.873486,
81,8033400,4518,9568,28.88324,
82,8051600,4518,9568,28.892859,
83,7901800,4516,9568,28.90075,
84,8058500,4517,9567,28.907646,
85,7901800,4508,9565,28.914537,
86,7942100,4519,9565,28.920815,
87,7804400,4516,9565,28.92588,
88,8043100,4518,9565,28.930962,
89,8385300,4519,9565,28.935617,
90,7984300,4514,9565,28.939785,
91,8739300,4516,9565,28.943506,
92,8457400,4512,9565,28.946703,
93,8225400,4508,9565,28.949604,
94,7957800,4522,9565,28.952375,
95,7970900,4519,9565,28.954878,
96,7967400,4521,9565,28.957104,
97,8243600,4517,9565,28.9592,
98,8600000,4515,9565,28.960983,
99,8090600,4520,9565,28.96278,
100,7947600,4521,9564,28.964386,
101,7938100,4521,9564,28.965906,
102,7935600,4521,9563,28.967402,
103,8012800,4520,9563,28.968788,
104,8194200,4522,9563,28.969984,
105,8468500,4518,9563,28.971111,
106,7928000,4521,9563,28.97221,
107,8024400,4523,9563,28.97325,
108,7891900,4515,9562,28.974203,
109,9339700,4517,9562,28.975157,
110,8884300,4516,9562,28.976004,
111,8550500,4515,9562,28.976778,
112,9666100,4519,9562,28.977486,
113,8129700,4520,9562,28.978231,
114,8029700,4520,9562,28.97893,
115,7828700,4519,9561,28.979557,
116,8021300,4526,9561,28.980162,
117,7842800,4519,9561,28.980728,
118,8062800,4521,9561,28.981266,
119,8012900,4517,9561,28.981787,
120,8304500,4523,9561,28.982262,
121,8164300,4523,9561,28.98269,
122,8324200,4521,9561,28.983118,
123,7927900,4522,9561,28.98351,
124,7964200,4518,9561,28.98387,
125,7879900,4521,9561,28.984217,
126,8028100,4521,9561,28.984558,
127,8032300,4517,9561,28.98485,
128,8026500,4522,9561,28.98514,
129,7914500,4521,9561,28.98541,
130,7957600,4519,9560,28.98568,
131,7877400,4526,9559,28.98593,
132,8018800,4524,9559,28.986149,
133,7857200,4516,9559,28.98636,
