step,wall_ns,manifolds,pairs,top_y,awake
0,10720100,4495,9570,35.998295,
1,9563700,4196,9570,35.993866,
2,9120900,4142,9570,35.986713,
3,9032200,4111,9570,35.976837,
4,9074000,4100,9570,35.964233,
5,8976000,4087,9570,35.948902,
6,9066800,4079,9570,35.93085,
7,9022200,4073,9570,35.910072,
8,9029800,4066,9570,35.88657,
9,9032000,4061,9570,35.86034,
10,8994700,4053,9570,35.831387,
11,8974400,4054,9570,35.79971,
12,8974600,4056,9570,35.765305,
13,9217600,4055,9570,35.728176,
14,9669500,4060,9570,35.688324,
15,9401900,4057,9570,35.64575,
16,9639300,4055,9570,35.600445,
17,9383500,4051,9570,35.552414,
18,9580500,4049,9570,35.501663,
19,9376000,4050,9570,35.448185,
20,10778200,4829,9570,35.391983,
21,10584700,4715,9570,35.333054,
22,10681600,4565,9570,35.2714,
23,10495000,4496,9570,35.207024,
24,11029800,4419,9570,35.13992,
25,9936900,4390,9570,35.07009,
26,9668400,4353,9570,34.997536,
27,10228600,4336,9570,34.92226,
28,11148200,4982,9570,34.844257,
29,10851400,4783,9570,34.763527,
30,10728000,4670,9570,34.680073,
31,10970600,4639,9570,34.593895,
32,10395200,4573,9570,34.504993,
33,10374500,4491,9570,34.413364,
34,11064200,5031,9570,34.31901,
35,11272500,4806,9570,34.221935,
36,10815800,4646,9570,34.12213,
37,10758400,4535,9570,34.019604,
38,10587000,4502,9570,33.91435,
39,11000700,4984,9570,33.806374,
40,11217500,5009,9570,33.69567,
41,11018500,4852,9570,33.58224,
42,10383900,4753,9570,33.466087,
43,11216000,4728,9570,33.34721,
44,11167200,4996,9570,33.22561,
45,11030500,5112,9570,33.10128,
46,10816500,4923,9570,32.974224,
47,10700800,4760,9570,32.844448,
48,10972500,5001,9570,32.711945,
49,11815300,5139,9570,32.576717,
50,11556300,4996,9570,32.438763,
51,11254300,4871,9570,32.298084,
52,11556700,5093,9570,32.154682,
53,11462600,4972,9570,32.008553,
54,10993600,4792,9570,31.8597,
55,10986000,4796,9570,31.70812,
56,11071000,4911,9570,31.553818,
57,10972500,4780,9570,31.39679,
58,10989200,4734,9570,31.237036,
59,10969200,4748,9570,31.074558,
60,11015600,4704,9570,30.909355,
61,11065700,4678,9570,30.741426,
62,11060400,4666,9570,30.570772,
63,11213600,4609,9570,30.397394,
64,11366200,4623,9570,30.22129,
65,11089000,4625,9570,30.042463,
66,10934900,4579,9570,29.860909,
67,11019400,4610,9570,29.67663,
68,10448500,4550,9570,29.489626,
69,10286700,4524,9570,29.299898,
70,11122400,4535,9570,29.107445,
71,11414100,4528,9570,28.912266,
72,11025900,4533,9570,28.714361,
73,10571500,4529,9570,28.745474,
74,10324700,4530,9570,28.77165,
75,10348600,4529,9570,28.79591,
76,10301100,4524,9570,28.816788,
77,10342100,4517,9570,28.83433,
78,10837000,4520,9570,28.848581,
79,10896800,4514,9568,28.862343,
80,11031800,4519,9568,28.873486,
81,10299000,4518,9568,28.88324,
82,10359800,4518,9568,28.892859,
83,10527700,4516,9568,28.90075,
84,10607700,4517,9567,28.907646,
85,10661400,4508,9565,28.914537,
86,10874400,4519,9565,28.920815,
87,11035000,4516,9565,28.92588,
88,10871600,4518,9565,28.930962,
89,11045700,4519,9565,28.935617,
90,10947600,4514,9565,28.939785,
91,10923600,4516,9565,28.943506,
92,11831300,4512,9565,28.946703,
93,11133800,4508,9565,28.949604,
94,11509900,4522,9565,28.952375,
95,10648200,4519,9565,28.954878,
96,11085600,4521,9565,28.957104,
97,10558400,4517,9565,28.9592,
98,10715100,4515,9565,28.960983,
99,10381200,4520,9565,28.96278,
100,10284200,4521,9564,28.964386,
101,11436100,4521,9564,28.965906,
102,10948200,4521,9563,28.967402,
103,10913000,4520,9563,28.968788,
104,10700000,4522,9563,28.969984,
105,10662400,4518,9563,28.971111,
106,10825300,4521,9563,28.97221,
107,10561900,4523,9563,28.97325,
108,10847400,4515,9562,28.974203,
109,10426600,4517,9562,28.975157,
110,10996900,4516,9562,28.976004,
111,10948200,4515,9562,28.976778,
112,10875400,4519,9562,28.977486,
113,10483700,4520,9562,28.978231,
114,10291200,4520,9562,28.97893,
115,10852400,4519,9561,28.979557,
116,12478600,4526,9561,28.980162,
117,10990900,4519,9561,28.980728,
118,11289400,4521,9561,28.981266,
119,10664500,4517,9561,28.981787,
120,10280400,4523,9561,28.982262,
121,10805300,4523,9561,28.98269,
122,12353400,4521,9561,28.983118,
123,11791800,4522,9561,28.98351,
124,10627300,4518,9561,28.98387,
125,10375600,4521,9561,28.984217,
126,10301000,4521,9561,28.984558,
127,10893600,4517,9561,28.98485,
128,10991600,4522,9561,28.98514,
129,10839900,4521,9561,28.98541,
130,10608500,4519,9560,28.98568,
131,10905500,4526,9559,28.98593,
132,10919800,4524,9559,28.986149,
133,10769000,4516,9559,28.98636,
134,10816800,4520,9559,28.98657,
135,10822600,4522,9559,28.986776,
136,10866200,4519,9559,28.986969,
137,10862200,4521,9559,28.987137,
138,11003300,4521,9559,28.9873,
139,10442800,4521,9559,28.987465,
140,10379300,4518,9559,28.987623,
141,10547200,4523,9559,28.987766,
142,11093500,4524,9559,28.987892,
143,10518000,4523,9559,28.98802,
144,10278800,4520,9559,28.988153,
145,10236600,4519,9559,28.98826,
146,10198700,4520,9559,28.988363,
147,10242800,4522,9559,28.988459,
148,10370800,4517,9559,28.988543,
149,10305600,4519,9559,28.988642,
150,10332400,4522,9559,28.98874,
151,10277600,4520,9559,28.98882,
152,10299600,4523,9559,28.988888,
153,10318600,4523,9559,28.988964,
154,10580900,4524,9559,28.989048,
155,10945600,4521,9559,28.989117,
156,10947700,4520,9559,28.989172,
157,10751600,4519,9559,28.989218,
158,10661100,4519,9559,28.98927,
159,10758800,4518,9559,28.98933,
160,10788500,4519,9559,28.989386,
161,10511100,4521,9559,28.989433,
162,10824000,4518,9559,28.989477,
163,10497200,4520,9559,28.989515,
164,11623200,4520,9559,28.989552,
165,11250100,4519,9559,28.989582,
166,11663500,4516,9559,28.989613,
167,11510900,4518,9559,28.989645,
168,11073900,4518,9559,28.989676,
169,11018100,4514,9559,28.9897,
170,10342100,4515,9559,28.989725,
171,10288700,4512,9559,28.989754,
172,10216300,4513,9559,28.98977,
173,10196600,4515,9559,28.989801,
174,10336300,4515,9559,28.989834,
175,10573600,4515,9559,28.989851,
176,10321300,4514,9559,28.989864,
177,10303500,4516,9559,28.989883,
178,10233400,4515,9559,28.989906,
179,10391100,4515,9559,28.989923,
180,10454600,4515,9559,28.98993,
181,10863200,4517,9559,28.98993,
182,10633000,4517,9559,28.98994,
183,10626300,4516,9559,28.989958,
184,10989400,4516,9559,28.98997,
185,10813200,4514,9559,28.989977,
186,10714500,4515,9559,28.98999,
187,11003900,4516,9559,28.990005,
188,10284500,4519,9559,28.990013,
189,10357200,4519,9559,28.990015,
190,10616100,4519,9559,28.990025,
191,10357100,4520,9559,28.99004,
192,10335500,4522,9559,28.990047,
193,10257900,4521,9559,28.990053,
194,10268000,4522,9559,28.990055,
195,11140100,4521,9559,28.99006,
196,10677000,4522,9559,28.99006,
197,11555700,4523,9559,28.990076,
198,11316100,4523,9559,28.990084,
199,10588200,4524,9559,28.990086,
200,10589200,4522,9559,28.990088,
201,10917400,4522,9559,28.990097,
202,10414500,4521,9559,28.99011,
203,10888600,4525,9559,28.990112,
204,10325500,4526,9559,28.990108,
205,10423900,4524,9559,28.990114,
206,10297900,4523,9559,28.99012,
207,10404000,4523,9559,28.990118,
208,10407600,4523,9559,28.990112,
209,11172200,4522,9559,28.990116,
210,11743800,4522,9559,28.990122,
211,10993600,4523,9559,28.990128,
212,10641000,4523,9559,28.990124,
213,10822900,4523,9559,28.99013,
214,11006600,4524,9559,28.990137,
215,10264300,4524,9559,28.990137,
216,10330700,4526,9559,28.990137,
217,10302800,4524,9559,28.990143,
218,10238700,4525,9559,28.990149,
219,10569700,4524,9559,28.990149,
220,10625100,4523,9559,28.990152,
221,10293200,4522,9559,28.99016,
222,10273200,4522,9559,28.990164,
223,10313800,4520,9559,28.990162,
224,10226800,4521,9559,28.99016,
225,10258800,4522,9559,28.990166,
226,10271900,4521,9559,28.990166,
227,10475900,4522,9559,28.990166,
228,10332400,4521,9559,28.990168,
229,10364200,4519,9559,28.990175,
230,10292500,4521,9559,28.990171,
231,10465300,4522,9559,28.990166,
232,11217900,4523,9559,28.990173,
233,10871300,4527,9559,28.990175,
234,10634000,4523,9559,28.990168,
235,10897600,4525,9559,28.99017,
236,10873500,4525,9559,28.990175,
237,10815700,4526,9559,28.990175,
238,10876600,4525,9559,28.990175,
239,10757000,4524,9559,28.990175,
240,10816000,4524,9559,28.990175,
241,10876500,4521,9559,28.990175,
242,10716100,4520,9559,28.990175,
243,10774500,4520,9559,28.990175,
244,10885600,4521,9559,28.990171,
245,11116500,4520,9559,28.990164,
246,10878000,4521,9559,28.990164,
