Frame, Time (ms)
0, 10.2848
1, 1.3036
2, 1.2881
3, 1.2527
4, 1.1992
5, 1.2004
6, 1.2111
7, 1.1914
8, 1.1938
9, 1.2244
10, 1.2141
11, 1.1902
12, 1.2123
13, 1.3153
14, 1.2221
15, 1.2407
16, 1.2522
17, 1.2007
18, 1.2965
19, 1.9802
20, 1.705
21, 1.8152
22, 1.9311
23, 1.9915
24, 1.7817
25, 1.718
26, 1.6139
27, 2.3493
28, 2.494
29, 3.5386
30, 3.1652
31, 2.6155
32, 2.2662
33, 2.9193
34, 3.9546
35, 4.3912
36, 3.9982
37, 3.2025
38, 3.3769
39, 4.7874
40, 4.6583
41, 4.5606
42, 3.8433
43, 4.1459
44, 5.4376
45, 4.672
46, 5.003
47, 5.2216
48, 5.6221
49, 4.3465
50, 5.1229
51, 5.2435
52, 5.734
53, 4.6389
54, 4.8029
55, 5.3208
56, 5.5836
57, 4.8512
58, 4.9954
59, 5.1318
60, 4.5384
61, 5.0734
62, 5.1379
63, 4.2733
64, 4.5213
65, 4.4336
66, 4.0373
67, 4.2384
68, 4.0811
69, 4.0414
70, 4.1785
71, 4.0403
72, 3.9048
73, 4.2565
74, 4.078
75, 4.0448
76, 3.9015
77, 3.8792
78, 3.7225
79, 3.6601
80, 3.5853
81, 3.7557
82, 3.6119
83, 3.6094
84, 3.6021
85, 3.673
86, 3.5988
87, 3.5561
88, 3.6036
89, 3.5379
90, 3.707
91, 3.7022
92, 3.6735
93, 3.7775
94, 3.7448
95, 3.7385
96, 3.5388
97, 3.4947
98, 3.6738
99, 3.5818
100, 3.5462
101, 3.5088
102, 3.5045
103, 3.5953
104, 3.4943
105, 3.4898
106, 3.5484
107, 3.7193
108, 3.6024
109, 3.5204
110, 3.4986
111, 3.5677
112, 3.4796
113, 3.494
114, 3.4625
115, 3.487
116, 3.5301
117, 3.4764
118, 3.4749
119, 3.5085
120, 3.5692
121, 3.5479
122, 3.4895
123, 3.489
124, 3.5022
125, 3.5774
126, 3.5277
127, 3.544
128, 3.5949
129, 3.5889
130, 3.5324
131, 3.6271
132, 3.5367
133, 3.4873
134, 3.658
135, 3.5363
136, 3.4785
137, 3.4947
138, 3.5985
139, 3.518
140, 3.4861
141, 3.4783
142, 3.7298
143, 3.6452
144, 3.4852
145, 3.5184
146, 3.4671
147, 3.6165
148, 3.5311
149, 3.5421
150, 3.4676
151, 3.609
152, 3.517
153, 3.5091
154, 3.4721
155, 3.4792
156, 3.5765
157, 3.636
158, 3.527
159, 3.4694
160, 3.6091
161, 3.4674
162, 3.6879
163, 3.5286
164, 3.4777
165, 3.4819
166, 3.462
167, 3.507
168, 3.457
169, 3.5027
170, 3.4655
171, 3.4548
172, 3.4874
173, 3.5735
174, 3.7653
175, 3.645
176, 3.4886
177, 3.5187
178, 3.5203
179, 3.6499
180, 3.5291
181, 3.5146
182, 3.4611
183, 3.6436
184, 3.491
185, 3.5298
186, 3.5129
187, 3.8253
188, 3.7165
189, 3.6388
190, 3.5155
191, 3.5657
192, 3.4992
193, 3.5622
194, 3.799
195, 3.7335
196, 3.5335
197, 3.5445
198, 3.5047
199, 3.7028
200, 3.5668
201, 3.4623
202, 3.4397
203, 3.4352
204, 3.5563
205, 3.5559
206, 3.4952
207, 3.4957
208, 3.4938
209, 3.5841
210, 3.4958
211, 3.4654
212, 3.5889
213, 3.4648
214, 3.6824
215, 3.4845
216, 3.4446
217, 3.5523
218, 3.5648
219, 3.5054
220, 3.4807
221, 3.4914
222, 3.562
223, 3.6136
224, 3.5629
225, 3.5341
226, 3.4626
227, 3.7262
228, 3.5283
229, 3.5112
230, 3.5151
231, 3.7398
232, 3.5166
233, 3.5612
234, 3.5891
235, 3.4701
236, 3.5692
237, 3.5149
238, 3.4868
239, 3.5022
240, 3.5641
241, 3.5302
242, 3.5645
243, 3.6148
244, 3.5557
245, 3.6864
246, 3.5074
247, 3.5315
248, 3.5822
249, 3.9113
250, 4.6496
251, 3.8809
252, 3.6219
253, 3.5913
254, 3.6085
255, 3.6111
256, 3.5635
257, 3.7081
258, 3.6304
259, 3.6854
260, 3.6565
261, 3.6025
262, 3.6912
263, 3.7416
264, 3.714
265, 3.6714
266, 3.7142
267, 3.8507
268, 3.7214
269, 3.5917
270, 3.7473
271, 3.58
272, 3.6127
273, 3.6555
274, 3.642
275, 3.5736
276, 3.5855
277, 3.5377
278, 3.5767
279, 3.6518
280, 3.6966
281, 3.5604
282, 3.6982
283, 3.646
284, 3.612
285, 3.5804
286, 3.5877
287, 3.5993
288, 3.5595
289, 3.5832
290, 3.5791
291, 3.5712
292, 3.6207
293, 3.6347
294, 3.5855
295, 3.7081
296, 3.7221
297, 3.6821
298, 3.6078
299, 3.5851
300, 3.6162
301, 3.5838
302, 3.7351
303, 3.6518
304, 3.6159
305, 3.734
306, 3.6206
307, 3.6336
308, 3.6146
309, 3.622
310, 3.6011
311, 3.7465
312, 3.5806
313, 3.6812
314, 3.805
315, 3.6505
316, 3.7655
317, 3.7078
318, 3.7129
319, 3.7548
320, 3.6318
321, 3.6114
322, 3.7134
323, 3.5976
324, 3.6396
325, 3.5956
326, 3.6814
327, 3.638
328, 3.5871
329, 3.587
330, 3.5998
331, 3.6799
