step,wall_ns,manifolds,pairs,top_y,awake
0,8523100,4495,9570,35.998295,
1,7050000,4196,9570,35.993866,
2,6825400,4142,9570,35.986713,
3,6739300,4111,9570,35.976837,
4,6849700,4100,9570,35.964233,
5,6769700,4087,9570,35.948902,
6,6804700,4079,9570,35.93085,
7,6732300,4073,9570,35.910072,
8,6782400,4066,9570,35.88657,
9,6765200,4061,9570,35.86034,
10,6787600,4053,9570,35.831387,
11,6924400,4054,9570,35.79971,
12,6822000,4056,9570,35.765305,
13,6763500,4055,9570,35.728176,
14,6868500,4060,9570,35.688324,
15,6825400,4057,9570,35.64575,
16,6797600,4055,9570,35.600445,
17,6749100,4051,9570,35.552414,
18,6855600,4049,9570,35.501663,
19,6799200,4050,9570,35.448185,
20,7591400,4829,9570,35.391983,
21,7906100,4715,9570,35.333054,
22,7560700,4565,9570,35.2714,
23,7551100,4496,9570,35.207024,
24,7316700,4419,9570,35.13992,
25,7385600,4390,9570,35.07009,
26,7229100,4353,9570,34.997536,
27,7268400,4336,9570,34.92226,
28,7846000,4982,9570,34.844257,
29,7819100,4783,9570,34.763527,
30,7693500,4670,9570,34.680073,
31,7716200,4639,9570,34.593895,
32,7577400,4573,9570,34.504993,
33,8386400,4491,9570,34.413364,
34,8958300,5031,9570,34.31901,
35,8255800,4806,9570,34.221935,
36,8641300,4646,9570,34.12213,
37,7971100,4535,9570,34.019604,
38,7689400,4502,9570,33.91435,
39,8077900,4984,9570,33.806374,
40,8463500,5009,9570,33.69567,
41,8165700,4852,9570,33.58224,
42,7934100,4753,9570,33.466087,
43,7951700,4728,9570,33.34721,
44,8236300,4996,9570,33.22561,
45,8338000,5112,9570,33.10128,
46,8315500,4923,9570,32.974224,
47,8004800,4760,9570,32.844448,
48,8189000,5001,9570,32.711945,
49,8332400,5139,9570,32.576717,
50,8194600,4996,9570,32.438763,
51,8131200,4871,9570,32.298084,
52,8439200,5093,9570,32.154682,
53,8423500,4972,9570,32.008553,
54,8072800,4792,9570,31.8597,
55,8082000,4796,9570,31.70812,
56,8356100,4911,9570,31.553818,
57,8110000,4780,9570,31.39679,
58,8073400,4734,9570,31.237036,
59,8277900,4748,9570,31.074558,
60,8132600,4704,9570,30.909355,
61,8012700,4678,9570,30.741426,
62,8005600,4666,9570,30.570772,
63,8008400,4609,9570,30.397394,
64,8065300,4623,9570,30.22129,
65,7996900,4625,9570,30.042463,
66,7926800,4579,9570,29.860909,
67,7936900,4610,9570,29.67663,
68,7892600,4550,9570,29.489626,
69,7790000,4524,9570,29.299898,
70,7885500,4535,9570,29.107445,
71,7874800,4528,9570,28.912266,
72,7814400,4533,9570,28.714361,
73,7934000,4529,9570,28.745474,
74,7895100,4530,9570,28.77165,
75,7782300,4529,9570,28.79591,
76,7774500,4524,9570,28.816788,
77,8071600,4517,9570,28.83433,
78,7896000,4520,9570,28.848581,
79,7813700,4514,9568,28.862343,
80,7833500,4519,9568,28.873486,
81,7837300,4518,9568,28.88324,
82,7779500,4518,9568,28.892859,
83,7835500,4516,9568,28.90075,
84,7923500,4517,9567,28.907646,
85,7834600,4508,9565,28.914537,
86,8207700,4519,9565,28.920815,
87,7817300,4516,9565,28.92588,
88,7857400,4518,9565,28.930962,
89,7829100,4519,9565,28.935617,
90,7766200,4514,9565,28.939785,
91,7781100,4516,9565,28.943506,
92,7806400,4512,9565,28.946703,
93,7829400,4508,9565,28.949604,
94,7777700,4522,9565,28.952375,
95,7792400,4519,9565,28.954878,
96,7878400,4521,9565,28.957104,
97,7877400,4517,9565,28.9592,
98,8050600,4515,9565,28.960983,
99,7895000,4520,9565,28.96278,
100,7945500,4521,9564,28.964386,
101,7864600,4521,9564,28.965906,
102,7795100,4521,9563,28.967402,
103,7789800,4520,9563,28.968788,
104,7976500,4522,9563,28.969984,
105,7920400,4518,9563,28.971111,
106,7971400,4521,9563,28.97221,
107,7979400,4523,9563,28.97325,
108,7938200,4515,9562,28.974203,
109,7995800,4517,9562,28.975157,
110,7899700,4516,9562,28.976004,
111,7857400,4515,9562,28.976778,
112,7805800,4519,9562,28.977486,
113,7813800,4520,9562,28.978231,
114,7815800,4520,9562,28.97893,
115,7819900,4519,9561,28.979557,
116,7882600,4526,9561,28.980162,
117,7831000,4519,9561,28.980728,
118,7833000,4521,9561,28.981266,
119,7826200,4517,9561,28.981787,
120,7858700,4523,9561,28.982262,
121,7845800,4523,9561,28.98269,
122,7987500,4521,9561,28.983118,
123,7954400,4522,9561,28.98351,
124,8059200,4518,9561,28.98387,
125,7885000,4521,9561,28.984217,
126,8029300,4521,9561,28.984558,
127,7865100,4517,9561,28.98485,
128,7873100,4522,9561,28.98514,
129,7833000,4521,9561,28.98541,
130,7874700,4519,9560,28.98568,
131,7868800,4526,9559,28.98593,
132,7931000,4524,9559,28.986149,
133,7843900,4516,9559,28.98636,
134,7799900,4520,9559,28.98657,
135,7779500,4522,9559,28.986776,
136,8031800,4519,9559,28.986969,
137,8060900,4521,9559,28.987137,
138,7877000,4521,9559,28.9873,
139,7815100,4521,9559,28.987465,
140,7995800,4518,9559,28.987623,
141,7885700,4523,9559,28.987766,
142,7862700,4524,9559,28.987892,
143,7771000,4523,9559,28.98802,
144,7802400,4520,9559,28.988153,
145,7812800,4519,9559,28.98826,
146,7807700,4520,9559,28.988363,
147,8209700,4522,9559,28.988459,
148,7863600,4517,9559,28.988543,
149,7923200,4519,9559,28.988642,
150,7796100,4522,9559,28.98874,
151,7795500,4520,9559,28.98882,
152,7805900,4523,9559,28.988888,
153,7811300,4523,9559,28.988964,
154,7852300,4524,9559,28.989048,
