step,wall_ns,manifolds,pairs,top_y,awake
0,10190200,4495,9570,35.998295,
1,8475400,4196,9570,35.993866,
2,7831500,4142,9570,35.986713,
3,8191600,4111,9570,35.976837,
4,7835000,4100,9570,35.964233,
5,8044800,4087,9570,35.948902,
6,7928700,4079,9570,35.93085,
7,7903100,4073,9570,35.910072,
8,7916600,4066,9570,35.88657,
9,7946400,4061,9570,35.86034,
10,7910000,4053,9570,35.831387,
11,7892600,4054,9570,35.79971,
12,7845500,4056,9570,35.765305,
13,7860900,4055,9570,35.728176,
14,7861700,4060,9570,35.688324,
15,7926600,4057,9570,35.64575,
16,7914700,4055,9570,35.600445,
17,8129700,4051,9570,35.552414,
18,7938000,4049,9570,35.501663,
19,7885800,4050,9570,35.448185,
20,9074400,4829,9570,35.391983,
21,8959200,4715,9570,35.333054,
22,8724100,4565,9570,35.2714,
23,8743100,4496,9570,35.207024,
24,9100500,4419,9570,35.13992,
25,10510500,4390,9570,35.07009,
26,9047700,4353,9570,34.997536,
27,9129500,4336,9570,34.92226,
28,9891900,4982,9570,34.844257,
29,9028900,4783,9570,34.763527,
30,8864600,4670,9570,34.680073,
31,8991800,4639,9570,34.593895,
32,8787100,4573,9570,34.504993,
33,8712500,4491,9570,34.413364,
34,9479000,5031,9570,34.31901,
35,9109900,4806,9570,34.221935,
36,8923200,4646,9570,34.12213,
37,8969700,4535,9570,34.019604,
38,8797900,4502,9570,33.91435,
39,9343100,4984,9570,33.806374,
40,9438400,5009,9570,33.69567,
41,9281100,4852,9570,33.58224,
42,9082600,4753,9570,33.466087,
43,9093500,4728,9570,33.34721,
44,9436500,4996,9570,33.22561,
45,9604600,5112,9570,33.10128,
46,9353000,4923,9570,32.974224,
47,9351800,4760,9570,32.844448,
48,9576300,5001,9570,32.711945,
49,9736700,5139,9570,32.576717,
50,9428900,4996,9570,32.438763,
51,9481500,4871,9570,32.298084,
52,9678900,5093,9570,32.154682,
53,9790600,4972,9570,32.008553,
54,9405800,4792,9570,31.8597,
55,9414000,4796,9570,31.70812,
56,9509100,4911,9570,31.553818,
57,9417800,4780,9570,31.39679,
58,9361400,4734,9570,31.237036,
59,9468400,4748,9570,31.074558,
60,9270500,4704,9570,30.909355,
61,9208700,4678,9570,30.741426,
62,9550400,4666,9570,30.570772,
63,9700700,4609,9570,30.397394,
64,9507500,4623,9570,30.22129,
65,9403800,4625,9570,30.042463,
66,9200900,4579,9570,29.860909,
67,9277800,4610,9570,29.67663,
68,9199800,4550,9570,29.489626,
69,9311300,4524,9570,29.299898,
70,9313300,4535,9570,29.107445,
71,9182100,4528,9570,28.912266,
72,9112900,4533,9570,28.714361,
73,9065700,4529,9570,28.745474,
74,9055500,4530,9570,28.77165,
75,9042200,4529,9570,28.79591,
76,9047100,4524,9570,28.816788,
77,9151100,4517,9570,28.83433,
78,9064000,4520,9570,28.848581,
79,9008000,4514,9568,28.862343,
80,9052300,4519,9568,28.873486,
81,9088700,4518,9568,28.88324,
82,9027400,4518,9568,28.892859,
83,9012900,4516,9568,28.90075,
84,9025100,4517,9567,28.907646,
85,9012100,4508,9565,28.914537,
86,9016800,4519,9565,28.920815,
87,8968200,4516,9565,28.92588,
88,8986100,4518,9565,28.930962,
89,9076600,4519,9565,28.935617,
90,9036500,4514,9565,28.939785,
91,9090600,4516,9565,28.943506,
92,9050900,4512,9565,28.946703,
93,9021900,4508,9565,28.949604,
94,9024700,4522,9565,28.952375,
95,9084400,4519,9565,28.954878,
96,9132900,4521,9565,28.957104,
97,9131700,4517,9565,28.9592,
98,9137700,4515,9565,28.960983,
99,9108100,4520,9565,28.96278,
100,9098600,4521,9564,28.964386,
101,9079700,4521,9564,28.965906,
102,9310800,4521,9563,28.967402,
103,9408000,4520,9563,28.968788,
104,9221300,4522,9563,28.969984,
105,9096700,4518,9563,28.971111,
106,9101800,4521,9563,28.97221,
107,9177700,4523,9563,28.97325,
108,9117400,4515,9562,28.974203,
109,9060300,4517,9562,28.975157,
110,9122700,4516,9562,28.976004,
111,9184500,4515,9562,28.976778,
112,9185400,4519,9562,28.977486,
113,9119500,4520,9562,28.978231,
114,9080800,4520,9562,28.97893,
115,9215600,4519,9561,28.979557,
116,9234900,4526,9561,28.980162,
117,9756600,4519,9561,28.980728,
118,9917300,4521,9561,28.981266,
119,9462800,4517,9561,28.981787,
120,9372400,4523,9561,28.982262,
121,9216100,4523,9561,28.98269,
122,9224500,4521,9561,28.983118,
123,9233300,4522,9561,28.98351,
124,9254900,4518,9561,28.98387,
125,9163500,4521,9561,28.984217,
126,9136600,4521,9561,28.984558,
127,9341500,4517,9561,28.98485,
128,9327600,4522,9561,28.98514,
129,9349200,4521,9561,28.98541,
130,9308000,4519,9560,28.98568,
131,9278700,4526,9559,28.98593,
132,9770700,4524,9559,28.986149,
133,14516400,4516,9559,28.98636,
134,13788000,4520,9559,28.98657,
135,9923000,4522,9559,28.986776,
136,9363900,4519,9559,28.986969,
137,9183100,4521,9559,28.987137,
138,9114700,4521,9559,28.9873,
139,9142200,4521,9559,28.987465,
140,9133000,4518,9559,28.987623,
141,9079800,4523,9559,28.987766,
142,9918800,4524,9559,28.987892,
143,10162800,4523,9559,28.98802,
144,10455700,4520,9559,28.988153,
145,9528300,4519,9559,28.98826,
146,9116900,4520,9559,28.988363,
147,9065300,4522,9559,28.988459,
148,9045100,4517,9559,28.988543,
149,9091600,4519,9559,28.988642,
150,9147200,4522,9559,28.98874,
151,9129200,4520,9559,28.98882,
152,9138300,4523,9559,28.988888,
153,9293300,4523,9559,28.988964,
154,9121400,4524,9559,28.989048,
155,9084400,4521,9559,28.989117,
156,9468200,4520,9559,28.989172,
157,9232700,4519,9559,28.989218,
158,9323300,4519,9559,28.98927,
159,9190000,4518,9559,28.98933,
160,9219700,4519,9559,28.989386,
161,9201600,4521,9559,28.989433,
162,9112600,4518,9559,28.989477,
163,9122100,4520,9559,28.989515,
164,9109700,4520,9559,28.989552,
165,9098200,4519,9559,28.989582,
166,9021800,4516,9559,28.989613,
167,9624300,4518,9559,28.989645,
168,9114100,4518,9559,28.989676,
169,9066900,4514,9559,28.9897,
170,9154700,4515,9559,28.989725,
171,9243000,4512,9559,28.989754,
172,9288000,4513,9559,28.98977,
173,9346900,4515,9559,28.989801,
174,9252500,4515,9559,28.989834,
175,9295400,4515,9559,28.989851,
176,9317900,4514,9559,28.989864,
177,9353100,4516,9559,28.989883,
178,9377600,4515,9559,28.989906,
179,9408900,4515,9559,28.989923,
180,9274600,4515,9559,28.98993,
181,9128100,4517,9559,28.98993,
182,9121700,4517,9559,28.98994,
183,9047600,4516,9559,28.989958,
184,9018000,4516,9559,28.98997,
185,9033100,4514,9559,28.989977,
186,9043300,4515,9559,28.98999,
187,9007000,4516,9559,28.990005,
188,9032000,4519,9559,28.990013,
189,9315700,4519,9559,28.990015,
190,9135600,4519,9559,28.990025,
191,9101400,4520,9559,28.99004,
192,9059100,4522,9559,28.990047,
193,9052100,4521,9559,28.990053,
194,9094800,4522,9559,28.990055,
195,9091000,4521,9559,28.99006,
196,9127000,4522,9559,28.99006,
197,9035000,4523,9559,28.990076,
198,9030000,4523,9559,28.990084,
199,9011000,4524,9559,28.990086,
200,9032500,4522,9559,28.990088,
201,9066800,4522,9559,28.990097,
202,9015000,4521,9559,28.99011,
203,8997600,4525,9559,28.990112,
204,8984000,4526,9559,28.990108,
205,9000300,4524,9559,28.990114,
206,9022100,4523,9559,28.99012,
207,9013400,4523,9559,28.990118,
208,8992300,4523,9559,28.990112,
209,8985400,4522,9559,28.990116,
210,9053800,4522,9559,28.990122,
211,9115500,4523,9559,28.990128,
212,9042100,4523,9559,28.990124,
213,8999600,4523,9559,28.99013,
214,9241500,4524,9559,28.990137,
215,9163500,4524,9559,28.990137,
216,9118900,4526,9559,28.990137,
217,9052600,4524,9559,28.990143,
218,9034200,4525,9559,28.990149,
219,9034700,4524,9559,28.990149,
220,9022200,4523,9559,28.990152,
221,9052000,4522,9559,28.99016,
222,9095200,4522,9559,28.990164,
223,9041900,4520,9559,28.990162,
224,9349800,4521,9559,28.99016,
225,9306900,4522,9559,28.990166,
226,9384400,4521,9559,28.990166,
227,9301800,4522,9559,28.990166,
228,9209400,4521,9559,28.990168,
229,9202900,4519,9559,28.990175,
230,9096400,4521,9559,28.990171,
231,9067300,4522,9559,28.990166,
232,9054400,4523,9559,28.990173,
233,9106600,4527,9559,28.990175,
234,9095300,4523,9559,28.990168,
235,9053800,4525,9559,28.99017,
236,9050600,4525,9559,28.990175,
237,9031700,4526,9559,28.990175,
238,9075400,4525,9559,28.990175,
239,9010100,4524,9559,28.990175,
240,9030300,4524,9559,28.990175,
241,10007700,4521,9559,28.990175,
242,10590500,4520,9559,28.990175,
243,10203900,4520,9559,28.990175,
244,10620300,4521,9559,28.990171,
245,9560400,4520,9559,28.990164,
246,9283200,4521,9559,28.990164,
247,9135000,4521,9559,28.990164,
248,9227800,4520,9559,28.990164,
249,9289000,4522,9559,28.990164,
250,9181200,4521,9559,28.990164,
251,9100500,4522,9559,28.990164,
252,9028300,4523,9559,28.990164,
253,9022200,4523,9559,28.99017,
254,9005700,4523,9559,28.99017,
255,9219600,4521,9559,28.99017,
256,9166200,4519,9559,28.99017,
257,9110300,4519,9559,28.990171,
258,9089400,4520,9559,28.990177,
259,9089400,4520,9559,28.990177,
260,9067700,4520,9559,28.990177,
261,9031500,4519,9559,28.99018,
262,9139900,4518,9559,28.990187,
263,9107200,4518,9559,28.990187,
264,9041900,4518,9559,28.990187,
265,9038200,4518,9559,28.990187,
266,9041600,4518,9559,28.990187,
267,9033500,4518,9559,28.990187,
268,9156400,4518,9559,28.990187,
269,9516700,4518,9559,28.990187,
270,9112900,4518,9559,28.990187,
271,9041900,4518,9559,28.990187,
272,9024100,4518,9559,28.990187,
273,8999100,4518,9559,28.990187,
274,9068900,4518,9559,28.990187,
275,9017600,4518,9559,28.990187,
276,9014900,4519,9559,28.990183,
277,9022100,4518,9559,28.990183,
278,9014300,4518,9559,28.990183,
279,9037800,4519,9559,28.990183,
280,9016200,4518,9559,28.990183,
281,9005900,4520,9559,28.990183,
282,9015300,4520,9559,28.990185,
283,9017900,4518,9559,28.990185,
284,9076000,4518,9559,28.990185,
285,9005600,4519,9559,28.990185,
286,9019000,4520,9559,28.990185,
287,9033500,4519,9559,28.990185,
288,9062800,4520,9559,28.990185,
289,9030000,4518,9559,28.990185,
290,9115500,4517,9559,28.99019,
291,9009800,4517,9559,28.99019,
292,8977800,4519,9559,28.99019,
293,8984500,4517,9559,28.990187,
294,8998200,4517,9559,28.990185,
295,8996300,4516,9559,28.990192,
296,9019100,4516,9559,28.990198,
297,9077500,4515,9559,28.990198,
298,9167000,4515,9559,28.990196,
299,9117600,4515,9559,28.990194,
300,9015100,4515,9559,28.990194,
301,8975800,4515,9559,28.990194,
302,8983300,4515,9559,28.990194,
303,8987000,4516,9559,28.990194,
304,9000400,4515,9559,28.990194,
305,9036400,4517,9559,28.990194,
306,8975400,4517,9559,28.990194,
307,8975000,4517,9559,28.990194,
308,8983700,4516,9559,28.990194,
309,9001500,4516,9559,28.990194,
310,9034600,4516,9559,28.990194,
311,9144900,4516,9559,28.990194,
312,9034900,4515,9559,28.990194,
313,8985000,4515,9559,28.990194,
314,9083100,4515,9559,28.990194,
315,8980000,4517,9559,28.990194,
316,9003200,4515,9559,28.990194,
317,8968300,4517,9559,28.990194,
318,8948800,4516,9559,28.990192,
319,9017100,4516,9559,28.99019,
320,8981200,4515,9559,28.990196,
321,9067300,4515,9559,28.990198,
322,9021900,4517,9559,28.990198,
323,9020800,4517,9559,28.990198,
324,9013200,4517,9559,28.990198,
325,8999900,4516,9559,28.990194,
326,8995500,4516,9559,28.990189,
327,9022700,4516,9559,28.990189,
328,8996200,4515,9559,28.990189,
329,8978400,4514,9559,28.990189,
330,8992500,4515,9559,28.990189,
331,9019700,4513,9559,28.990189,
332,9127200,4513,9559,28.990189,
333,9093800,4512,9559,28.990185,
334,9001300,4513,9559,28.990185,
335,9225600,4514,9559,28.990185,
336,9236300,4513,9559,28.990185,
337,9411500,4516,9559,28.990185,
338,9113100,4517,9559,28.990185,
339,8992400,4518,9559,28.990185,
340,9058000,4517,9559,28.990185,
341,9534300,4517,9559,28.990185,
342,9234200,4517,9559,28.990185,
343,9139800,4517,9559,28.990185,
344,9075100,4517,9559,28.990185,
345,9011400,4517,9559,28.990189,
346,9005400,4517,9559,28.990189,
347,9031100,4517,9559,28.990189,
