step,wall_ns,manifolds,pairs,top_y,awake
0,9941700,4495,9570,35.998295,
1,8296300,4196,9570,35.993866,
2,7794900,4142,9570,35.986713,
3,7930800,4111,9570,35.976837,
4,8037900,4100,9570,35.964233,
5,7861400,4087,9570,35.948902,
6,7802200,4079,9570,35.93085,
7,7817600,4073,9570,35.910072,
8,7755500,4066,9570,35.88657,
9,7736800,4061,9570,35.86034,
10,7722300,4053,9570,35.831387,
11,8750200,4054,9570,35.79971,
12,8267700,4056,9570,35.765305,
13,8596500,4055,9570,35.728176,
14,8271900,4060,9570,35.688324,
15,7944200,4057,9570,35.64575,
16,7764900,4055,9570,35.600445,
17,7691900,4051,9570,35.552414,
18,7774900,4049,9570,35.501663,
19,7736500,4050,9570,35.448185,
20,8805800,4829,9570,35.391983,
21,8960300,4715,9570,35.333054,
22,9162500,4565,9570,35.2714,
23,8741600,4496,9570,35.207024,
24,8868500,4419,9570,35.13992,
25,8904600,4390,9570,35.07009,
26,8893900,4353,9570,34.997536,
27,8774600,4336,9570,34.92226,
28,9057100,4982,9570,34.844257,
29,9104000,4783,9570,34.763527,
30,8856300,4670,9570,34.680073,
31,8925500,4639,9570,34.593895,
32,8645900,4573,9570,34.504993,
33,8507400,4491,9570,34.413364,
34,9372000,5031,9570,34.31901,
35,9279100,4806,9570,34.221935,
36,9514000,4646,9570,34.12213,
37,9225400,4535,9570,34.019604,
38,8986500,4502,9570,33.91435,
39,9492300,4984,9570,33.806374,
40,9593000,5009,9570,33.69567,
41,9635800,4852,9570,33.58224,
42,9362000,4753,9570,33.466087,
43,9324700,4728,9570,33.34721,
44,9713800,4996,9570,33.22561,
45,9680700,5112,9570,33.10128,
46,9673600,4923,9570,32.974224,
47,9210400,4760,9570,32.844448,
48,9850000,5001,9570,32.711945,
49,9953000,5139,9570,32.576717,
50,9556700,4996,9570,32.438763,
51,9238300,4871,9570,32.298084,
52,9561000,5093,9570,32.154682,
53,9432900,4972,9570,32.008553,
54,9348400,4792,9570,31.8597,
55,11053900,4796,9570,31.70812,
56,11500600,4911,9570,31.553818,
57,10338900,4780,9570,31.39679,
58,9694100,4734,9570,31.237036,
59,9554100,4748,9570,31.074558,
60,9314200,4704,9570,30.909355,
61,9535100,4678,9570,30.741426,
62,9315800,4666,9570,30.570772,
63,9066400,4609,9570,30.397394,
64,9157300,4623,9570,30.22129,
65,9358800,4625,9570,30.042463,
66,9307100,4579,9570,29.860909,
67,9132600,4610,9570,29.67663,
68,9080400,4550,9570,29.489626,
69,9241300,4524,9570,29.299898,
70,9025400,4535,9570,29.107445,
71,9005600,4528,9570,28.912266,
72,8966500,4533,9570,28.714361,
73,9008500,4529,9570,28.745474,
74,8953300,4530,9570,28.77165,
75,9043700,4529,9570,28.79591,
76,9015400,4524,9570,28.816788,
77,8943100,4517,9570,28.83433,
78,9027900,4520,9570,28.848581,
79,9045400,4514,9568,28.862343,
80,9273800,4519,9568,28.873486,
81,8944900,4518,9568,28.88324,
82,8975000,4518,9568,28.892859,
83,8924500,4516,9568,28.90075,
84,8878800,4517,9567,28.907646,
85,8867800,4508,9565,28.914537,
86,8890200,4519,9565,28.920815,
87,9048900,4516,9565,28.92588,
88,8923500,4518,9565,28.930962,
89,9369800,4519,9565,28.935617,
90,9016900,4514,9565,28.939785,
91,8945100,4516,9565,28.943506,
92,8968400,4512,9565,28.946703,
93,8944000,4508,9565,28.949604,
94,9093800,4522,9565,28.952375,
95,9035400,4519,9565,28.954878,
96,9334700,4521,9565,28.957104,
97,9143400,4517,9565,28.9592,
98,9182100,4515,9565,28.960983,
99,8963100,4520,9565,28.96278,
100,8840800,4521,9564,28.964386,
