Frame, Manifolds, Points, Active Bodies, Top Y
0, 4495, 11890, 1240, 35.9972763
1, 4495, 11890, 1240, 35.9918251
2, 4495, 11890, 1240, 35.9836502
3, 4495, 11890, 1240, 35.9727516
4, 4495, 11890, 1240, 35.9591255
5, 4495, 11890, 1240, 35.9427757
6, 4495, 11890, 1240, 35.9237022
7, 4495, 11890, 1240, 35.9019012
8, 4495, 11890, 1240, 35.8773766
9, 4495, 11890, 1240, 35.8501282
10, 4495, 11890, 1240, 35.8201523
11, 4495, 11890, 1240, 35.7874527
12, 4495, 11890, 1240, 35.7520294
13, 4495, 11890, 1240, 35.7138786
14, 4495, 11890, 1240, 35.6730042
15, 4495, 11890, 1240, 35.629406
16, 4495, 11890, 1240, 35.5830803
17, 4495, 11890, 1240, 35.5340309
18, 4495, 11890, 1240, 35.482254
19, 5279, 15026, 1240, 35.4277534
20, 5279, 15026, 1240, 35.3705292
21, 5279, 15090, 1240, 35.3105774
22, 5279, 15300, 1240, 35.2479019
23, 5279, 15583, 1240, 35.1825027
24, 5279, 15678, 1240, 35.1143761
25, 5279, 15704, 1240, 35.0435257
26, 5279, 15719, 1240, 34.9699516
27, 5955, 18431, 1240, 34.8936501
28, 5955, 18664, 1240, 34.8146248
29, 5955, 19326, 1240, 34.7328758
30, 5955, 19583, 1240, 34.6483994
31, 5955, 19623, 1240, 34.5611992
32, 5955, 19641, 1240, 34.4712753
33, 6531, 21943, 1240, 34.378624
34, 6531, 22036, 1240, 34.2832489
35, 6531, 22334, 1240, 34.1851501
36, 6531, 22412, 1240, 34.0843239
37, 6531, 22439, 1240, 33.9807739
38, 7015, 24365, 1240, 33.8745003
39, 7015, 24451, 1240, 33.7654991
40, 7015, 24556, 1240, 33.6537743
41, 7015, 24641, 1240, 33.5393257
42, 7015, 24634, 1240, 33.4221497
43, 7415, 26176, 1240, 33.3022499
44, 7415, 26484, 1240, 33.1796265
45, 7415, 26557, 1240, 33.0542755
46, 7415, 26483, 1240, 32.9262009
47, 7739, 27823, 1240, 32.7954025
48, 7739, 27950, 1240, 32.6618767
49, 7739, 27970, 1240, 32.5256271
50, 7739, 27860, 1240, 32.3866539
