Frame, Manifolds, Points, Active Bodies, Top Y
0, 4495, 11890, 1240, 35.9972763
1, 4495, 11890, 1240, 35.9918251
2, 4495, 11890, 1240, 35.9836502
3, 4495, 11890, 1240, 35.9727516
4, 4495, 11890, 1240, 35.9591255
5, 4495, 11890, 1240, 35.9427757
6, 4495, 11890, 1240, 35.9237022
7, 4495, 11890, 1240, 35.9019012
8, 4495, 11890, 1240, 35.8773766
9, 4495, 11890, 1240, 35.8501282
10, 4495, 11890, 1240, 35.8201523
11, 4495, 11890, 1240, 35.7874527
12, 4495, 11890, 1240, 35.7520294
13, 4495, 11890, 1240, 35.7138786
14, 4495, 11890, 1240, 35.6730042
15, 4495, 11890, 1240, 35.629406
16, 4495, 11890, 1240, 35.5830803
17, 4495, 11890, 1240, 35.5340309
18, 4495, 11890, 1240, 35.482254
19, 5279, 15026, 1240, 35.4277534
20, 5279, 15026, 1240, 35.3705292
21, 5279, 15070, 1240, 35.3105774
22, 5279, 15223, 1240, 35.2479019
23, 5279, 15480, 1240, 35.1825027
24, 5279, 15612, 1240, 35.1143761
25, 5279, 15650, 1240, 35.0435257
26, 5279, 15660, 1240, 34.9699516
27, 5955, 18366, 1240, 34.8936501
28, 5955, 18564, 1240, 34.8146248
29, 5955, 19288, 1240, 34.7328758
30, 5955, 19484, 1240, 34.6483994
31, 5955, 19557, 1240, 34.5611992
32, 5955, 19561, 1240, 34.4712753
33, 6531, 21858, 1240, 34.378624
34, 6531, 21992, 1240, 34.2832489
35, 6531, 22235, 1240, 34.1851501
36, 6531, 22314, 1240, 34.0843239
37, 6531, 22316, 1240, 33.9807739
38, 7015, 24238, 1240, 33.8745003
39, 7015, 24401, 1240, 33.7654991
40, 7015, 24520, 1240, 33.6537743
41, 7015, 24613, 1240, 33.5393257
42, 7015, 24629, 1240, 33.4221497
43, 7415, 26193, 1240, 33.3022499
44, 7415, 26382, 1240, 33.1796265
45, 7415, 26414, 1240, 33.0542755
46, 7415, 26473, 1240, 32.9262009
47, 7739, 27756, 1240, 32.7954025
48, 7739, 27880, 1240, 32.6618767
49, 7739, 27922, 1240, 32.5256271
50, 7739, 27880, 1240, 32.3866539
