step,wall_ns,manifolds,pairs,top_y,awake
0,5368500,4495,9570,35.998295,
1,3387900,4196,9570,35.993866,
2,3303400,4142,9570,35.986713,
3,3241500,4111,9570,35.976837,
4,3206200,4100,9570,35.964233,
5,3166400,4087,9570,35.948902,
6,3225500,4079,9570,35.93085,
7,3260700,4073,9570,35.910072,
8,3216200,4066,9570,35.88657,
9,3217900,4061,9570,35.86034,
10,3206100,4053,9570,35.831387,
11,3251500,4054,9570,35.79971,
12,3195900,4056,9570,35.765305,
13,3213900,4055,9570,35.728176,
14,3207000,4060,9570,35.688324,
15,3229900,4057,9570,35.64575,
16,3279100,4055,9570,35.600445,
17,3183900,4051,9570,35.552414,
18,3238300,4049,9570,35.501663,
19,3196300,4050,9570,35.448185,
20,3924800,4829,9570,35.391983,
21,3852100,4715,9570,35.333054,
22,3707800,4565,9570,35.2714,
23,3611500,4496,9570,35.207024,
24,3541600,4419,9570,35.13992,
25,3483000,4390,9570,35.07009,
26,3536200,4353,9570,34.997536,
27,3434100,4336,9570,34.92226,
28,3955400,4982,9570,34.844257,
29,3763400,4783,9570,34.763527,
30,3728800,4670,9570,34.680073,
31,3633300,4639,9570,34.593895,
32,3683100,4573,9570,34.504993,
33,3577100,4491,9570,34.413364,
34,3940800,5031,9570,34.31901,
35,3796500,4806,9570,34.221935,
36,3771200,4646,9570,34.12213,
37,3708000,4535,9570,34.019604,
38,3554600,4502,9570,33.91435,
39,3985100,4984,9570,33.806374,
40,4071000,5009,9570,33.69567,
41,3883400,4852,9570,33.58224,
42,3830000,4753,9570,33.466087,
43,3806100,4728,9570,33.34721,
44,3926000,4996,9570,33.22561,
45,3922800,5112,9570,33.10128,
46,3830900,4923,9570,32.974224,
47,3696000,4760,9570,32.844448,
48,4011000,5001,9570,32.711945,
49,4024000,5139,9570,32.576717,
50,4047800,4996,9570,32.438763,
51,4031900,4871,9570,32.298084,
52,4398600,5093,9570,32.154682,
53,4110600,4972,9570,32.008553,
54,3747800,4792,9570,31.8597,
55,3735700,4796,9570,31.70812,
56,3909200,4911,9570,31.553818,
57,3792600,4780,9570,31.39679,
58,3761200,4734,9570,31.237036,
59,3668900,4748,9570,31.074558,
60,3709600,4704,9570,30.909355,
61,3721700,4678,9570,30.741426,
62,3617900,4666,9570,30.570772,
63,3648500,4609,9570,30.397394,
64,3741200,4623,9570,30.22129,
65,3623400,4625,9570,30.042463,
66,3624300,4579,9570,29.860909,
67,3687400,4610,9570,29.67663,
68,3532400,4550,9570,29.489626,
69,3914200,4524,9570,29.299898,
70,3736000,4535,9570,29.107445,
71,3575400,4528,9570,28.912266,
72,3592000,4533,9570,28.714361,
73,3663900,4529,9570,28.745474,
74,3589700,4530,9570,28.77165,
75,3699300,4529,9570,28.79591,
76,3546100,4524,9570,28.816788,
77,3568700,4517,9570,28.83433,
78,3639900,4520,9570,28.848581,
79,3558300,4514,9568,28.862343,
80,3631400,4519,9568,28.873486,
81,3593200,4518,9568,28.88324,
82,3582300,4518,9568,28.892859,
83,3618200,4516,9568,28.90075,
84,3546000,4517,9567,28.907646,
85,3628300,4508,9565,28.914537,
86,3697800,4519,9565,28.920815,
87,3599700,4516,9565,28.92588,
88,3671600,4518,9565,28.930962,
89,3631400,4519,9565,28.935617,
90,3756400,4514,9565,28.939785,
91,3720800,4516,9565,28.943506,
92,3591700,4512,9565,28.946703,
93,3589500,4508,9565,28.949604,
94,3667400,4522,9565,28.952375,
95,3594000,4519,9565,28.954878,
96,3647200,4521,9565,28.957104,
97,3559100,4517,9565,28.9592,
98,3553400,4515,9565,28.960983,
99,3758800,4520,9565,28.96278,
100,3570800,4521,9564,28.964386,
101,3628300,4521,9564,28.965906,
