step,wall_ns,manifolds,pairs,top_y,awake
0,283900,16,31,30.998297,
1,65100,16,31,30.993937,
2,59000,16,31,30.987455,
3,58200,16,31,30.97999,
4,64600,16,31,30.972979,
5,57700,16,31,30.966393,
6,56200,16,31,30.961182,
7,58500,16,31,30.955942,
8,54800,16,31,30.950468,
9,55300,16,31,30.945265,
10,55100,16,31,30.941706,
11,52300,16,31,30.939552,
12,53900,16,31,30.9381,
13,47300,16,31,30.937513,
14,45400,16,31,30.937351,
15,46100,16,31,30.937284,
16,45300,16,31,30.937271,
17,45200,16,31,30.93684,
18,45600,16,31,30.93567,
19,45500,16,31,30.934578,
20,45400,16,31,30.933569,
21,45700,16,31,30.93225,
22,45500,16,31,30.930666,
23,50000,16,31,30.929638,
24,46900,16,31,30.929274,
25,45400,16,31,30.929083,
26,45300,16,31,30.928932,
27,45200,16,31,30.929287,
28,44700,16,31,30.929544,
29,44900,16,31,30.929623,
30,44800,16,31,30.929613,
31,45000,16,31,30.929571,
32,44600,16,31,30.929502,
33,44000,16,31,30.92943,
34,44900,16,31,30.929382,
35,44800,16,31,30.929228,
36,45000,16,31,30.929045,
37,45900,16,31,30.928888,
38,44900,16,31,30.928791,
39,45400,16,31,30.928593,
40,44700,16,31,30.92856,
41,44900,16,31,30.928392,
42,45000,16,31,30.928114,
43,44700,16,31,30.927925,
44,44800,16,31,30.927853,
45,48100,16,31,30.927887,
46,49700,16,31,30.927992,
47,45000,16,31,30.928127,
48,44800,16,31,30.928253,
49,45100,16,31,30.928333,
50,45300,16,31,30.9281,
51,45200,16,31,30.927444,
52,45300,16,31,30.926378,
53,47100,16,31,30.925331,
54,45200,16,31,30.92499,
55,45400,16,31,30.925077,
56,44800,16,31,30.925375,
57,45000,16,31,30.925789,
58,44700,16,31,30.926228,
59,44600,16,31,30.926554,
60,45400,16,31,30.926756,
61,44700,16,31,30.926863,
62,45400,16,31,30.926922,
63,44600,16,31,30.926954,
64,44600,16,31,30.927002,
65,44500,16,31,30.92709,
66,44100,16,31,30.927208,
67,44900,16,31,30.927341,
68,44500,16,31,30.927475,
69,44500,16,31,30.927597,
70,44900,16,31,30.927702,
71,44500,16,31,30.92779,
72,44500,16,31,30.927893,
73,44500,16,31,30.928001,
74,44400,16,31,30.928091,
75,44600,16,31,30.928165,
76,44500,16,31,30.92823,
77,44300,16,31,30.928284,
78,44700,16,31,30.928331,
79,44400,16,31,30.928377,
80,44300,16,31,30.928423,
81,44300,16,31,30.928469,
82,44600,16,31,30.928514,
83,44600,16,31,30.92856,
84,44300,16,31,30.92856,
85,44500,16,31,30.928604,
86,44900,16,31,30.928648,
87,44200,16,31,30.928686,
88,44300,16,31,30.928717,
89,44500,16,31,30.928747,
90,45300,16,31,30.928692,
91,46200,16,31,30.928452,
92,45100,16,31,30.928223,
93,45200,16,31,30.927893,
94,45300,16,31,30.92736,
95,44900,16,31,30.92684,
96,44800,16,31,30.926682,
97,45200,16,31,30.926617,
98,45000,16,31,30.926464,
99,45000,16,31,30.92642,
100,44800,16,31,30.926594,
101,45000,16,31,30.92684,
102,45200,16,31,30.927086,
103,44500,16,31,30.927296,
104,44500,16,31,30.927448,
105,44500,16,31,30.92755,
106,44600,16,31,30.927608,
107,44500,16,31,30.92765,
108,44500,16,31,30.92769,
109,44600,16,31,30.927744,
110,44900,16,31,30.927816,
111,44600,16,31,30.927898,
112,44600,16,31,30.927866,
113,44700,16,31,30.927744,
114,44700,16,31,30.927547,
115,45000,16,31,30.92704,
116,44800,16,31,30.92687,
117,44700,16,31,30.926819,
118,44900,16,31,30.9267,
119,44600,16,31,30.92664,
120,44500,16,31,30.926796,
121,44700,16,31,30.927,
122,44700,16,31,30.927036,
123,44700,16,31,30.92698,
124,44700,16,31,30.926971,
125,44400,16,31,30.92701,
126,45100,16,31,30.927097,
127,44600,16,31,30.927212,
128,44900,16,31,30.927334,
129,46100,16,31,30.92745,
130,44900,16,31,30.927553,
131,44700,16,31,30.92764,
132,44800,16,31,30.927717,
133,45400,16,31,30.927736,
134,48300,16,31,30.927635,
135,46200,16,31,30.927307,
136,44900,16,31,30.927082,
137,44700,16,31,30.926966,
138,44800,16,31,30.926922,
139,44500,16,31,30.927008,
