step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,19330600,4495,9570,35.998295,,0,9,9,108,114931,5912,4970,19215669,18,159,411,1,123495,1,160,1,570260,1,2590182,1,906095,1,158083,1,14848878,1,18106,1,1354574,1,8848,4,643585,4,66081,4,4173999,4,8193583,8,12362612,108,0,0,6323,1,393259,1,2715,1,0,0,0,0,0,0,0,0,0,0,0,0,26743,1,60059,1,437617,1,43717,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1
1,17639400,4196,9570,35.993866,,0,8,8,96,894386,2315,3237,16745014,18,147,401,1,43747,1,170,1,596822,1,2551254,1,905764,1,99537,1,12528300,1,19018,1,864112,1,7946,4,606301,4,63806,4,3618058,4,7114906,8,10729727,96,0,0,5671,1,242520,1,2665,1,0,0,0,0,0,0,0,0,0,0,0,0,6493,1,31292,1,532194,1,26342,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1
2,16601600,4142,9570,35.986713,,0,8,8,96,172091,1603,6633,16429509,18,147,291,1,31072,1,261,1,616431,1,2566765,1,905795,1,94718,1,12200701,1,13477,1,755176,1,7365,4,568196,4,63536,4,3587838,4,7023935,8,10605140,96,0,0,5290,1,185147,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,33577,1,29679,1,519569,1,33136,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1
3,16486300,4111,9570,35.976837,,0,8,8,96,185606,2425,7234,16300694,18,147,170,1,31102,1,140,1,581412,1,2452338,1,905754,1,86010,1,12226282,1,17485,1,725026,1,17394,4,565711,4,66442,4,3595994,4,7089976,8,10678736,96,0,0,9769,1,150989,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,6463,1,31703,1,512375,1,30280,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1
4,16212500,4100,9570,35.964233,,0,8,8,96,125199,4128,2996,16087301,18,147,150,1,23597,1,120,1,466905,1,2328814,1,905684,1,85880,1,12252424,1,23727,1,753543,1,7906,4,566863,4,64929,4,3596756,4,7026551,8,10620310,96,0,0,5641,1,223102,1,3006,1,0,0,0,0,0,0,0,0,0,0,0,0,5311,1,22134,1,412898,1,26192,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1
5,16180800,4087,9570,35.948902,,0,8,8,96,474083,2094,5872,15706717,18,147,150,1,25370,1,90,1,464540,1,2288624,1,905694,1,85239,1,11922841,1,14168,1,707141,1,7345,4,559398,4,63376,4,3506497,4,6942163,8,10442789,96,0,0,5140,1,127212,1,2475,1,0,0,0,0,0,0,0,0,0,0,0,0,4940,1,22124,1,411636,1,25440,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1
6,16866000,4079,9570,35.93085,,0,8,8,96,596798,2014,3777,16269202,18,147,130,1,26322,1,110,1,581322,1,2262172,1,905764,1,103796,1,12367071,1,22515,1,819604,1,8016,4,598726,4,73225,4,3649330,4,7060598,8,10706150,96,0,0,5290,1,147643,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,6132,1,27174,1,516964,1,30651,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1
7,16750300,4073,9570,35.910072,,0,8,8,96,484936,2094,3236,16265364,18,147,140,1,36993,1,150,1,580921,1,2352370,1,905684,1,107864,1,12261913,1,19328,1,771168,1,16613,4,573336,4,65009,4,3597617,4,7055859,8,10650240,96,0,0,5421,1,172271,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,6393,1,27164,1,515551,1,31272,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
8,16876900,4066,9570,35.88657,,0,8,8,96,643339,1914,4128,16233561,18,147,391,1,29959,1,230,1,593746,1,2409934,1,905744,1,95479,1,12180100,1,17976,1,738744,1,7575,4,566492,4,64688,4,3590413,4,7049887,8,10636172,96,0,0,5140,1,152632,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,15962,1,29749,1,514509,1,32975,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
9,16410400,4061,9570,35.86034,,0,8,8,96,420993,2044,3116,15989407,18,147,130,1,30480,1,140,1,582634,1,2350867,1,905724,1,81992,1,12019943,1,17495,1,725497,1,7345,4,560400,4,63937,4,3562247,4,6947714,8,10506846,96,0,0,5190,1,143063,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,9880,1,27324,1,513868,1,31021,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1
