step,wall_ns,manifolds,pairs,top_y,awake
0,8441100,8555,9570,28.99835,
1,4908800,5761,9570,28.995926,
2,5477700,6723,9570,28.994566,
3,5250700,6695,9570,28.994541,
4,5296800,6672,9570,28.994545,
5,5187400,6758,9570,28.994184,
6,5423400,6793,9570,28.993921,
7,5383000,6783,9570,28.993895,
8,5302900,6772,9570,28.993822,
9,5185500,6790,9570,28.993675,
10,5511700,6786,9570,28.993578,
11,5260500,6806,9570,28.99352,
12,5237800,6806,9570,28.993486,
13,5330900,6780,9570,28.993422,
14,5821000,6784,9570,28.99337,
15,5466500,6765,9570,28.993326,
16,5305700,6760,9570,28.993288,
17,5148600,6761,9570,28.993235,
18,5311500,6734,9570,28.99321,
19,5161100,6754,9570,28.99318,
20,5217600,6753,9570,28.99314,
21,5282500,6741,9570,28.993107,
22,5419300,6739,9570,28.993093,
23,5196200,6730,9570,28.993065,
24,5249800,6730,9570,28.993042,
25,5144000,6722,9570,28.99303,
26,5172300,6733,9570,28.993017,
27,5245800,6733,9570,28.992998,
28,5235900,6715,9570,28.992983,
29,5126900,6720,9570,28.992973,
30,5762500,6719,9570,28.99296,
31,5638100,6717,9570,28.992933,
32,5368000,6716,9570,28.992924,
33,5226500,6704,9570,28.992918,
34,5274600,6697,9570,28.992907,
35,5121600,6701,9570,28.992893,
36,5285700,6705,9570,28.992886,
37,5139600,6721,9570,28.992884,
38,5179200,6725,9570,28.99288,
39,5150600,6710,9570,28.992878,
40,5213300,6708,9570,28.992876,
41,5117800,6708,9570,28.992876,
42,5269900,6700,9570,28.99287,
43,5125800,6693,9570,28.99286,
44,5131400,6701,9570,28.992851,
45,5127000,6708,9570,28.99285,
46,5232800,6706,9570,28.992847,
47,5103000,6703,9570,28.99284,
48,5250000,6704,9570,28.99284,
49,5162300,6704,9570,28.992838,
50,5174000,6707,9570,28.99283,
51,5279600,6705,9570,28.992828,
52,5267500,6714,9570,28.992826,
53,5090800,6704,9570,28.992823,
54,5377800,6700,9570,28.992823,
55,5313000,6707,9570,28.992817,
56,5177500,6699,9570,28.992815,
57,5142500,6699,9570,28.99282,
58,5161900,6707,9570,28.99282,
