step,wall_ns,manifolds,pairs,top_y,awake
0,19795200,4495,9570,35.998295,
1,17551800,4196,9570,35.993866,
2,17959900,4142,9570,35.986713,
3,17844100,4111,9570,35.976837,
4,17957600,4100,9570,35.964233,
5,17929800,4087,9570,35.948902,
6,17857800,4079,9570,35.93085,
7,17149100,4073,9570,35.910072,
8,17800900,4066,9570,35.88657,
9,17309500,4061,9570,35.86034,
10,17745400,4053,9570,35.831387,
11,18578700,4054,9570,35.79971,
12,17277800,4056,9570,35.765305,
13,18348000,4055,9570,35.728176,
14,17559400,4060,9570,35.688324,
15,17221100,4057,9570,35.64575,
16,16731000,4055,9570,35.600445,
17,16561900,4051,9570,35.552414,
18,16441500,4049,9570,35.501663,
19,16379300,4050,9570,35.448185,
20,20096300,4829,9570,35.391983,
21,19281000,4715,9570,35.333054,
22,19089900,4565,9570,35.2714,
23,18666000,4496,9570,35.207024,
24,18889700,4419,9570,35.13992,
25,18978500,4390,9570,35.07009,
26,19403000,4353,9570,34.997536,
27,18459800,4336,9570,34.92226,
28,22029000,4982,9570,34.844257,
29,20424100,4783,9570,34.763527,
30,19982100,4670,9570,34.680073,
31,19512800,4639,9570,34.593895,
32,19540100,4573,9570,34.504993,
33,19010500,4491,9570,34.413364,
34,21247900,5031,9570,34.31901,
35,19718300,4806,9570,34.221935,
36,19095100,4646,9570,34.12213,
37,18465700,4535,9570,34.019604,
38,18723400,4502,9570,33.91435,
39,20675500,4984,9570,33.806374,
40,20364000,5009,9570,33.69567,
41,19508400,4852,9570,33.58224,
42,18654500,4753,9570,33.466087,
43,19088000,4728,9570,33.34721,
44,20691800,4996,9570,33.22561,
45,20711300,5112,9570,33.10128,
46,19821400,4923,9570,32.974224,
47,19167200,4760,9570,32.844448,
48,19838700,5001,9570,32.711945,
49,20394600,5139,9570,32.576717,
50,20472100,4996,9570,32.438763,
51,19398300,4871,9570,32.298084,
52,20793600,5093,9570,32.154682,
53,20693100,4972,9570,32.008553,
54,19314700,4792,9570,31.8597,
55,19055200,4796,9570,31.70812,
56,20213500,4911,9570,31.553818,
57,19299900,4780,9570,31.39679,
58,19575100,4734,9570,31.237036,
59,19084600,4748,9570,31.074558,
60,18833800,4704,9570,30.909355,
61,19046300,4678,9570,30.741426,
62,19376800,4666,9570,30.570772,
63,18931600,4609,9570,30.397394,
64,19496100,4623,9570,30.22129,
65,19914800,4625,9570,30.042463,
66,20406300,4579,9570,29.860909,
67,20801100,4610,9570,29.67663,
68,20685400,4550,9570,29.489626,
69,20218200,4524,9570,29.299898,
70,19163400,4535,9570,29.107445,
71,19741300,4528,9570,28.912266,
72,20020500,4533,9570,28.714361,
73,19153400,4529,9570,28.745474,
74,19757100,4530,9570,28.77165,
75,20206000,4529,9570,28.79591,
76,20104200,4524,9570,28.816788,
77,20126100,4517,9570,28.83433,
78,19832900,4520,9570,28.848581,
79,20573700,4514,9568,28.862343,
80,20580400,4519,9568,28.873486,
81,20093900,4518,9568,28.88324,
82,20191600,4518,9568,28.892859,
83,20211800,4516,9568,28.90075,
84,20019200,4517,9567,28.907646,
85,20228600,4508,9565,28.914537,
86,19437000,4519,9565,28.920815,
87,19285800,4516,9565,28.92588,
88,19093600,4518,9565,28.930962,
89,19637900,4519,9565,28.935617,
90,19372800,4514,9565,28.939785,
91,19579900,4516,9565,28.943506,
92,19563500,4512,9565,28.946703,
93,20386300,4508,9565,28.949604,
94,19847700,4522,9565,28.952375,
95,19916100,4519,9565,28.954878,
96,20362000,4521,9565,28.957104,
97,19748400,4517,9565,28.9592,
98,19812300,4515,9565,28.960983,
99,20111500,4520,9565,28.96278,
100,20191300,4521,9564,28.964386,
101,20087000,4521,9564,28.965906,
102,20022700,4521,9563,28.967402,
103,20024000,4520,9563,28.968788,
104,20662500,4522,9563,28.969984,
105,20910400,4518,9563,28.971111,
106,20392600,4521,9563,28.97221,
107,20726800,4523,9563,28.97325,
108,19593000,4515,9562,28.974203,
109,19217000,4517,9562,28.975157,
110,20433400,4516,9562,28.976004,
111,19317000,4515,9562,28.976778,
112,20175000,4519,9562,28.977486,
113,20229000,4520,9562,28.978231,
114,19342600,4520,9562,28.97893,
115,19747000,4519,9561,28.979557,
116,20252300,4526,9561,28.980162,
117,19588600,4519,9561,28.980728,
118,19648100,4521,9561,28.981266,
119,19347600,4517,9561,28.981787,
120,19705700,4523,9561,28.982262,
121,20471400,4523,9561,28.98269,
122,19698900,4521,9561,28.983118,
123,19532800,4522,9561,28.98351,
124,19950400,4518,9561,28.98387,
125,19383500,4521,9561,28.984217,
126,19327500,4521,9561,28.984558,
127,20764100,4517,9561,28.98485,
128,19706900,4522,9561,28.98514,
129,19723600,4521,9561,28.98541,
130,20192700,4519,9560,28.98568,
131,19522800,4526,9559,28.98593,
132,20435400,4524,9559,28.986149,
133,19658300,4516,9559,28.98636,
134,19716000,4520,9559,28.98657,
135,20102000,4522,9559,28.986776,
136,19673700,4519,9559,28.986969,
137,20708400,4521,9559,28.987137,
138,20433000,4521,9559,28.9873,
139,19396900,4521,9559,28.987465,
140,20101200,4518,9559,28.987623,
141,19627300,4523,9559,28.987766,
142,19394500,4524,9559,28.987892,
143,19534800,4523,9559,28.98802,
144,20387900,4520,9559,28.988153,
145,20310700,4519,9559,28.98826,
146,19647900,4520,9559,28.988363,
147,21269700,4522,9559,28.988459,
148,19875000,4517,9559,28.988543,
149,20527200,4519,9559,28.988642,
150,20218300,4522,9559,28.98874,
151,20145900,4520,9559,28.98882,
152,20482800,4523,9559,28.988888,
153,20563000,4523,9559,28.988964,
154,20139700,4524,9559,28.989048,
155,20169600,4521,9559,28.989117,
156,19959100,4520,9559,28.989172,
157,19097000,4519,9559,28.989218,
158,19604100,4519,9559,28.98927,
159,20073500,4518,9559,28.98933,
160,20512000,4519,9559,28.989386,
161,19528300,4521,9559,28.989433,
162,19803600,4518,9559,28.989477,
163,19502300,4520,9559,28.989515,
164,19077300,4520,9559,28.989552,
165,19289200,4519,9559,28.989582,
166,19031800,4516,9559,28.989613,
167,19250500,4518,9559,28.989645,
168,19280700,4518,9559,28.989676,
169,19893000,4514,9559,28.9897,
170,19946200,4515,9559,28.989725,
171,21344200,4512,9559,28.989754,
172,19579600,4513,9559,28.98977,
173,20243300,4515,9559,28.989801,
174,19977500,4515,9559,28.989834,
175,19623500,4515,9559,28.989851,
176,19155300,4514,9559,28.989864,
177,19846100,4516,9559,28.989883,
178,20486300,4515,9559,28.989906,
179,20054500,4515,9559,28.989923,
180,19781100,4515,9559,28.98993,
181,20151900,4517,9559,28.98993,
182,20584700,4517,9559,28.98994,
183,19659100,4516,9559,28.989958,
184,19898400,4516,9559,28.98997,
185,19547000,4514,9559,28.989977,
186,20162600,4515,9559,28.98999,
187,20234900,4516,9559,28.990005,
188,20298500,4519,9559,28.990013,
189,19449000,4519,9559,28.990015,
190,20071100,4519,9559,28.990025,
191,19862100,4520,9559,28.99004,
192,19966600,4522,9559,28.990047,
193,20027900,4521,9559,28.990053,
194,20377200,4522,9559,28.990055,
195,20208800,4521,9559,28.99006,
196,20256000,4522,9559,28.99006,
197,20258900,4523,9559,28.990076,
198,20345100,4523,9559,28.990084,
199,19499000,4524,9559,28.990086,
200,19204200,4522,9559,28.990088,
201,19143100,4522,9559,28.990097,
202,19551000,4521,9559,28.99011,
203,19244900,4525,9559,28.990112,
204,19348700,4526,9559,28.990108,
205,19895000,4524,9559,28.990114,
206,20648300,4523,9559,28.99012,
207,19496100,4523,9559,28.990118,
208,19598200,4523,9559,28.990112,
209,19015800,4522,9559,28.990116,
210,19054800,4522,9559,28.990122,
211,19062900,4523,9559,28.990128,
212,19470500,4523,9559,28.990124,
213,20352500,4523,9559,28.99013,
214,19094600,4524,9559,28.990137,
215,19105500,4524,9559,28.990137,
216,19551700,4526,9559,28.990137,
217,19290200,4524,9559,28.990143,
218,19885100,4525,9559,28.990149,
219,19789200,4524,9559,28.990149,
220,19790100,4523,9559,28.990152,
221,20136800,4522,9559,28.99016,
222,19277600,4522,9559,28.990164,
223,19543400,4520,9559,28.990162,
224,19774300,4521,9559,28.99016,
225,20054400,4522,9559,28.990166,
226,19712400,4521,9559,28.990166,
227,19226800,4522,9559,28.990166,
228,19242000,4521,9559,28.990168,
229,19544600,4519,9559,28.990175,
230,20453100,4521,9559,28.990171,
231,19651100,4522,9559,28.990166,
232,20664300,4523,9559,28.990173,
233,19929000,4527,9559,28.990175,
234,19862900,4523,9559,28.990168,
235,19904800,4525,9559,28.99017,
236,19794000,4525,9559,28.990175,
237,20060800,4526,9559,28.990175,
238,19380500,4525,9559,28.990175,
239,19762700,4524,9559,28.990175,
240,19582900,4524,9559,28.990175,
241,19650800,4521,9559,28.990175,
242,20055400,4520,9559,28.990175,
243,20157700,4520,9559,28.990175,
244,20555400,4521,9559,28.990171,
245,20073900,4520,9559,28.990164,
246,20426600,4521,9559,28.990164,
247,19320100,4521,9559,28.990164,
248,19819000,4520,9559,28.990164,
249,19853400,4522,9559,28.990164,
250,19063700,4521,9559,28.990164,
251,19157900,4522,9559,28.990164,
252,19039800,4523,9559,28.990164,
253,19967000,4523,9559,28.99017,
254,19507200,4523,9559,28.99017,
255,19616200,4521,9559,28.99017,
256,19069000,4519,9559,28.99017,
257,20012700,4519,9559,28.990171,
258,19957300,4520,9559,28.990177,
259,20140700,4520,9559,28.990177,
260,19932900,4520,9559,28.990177,
261,19220700,4519,9559,28.99018,
262,19210100,4518,9559,28.990187,
263,19416500,4518,9559,28.990187,
264,20247700,4518,9559,28.990187,
265,18944500,4518,9559,28.990187,
266,18876600,4518,9559,28.990187,
267,19549800,4518,9559,28.990187,
268,19240900,4518,9559,28.990187,
269,19816800,4518,9559,28.990187,
270,19908400,4518,9559,28.990187,
271,19880100,4518,9559,28.990187,
272,19642400,4518,9559,28.990187,
273,19492800,4518,9559,28.990187,
274,19833200,4518,9559,28.990187,
275,20153200,4518,9559,28.990187,
276,20418100,4519,9559,28.990183,
277,19550300,4518,9559,28.990183,
278,18747200,4518,9559,28.990183,
279,19783800,4519,9559,28.990183,
280,20017900,4518,9559,28.990183,
281,20077800,4520,9559,28.990183,
282,19634800,4520,9559,28.990185,
283,19629400,4518,9559,28.990185,
284,18861600,4518,9559,28.990185,
285,18954400,4519,9559,28.990185,
286,18941000,4520,9559,28.990185,
287,19212200,4519,9559,28.990185,
288,19630700,4520,9559,28.990185,
289,19742400,4518,9559,28.990185,
290,18958300,4517,9559,28.99019,
291,19549300,4517,9559,28.99019,
292,21330300,4519,9559,28.99019,
293,20930400,4517,9559,28.990187,
294,19830400,4517,9559,28.990185,
295,20166600,4516,9559,28.990192,
296,20342800,4516,9559,28.990198,
297,20539600,4515,9559,28.990198,
298,20990100,4515,9559,28.990196,
299,20166800,4515,9559,28.990194,
300,19982500,4515,9559,28.990194,
301,20561200,4515,9559,28.990194,
302,20332500,4515,9559,28.990194,
303,20149000,4516,9559,28.990194,
304,20627900,4515,9559,28.990194,
305,21579800,4517,9559,28.990194,
306,20945300,4517,9559,28.990194,
307,21822500,4517,9559,28.990194,
308,20762200,4516,9559,28.990194,
309,20976800,4516,9559,28.990194,
310,20273600,4516,9559,28.990194,
311,20459300,4516,9559,28.990194,
312,19873600,4515,9559,28.990194,
313,19228700,4515,9559,28.990194,
314,19349400,4515,9559,28.990194,
315,19678500,4517,9559,28.990194,
316,20008100,4515,9559,28.990194,
317,18891600,4517,9559,28.990194,
318,19383100,4516,9559,28.990192,
319,19655800,4516,9559,28.99019,
320,20053100,4515,9559,28.990196,
321,19241700,4515,9559,28.990198,
322,19917000,4517,9559,28.990198,
323,19639400,4517,9559,28.990198,
324,19540300,4517,9559,28.990198,
325,19895300,4516,9559,28.990194,
326,20496000,4516,9559,28.990189,
327,20348300,4516,9559,28.990189,
328,20556500,4515,9559,28.990189,
329,19467700,4514,9559,28.990189,
330,19597200,4515,9559,28.990189,
331,19990200,4513,9559,28.990189,
332,19272600,4513,9559,28.990189,
333,19720600,4512,9559,28.990185,
334,19340000,4513,9559,28.990185,
335,18615300,4514,9559,28.990185,
336,19776800,4513,9559,28.990185,
337,19562100,4516,9559,28.990185,
338,19301400,4517,9559,28.990185,
339,19411900,4518,9559,28.990185,
340,19164700,4517,9559,28.990185,
341,18985000,4517,9559,28.990185,
342,20254200,4517,9559,28.990185,
343,20127300,4517,9559,28.990185,
344,20205300,4517,9559,28.990185,
345,19555100,4517,9559,28.990189,
346,19260600,4517,9559,28.990189,
347,18566500,4517,9559,28.990189,
348,18895500,4517,9559,28.990189,
349,18817200,4516,9559,28.990189,
350,18614300,4515,9559,28.990189,
351,19228000,4516,9559,28.990189,
352,19704000,4517,9559,28.990189,
353,19241700,4518,9559,28.990189,
354,20179400,4518,9559,28.990189,
355,19075100,4519,9559,28.990189,
356,20139100,4518,9559,28.990189,
357,19834700,4519,9559,28.990189,
358,18819100,4520,9559,28.990189,
359,19735400,4521,9559,28.990189,
360,19533700,4521,9559,28.990189,
361,19046700,4521,9559,28.990189,
362,18620800,4521,9559,28.990189,
363,18383600,4521,9559,28.990189,
364,18708200,4521,9559,28.990189,
365,19575600,4521,9559,28.990189,
366,18707400,4521,9559,28.990189,
367,19236400,4521,9559,28.990189,
368,19428000,4521,9559,28.990187,
369,20014000,4520,9559,28.990185,
370,19055700,4520,9559,28.990189,
371,20448400,4520,9559,28.990189,
372,18543400,4520,9559,28.990189,
373,18624400,4520,9559,28.990189,
374,18458900,4520,9559,28.990189,
375,18548200,4520,9559,28.990189,
376,19728800,4520,9559,28.990189,
377,20012700,4520,9559,28.990189,
378,18521500,4520,9559,28.990189,
379,18312500,4520,9559,28.990189,
380,18667500,4521,9559,28.990189,
381,18312400,4521,9559,28.990189,
382,18488200,4521,9559,28.990189,
383,19504000,4521,9559,28.990189,
384,19708400,4521,9559,28.990189,
385,19128400,4521,9559,28.990189,
386,18822400,4520,9559,28.990189,
387,18501300,4520,9559,28.990189,
388,19458500,4520,9559,28.990189,
389,19676400,4520,9559,28.990189,
390,19753900,4521,9559,28.990189,
391,19467000,4521,9559,28.990189,
392,19298100,4521,9559,28.990189,
393,19791600,4521,9559,28.990189,
394,19499900,4521,9559,28.990189,
395,20360100,4520,9559,28.990189,
396,19512200,4520,9559,28.990189,
397,19735100,4520,9559,28.990189,
398,19393000,4520,9559,28.990187,
399,20149600,4519,9559,28.990181,
400,19579600,4520,9559,28.990177,
401,18902600,4520,9559,28.990183,
402,19965100,4520,9559,28.990183,
403,18589000,4520,9559,28.990175,
404,18713500,4520,9559,28.990175,
405,19246300,4520,9559,28.990175,
406,18505600,4520,9559,28.99018,
407,19111200,4519,9559,28.99018,
408,19784200,4519,9559,28.99018,
409,19657000,4518,9559,28.99018,
410,19232100,4519,9559,28.99018,
411,19183600,4519,9559,28.99018,
412,19792000,4519,9559,28.99018,
413,19695600,4519,9559,28.99018,
414,19482000,4519,9559,28.99018,
415,19592200,4519,9559,28.99018,
416,19971400,4519,9559,28.99018,
417,19714300,4519,9559,28.990177,
418,19682600,4519,9559,28.990175,
419,19544200,4519,9559,28.990168,
420,18573700,4519,9559,28.990166,
421,18684400,4520,9559,28.990166,
422,18367700,4519,9559,28.990166,
423,18365500,4519,9559,28.990166,
424,19164700,4519,9559,28.990166,
425,19808100,4518,9559,28.990166,
426,19736500,4520,9559,28.990166,
427,19028800,4519,9559,28.990158,
428,18457300,4519,9559,28.990158,
429,18890100,4519,9559,28.990156,
430,18445800,4518,9559,28.990152,
431,18439900,4518,9559,28.990156,
432,18367900,4518,9559,28.990158,
433,19715400,4518,9559,28.990156,
434,19464700,4518,9559,28.990156,
435,19142600,4519,9559,28.990156,
436,18743800,4519,9559,28.990156,
437,19739300,4519,9559,28.990156,
438,19687000,4519,9559,28.990156,
439,19706000,4520,9559,28.990156,
440,19184200,4521,9559,28.990154,
441,19093200,4521,9559,28.990154,
442,19810300,4522,9559,28.990156,
443,19267500,4523,9559,28.990156,
444,19275000,4524,9559,28.990156,
445,19493000,4523,9559,28.990156,
446,19069100,4522,9559,28.990156,
447,19712600,4523,9559,28.990156,
448,19693000,4523,9559,28.990156,
449,19413100,4522,9559,28.990156,
450,19997400,4522,9559,28.990156,
451,19556900,4523,9559,28.990152,
452,18457500,4523,9559,28.99015,
453,19199200,4522,9559,28.990156,
454,19720500,4522,9559,28.990156,
455,19582200,4521,9559,28.990156,
456,19844900,4522,9559,28.990152,
457,20051300,4522,9559,28.990152,
458,19047800,4521,9559,28.990152,
459,19468700,4523,9559,28.990152,
460,19023500,4522,9559,28.990152,
461,18630000,4521,9559,28.990152,
462,18829900,4522,9559,28.990152,
463,18878800,4522,9559,28.990152,
464,19005300,4521,9559,28.990152,
465,20147200,4523,9559,28.990152,
466,19976400,4523,9559,28.990147,
467,20291000,4523,9559,28.990145,
468,19540300,4523,9559,28.990145,
469,19874000,4523,9559,28.990139,
470,19407500,4522,9559,28.990139,
471,18589400,4521,9559,28.990147,
472,18642500,4521,9559,28.990149,
473,18897900,4520,9559,28.990149,
474,19283000,4520,9559,28.990149,
475,18477400,4519,9559,28.990149,
476,19182000,4519,9559,28.990149,
477,19816800,4519,9559,28.990149,
478,20309700,4519,9559,28.990145,
479,19466500,4518,9559,28.99014,
480,18397100,4517,9559,28.99014,
481,18608600,4516,9559,28.99014,
482,19113000,4516,9559,28.99014,
483,18611400,4516,9559,28.99014,
484,19057400,4515,9559,28.99014,
485,19418200,4516,9559,28.99014,
486,19432300,4514,9559,28.99014,
487,18537700,4514,9559,28.990133,
488,18775700,4514,9559,28.990128,
489,18536800,4513,9559,28.990131,
490,18631500,4513,9559,28.990131,
491,19512700,4514,9559,28.990131,
492,19190600,4514,9559,28.990131,
493,19021400,4514,9559,28.990131,
494,18487500,4513,9559,28.99013,
495,18539900,4514,9559,28.990126,
496,18693400,4514,9559,28.990126,
497,19602300,4515,9559,28.990126,
498,19334200,4514,9559,28.990126,
499,18456700,4515,9559,28.990126,
