step,wall_ns,manifolds,pairs,top_y,awake
0,10721700,4495,9570,35.998295,
1,9217700,4196,9570,35.993866,
2,8915800,4142,9570,35.986713,
3,8898300,4111,9570,35.976837,
4,8991800,4100,9570,35.964233,
5,9055600,4087,9570,35.948902,
6,9282200,4079,9570,35.93085,
7,8938900,4073,9570,35.910072,
8,9723100,4066,9570,35.88657,
9,9435100,4061,9570,35.86034,
10,8961800,4053,9570,35.831387,
11,8886400,4054,9570,35.79971,
12,9500500,4056,9570,35.765305,
13,9616200,4055,9570,35.728176,
14,9023500,4060,9570,35.688324,
15,8905400,4057,9570,35.64575,
16,8780800,4055,9570,35.600445,
17,8896100,4051,9570,35.552414,
18,8795800,4049,9570,35.501663,
19,8822600,4050,9570,35.448185,
20,11023700,4829,9570,35.391983,
21,11528100,4715,9570,35.333054,
22,10219100,4565,9570,35.2714,
23,9719900,4496,9570,35.207024,
24,10194000,4419,9570,35.13992,
25,10730200,4390,9570,35.07009,
26,9443700,4353,9570,34.997536,
27,9653500,4336,9570,34.92226,
28,10771600,4982,9570,34.844257,
29,10378500,4783,9570,34.763527,
30,10462900,4670,9570,34.680073,
31,10031800,4639,9570,34.593895,
32,10118400,4573,9570,34.504993,
33,10446000,4491,9570,34.413364,
34,10727900,5031,9570,34.31901,
35,11263200,4806,9570,34.221935,
36,11057900,4646,9570,34.12213,
37,11016500,4535,9570,34.019604,
38,10823100,4502,9570,33.91435,
39,11370900,4984,9570,33.806374,
40,10856700,5009,9570,33.69567,
41,10443400,4852,9570,33.58224,
42,10480200,4753,9570,33.466087,
43,10418500,4728,9570,33.34721,
44,11754800,4996,9570,33.22561,
45,11412000,5112,9570,33.10128,
46,10706500,4923,9570,32.974224,
47,10524900,4760,9570,32.844448,
48,11015400,5001,9570,32.711945,
49,11583500,5139,9570,32.576717,
50,11329500,4996,9570,32.438763,
51,11486000,4871,9570,32.298084,
52,10988400,5093,9570,32.154682,
53,12032700,4972,9570,32.008553,
54,11461500,4792,9570,31.8597,
55,11264300,4796,9570,31.70812,
56,10999800,4911,9570,31.553818,
57,10856400,4780,9570,31.39679,
58,11688300,4734,9570,31.237036,
59,11411300,4748,9570,31.074558,
60,10641700,4704,9570,30.909355,
61,11919100,4678,9570,30.741426,
62,10835100,4666,9570,30.570772,
63,10620200,4609,9570,30.397394,
64,11249500,4623,9570,30.22129,
65,11428500,4625,9570,30.042463,
66,11112700,4579,9570,29.860909,
67,10705200,4610,9570,29.67663,
68,11491200,4550,9570,29.489626,
69,10801900,4524,9570,29.299898,
70,10773700,4535,9570,29.107445,
71,11448200,4528,9570,28.912266,
72,11041400,4533,9570,28.714361,
73,10452000,4529,9570,28.745474,
74,10730800,4530,9570,28.77165,
75,10980300,4529,9570,28.79591,
76,10739200,4524,9570,28.816788,
77,10852600,4517,9570,28.83433,
78,11105200,4520,9570,28.848581,
79,11405300,4514,9568,28.862343,
80,10908200,4519,9568,28.873486,
81,10653100,4518,9568,28.88324,
82,10271900,4518,9568,28.892859,
83,10319100,4516,9568,28.90075,
84,10646400,4517,9567,28.907646,
85,10548800,4508,9565,28.914537,
86,10670300,4519,9565,28.920815,
87,11421900,4516,9565,28.92588,
88,10569900,4518,9565,28.930962,
89,10858200,4519,9565,28.935617,
90,10653200,4514,9565,28.939785,
91,10387500,4516,9565,28.943506,
92,10231800,4512,9565,28.946703,
93,10159600,4508,9565,28.949604,
94,10483000,4522,9565,28.952375,
95,10243900,4519,9565,28.954878,
96,10276400,4521,9565,28.957104,
97,10354600,4517,9565,28.9592,
98,10274200,4515,9565,28.960983,
99,10997600,4520,9565,28.96278,
100,11013800,4521,9564,28.964386,
101,10515800,4521,9564,28.965906,
102,10443200,4521,9563,28.967402,
103,10825200,4520,9563,28.968788,
104,10425700,4522,9563,28.969984,
105,10988800,4518,9563,28.971111,
106,10896500,4521,9563,28.97221,
107,10788800,4523,9563,28.97325,
108,10581400,4515,9562,28.974203,
109,12584600,4517,9562,28.975157,
110,10512700,4516,9562,28.976004,
111,10886300,4515,9562,28.976778,
112,10992300,4519,9562,28.977486,
113,12248500,4520,9562,28.978231,
114,12991000,4520,9562,28.97893,
115,11887000,4519,9561,28.979557,
116,11162400,4526,9561,28.980162,
117,11709100,4519,9561,28.980728,
118,11214300,4521,9561,28.981266,
119,10777500,4517,9561,28.981787,
120,10875600,4523,9561,28.982262,
121,11784000,4523,9561,28.98269,
122,11558700,4521,9561,28.983118,
123,10625900,4522,9561,28.98351,
124,10289600,4518,9561,28.98387,
125,10152700,4521,9561,28.984217,
126,10180500,4521,9561,28.984558,
127,10443600,4517,9561,28.98485,
128,11247400,4522,9561,28.98514,
129,10628300,4521,9561,28.98541,
130,10155900,4519,9560,28.98568,
