step,wall_ns,manifolds,pairs,top_y,awake
0,249300,16,31,30.998297,
1,64900,16,31,30.993937,
2,49700,16,31,30.987455,
3,47800,16,31,30.97999,
4,47900,16,31,30.972979,
5,48100,16,31,30.966393,
6,47300,16,31,30.961182,
7,48900,16,31,30.955942,
8,46800,16,31,30.950468,
9,46600,16,31,30.945265,
10,45900,16,31,30.941706,
11,45800,16,31,30.939552,
12,45100,16,31,30.9381,
13,45300,16,31,30.937513,
14,45800,16,31,30.937351,
15,47300,16,31,30.937284,
16,44600,16,31,30.937271,
17,44900,16,31,30.93684,
18,45000,16,31,30.93567,
19,45100,16,31,30.934578,
20,45000,16,31,30.933569,
21,44900,16,31,30.93225,
22,44800,16,31,30.930666,
23,45100,16,31,30.929638,
24,44400,16,31,30.929274,
25,44800,16,31,30.929083,
26,44700,16,31,30.928932,
27,44500,16,31,30.929287,
28,44600,16,31,30.929544,
29,44200,16,31,30.929623,
30,44300,16,31,30.929613,
31,44400,16,31,30.929571,
32,43900,16,31,30.929502,
33,43900,16,31,30.92943,
34,44100,16,31,30.929382,
35,44000,16,31,30.929228,
36,44500,16,31,30.929045,
37,44100,16,31,30.928888,
38,47800,16,31,30.928791,
39,44800,16,31,30.928593,
40,44100,16,31,30.92856,
41,44400,16,31,30.928392,
42,44500,16,31,30.928114,
43,44100,16,31,30.927925,
44,44400,16,31,30.927853,
45,44100,16,31,30.927887,
46,44200,16,31,30.927992,
47,44400,16,31,30.928127,
48,44200,16,31,30.928253,
49,44400,16,31,30.928333,
50,50300,16,31,30.9281,
51,45800,16,31,30.927444,
52,44400,16,31,30.926378,
53,44600,16,31,30.925331,
54,44500,16,31,30.92499,
55,44600,16,31,30.925077,
56,44400,16,31,30.925375,
57,44100,16,31,30.925789,
58,44300,16,31,30.926228,
59,44000,16,31,30.926554,
60,44300,16,31,30.926756,
61,44100,16,31,30.926863,
62,44500,16,31,30.926922,
63,44100,16,31,30.926954,
64,44000,16,31,30.927002,
65,43900,16,31,30.92709,
66,44000,16,31,30.927208,
67,43800,16,31,30.927341,
68,44100,16,31,30.927475,
69,43800,16,31,30.927597,
70,44100,16,31,30.927702,
71,44100,16,31,30.92779,
72,43900,16,31,30.927893,
73,48100,16,31,30.928001,
74,43900,16,31,30.928091,
75,43800,16,31,30.928165,
76,43900,16,31,30.92823,
77,43800,16,31,30.928284,
78,44400,16,31,30.928331,
79,43800,16,31,30.928377,
80,43900,16,31,30.928423,
81,43900,16,31,30.928469,
82,43800,16,31,30.928514,
83,46300,16,31,30.92856,
84,43900,16,31,30.92856,
85,43800,16,31,30.928604,
86,43900,16,31,30.928648,
87,43800,16,31,30.928686,
88,43700,16,31,30.928717,
89,43800,16,31,30.928747,
90,43900,16,31,30.928692,
91,44200,16,31,30.928452,
92,44500,16,31,30.928223,
93,44600,16,31,30.927893,
94,44700,16,31,30.92736,
95,52400,16,31,30.92684,
96,46500,16,31,30.926682,
97,44600,16,31,30.926617,
98,44700,16,31,30.926464,
99,44200,16,31,30.92642,
100,44000,16,31,30.926594,
101,44300,16,31,30.92684,
102,44500,16,31,30.927086,
103,44000,16,31,30.927296,
104,43900,16,31,30.927448,
105,44000,16,31,30.92755,
106,44000,16,31,30.927608,
107,43900,16,31,30.92765,
108,43900,16,31,30.92769,
109,44200,16,31,30.927744,
110,44500,16,31,30.927816,
111,43900,16,31,30.927898,
112,44000,16,31,30.927866,
113,44300,16,31,30.927744,
114,44200,16,31,30.927547,
115,44300,16,31,30.92704,
116,44200,16,31,30.92687,
117,44200,16,31,30.926819,
118,50600,16,31,30.9267,
119,44000,16,31,30.92664,
120,44000,16,31,30.926796,
121,44100,16,31,30.927,
122,44100,16,31,30.927036,
123,44000,16,31,30.92698,
124,44200,16,31,30.926971,
125,44800,16,31,30.92701,
126,44300,16,31,30.927097,
127,44100,16,31,30.927212,
128,45500,16,31,30.927334,
129,44000,16,31,30.92745,
130,43900,16,31,30.927553,
131,43900,16,31,30.92764,
132,44000,16,31,30.927717,
133,44500,16,31,30.927736,
134,44100,16,31,30.927635,
135,44200,16,31,30.927307,
136,44000,16,31,30.927082,
137,44000,16,31,30.926966,
138,43900,16,31,30.926922,
139,44000,16,31,30.927008,
140,49300,16,31,30.927189,
141,44100,16,31,30.927387,
142,44100,16,31,30.927572,
143,43800,16,31,30.927721,
144,43700,16,31,30.92782,
145,43800,16,31,30.927883,
146,44000,16,31,30.927923,
147,43700,16,31,30.927961,
148,43800,16,31,30.92787,
149,44000,16,31,30.927685,
150,44100,16,31,30.927345,
151,44100,16,31,30.927052,
152,44300,16,31,30.926477,
153,44400,16,31,30.925793,
154,44100,16,31,30.925518,
155,43900,16,31,30.925426,
156,44000,16,31,30.92541,
157,43900,16,31,30.92561,
158,44000,16,31,30.925947,
159,43800,16,31,30.92628,
160,43800,16,31,30.926554,
161,44000,16,31,30.926764,
162,44000,16,31,30.9269,
163,43800,16,31,30.926983,
164,44000,16,31,30.927046,
165,44300,16,31,30.92711,
166,44000,16,31,30.927034,
167,43900,16,31,30.927061,
168,44000,16,31,30.927149,
169,43900,16,31,30.927221,
170,43700,16,31,30.927317,
171,43800,16,31,30.927444,
172,43800,16,31,30.92757,
173,46400,16,31,30.927683,
174,43000,16,31,30.927782,
175,42800,16,31,30.927866,
176,43000,16,31,30.927855,
177,42700,16,31,30.927813,
178,43000,16,31,30.92786,
179,42900,16,31,30.927914,
180,42800,16,31,30.927961,
181,43100,16,31,30.928022,
182,42800,16,31,30.928093,
183,43700,16,31,30.928165,
184,43600,16,31,30.928234,
185,45500,16,31,30.928297,
186,45700,16,31,30.928352,
187,43700,16,31,30.9284,
188,44300,16,31,30.928446,
189,43600,16,31,30.928492,
190,43800,16,31,30.92853,
191,43700,16,31,30.928568,
192,43700,16,31,30.928606,
193,43600,16,31,30.928644,
194,43700,16,31,30.928682,
195,43800,16,31,30.928719,
196,44000,16,31,30.92875,
197,43700,16,31,30.92878,
198,43300,16,31,30.92881,
199,42400,16,31,30.92884,
200,43600,16,31,30.928864,
201,43700,16,31,30.928886,
202,43700,16,31,30.92891,
203,43800,16,31,30.928932,
204,44200,16,31,30.928955,
205,43800,16,31,30.928978,
206,43700,16,31,30.928999,
207,43600,16,31,30.929014,
208,43600,16,31,30.92903,
209,43600,16,31,30.929045,
210,43700,16,31,30.92906,
211,43600,16,31,30.929075,
212,43800,16,31,30.92909,
213,45200,16,31,30.929106,
214,43600,16,31,30.929121,
215,43500,16,31,30.929136,
216,43500,16,31,30.929148,
217,43700,16,31,30.929155,
218,43600,16,31,30.929163,
219,42900,16,31,30.92917,
220,42800,16,31,30.929178,
221,42900,16,31,30.929186,
222,42600,16,31,30.929193,
223,42800,16,31,30.929201,
224,42800,16,31,30.929209,
225,42600,16,31,30.929216,
226,42600,16,31,30.929224,
227,42700,16,31,30.929232,
228,43000,16,31,30.92924,
229,42700,16,31,30.929247,
230,42700,16,31,30.929255,
231,42700,16,31,30.929262,
232,42800,16,31,30.92927,
233,42700,16,31,30.929277,
234,42800,16,31,30.929285,
235,42800,16,31,30.929293,
236,42900,16,31,30.929293,
237,42700,16,31,30.929293,
238,42900,16,31,30.929293,
239,42800,16,31,30.929293,
240,42700,16,31,30.929293,
241,42800,16,31,30.929293,
242,42700,16,31,30.929296,
243,42700,16,31,30.929296,
244,42900,16,31,30.929296,
245,42700,16,31,30.929302,
246,42700,16,31,30.929302,
247,42700,16,31,30.929302,
248,42700,16,31,30.929302,
249,42700,16,31,30.929302,
250,42800,16,31,30.929302,
251,42900,16,31,30.929302,
252,42700,16,31,30.929302,
253,42800,16,31,30.929302,
254,42600,16,31,30.929302,
255,42700,16,31,30.929302,
256,42800,16,31,30.929302,
257,42800,16,31,30.929302,
258,42800,16,31,30.929302,
