step,wall_ns,manifolds,pairs,top_y,awake
0,9553700,8555,9570,28.99835,
1,6213700,5761,9570,28.995926,
2,6750400,6723,9570,28.994566,
3,6644400,6695,9570,28.994541,
4,8992100,6672,9570,28.994545,
5,7399200,6758,9570,28.994184,
6,6729300,6793,9570,28.993921,
7,6671300,6783,9570,28.993895,
8,6701800,6772,9570,28.993822,
9,7073700,6790,9570,28.993675,
10,6883800,6786,9570,28.993578,
11,6842100,6806,9570,28.99352,
12,7670700,6806,9570,28.993486,
13,6938900,6780,9570,28.993422,
14,6726100,6784,9570,28.99337,
15,6747900,6765,9570,28.993326,
16,6731200,6760,9570,28.993288,
17,6586300,6761,9570,28.993235,
18,6614800,6734,9570,28.99321,
19,6566100,6754,9570,28.99318,
20,7865900,6753,9570,28.99314,
21,7886100,6741,9570,28.993107,
22,7284600,6739,9570,28.993093,
23,6992800,6730,9570,28.993065,
24,6990800,6730,9570,28.993042,
25,6784600,6722,9570,28.99303,
26,7133500,6733,9570,28.993017,
27,7065900,6733,9570,28.992998,
28,6929300,6715,9570,28.992983,
29,6837200,6720,9570,28.992973,
30,6732100,6719,9570,28.99296,
31,6725500,6717,9570,28.992933,
32,6744200,6716,9570,28.992924,
33,6680500,6704,9570,28.992918,
34,6770700,6697,9570,28.992907,
35,6670300,6701,9570,28.992893,
36,6735500,6705,9570,28.992886,
37,6671000,6721,9570,28.992884,
38,7307100,6725,9570,28.99288,
39,6805700,6710,9570,28.992878,
40,6667900,6708,9570,28.992876,
41,6632600,6708,9570,28.992876,
42,6815600,6700,9570,28.99287,
43,6730700,6693,9570,28.99286,
44,6647000,6701,9570,28.992851,
45,6808700,6708,9570,28.99285,
46,6725000,6706,9570,28.992847,
47,6632700,6703,9570,28.99284,
48,6787700,6704,9570,28.99284,
49,6713800,6704,9570,28.992838,
50,6775900,6707,9570,28.99283,
51,6620900,6705,9570,28.992828,
52,6640000,6714,9570,28.992826,
53,6592000,6704,9570,28.992823,
54,6873700,6700,9570,28.992823,
55,6791900,6707,9570,28.992817,
56,6805700,6699,9570,28.992815,
57,6656400,6699,9570,28.99282,
58,6643100,6707,9570,28.99282,
59,6621100,6702,9570,28.992815,
60,6616900,6706,9570,28.99281,
61,6615000,6701,9570,28.992811,
62,6691100,6695,9570,28.992815,
63,6662800,6694,9570,28.992807,
64,6748900,6691,9570,28.992807,
65,7446100,6698,9570,28.992807,
66,7401300,6700,9570,28.992807,
67,9044600,6693,9570,28.992805,
68,9238300,6701,9570,28.992804,
69,11466400,6699,9570,28.992804,
70,8799900,6702,9570,28.992807,
71,8605000,6703,9570,28.992807,
72,8285900,6700,9570,28.992807,
73,9368900,6694,9570,28.992807,
74,8542000,6690,9570,28.992807,
75,8618200,6685,9570,28.992804,
76,7989500,6687,9570,28.992804,
77,8001100,6684,9570,28.99281,
78,9316100,6684,9570,28.99281,
79,9136800,6685,9570,28.99281,
80,10074500,6680,9570,28.99281,
81,9093300,6679,9570,28.99281,
82,9116900,6674,9570,28.99281,
83,9085700,6676,9570,28.992811,
84,8628600,6676,9570,28.992811,
85,8389000,6667,9570,28.992811,
86,7906200,6676,9570,28.992817,
87,8403300,6672,9570,28.992817,
88,8544000,6678,9570,28.992817,
89,8840500,6678,9570,28.992817,
90,8611500,6680,9570,28.992817,
91,8697700,6683,9570,28.992815,
92,9753900,6678,9570,28.992807,
93,9384900,6674,9570,28.992805,
94,10296900,6680,9570,28.9928,
95,9352200,6674,9570,28.992796,
96,9118400,6668,9570,28.992794,
97,9775800,6672,9570,28.992796,
98,9332000,6675,9570,28.992798,
99,9125500,6676,9570,28.992798,
100,7499500,6677,9570,28.992798,
101,7126300,6675,9570,28.992796,
102,6770600,6673,9570,28.992798,
103,6729000,6669,9570,28.992802,
104,6710300,6665,9570,28.992802,
105,6606200,6665,9570,28.992802,
106,6862900,6661,9570,28.992785,
107,6652800,6657,9570,28.992767,
108,6676700,6664,9570,28.992775,
109,6604300,6665,9570,28.992783,
110,6820400,6667,9570,28.992783,
111,7126800,6669,9570,28.992788,
112,6796600,6665,9570,28.992788,
113,6683500,6672,9570,28.992786,
114,6681400,6676,9570,28.992786,
115,6590400,6674,9570,28.99279,
116,6650800,6671,9570,28.99279,
117,6567600,6675,9570,28.992794,
118,6842000,6671,9570,28.992794,
119,6589800,6674,9570,28.992794,
120,6632300,6674,9570,28.992794,
121,6584300,6677,9570,28.992794,
122,6760600,6679,9570,28.992794,
123,6660000,6679,9570,28.992794,
124,6621900,6685,9570,28.992796,
125,6579800,6684,9570,28.992796,
126,6618700,6676,9570,28.992796,
127,6567500,6678,9570,28.992796,
128,6658800,6675,9570,28.992798,
129,6710400,6679,9570,28.992798,
130,6620500,6676,9570,28.992798,
131,6569500,6680,9570,28.992798,
132,7039200,6677,9570,28.992796,
133,6651300,6674,9570,28.992796,
134,7904800,6675,9570,28.992796,
135,7316600,6676,9570,28.992796,
136,6915600,6676,9570,28.992796,
137,6607700,6673,9570,28.992796,
138,6672600,6675,9570,28.992796,
139,6682000,6677,9570,28.992796,
140,6650100,6677,9570,28.992796,
141,6624000,6679,9570,28.992796,
142,6670900,6680,9570,28.992796,
143,6612900,6681,9570,28.992796,
144,6634700,6687,9570,28.992796,
145,6553600,6682,9570,28.992796,
146,6655000,6680,9570,28.992796,
147,6594500,6681,9570,28.992796,
148,6667800,6680,9570,28.992796,
149,6699200,6676,9570,28.992796,
150,6630200,6675,9570,28.992796,
151,6568100,6673,9570,28.992796,
152,6589900,6677,9570,28.992796,
153,7475200,6678,9570,28.992796,
154,6921800,6676,9570,28.992796,
155,6621400,6675,9570,28.992796,
156,6610900,6673,9570,28.992796,
157,7121400,6676,9570,28.992796,
158,8602900,6672,9570,28.992796,
159,7836500,6672,9570,28.992796,
160,6920900,6672,9570,28.992796,
161,6717200,6672,9570,28.992796,
162,6778800,6674,9570,28.992796,
163,6584100,6674,9570,28.992796,
164,6715600,6674,9570,28.992796,
165,6607000,6677,9570,28.992796,
166,6799200,6674,9570,28.992796,
167,6608900,6672,9570,28.992796,
168,6633000,6674,9570,28.992796,
169,6567800,6675,9570,28.992796,
170,6595100,6674,9570,28.992796,
171,6534600,6674,9570,28.992796,
172,6622800,6672,9570,28.992796,
173,6522000,6673,9570,28.992796,
174,7004000,6671,9570,28.992796,
175,6590400,6671,9570,28.992796,
176,6641600,6675,9570,28.992796,
177,6578000,6671,9570,28.992796,
178,6651900,6671,9570,28.992796,
179,6557000,6674,9570,28.992796,
180,6574400,6675,9570,28.992796,
181,6682500,6672,9570,28.992796,
182,6649200,6673,9570,28.992796,
183,6737600,6671,9570,28.992796,
184,6681500,6672,9570,28.992794,
185,6634000,6671,9570,28.99279,
186,6584700,6672,9570,28.992775,
187,6500100,6668,9570,28.992775,
188,6573200,6673,9570,28.99278,
189,6547100,6670,9570,28.99278,
190,6572700,6672,9570,28.992777,
191,6543400,6672,9570,28.992777,
192,6559900,6672,9570,28.992777,
193,6576500,6673,9570,28.992779,
194,6566200,6676,9570,28.99278,
195,6562700,6674,9570,28.99278,
196,6578200,6675,9570,28.992779,
197,6544400,6675,9570,28.992773,
198,6677900,6674,9570,28.992773,
199,6510600,6673,9570,28.992773,
200,6592500,6672,9570,28.99278,
201,6598700,6673,9570,28.99278,
202,6652000,6672,9570,28.99278,
203,6516300,6674,9570,28.99278,
204,6821900,6674,9570,28.99278,
205,6713100,6677,9570,28.99278,
206,6637200,6675,9570,28.99278,
207,6531100,6678,9570,28.99278,
208,6588200,6675,9570,28.992786,
209,6531200,6676,9570,28.992786,
210,6635100,6675,9570,28.992786,
211,6561500,6678,9570,28.992786,
212,7512600,6677,9570,28.992786,
213,8190700,6674,9570,28.992786,
214,7328400,6675,9570,28.992786,
215,7013800,6675,9570,28.992786,
216,6764500,6678,9570,28.992786,
217,6615600,6677,9570,28.992786,
218,6659800,6679,9570,28.992786,
219,6588100,6676,9570,28.992786,
220,6607600,6679,9570,28.992786,
221,6537000,6673,9570,28.992786,
222,6605500,6671,9570,28.992786,
223,6547400,6670,9570,28.992786,
224,6650100,6672,9570,28.992786,
225,6560100,6674,9570,28.992786,
226,6653400,6673,9570,28.992786,
227,6552100,6671,9570,28.992786,
228,6792300,6674,9570,28.992786,
229,6607800,6674,9570,28.992786,
230,6735900,6673,9570,28.992786,
231,6664400,6673,9570,28.992786,
232,6641200,6672,9570,28.992786,
233,6547800,6676,9570,28.992786,
234,6608700,6675,9570,28.992788,
235,6896900,6678,9570,28.992788,
236,6795400,6677,9570,28.99278,
237,6631300,6677,9570,28.99278,
238,6635300,6676,9570,28.99278,
239,6555300,6676,9570,28.992777,
240,6589100,6681,9570,28.992779,
241,6569100,6678,9570,28.992779,
242,6588200,6676,9570,28.992779,
243,6545600,6676,9570,28.992779,
244,6601500,6674,9570,28.992779,
245,6566500,6674,9570,28.992779,
246,6591900,6675,9570,28.992771,
247,6628500,6675,9570,28.992779,
248,6676100,6671,9570,28.992779,
249,6636100,6671,9570,28.992779,
250,6755900,6674,9570,28.992779,
251,6592300,6671,9570,28.992786,
252,6665900,6673,9570,28.992786,
253,6547300,6675,9570,28.992786,
254,6628500,6672,9570,28.992786,
255,6545500,6672,9570,28.992786,
256,6987200,6674,9570,28.992786,
257,7021900,6673,9570,28.992786,
258,6757800,6672,9570,28.992786,
259,6670600,6672,9570,28.992786,
260,6661900,6671,9570,28.992786,
261,6589400,6670,9570,28.992786,
262,6606800,6672,9570,28.992786,
263,6550200,6670,9570,28.992786,
264,6863000,6671,9570,28.992786,
265,6694300,6670,9570,28.992786,
266,6723800,6673,9570,28.992786,
267,6612900,6673,9570,28.992786,
268,6565400,6672,9570,28.992786,
269,6556800,6673,9570,28.992786,
270,6610200,6673,9570,28.992786,
271,6605700,6673,9570,28.992786,
272,6611400,6675,9570,28.992786,
273,6546800,6673,9570,28.992786,
274,6584400,6676,9570,28.992786,
275,6483000,6674,9570,28.992786,
276,6683000,6679,9570,28.992786,
277,6571000,6681,9570,28.992786,
278,6612800,6681,9570,28.992786,
279,6531300,6682,9570,28.992786,
280,6720100,6679,9570,28.992786,
281,6612000,6677,9570,28.992786,
282,6661600,6674,9570,28.992786,
283,7179400,6676,9570,28.992786,
284,6664900,6674,9570,28.992786,
285,6702600,6675,9570,28.992786,
286,6685700,6675,9570,28.992786,
287,6555900,6675,9570,28.992786,
288,6725400,6678,9570,28.992786,
289,6585200,6677,9570,28.992786,
290,6679800,6677,9570,28.992786,
291,6584500,6678,9570,28.992786,
292,6616800,6678,9570,28.992786,
293,6565600,6677,9570,28.992786,
294,6631000,6679,9570,28.992786,
295,6611600,6680,9570,28.992786,
296,6631800,6680,9570,28.992786,
297,6778900,6677,9570,28.992786,
298,6880800,6679,9570,28.992786,
299,6697900,6681,9570,28.992786,
300,6648800,6681,9570,28.992786,
301,6546300,6682,9570,28.992786,
302,7123500,6680,9570,28.992786,
303,6929500,6679,9570,28.992786,
304,6758000,6680,9570,28.992794,
305,6598200,6682,9570,28.992794,
306,6641200,6682,9570,28.992794,
307,7226300,6682,9570,28.992794,
308,7123300,6681,9570,28.992794,
309,7024800,6682,9570,28.992794,
310,6752000,6681,9570,28.992794,
311,6624200,6680,9570,28.992794,
312,6751800,6680,9570,28.992794,
313,6622100,6680,9570,28.992794,
314,6679200,6677,9570,28.992794,
315,6554200,6678,9570,28.992794,
316,6740400,6673,9570,28.992794,
317,6599800,6674,9570,28.992794,
318,6605000,6675,9570,28.992794,
319,6546500,6676,9570,28.992794,
320,6650600,6676,9570,28.992794,
321,6592200,6680,9570,28.992794,
322,6783600,6679,9570,28.992794,
323,6637200,6675,9570,28.992794,
324,6693300,6676,9570,28.992794,
325,6621000,6677,9570,28.992794,
326,6659800,6678,9570,28.992794,
327,6543100,6678,9570,28.992794,
328,6623500,6679,9570,28.992794,
329,6546600,6678,9570,28.992794,
330,6677100,6675,9570,28.992794,
331,6658200,6673,9570,28.992794,
332,6652100,6674,9570,28.992794,
333,6544400,6673,9570,28.992794,
334,6575800,6672,9570,28.992794,
335,6532800,6674,9570,28.992794,
336,6605400,6676,9570,28.992794,
337,6860700,6673,9570,28.992794,
338,7251800,6672,9570,28.992794,
339,6839500,6670,9570,28.992794,
340,6928300,6672,9570,28.992794,
341,6585000,6671,9570,28.992794,
342,6653000,6671,9570,28.992794,
343,6562700,6673,9570,28.992794,
344,6657300,6671,9570,28.992794,
345,6541400,6671,9570,28.992794,
346,6585300,6674,9570,28.992794,
347,6582900,6671,9570,28.992794,
348,6600700,6672,9570,28.992794,
349,6617800,6672,9570,28.992794,
350,6664000,6672,9570,28.992794,
351,6571300,6673,9570,28.992794,
352,6644400,6674,9570,28.992794,
353,6550000,6675,9570,28.992794,
354,6650500,6676,9570,28.992794,
355,6612800,6677,9570,28.992794,
356,6727000,6677,9570,28.992794,
357,6506900,6676,9570,28.992794,
358,6562500,6675,9570,28.992794,
359,6605300,6677,9570,28.992794,
360,6619200,6676,9570,28.992794,
361,6589500,6678,9570,28.992794,
362,6616200,6678,9570,28.992794,
363,6522100,6677,9570,28.992794,
364,6647000,6677,9570,28.992794,
365,6570000,6677,9570,28.992794,
366,6683800,6677,9570,28.992794,
367,6567900,6676,9570,28.992794,
368,6596900,6676,9570,28.992794,
369,6520500,6676,9570,28.992794,
370,6602900,6676,9570,28.992794,
371,6657900,6676,9570,28.992794,
372,6611300,6676,9570,28.992794,
373,6547500,6676,9570,28.992794,
374,6566000,6676,9570,28.992794,
375,6516700,6676,9570,28.992794,
376,6598400,6676,9570,28.992794,
377,6525600,6677,9570,28.992794,
378,6603500,6677,9570,28.992794,
379,6606400,6676,9570,28.992794,
380,6716800,6679,9570,28.992794,
381,6620800,6679,9570,28.992794,
382,6625600,6673,9570,28.992794,
383,6544800,6672,9570,28.992794,
384,6595500,6670,9570,28.992794,
385,6563600,6671,9570,28.992794,
386,6591500,6674,9570,28.992794,
387,6526600,6674,9570,28.992794,
388,6611300,6674,9570,28.992794,
389,6520800,6673,9570,28.992794,
390,7889600,6671,9570,28.992794,
391,8368800,6670,9570,28.992794,
392,7849100,6666,9570,28.992794,
393,7434200,6667,9570,28.992794,
394,6925300,6667,9570,28.992794,
395,6753900,6665,9570,28.992794,
396,6906000,6664,9570,28.992792,
397,6693300,6666,9570,28.992796,
398,6689300,6668,9570,28.992796,
399,6561300,6668,9570,28.992786,
400,6655400,6666,9570,28.992786,
401,6594900,6665,9570,28.992792,
402,6748000,6667,9570,28.992792,
403,6569600,6668,9570,28.992792,
404,6651800,6665,9570,28.992792,
405,6486000,6663,9570,28.992792,
406,6752800,6661,9570,28.992792,
407,6572400,6663,9570,28.992792,
408,6716700,6663,9570,28.992792,
409,6576600,6665,9570,28.99279,
410,6640100,6666,9570,28.99279,
411,6574500,6666,9570,28.99279,
412,6589600,6668,9570,28.99279,
413,6622700,6668,9570,28.99279,
414,6700600,6668,9570,28.99279,
415,6616500,6669,9570,28.99279,
416,6673400,6672,9570,28.99279,
417,6544000,6671,9570,28.99279,
418,6582000,6665,9570,28.99279,
419,6556400,6669,9570,28.99279,
420,6616100,6670,9570,28.99279,
421,6575700,6672,9570,28.99279,
422,6579300,6671,9570,28.99279,
423,6573800,6669,9570,28.99279,
424,6593200,6671,9570,28.99279,
425,6634700,6670,9570,28.99279,
426,6602000,6672,9570,28.99279,
427,6554200,6675,9570,28.99279,
428,6545600,6668,9570,28.99279,
429,6526600,6667,9570,28.99279,
430,6764100,6670,9570,28.99279,
431,6762300,6670,9570,28.99279,
432,6723800,6671,9570,28.99279,
433,6590200,6670,9570,28.99279,
434,6585600,6668,9570,28.99279,
435,6679400,6670,9570,28.99279,
436,6630300,6671,9570,28.99279,
437,6711000,6668,9570,28.992788,
438,6771600,6666,9570,28.992783,
439,6633600,6666,9570,28.992783,
440,6578200,6669,9570,28.992783,
441,6495400,6671,9570,28.992783,
442,6655400,6668,9570,28.992783,
443,6559600,6667,9570,28.992783,
444,6657300,6668,9570,28.992783,
445,6534000,6669,9570,28.992783,
446,6613100,6667,9570,28.992783,
447,6656700,6666,9570,28.992783,
448,6630300,6667,9570,28.992783,
449,6585300,6668,9570,28.992783,
450,6673500,6669,9570,28.992783,
451,6639400,6669,9570,28.992783,
452,7832900,6667,9570,28.992783,
453,7360000,6668,9570,28.992783,
454,7027300,6668,9570,28.992783,
455,6784400,6668,9570,28.992783,
456,7221900,6668,9570,28.992783,
457,7258400,6671,9570,28.99279,
458,6884200,6671,9570,28.99279,
459,6691900,6670,9570,28.99279,
460,6700100,6670,9570,28.99279,
461,6621100,6673,9570,28.99279,
462,6658900,6673,9570,28.99279,
463,6740100,6669,9570,28.99279,
464,6689600,6671,9570,28.99279,
465,6550700,6668,9570,28.99279,
466,6600400,6668,9570,28.99279,
467,6501800,6670,9570,28.992788,
468,6752600,6671,9570,28.992788,
469,6604000,6673,9570,28.992788,
470,6778100,6674,9570,28.992788,
471,6704800,6673,9570,28.992786,
472,6712600,6673,9570,28.992786,
473,6587900,6675,9570,28.992786,
474,6657100,6676,9570,28.992786,
475,6566600,6674,9570,28.992786,
476,6597000,6673,9570,28.992786,
477,6585400,6673,9570,28.992786,
478,6624600,6678,9570,28.992786,
479,6696700,6678,9570,28.992786,
480,6701700,6676,9570,28.992786,
481,6560700,6674,9570,28.992786,
482,6666000,6673,9570,28.992786,
483,6739000,6674,9570,28.992786,
484,6682400,6670,9570,28.992786,
485,6567000,6670,9570,28.992786,
486,6665200,6671,9570,28.992786,
487,6577600,6673,9570,28.992786,
488,6604600,6670,9570,28.992786,
489,6743100,6670,9570,28.992786,
490,6749500,6671,9570,28.992786,
491,6645400,6672,9570,28.992786,
492,6619100,6670,9570,28.992786,
493,6566700,6671,9570,28.992786,
494,6621000,6669,9570,28.992786,
495,6555300,6670,9570,28.992786,
496,6639200,6669,9570,28.992786,
497,6558700,6669,9570,28.992786,
498,6649200,6672,9570,28.992786,
499,6613500,6670,9570,28.992786,
