step,wall_ns,manifolds,pairs,top_y,awake
0,8486000,4495,9570,35.998295,
1,6240700,4196,9570,35.993866,
2,5928600,4142,9570,35.986713,
3,5934900,4111,9570,35.976837,
4,6009500,4100,9570,35.964233,
5,6016700,4087,9570,35.948902,
6,6193500,4079,9570,35.93085,
7,5864400,4073,9570,35.910072,
8,6036300,4066,9570,35.88657,
9,6046800,4061,9570,35.86034,
10,6007900,4053,9570,35.831387,
11,5946800,4054,9570,35.79971,
12,6078000,4056,9570,35.765305,
13,6063800,4055,9570,35.728176,
14,5931700,4060,9570,35.688324,
15,5988300,4057,9570,35.64575,
16,5990800,4055,9570,35.600445,
17,6048800,4051,9570,35.552414,
18,6123000,4049,9570,35.501663,
19,5961400,4050,9570,35.448185,
20,7249400,4829,9570,35.391983,
21,7006100,4715,9570,35.333054,
22,6744800,4565,9570,35.2714,
23,6621500,4496,9570,35.207024,
24,6543400,4419,9570,35.13992,
25,6421200,4390,9570,35.07009,
26,6561500,4353,9570,34.997536,
27,6381000,4336,9570,34.92226,
28,7741000,4982,9570,34.844257,
29,6995300,4783,9570,34.763527,
30,6927400,4670,9570,34.680073,
31,6870000,4639,9570,34.593895,
32,6806600,4573,9570,34.504993,
33,6710000,4491,9570,34.413364,
34,7644000,5031,9570,34.31901,
35,7084200,4806,9570,34.221935,
36,6737300,4646,9570,34.12213,
37,6765000,4535,9570,34.019604,
38,6679300,4502,9570,33.91435,
39,7408100,4984,9570,33.806374,
40,7698700,5009,9570,33.69567,
41,7422500,4852,9570,33.58224,
42,6954300,4753,9570,33.466087,
43,6990400,4728,9570,33.34721,
44,7375500,4996,9570,33.22561,
45,7345200,5112,9570,33.10128,
46,7214000,4923,9570,32.974224,
47,6928600,4760,9570,32.844448,
48,7516600,5001,9570,32.711945,
49,8105100,5139,9570,32.576717,
50,7390100,4996,9570,32.438763,
51,7182800,4871,9570,32.298084,
52,7526300,5093,9570,32.154682,
53,7219400,4972,9570,32.008553,
54,7162800,4792,9570,31.8597,
55,7120500,4796,9570,31.70812,
56,7336700,4911,9570,31.553818,
57,6965900,4780,9570,31.39679,
58,6831000,4734,9570,31.237036,
59,7173900,4748,9570,31.074558,
60,7023700,4704,9570,30.909355,
61,6926800,4678,9570,30.741426,
62,6871400,4666,9570,30.570772,
63,7008300,4609,9570,30.397394,
64,7035500,4623,9570,30.22129,
65,7096100,4625,9570,30.042463,
66,6950900,4579,9570,29.860909,
67,6939600,4610,9570,29.67663,
68,6940900,4550,9570,29.489626,
69,6847000,4524,9570,29.299898,
70,7040700,4535,9570,29.107445,
71,7044400,4528,9570,28.912266,
72,7142100,4533,9570,28.714361,
73,7196700,4529,9570,28.745474,
74,7011400,4530,9570,28.77165,
75,6956100,4529,9570,28.79591,
76,6910800,4524,9570,28.816788,
77,6893300,4517,9570,28.83433,
78,6867700,4520,9570,28.848581,
79,6926000,4514,9568,28.862343,
80,6838700,4519,9568,28.873486,
81,6935900,4518,9568,28.88324,
82,6981800,4518,9568,28.892859,
83,6710700,4516,9568,28.90075,
84,7197100,4517,9567,28.907646,
85,6954900,4508,9565,28.914537,
86,6878100,4519,9565,28.920815,
87,6928900,4516,9565,28.92588,
88,7017900,4518,9565,28.930962,
89,7004900,4519,9565,28.935617,
90,7154900,4514,9565,28.939785,
91,7001300,4516,9565,28.943506,
92,6917300,4512,9565,28.946703,
93,6905100,4508,9565,28.949604,
94,6933500,4522,9565,28.952375,
95,6870600,4519,9565,28.954878,
96,6783800,4521,9565,28.957104,
97,6853400,4517,9565,28.9592,
98,6793400,4515,9565,28.960983,
99,6980100,4520,9565,28.96278,
100,6971300,4521,9564,28.964386,
101,6957700,4521,9564,28.965906,
102,7077500,4521,9563,28.967402,
103,7012400,4520,9563,28.968788,
104,6993500,4522,9563,28.969984,
105,7015900,4518,9563,28.971111,
106,6989900,4521,9563,28.97221,
107,6954100,4523,9563,28.97325,
108,7050600,4515,9562,28.974203,
109,7113300,4517,9562,28.975157,
110,7066300,4516,9562,28.976004,
111,7170100,4515,9562,28.976778,
112,7000700,4519,9562,28.977486,
113,6932900,4520,9562,28.978231,
114,7240300,4520,9562,28.97893,
115,6922200,4519,9561,28.979557,
116,6857500,4526,9561,28.980162,
117,7054600,4519,9561,28.980728,
118,7059900,4521,9561,28.981266,
119,6997200,4517,9561,28.981787,
120,7130000,4523,9561,28.982262,
121,6962200,4523,9561,28.98269,
122,6872700,4521,9561,28.983118,
123,6958000,4522,9561,28.98351,
124,7037100,4518,9561,28.98387,
125,6998100,4521,9561,28.984217,
126,7079300,4521,9561,28.984558,
127,6994200,4517,9561,28.98485,
128,7071700,4522,9561,28.98514,
129,6958900,4521,9561,28.98541,
130,6990000,4519,9560,28.98568,
131,7045300,4526,9559,28.98593,
132,7023700,4524,9559,28.986149,
133,7050000,4516,9559,28.98636,
134,6946300,4520,9559,28.98657,
135,7026300,4522,9559,28.986776,
136,7054000,4519,9559,28.986969,
137,6996700,4521,9559,28.987137,
138,7086000,4521,9559,28.9873,
139,7009500,4521,9559,28.987465,
140,6962200,4518,9559,28.987623,
141,6941300,4523,9559,28.987766,
142,7041200,4524,9559,28.987892,
143,6966800,4523,9559,28.98802,
144,7106200,4520,9559,28.988153,
145,7286800,4519,9559,28.98826,
146,7292700,4520,9559,28.988363,
147,7894200,4522,9559,28.988459,
148,7369500,4517,9559,28.988543,
149,7067700,4519,9559,28.988642,
150,7023400,4522,9559,28.98874,
151,6986000,4520,9559,28.98882,
152,6978800,4523,9559,28.988888,
153,7129700,4523,9559,28.988964,
154,7317400,4524,9559,28.989048,
155,7117100,4521,9559,28.989117,
156,6929700,4520,9559,28.989172,
157,6914300,4519,9559,28.989218,
158,6850600,4519,9559,28.98927,
159,7036000,4518,9559,28.98933,
160,6962400,4519,9559,28.989386,
161,7010200,4521,9559,28.989433,
162,7033600,4518,9559,28.989477,
163,7091100,4520,9559,28.989515,
164,6907600,4520,9559,28.989552,
165,6947600,4519,9559,28.989582,
166,6930400,4516,9559,28.989613,
