step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,8641000,4495,9570,35.998295,,0,9,9,108,107109,6232,3828,8533891,16,149,751,1,91673,1,391,1,2046196,1,1113128,1,168055,1,5102495,1,11202,1,1395370,1,14108,4,649354,4,97294,4,1052016,4,1522042,8,2570230,108,0,0,6132,1,357162,1,2786,1,0,0,0,0,0,0,853100,1,134758,1,20050,1,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,0,0,0,0,0,0
1,6025200,4196,9570,35.993866,,0,8,8,96,37531,1252,2365,5987669,16,142,160,1,39849,1,70,1,1958842,1,421179,1,95570,1,3458721,1,13276,1,745475,1,11503,4,575597,4,77915,4,620386,4,1185682,8,1803703,96,0,0,5421,1,232864,1,2625,1,0,0,0,0,0,0,397281,1,16072,1,4649,1,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,0,0,0,0,0,0
2,5976200,4142,9570,35.986713,,0,8,8,96,33521,2936,2425,5942679,16,142,150,1,24409,1,60,1,1948161,1,415418,1,89929,1,3451376,1,13176,1,755144,1,12645,4,573482,4,81482,4,646829,4,1227616,8,1872019,96,0,0,5311,1,143416,1,2515,1,0,0,0,0,0,0,390358,1,16904,1,4258,1,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,0,0,0,0,0,0
3,5824700,4111,9570,35.976837,,0,8,8,96,33403,1042,4619,5791297,16,142,100,1,24178,1,80,1,1912690,1,409406,1,88096,1,3343411,1,13337,1,740666,1,12274,4,566990,4,78436,4,616107,4,1184520,8,1796008,96,0,0,7064,1,133716,1,2595,1,0,0,0,0,0,0,382111,1,18737,1,4038,1,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,0,0,0,0,0,0
4,5826100,4100,9570,35.964233,,0,8,8,96,32518,1012,3678,5793582,16,142,90,1,24188,1,60,1,1913662,1,409245,1,85991,1,3345665,1,14679,1,745876,1,12395,4,567130,4,78236,4,619384,4,1187165,8,1802871,96,0,0,5321,1,126522,1,2625,1,0,0,0,0,0,0,384486,1,17064,1,3868,1,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,0,0,0,0,0,0
5,5870400,4087,9570,35.948902,,0,8,8,96,34263,1212,2014,5836137,16,142,140,1,29699,1,90,1,1925175,1,421880,1,88035,1,3357970,1,13146,1,742149,1,12194,4,565076,4,78336,4,628482,4,1190432,8,1816900,96,0,0,5311,1,132133,1,2645,1,0,0,0,0,0,0,399626,1,15601,1,3727,1,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,0,0,0,0,0,0
6,5977600,4079,9570,35.93085,,0,8,8,96,34400,1303,5561,5943200,16,142,130,1,29429,1,80,1,1911238,1,403725,1,117414,1,3467819,1,13367,1,772419,1,12956,4,601428,4,78005,4,638833,4,1229169,8,1862440,96,0,0,5321,1,125811,1,2575,1,0,0,0,0,0,0,376290,1,19349,1,4609,1,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,0,0,0,0,0,0
7,6088400,4073,9570,35.910072,,0,8,8,96,34028,1263,3016,6054372,16,142,10,1,29559,1,50,1,1991548,1,404456,1,86132,1,3529401,1,13216,1,741026,1,12415,4,577340,4,80170,4,718552,4,1256884,8,1972419,96,0,0,5331,1,133787,1,2635,1,0,0,0,0,0,0,380097,1,16723,1,3717,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,0,0,0,0,0,0
8,5866400,4066,9570,35.88657,,0,8,8,96,36265,1222,2205,5830135,16,142,100,1,24459,1,120,1,1923081,1,407752,1,88677,1,3372649,1,13296,1,741227,1,12294,4,567461,4,77965,4,642630,4,1186704,8,1827129,96,0,0,5321,1,135179,1,2645,1,0,0,0,0,0,0,381981,1,18817,1,3908,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,0,0,0,0,0,0
9,5949400,4061,9570,35.86034,,0,8,8,96,31390,1182,2285,5918010,16,142,120,1,24208,1,20,1,1924805,1,398384,1,86582,1,3470634,1,13256,1,737830,1,12655,4,569825,4,78717,4,649664,4,1288206,8,1935586,96,0,0,5311,1,124588,1,2655,1,0,0,0,0,0,0,374276,1,16463,1,3737,1,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,0,0,0,0,0,0
10,5934400,4053,9570,35.831387,,0,8,8,96,31430,982,2234,5902970,16,142,20,1,24238,1,90,1,1924965,1,412552,1,86933,1,3440634,1,13537,1,753110,1,11152,4,572781,4,77655,4,645817,4,1238598,8,1882180,96,0,0,6152,1,131712,1,2675,1,0,0,0,0,0,0,387111,1,16934,1,4669,1,0,0,0,0,0,0,0,0,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,48,1,0,0,0,0,0,0
