step,wall_ns,manifolds,pairs,top_y,awake
0,9439000,4495,9570,35.998295,
1,8184500,4196,9570,35.993866,
2,8083400,4142,9570,35.986713,
3,7523500,4111,9570,35.976837,
4,7665900,4100,9570,35.964233,
5,7482600,4087,9570,35.948902,
6,7565000,4079,9570,35.93085,
7,7692400,4073,9570,35.910072,
8,7425800,4066,9570,35.88657,
9,7364400,4061,9570,35.86034,
10,7538500,4053,9570,35.831387,
11,7497400,4054,9570,35.79971,
12,7555700,4056,9570,35.765305,
13,7463400,4055,9570,35.728176,
14,7704700,4060,9570,35.688324,
15,7515900,4057,9570,35.64575,
16,7608800,4055,9570,35.600445,
17,7378200,4051,9570,35.552414,
18,7467600,4049,9570,35.501663,
19,7406200,4050,9570,35.448185,
20,8685400,4829,9570,35.391983,
21,8840200,4715,9570,35.333054,
22,8475500,4565,9570,35.2714,
23,8783400,4496,9570,35.207024,
24,9083900,4419,9570,35.13992,
25,8856000,4390,9570,35.07009,
26,8784000,4353,9570,34.997536,
27,8521700,4336,9570,34.92226,
28,10043600,4982,9570,34.844257,
29,9363300,4783,9570,34.763527,
30,8940700,4670,9570,34.680073,
31,8880100,4639,9570,34.593895,
32,8489400,4573,9570,34.504993,
33,9075000,4491,9570,34.413364,
34,9183000,5031,9570,34.31901,
35,9094100,4806,9570,34.221935,
36,9014200,4646,9570,34.12213,
37,9364600,4535,9570,34.019604,
38,9056300,4502,9570,33.91435,
39,9452600,4984,9570,33.806374,
40,9510600,5009,9570,33.69567,
41,9470500,4852,9570,33.58224,
42,9132000,4753,9570,33.466087,
43,8953500,4728,9570,33.34721,
44,9252200,4996,9570,33.22561,
45,9915300,5112,9570,33.10128,
46,10018100,4923,9570,32.974224,
47,9029000,4760,9570,32.844448,
48,9908200,5001,9570,32.711945,
49,9679700,5139,9570,32.576717,
50,9348100,4996,9570,32.438763,
51,9581300,4871,9570,32.298084,
52,10032500,5093,9570,32.154682,
53,9891000,4972,9570,32.008553,
54,9672900,4792,9570,31.8597,
55,9912800,4796,9570,31.70812,
56,9829400,4911,9570,31.553818,
57,9207400,4780,9570,31.39679,
58,9538700,4734,9570,31.237036,
59,9250000,4748,9570,31.074558,
60,9210100,4704,9570,30.909355,
61,9239200,4678,9570,30.741426,
62,9132900,4666,9570,30.570772,
63,8983300,4609,9570,30.397394,
64,8874900,4623,9570,30.22129,
65,9482800,4625,9570,30.042463,
66,9077200,4579,9570,29.860909,
67,8968100,4610,9570,29.67663,
68,9027000,4550,9570,29.489626,
69,9211700,4524,9570,29.299898,
70,8966700,4535,9570,29.107445,
71,9054100,4528,9570,28.912266,
72,8958300,4533,9570,28.714361,
73,8783900,4529,9570,28.745474,
74,8830100,4530,9570,28.77165,
75,8872200,4529,9570,28.79591,
76,8772700,4524,9570,28.816788,
77,8714300,4517,9570,28.83433,
78,8701400,4520,9570,28.848581,
79,9505200,4514,9568,28.862343,
80,8933200,4519,9568,28.873486,
81,8843000,4518,9568,28.88324,
82,8893000,4518,9568,28.892859,
83,8856700,4516,9568,28.90075,
84,8846900,4517,9567,28.907646,
85,8791800,4508,9565,28.914537,
86,8751200,4519,9565,28.920815,
87,9044300,4516,9565,28.92588,
88,9193200,4518,9565,28.930962,
89,8974200,4519,9565,28.935617,
90,8831400,4514,9565,28.939785,
91,8878600,4516,9565,28.943506,
92,8826500,4512,9565,28.946703,
93,8865300,4508,9565,28.949604,
94,8718100,4522,9565,28.952375,
95,8926600,4519,9565,28.954878,
96,8929600,4521,9565,28.957104,
97,8851100,4517,9565,28.9592,
98,8671200,4515,9565,28.960983,
99,8633300,4520,9565,28.96278,
100,8673900,4521,9564,28.964386,
101,8664400,4521,9564,28.965906,
102,9432100,4521,9563,28.967402,
103,8958700,4520,9563,28.968788,
104,8895200,4522,9563,28.969984,
105,8856700,4518,9563,28.971111,
106,8805400,4521,9563,28.97221,
107,8868800,4523,9563,28.97325,
108,9048200,4515,9562,28.974203,
109,9723400,4517,9562,28.975157,
110,8888900,4516,9562,28.976004,
111,8940000,4515,9562,28.976778,
112,8981500,4519,9562,28.977486,
113,8895700,4520,9562,28.978231,
114,8848300,4520,9562,28.97893,
115,9051900,4519,9561,28.979557,
116,9809000,4526,9561,28.980162,
117,9992500,4519,9561,28.980728,
118,9266100,4521,9561,28.981266,
119,8929400,4517,9561,28.981787,
120,8843800,4523,9561,28.982262,
121,9002800,4523,9561,28.98269,
122,8908900,4521,9561,28.983118,
123,8990600,4522,9561,28.98351,
124,8889000,4518,9561,28.98387,
125,8855900,4521,9561,28.984217,
126,9198400,4521,9561,28.984558,
127,8867900,4517,9561,28.98485,
128,9572700,4522,9561,28.98514,
129,8969700,4521,9561,28.98541,
130,8913600,4519,9560,28.98568,
131,8929300,4526,9559,28.98593,
132,8843000,4524,9559,28.986149,
133,9082600,4516,9559,28.98636,
134,8748200,4520,9559,28.98657,
135,9457000,4522,9559,28.986776,
136,8911300,4519,9559,28.986969,
137,9221000,4521,9559,28.987137,
138,9694600,4521,9559,28.9873,
139,9093200,4521,9559,28.987465,
140,8869600,4518,9559,28.987623,
141,8638900,4523,9559,28.987766,
142,8774700,4524,9559,28.987892,
143,8713400,4523,9559,28.98802,
144,8987600,4520,9559,28.988153,
145,8842800,4519,9559,28.98826,
146,9368900,4520,9559,28.988363,
147,8815000,4522,9559,28.988459,
148,9120200,4517,9559,28.988543,
149,9028600,4519,9559,28.988642,
150,8860800,4522,9559,28.98874,
151,8850600,4520,9559,28.98882,
152,8934600,4523,9559,28.988888,
153,9077500,4523,9559,28.988964,
154,8934600,4524,9559,28.989048,
155,8973200,4521,9559,28.989117,
156,8758600,4520,9559,28.989172,
157,9005900,4519,9559,28.989218,
158,8979600,4519,9559,28.98927,
159,8898200,4518,9559,28.98933,
160,8777300,4519,9559,28.989386,
161,9119500,4521,9559,28.989433,
162,9179900,4518,9559,28.989477,
163,9242700,4520,9559,28.989515,
164,8842000,4520,9559,28.989552,
165,8882000,4519,9559,28.989582,
166,8878500,4516,9559,28.989613,
167,8908800,4518,9559,28.989645,
168,9001900,4518,9559,28.989676,
169,9142800,4514,9559,28.9897,
170,8976000,4515,9559,28.989725,
171,8759700,4512,9559,28.989754,
172,9171600,4513,9559,28.98977,
173,9026100,4515,9559,28.989801,
174,8817500,4515,9559,28.989834,
175,8747900,4515,9559,28.989851,
176,8620600,4514,9559,28.989864,
177,9653400,4516,9559,28.989883,
178,8827100,4515,9559,28.989906,
179,8994100,4515,9559,28.989923,
180,9291600,4515,9559,28.98993,
181,8813000,4517,9559,28.98993,
182,8730000,4517,9559,28.98994,
183,8620600,4516,9559,28.989958,
184,9367300,4516,9559,28.98997,
185,8888500,4514,9559,28.989977,
186,9000400,4515,9559,28.98999,
187,8846800,4516,9559,28.990005,
188,8841800,4519,9559,28.990013,
189,8954000,4519,9559,28.990015,
190,8609700,4519,9559,28.990025,
191,8710400,4520,9559,28.99004,
192,8719600,4522,9559,28.990047,
193,8807200,4521,9559,28.990053,
194,8875200,4522,9559,28.990055,
195,8947900,4521,9559,28.99006,
196,8802400,4522,9559,28.99006,
197,9111300,4523,9559,28.990076,
198,8826900,4523,9559,28.990084,
199,9252400,4524,9559,28.990086,
200,9493800,4522,9559,28.990088,
201,8839700,4522,9559,28.990097,
202,8855900,4521,9559,28.99011,
203,8851300,4525,9559,28.990112,
204,8831600,4526,9559,28.990108,
205,8917700,4524,9559,28.990114,
206,8826500,4523,9559,28.99012,
207,8894000,4523,9559,28.990118,
208,8895600,4523,9559,28.990112,
209,8840200,4522,9559,28.990116,
210,9118100,4522,9559,28.990122,
211,9097400,4523,9559,28.990128,
212,8951900,4523,9559,28.990124,
213,8870700,4523,9559,28.99013,
214,8827300,4524,9559,28.990137,
215,8942200,4524,9559,28.990137,
216,8773400,4526,9559,28.990137,
217,9046000,4524,9559,28.990143,
218,9032300,4525,9559,28.990149,
219,8996800,4524,9559,28.990149,
220,8860800,4523,9559,28.990152,
221,8903800,4522,9559,28.99016,
222,8736600,4522,9559,28.990164,
223,9497800,4520,9559,28.990162,
224,8900200,4521,9559,28.99016,
225,10010600,4522,9559,28.990166,
226,9692700,4521,9559,28.990166,
227,8877200,4522,9559,28.990166,
228,9027600,4521,9559,28.990168,
229,8886800,4519,9559,28.990175,
230,8860800,4521,9559,28.990171,
231,8849200,4522,9559,28.990166,
232,9116300,4523,9559,28.990173,
233,8905300,4527,9559,28.990175,
234,8796200,4523,9559,28.990168,
235,8898600,4525,9559,28.99017,
236,8880200,4525,9559,28.990175,
237,8844200,4526,9559,28.990175,
238,8846900,4525,9559,28.990175,
239,9144300,4524,9559,28.990175,
240,9003100,4524,9559,28.990175,
241,8925700,4521,9559,28.990175,
242,8909900,4520,9559,28.990175,
243,8854900,4520,9559,28.990175,
244,9201500,4521,9559,28.990171,
