step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,18349400,4495,9570,35.998295,,0,9,9,108,115237,5681,6262,18234163,16,158,651,1,114399,1,311,1,574860,1,2488774,1,134397,1,14901123,1,19648,1,1352830,1,9228,4,649333,4,66978,4,4240086,4,8204214,8,12438038,108,0,0,6242,1,363937,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,28134,1,60025,1,440042,1,44345,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1
1,16066900,4196,9570,35.993866,,0,8,8,96,208575,1463,4028,15858325,16,146,160,1,49084,1,401,1,591713,1,2482702,1,114659,1,12602012,1,17594,1,869865,1,8807,4,605870,4,64133,4,3655146,4,7128034,8,10779153,96,0,0,5410,1,260759,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,6222,1,33043,1,531057,1,20720,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1
2,16062700,4142,9570,35.986713,,0,8,8,96,200087,2585,6423,15862613,16,146,150,1,30448,1,80,1,602824,1,2475949,1,114349,1,12618894,1,19918,1,919781,1,8166,4,621379,4,65335,4,3676868,4,7162139,8,10832585,96,0,0,5330,1,154806,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,31370,1,28194,1,516278,1,26591,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1
3,15465100,4111,9570,35.976837,,0,8,8,96,153501,4428,4208,15311599,16,146,140,1,37131,1,160,1,592634,1,2454128,1,85424,1,12126412,1,15570,1,721441,1,7915,4,567246,4,64754,4,3581085,4,7017322,8,10594199,96,0,0,5160,1,154616,1,2445,1,0,0,0,0,0,0,0,0,0,0,0,0,7805,1,30108,1,523452,1,30749,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1
4,15660800,4100,9570,35.964233,,0,8,8,96,361625,1383,6673,15299175,16,146,170,1,29396,1,120,1,592384,1,2362803,1,105803,1,12190825,1,17674,1,862150,1,7524,4,566074,4,64043,4,3566787,4,6984189,8,10544303,96,0,0,5160,1,131051,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,6302,1,28965,1,525416,1,31220,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1
5,15966900,4087,9570,35.948902,,0,8,8,96,430110,4519,4129,15536790,16,146,140,1,30949,1,90,1,587815,1,2508562,1,106313,1,12289063,1,13857,1,855518,1,9679,4,567476,4,66006,4,3556187,4,7072057,8,10624115,96,0,0,5921,1,148955,1,2745,1,0,0,0,0,0,0,0,0,0,0,0,0,6152,1,31711,1,518703,1,30849,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1
6,15309900,4079,9570,35.93085,,0,8,8,96,64308,1743,4589,15245592,16,146,140,1,23004,1,70,1,471022,1,2327896,1,91064,1,12319461,1,12935,1,738233,1,7735,4,587364,4,65666,4,3620340,4,7130729,8,10746480,96,0,0,5320,1,159816,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,5380,1,26741,1,413572,1,24838,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1
7,15321700,4073,9570,35.910072,,0,8,8,96,68363,1393,3847,15253337,16,146,150,1,23194,1,50,1,465852,1,2352313,1,87658,1,12310654,1,13466,1,732873,1,8907,4,575061,4,66016,4,3618015,4,7148153,8,10762321,96,0,0,5470,1,152191,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,5100,1,23335,1,412279,1,24747,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
8,15106800,4066,9570,35.88657,,0,8,8,96,72993,1062,3547,15033807,16,146,230,1,23315,1,80,1,462034,1,2323367,1,84121,1,12124708,1,15951,1,717794,1,7474,4,561164,4,64734,4,3558922,4,7041258,8,10596633,96,0,0,5320,1,164244,1,2735,1,0,0,0,0,0,0,0,0,0,0,0,0,5290,1,22603,1,408061,1,25719,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
9,15420300,4061,9570,35.86034,,0,8,8,96,92891,1282,3777,15327409,16,146,130,1,31861,1,130,1,581393,1,2336973,1,84552,1,12268303,1,24066,1,743894,1,7625,4,573297,4,66006,4,3629107,4,7105832,8,10731161,96,0,0,5310,1,133415,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,6723,1,27523,1,515336,1,31290,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1
