step,wall_ns,manifolds,pairs,top_y,awake
0,10800300,4495,9570,35.998295,
1,9315500,4196,9570,35.993866,
2,9124500,4142,9570,35.986713,
3,8898400,4111,9570,35.976837,
4,8927900,4100,9570,35.964233,
5,8896900,4087,9570,35.948902,
6,9769900,4079,9570,35.93085,
7,9236000,4073,9570,35.910072,
8,9117100,4066,9570,35.88657,
9,8959800,4061,9570,35.86034,
10,8796600,4053,9570,35.831387,
11,9350500,4054,9570,35.79971,
12,8937700,4056,9570,35.765305,
13,9519600,4055,9570,35.728176,
14,9223800,4060,9570,35.688324,
15,9003400,4057,9570,35.64575,
16,9050700,4055,9570,35.600445,
17,9032900,4051,9570,35.552414,
18,9007700,4049,9570,35.501663,
19,8936300,4050,9570,35.448185,
20,10066600,4829,9570,35.391983,
21,10111400,4715,9570,35.333054,
22,9971800,4565,9570,35.2714,
23,9815000,4496,9570,35.207024,
24,9555500,4419,9570,35.13992,
25,9481800,4390,9570,35.07009,
26,9468100,4353,9570,34.997536,
27,9348400,4336,9570,34.92226,
28,10561600,4982,9570,34.844257,
29,10721000,4783,9570,34.763527,
30,10224000,4670,9570,34.680073,
31,10204700,4639,9570,34.593895,
32,9974800,4573,9570,34.504993,
33,10271600,4491,9570,34.413364,
34,10885300,5031,9570,34.31901,
35,10722800,4806,9570,34.221935,
36,10492100,4646,9570,34.12213,
37,10190700,4535,9570,34.019604,
38,9905700,4502,9570,33.91435,
39,10780000,4984,9570,33.806374,
40,10933400,5009,9570,33.69567,
41,10800100,4852,9570,33.58224,
42,10989800,4753,9570,33.466087,
43,11138600,4728,9570,33.34721,
44,11444600,4996,9570,33.22561,
45,11196400,5112,9570,33.10128,
46,10960500,4923,9570,32.974224,
47,10689300,4760,9570,32.844448,
48,10738600,5001,9570,32.711945,
49,11021400,5139,9570,32.576717,
50,10836100,4996,9570,32.438763,
51,10715800,4871,9570,32.298084,
52,12117200,5093,9570,32.154682,
53,11477400,4972,9570,32.008553,
54,11027300,4792,9570,31.8597,
55,10738100,4796,9570,31.70812,
56,11000300,4911,9570,31.553818,
57,10786200,4780,9570,31.39679,
58,10697000,4734,9570,31.237036,
59,10685300,4748,9570,31.074558,
60,11273400,4704,9570,30.909355,
61,12137700,4678,9570,30.741426,
62,10687100,4666,9570,30.570772,
63,10544600,4609,9570,30.397394,
64,10606400,4623,9570,30.22129,
65,10455800,4625,9570,30.042463,
66,10383800,4579,9570,29.860909,
67,10798300,4610,9570,29.67663,
68,10521900,4550,9570,29.489626,
69,10587700,4524,9570,29.299898,
70,10478500,4535,9570,29.107445,
71,10195800,4528,9570,28.912266,
72,11157200,4533,9570,28.714361,
73,10381600,4529,9570,28.745474,
74,10385100,4530,9570,28.77165,
75,10409100,4529,9570,28.79591,
76,10304100,4524,9570,28.816788,
77,10287400,4517,9570,28.83433,
78,10812600,4520,9570,28.848581,
79,10640900,4514,9568,28.862343,
80,10339300,4519,9568,28.873486,
81,10389600,4518,9568,28.88324,
82,10393100,4518,9568,28.892859,
83,10669200,4516,9568,28.90075,
84,10729600,4517,9567,28.907646,
85,10355400,4508,9565,28.914537,
86,10741000,4519,9565,28.920815,
87,10278300,4516,9565,28.92588,
88,10502600,4518,9565,28.930962,
89,10580600,4519,9565,28.935617,
90,10447900,4514,9565,28.939785,
91,10435200,4516,9565,28.943506,
92,10485200,4512,9565,28.946703,
93,10465800,4508,9565,28.949604,
94,10415800,4522,9565,28.952375,
95,10237300,4519,9565,28.954878,
96,10622100,4521,9565,28.957104,
97,10593700,4517,9565,28.9592,
98,10857400,4515,9565,28.960983,
99,10429600,4520,9565,28.96278,
100,10295500,4521,9564,28.964386,
101,10323000,4521,9564,28.965906,
102,10283000,4521,9563,28.967402,
103,10249900,4520,9563,28.968788,
104,10484400,4522,9563,28.969984,
105,10517300,4518,9563,28.971111,
106,10367200,4521,9563,28.97221,
107,10627800,4523,9563,28.97325,
108,10605200,4515,9562,28.974203,
109,10158000,4517,9562,28.975157,
110,11114700,4516,9562,28.976004,
111,10521500,4515,9562,28.976778,
112,10325700,4519,9562,28.977486,
113,10694300,4520,9562,28.978231,
114,10285700,4520,9562,28.97893,
115,10273000,4519,9561,28.979557,
116,10335500,4526,9561,28.980162,
117,10388100,4519,9561,28.980728,
118,10310400,4521,9561,28.981266,
119,10608700,4517,9561,28.981787,
120,10357400,4523,9561,28.982262,
121,10355700,4523,9561,28.98269,
122,10906000,4521,9561,28.983118,
123,10381000,4522,9561,28.98351,
124,10356000,4518,9561,28.98387,
125,10452600,4521,9561,28.984217,
126,10674700,4521,9561,28.984558,
127,10359400,4517,9561,28.98485,
128,10793800,4522,9561,28.98514,
129,10368000,4521,9561,28.98541,
130,10333200,4519,9560,28.98568,
131,10185200,4526,9559,28.98593,
132,10800500,4524,9559,28.986149,
133,10809300,4516,9559,28.98636,
134,11355000,4520,9559,28.98657,
135,10854100,4522,9559,28.986776,
136,11121500,4519,9559,28.986969,
137,10771700,4521,9559,28.987137,
138,10868300,4521,9559,28.9873,
139,10225400,4521,9559,28.987465,
140,10635800,4518,9559,28.987623,
141,10363300,4523,9559,28.987766,
142,10958100,4524,9559,28.987892,
143,10673800,4523,9559,28.98802,
144,10732200,4520,9559,28.988153,
145,10607300,4519,9559,28.98826,
146,10168200,4520,9559,28.988363,
147,10272300,4522,9559,28.988459,
148,10720900,4517,9559,28.988543,
149,10611500,4519,9559,28.988642,
150,11173800,4522,9559,28.98874,
151,10905800,4520,9559,28.98882,
152,10440800,4523,9559,28.988888,
153,10661900,4523,9559,28.988964,
154,10241600,4524,9559,28.989048,
155,10481200,4521,9559,28.989117,
156,10677000,4520,9559,28.989172,
157,10336400,4519,9559,28.989218,
158,10392900,4519,9559,28.98927,
159,10349800,4518,9559,28.98933,
160,10100800,4519,9559,28.989386,
161,10156500,4521,9559,28.989433,
162,10681700,4518,9559,28.989477,
163,10526500,4520,9559,28.989515,
164,10438800,4520,9559,28.989552,
165,10403500,4519,9559,28.989582,
166,10248400,4516,9559,28.989613,
167,10139200,4518,9559,28.989645,
168,10736300,4518,9559,28.989676,
169,10395700,4514,9559,28.9897,
170,10827500,4515,9559,28.989725,
171,10572000,4512,9559,28.989754,
172,10351900,4513,9559,28.98977,
173,10661800,4515,9559,28.989801,
174,10291400,4515,9559,28.989834,
175,10669900,4515,9559,28.989851,
176,10806700,4514,9559,28.989864,
177,10802200,4516,9559,28.989883,
178,10365200,4515,9559,28.989906,
179,10195500,4515,9559,28.989923,
180,10242400,4515,9559,28.98993,
