step,wall_ns,manifolds,pairs,top_y,awake
0,19329100,4495,9570,35.998295,
1,16814300,4196,9570,35.993866,
2,17301100,4142,9570,35.986713,
3,16715200,4111,9570,35.976837,
4,16788500,4100,9570,35.964233,
5,17489000,4087,9570,35.948902,
6,16670400,4079,9570,35.93085,
7,16505800,4073,9570,35.910072,
8,17587300,4066,9570,35.88657,
9,16999400,4061,9570,35.86034,
10,16706200,4053,9570,35.831387,
11,17503000,4054,9570,35.79971,
12,17057100,4056,9570,35.765305,
13,17498300,4055,9570,35.728176,
14,17359400,4060,9570,35.688324,
15,16833500,4057,9570,35.64575,
16,16634800,4055,9570,35.600445,
17,16457500,4051,9570,35.552414,
18,17151900,4049,9570,35.501663,
19,17496600,4050,9570,35.448185,
20,20240200,4829,9570,35.391983,
21,19030300,4715,9570,35.333054,
22,18283800,4565,9570,35.2714,
23,17988500,4496,9570,35.207024,
24,17736700,4419,9570,35.13992,
25,17933900,4390,9570,35.07009,
26,18534500,4353,9570,34.997536,
27,17739200,4336,9570,34.92226,
28,20411000,4982,9570,34.844257,
29,18976600,4783,9570,34.763527,
30,18698100,4670,9570,34.680073,
31,18614400,4639,9570,34.593895,
32,19089100,4573,9570,34.504993,
33,18773800,4491,9570,34.413364,
34,20701900,5031,9570,34.31901,
35,19434900,4806,9570,34.221935,
36,18561000,4646,9570,34.12213,
37,18241100,4535,9570,34.019604,
38,18122700,4502,9570,33.91435,
39,19910800,4984,9570,33.806374,
40,19812800,5009,9570,33.69567,
41,19289900,4852,9570,33.58224,
42,18705200,4753,9570,33.466087,
43,18551200,4728,9570,33.34721,
44,19600900,4996,9570,33.22561,
45,20327500,5112,9570,33.10128,
46,20011800,4923,9570,32.974224,
47,18679500,4760,9570,32.844448,
48,19338100,5001,9570,32.711945,
49,20105000,5139,9570,32.576717,
50,19438300,4996,9570,32.438763,
51,20256700,4871,9570,32.298084,
52,22025900,5093,9570,32.154682,
53,21177100,4972,9570,32.008553,
54,19397900,4792,9570,31.8597,
55,19341200,4796,9570,31.70812,
56,19993400,4911,9570,31.553818,
57,20026700,4780,9570,31.39679,
58,19423100,4734,9570,31.237036,
59,19856100,4748,9570,31.074558,
60,19722100,4704,9570,30.909355,
61,21009200,4678,9570,30.741426,
62,20970600,4666,9570,30.570772,
63,20428900,4609,9570,30.397394,
64,19523000,4623,9570,30.22129,
65,19780700,4625,9570,30.042463,
66,19204100,4579,9570,29.860909,
67,19160600,4610,9570,29.67663,
68,19010000,4550,9570,29.489626,
69,20136500,4524,9570,29.299898,
70,19580500,4535,9570,29.107445,
71,19170900,4528,9570,28.912266,
72,19090900,4533,9570,28.714361,
73,19180500,4529,9570,28.745474,
74,20106200,4530,9570,28.77165,
75,19983300,4529,9570,28.79591,
76,19904400,4524,9570,28.816788,
77,19933000,4517,9570,28.83433,
78,19739800,4520,9570,28.848581,
79,19630400,4514,9568,28.862343,
80,20676200,4519,9568,28.873486,
81,21215700,4518,9568,28.88324,
82,20797400,4518,9568,28.892859,
83,20608000,4516,9568,28.90075,
84,19601600,4517,9567,28.907646,
85,19247600,4508,9565,28.914537,
86,19309800,4519,9565,28.920815,
87,19263300,4516,9565,28.92588,
88,19773200,4518,9565,28.930962,
89,20501300,4519,9565,28.935617,
90,19603900,4514,9565,28.939785,
91,19295400,4516,9565,28.943506,
92,19306400,4512,9565,28.946703,
93,19140200,4508,9565,28.949604,
94,19310300,4522,9565,28.952375,
95,19363700,4519,9565,28.954878,
96,19303100,4521,9565,28.957104,
97,19243000,4517,9565,28.9592,
98,19441100,4515,9565,28.960983,
99,19367300,4520,9565,28.96278,
100,19567800,4521,9564,28.964386,
101,19682700,4521,9564,28.965906,
102,19875900,4521,9563,28.967402,
103,19566800,4520,9563,28.968788,
104,19524500,4522,9563,28.969984,
105,19558100,4518,9563,28.971111,
106,19291900,4521,9563,28.97221,
107,19271700,4523,9563,28.97325,
108,19286500,4515,9562,28.974203,
109,19390800,4517,9562,28.975157,
110,20466500,4516,9562,28.976004,
111,19928900,4515,9562,28.976778,
112,20640800,4519,9562,28.977486,
113,19907600,4520,9562,28.978231,
114,19719900,4520,9562,28.97893,
115,19906700,4519,9561,28.979557,
116,19534000,4526,9561,28.980162,
117,19619800,4519,9561,28.980728,
118,20369700,4521,9561,28.981266,
119,21041800,4517,9561,28.981787,
120,20162300,4523,9561,28.982262,
121,19377100,4523,9561,28.98269,
122,19421500,4521,9561,28.983118,
123,19331100,4522,9561,28.98351,
124,19332000,4518,9561,28.98387,
125,19714600,4521,9561,28.984217,
126,19971200,4521,9561,28.984558,
127,19674900,4517,9561,28.98485,
128,19651400,4522,9561,28.98514,
129,19659800,4521,9561,28.98541,
130,19468800,4519,9560,28.98568,
131,19635300,4526,9559,28.98593,
132,19958600,4524,9559,28.986149,
133,19876700,4516,9559,28.98636,
134,19610400,4520,9559,28.98657,
135,19784300,4522,9559,28.986776,
136,20594100,4519,9559,28.986969,
137,20757100,4521,9559,28.987137,
138,20039200,4521,9559,28.9873,
139,20673600,4521,9559,28.987465,
140,20435200,4518,9559,28.987623,
141,21716600,4523,9559,28.987766,
142,21425800,4524,9559,28.987892,
143,20168000,4523,9559,28.98802,
144,19625700,4520,9559,28.988153,
145,19580700,4519,9559,28.98826,
146,19984200,4520,9559,28.988363,
147,19651000,4522,9559,28.988459,
148,19449300,4517,9559,28.988543,
149,19633000,4519,9559,28.988642,
150,19724900,4522,9559,28.98874,
151,20776800,4520,9559,28.98882,
152,19576200,4523,9559,28.988888,
153,20171100,4523,9559,28.988964,
154,20144700,4524,9559,28.989048,
155,19780800,4521,9559,28.989117,
156,19420200,4520,9559,28.989172,
157,19598900,4519,9559,28.989218,
158,19934500,4519,9559,28.98927,
159,19557900,4518,9559,28.98933,
160,19312700,4519,9559,28.989386,
161,19554100,4521,9559,28.989433,
162,19710500,4518,9559,28.989477,
163,20012900,4520,9559,28.989515,
164,19749700,4520,9559,28.989552,
165,19197800,4519,9559,28.989582,
166,19293800,4516,9559,28.989613,
167,20023600,4518,9559,28.989645,
168,20048700,4518,9559,28.989676,
169,19707800,4514,9559,28.9897,
170,19528700,4515,9559,28.989725,
171,19248100,4512,9559,28.989754,
172,19691600,4513,9559,28.98977,
173,20153300,4515,9559,28.989801,
174,20104500,4515,9559,28.989834,
175,19857100,4515,9559,28.989851,
176,19836000,4514,9559,28.989864,
177,19155300,4516,9559,28.989883,
178,20240700,4515,9559,28.989906,
179,19655000,4515,9559,28.989923,
180,19898000,4515,9559,28.98993,
181,19410800,4517,9559,28.98993,
182,19277900,4517,9559,28.98994,
183,19599000,4516,9559,28.989958,
184,19626900,4516,9559,28.98997,
185,19600500,4514,9559,28.989977,
186,19461700,4515,9559,28.98999,
187,19162300,4516,9559,28.990005,
188,19071400,4519,9559,28.990013,
189,19080400,4519,9559,28.990015,
190,19058000,4519,9559,28.990025,
191,19289500,4520,9559,28.99004,
192,19841500,4522,9559,28.990047,
193,19603600,4521,9559,28.990053,
194,19285800,4522,9559,28.990055,
195,19071600,4521,9559,28.99006,
196,19674200,4522,9559,28.99006,
197,20059100,4523,9559,28.990076,
