step,wall_ns,manifolds,pairs,top_y,awake
0,8740100,4495,9570,35.998295,
1,7664400,4196,9570,35.993866,
2,6852200,4142,9570,35.986713,
3,6920600,4111,9570,35.976837,
4,7566300,4100,9570,35.964233,
5,8282200,4087,9570,35.948902,
6,7063300,4079,9570,35.93085,
7,7033700,4073,9570,35.910072,
8,7388100,4066,9570,35.88657,
9,7137700,4061,9570,35.86034,
10,7439700,4053,9570,35.831387,
11,7136200,4054,9570,35.79971,
12,7216800,4056,9570,35.765305,
13,7203900,4055,9570,35.728176,
14,7395800,4060,9570,35.688324,
15,7286200,4057,9570,35.64575,
16,6811000,4055,9570,35.600445,
17,6681400,4051,9570,35.552414,
18,6424500,4049,9570,35.501663,
19,6682100,4050,9570,35.448185,
20,7902900,4829,9570,35.391983,
21,7777300,4715,9570,35.333054,
22,8728800,4565,9570,35.2714,
23,8817100,4496,9570,35.207024,
24,8452800,4419,9570,35.13992,
25,8509800,4390,9570,35.07009,
26,8107300,4353,9570,34.997536,
27,8015800,4336,9570,34.92226,
28,8227300,4982,9570,34.844257,
29,7298200,4783,9570,34.763527,
30,7385200,4670,9570,34.680073,
31,7431800,4639,9570,34.593895,
32,7650900,4573,9570,34.504993,
33,7686900,4491,9570,34.413364,
34,8519500,5031,9570,34.31901,
35,8341800,4806,9570,34.221935,
36,7477900,4646,9570,34.12213,
37,7821100,4535,9570,34.019604,
38,7361100,4502,9570,33.91435,
39,9099400,4984,9570,33.806374,
40,9333000,5009,9570,33.69567,
41,8822600,4852,9570,33.58224,
42,7119700,4753,9570,33.466087,
43,7225800,4728,9570,33.34721,
44,7449500,4996,9570,33.22561,
45,7948000,5112,9570,33.10128,
46,7580100,4923,9570,32.974224,
47,8474000,4760,9570,32.844448,
48,8027300,5001,9570,32.711945,
49,7707000,5139,9570,32.576717,
50,7386200,4996,9570,32.438763,
51,7080300,4871,9570,32.298084,
52,7770300,5093,9570,32.154682,
53,7189200,4972,9570,32.008553,
54,6974500,4792,9570,31.8597,
55,6961100,4796,9570,31.70812,
56,7574600,4911,9570,31.553818,
57,7417500,4780,9570,31.39679,
58,7043100,4734,9570,31.237036,
59,7120900,4748,9570,31.074558,
60,6936900,4704,9570,30.909355,
61,7716900,4678,9570,30.741426,
62,6951000,4666,9570,30.570772,
63,7015700,4609,9570,30.397394,
64,7397600,4623,9570,30.22129,
65,7886000,4625,9570,30.042463,
66,8524500,4579,9570,29.860909,
67,8092200,4610,9570,29.67663,
68,6733600,4550,9570,29.489626,
69,7065600,4524,9570,29.299898,
70,6896800,4535,9570,29.107445,
71,6873900,4528,9570,28.912266,
72,6937600,4533,9570,28.714361,
73,6904300,4529,9570,28.745474,
74,6960000,4530,9570,28.77165,
75,6917000,4529,9570,28.79591,
76,6993600,4524,9570,28.816788,
77,6806100,4517,9570,28.83433,
78,6782000,4520,9570,28.848581,
79,6951000,4514,9568,28.862343,
80,6830000,4519,9568,28.873486,
81,6844000,4518,9568,28.88324,
82,6850500,4518,9568,28.892859,
83,6713000,4516,9568,28.90075,
84,7015200,4517,9567,28.907646,
85,6737100,4508,9565,28.914537,
86,6984700,4519,9565,28.920815,
87,7002700,4516,9565,28.92588,
88,6937000,4518,9565,28.930962,
89,7077200,4519,9565,28.935617,
90,7662300,4514,9565,28.939785,
91,6909700,4516,9565,28.943506,
92,7174600,4512,9565,28.946703,
93,6655200,4508,9565,28.949604,
94,6676900,4522,9565,28.952375,
95,6941500,4519,9565,28.954878,
96,6781800,4521,9565,28.957104,
97,6940000,4517,9565,28.9592,
98,6870600,4515,9565,28.960983,
99,7499000,4520,9565,28.96278,
100,7186100,4521,9564,28.964386,
101,7445500,4521,9564,28.965906,
102,7502600,4521,9563,28.967402,
103,8211800,4520,9563,28.968788,
104,7762800,4522,9563,28.969984,
105,8843800,4518,9563,28.971111,
106,8910900,4521,9563,28.97221,
107,7930100,4523,9563,28.97325,
108,8508900,4515,9562,28.974203,
109,8770000,4517,9562,28.975157,
110,7968600,4516,9562,28.976004,
111,7605200,4515,9562,28.976778,
112,6875100,4519,9562,28.977486,
113,7742500,4520,9562,28.978231,
114,7958500,4520,9562,28.97893,
115,8017600,4519,9561,28.979557,
116,7963300,4526,9561,28.980162,
117,8044300,4519,9561,28.980728,
118,8013100,4521,9561,28.981266,
119,7072800,4517,9561,28.981787,
120,7185500,4523,9561,28.982262,
121,7412800,4523,9561,28.98269,
122,6734400,4521,9561,28.983118,
123,7121000,4522,9561,28.98351,
124,7852000,4518,9561,28.98387,
125,7427400,4521,9561,28.984217,
126,8163800,4521,9561,28.984558,
127,7064800,4517,9561,28.98485,
128,7172400,4522,9561,28.98514,
129,7001400,4521,9561,28.98541,
130,7135700,4519,9560,28.98568,
131,6929300,4526,9559,28.98593,
132,6920800,4524,9559,28.986149,
133,6884300,4516,9559,28.98636,
134,6947900,4520,9559,28.98657,
135,6891300,4522,9559,28.986776,
136,6815500,4519,9559,28.986969,
137,8060900,4521,9559,28.987137,
138,8116300,4521,9559,28.9873,
139,7816400,4521,9559,28.987465,
140,6864400,4518,9559,28.987623,
141,6885500,4523,9559,28.987766,
142,7011700,4524,9559,28.987892,
143,7071700,4523,9559,28.98802,
144,6868900,4520,9559,28.988153,
145,6869400,4519,9559,28.98826,
146,7001400,4520,9559,28.988363,
147,6927400,4522,9559,28.988459,
148,6934700,4517,9559,28.988543,
149,6932600,4519,9559,28.988642,
150,6850700,4522,9559,28.98874,
151,6828100,4520,9559,28.98882,
152,6820300,4523,9559,28.988888,
153,6938900,4523,9559,28.988964,
154,7061900,4524,9559,28.989048,
155,6905400,4521,9559,28.989117,
156,6960000,4520,9559,28.989172,
157,6937400,4519,9559,28.989218,
158,7016600,4519,9559,28.98927,
159,6931700,4518,9559,28.98933,
160,6909500,4519,9559,28.989386,
161,7080900,4521,9559,28.989433,
162,7123700,4518,9559,28.989477,
163,6971300,4520,9559,28.989515,
164,6900900,4520,9559,28.989552,
165,6939200,4519,9559,28.989582,
166,7076100,4516,9559,28.989613,
167,6858800,4518,9559,28.989645,
168,6905300,4518,9559,28.989676,
169,6800800,4514,9559,28.9897,
170,6824900,4515,9559,28.989725,
171,7050200,4512,9559,28.989754,
172,6998900,4513,9559,28.98977,
173,7009800,4515,9559,28.989801,
174,6903700,4515,9559,28.989834,
175,7047900,4515,9559,28.989851,
176,7903600,4514,9559,28.989864,
177,8184200,4516,9559,28.989883,
178,7465000,4515,9559,28.989906,
179,7176200,4515,9559,28.989923,
180,7169700,4515,9559,28.98993,
181,7138100,4517,9559,28.98993,
182,7061500,4517,9559,28.98994,
183,7030200,4516,9559,28.989958,
184,7944200,4516,9559,28.98997,
185,7070800,4514,9559,28.989977,
186,7786300,4515,9559,28.98999,
187,7136300,4516,9559,28.990005,
188,7046000,4519,9559,28.990013,
189,7665400,4519,9559,28.990015,
190,7980900,4519,9559,28.990025,
191,6826500,4520,9559,28.99004,
192,7124400,4522,9559,28.990047,
193,7527600,4521,9559,28.990053,
194,7861400,4522,9559,28.990055,
195,7174300,4521,9559,28.99006,
196,7152600,4522,9559,28.99006,
197,7129400,4523,9559,28.990076,
198,7511600,4523,9559,28.990084,
199,8300000,4524,9559,28.990086,
200,8164900,4522,9559,28.990088,
201,8288800,4522,9559,28.990097,
202,8450900,4521,9559,28.99011,
203,8513200,4525,9559,28.990112,
204,8024400,4526,9559,28.990108,
205,8078900,4524,9559,28.990114,
206,7716700,4523,9559,28.99012,
207,7174000,4523,9559,28.990118,
208,6870300,4523,9559,28.990112,
209,7673700,4522,9559,28.990116,
210,8086400,4522,9559,28.990122,
211,8026400,4523,9559,28.990128,
212,7928900,4523,9559,28.990124,
213,7804600,4523,9559,28.99013,
214,6822800,4524,9559,28.990137,
215,7043200,4524,9559,28.990137,
216,7080000,4526,9559,28.990137,
217,7536900,4524,9559,28.990143,
218,7050700,4525,9559,28.990149,
219,6844800,4524,9559,28.990149,
220,7442100,4523,9559,28.990152,
221,6864800,4522,9559,28.99016,
222,7803700,4522,9559,28.990164,
223,7569900,4520,9559,28.990162,
224,7125200,4521,9559,28.99016,
225,8173100,4522,9559,28.990166,
226,7287100,4521,9559,28.990166,
227,7361000,4522,9559,28.990166,
228,7328000,4521,9559,28.990168,
229,7399700,4519,9559,28.990175,
230,7348200,4521,9559,28.990171,
231,7803700,4522,9559,28.990166,
232,7025900,4523,9559,28.990173,
233,6835700,4527,9559,28.990175,
234,6874000,4523,9559,28.990168,
235,7208700,4525,9559,28.99017,
236,6840900,4525,9559,28.990175,
237,7093700,4526,9559,28.990175,
238,6978700,4525,9559,28.990175,
239,7336700,4524,9559,28.990175,
240,7311400,4524,9559,28.990175,
241,7297500,4521,9559,28.990175,
242,7027200,4520,9559,28.990175,
243,6903800,4520,9559,28.990175,
244,6997900,4521,9559,28.990171,
245,6914000,4520,9559,28.990164,
246,7448700,4521,9559,28.990164,
247,7267500,4521,9559,28.990164,
248,6985900,4520,9559,28.990164,
249,7000500,4522,9559,28.990164,
250,7088400,4521,9559,28.990164,
251,7358400,4522,9559,28.990164,
252,7585300,4523,9559,28.990164,
253,6806300,4523,9559,28.99017,
254,7056600,4523,9559,28.99017,
255,7522600,4521,9559,28.99017,
256,7123800,4519,9559,28.99017,
257,7051600,4519,9559,28.990171,
258,6920200,4520,9559,28.990177,
259,7282000,4520,9559,28.990177,
260,7395900,4520,9559,28.990177,
261,7929600,4519,9559,28.99018,
262,7939500,4518,9559,28.990187,
263,7301900,4518,9559,28.990187,
264,7165000,4518,9559,28.990187,
265,7226100,4518,9559,28.990187,
266,8283100,4518,9559,28.990187,
267,8441400,4518,9559,28.990187,
268,8374800,4518,9559,28.990187,
269,8407500,4518,9559,28.990187,
270,8098600,4518,9559,28.990187,
271,7868800,4518,9559,28.990187,
272,7571500,4518,9559,28.990187,
273,8073000,4518,9559,28.990187,
274,8050600,4518,9559,28.990187,
275,9201100,4518,9559,28.990187,
276,9045800,4519,9559,28.990183,
277,8684400,4518,9559,28.990183,
278,7810700,4518,9559,28.990183,
279,7268400,4519,9559,28.990183,
280,7256200,4518,9559,28.990183,
281,7367800,4520,9559,28.990183,
282,7851600,4520,9559,28.990185,
283,7321900,4518,9559,28.990185,
284,6998400,4518,9559,28.990185,
285,7105900,4519,9559,28.990185,
286,7845400,4520,9559,28.990185,
287,7563000,4519,9559,28.990185,
288,7322600,4520,9559,28.990185,
289,7630700,4518,9559,28.990185,
290,7248100,4517,9559,28.99019,
291,7021200,4517,9559,28.99019,
292,7507300,4519,9559,28.99019,
293,7377800,4517,9559,28.990187,
294,7050300,4517,9559,28.990185,
295,7160500,4516,9559,28.990192,
296,7187800,4516,9559,28.990198,
297,7162300,4515,9559,28.990198,
298,7331800,4515,9559,28.990196,
299,7476900,4515,9559,28.990194,
300,7250100,4515,9559,28.990194,
301,7159400,4515,9559,28.990194,
302,7113000,4515,9559,28.990194,
303,7116200,4516,9559,28.990194,
304,7025300,4515,9559,28.990194,
305,7154400,4517,9559,28.990194,
306,6904500,4517,9559,28.990194,
307,6909900,4517,9559,28.990194,
308,7061700,4516,9559,28.990194,
309,7095800,4516,9559,28.990194,
310,7004100,4516,9559,28.990194,
311,9124400,4516,9559,28.990194,
312,8025900,4515,9559,28.990194,
313,7216400,4515,9559,28.990194,
314,6954100,4515,9559,28.990194,
315,6922600,4517,9559,28.990194,
316,7314500,4515,9559,28.990194,
317,7242500,4517,9559,28.990194,
318,7441200,4516,9559,28.990192,
319,7267100,4516,9559,28.99019,
320,7405700,4515,9559,28.990196,
321,7607600,4515,9559,28.990198,
322,7760500,4517,9559,28.990198,
323,8809800,4517,9559,28.990198,
324,7857500,4517,9559,28.990198,
325,7950600,4516,9559,28.990194,
326,7353500,4516,9559,28.990189,
327,7072400,4516,9559,28.990189,
328,7605100,4515,9559,28.990189,
329,7225500,4514,9559,28.990189,
330,7164400,4515,9559,28.990189,
331,7641800,4513,9559,28.990189,
332,7474400,4513,9559,28.990189,
333,7165500,4512,9559,28.990185,
334,7284600,4513,9559,28.990185,
335,8596400,4514,9559,28.990185,
336,8080400,4513,9559,28.990185,
337,8208800,4516,9559,28.990185,
338,7776000,4517,9559,28.990185,
339,8297000,4518,9559,28.990185,
340,8092300,4517,9559,28.990185,
341,7359400,4517,9559,28.990185,
342,7446300,4517,9559,28.990185,
343,7279200,4517,9559,28.990185,
344,7586200,4517,9559,28.990185,
345,7411700,4517,9559,28.990189,
346,7793800,4517,9559,28.990189,
347,7532300,4517,9559,28.990189,
348,8012700,4517,9559,28.990189,
349,8850100,4516,9559,28.990189,
350,9871300,4515,9559,28.990189,
351,7510700,4516,9559,28.990189,
352,7531200,4517,9559,28.990189,
353,7682800,4518,9559,28.990189,
354,7511400,4518,9559,28.990189,
355,7332100,4519,9559,28.990189,
356,7392500,4518,9559,28.990189,
357,8319300,4519,9559,28.990189,
358,7958600,4520,9559,28.990189,
359,8027200,4521,9559,28.990189,
360,7882500,4521,9559,28.990189,
361,8308400,4521,9559,28.990189,
362,8638900,4521,9559,28.990189,
363,7565300,4521,9559,28.990189,
364,7388300,4521,9559,28.990189,
365,6974200,4521,9559,28.990189,
366,7018700,4521,9559,28.990189,
367,7074000,4521,9559,28.990189,
368,7274000,4521,9559,28.990187,
369,7451300,4520,9559,28.990185,
370,7108900,4520,9559,28.990189,
371,7077300,4520,9559,28.990189,
372,7161400,4520,9559,28.990189,
373,6985400,4520,9559,28.990189,
374,6990400,4520,9559,28.990189,
375,6904500,4520,9559,28.990189,
376,6849200,4520,9559,28.990189,
377,6947300,4520,9559,28.990189,
378,7075400,4520,9559,28.990189,
379,7168600,4520,9559,28.990189,
380,6925400,4521,9559,28.990189,
381,7020200,4521,9559,28.990189,
382,7112700,4521,9559,28.990189,
383,7182000,4521,9559,28.990189,
384,7155200,4521,9559,28.990189,
385,7084500,4521,9559,28.990189,
386,8277900,4520,9559,28.990189,
387,7059000,4520,9559,28.990189,
388,7652000,4520,9559,28.990189,
389,7163600,4520,9559,28.990189,
390,6914000,4521,9559,28.990189,
391,8200100,4521,9559,28.990189,
392,7958000,4521,9559,28.990189,
393,8376600,4521,9559,28.990189,
394,7810000,4521,9559,28.990189,
395,7919600,4520,9559,28.990189,
396,8355100,4520,9559,28.990189,
397,8463900,4520,9559,28.990189,
398,7504700,4520,9559,28.990187,
399,6967300,4519,9559,28.990181,
400,6929000,4520,9559,28.990177,
401,7072000,4520,9559,28.990183,
402,7323500,4520,9559,28.990183,
403,7048200,4520,9559,28.990175,
404,7712000,4520,9559,28.990175,
405,6950300,4520,9559,28.990175,
406,7053800,4520,9559,28.99018,
407,7278100,4519,9559,28.99018,
408,6815400,4519,9559,28.99018,
409,7318700,4518,9559,28.99018,
410,7164500,4519,9559,28.99018,
411,7022000,4519,9559,28.99018,
412,7006200,4519,9559,28.99018,
413,7316800,4519,9559,28.99018,
414,7225300,4519,9559,28.99018,
415,7543600,4519,9559,28.99018,
416,7210600,4519,9559,28.99018,
417,7072900,4519,9559,28.990177,
418,6984700,4519,9559,28.990175,
419,7602600,4519,9559,28.990168,
420,7357500,4519,9559,28.990166,
421,7118500,4520,9559,28.990166,
422,7032600,4519,9559,28.990166,
423,7544900,4519,9559,28.990166,
424,8933200,4519,9559,28.990166,
425,7326400,4518,9559,28.990166,
426,7142300,4520,9559,28.990166,
427,7208700,4519,9559,28.990158,
428,7067600,4519,9559,28.990158,
429,7017800,4519,9559,28.990156,
430,6973300,4518,9559,28.990152,
431,6984700,4518,9559,28.990156,
432,7057400,4518,9559,28.990158,
433,6908800,4518,9559,28.990156,
434,6892900,4518,9559,28.990156,
435,6935000,4519,9559,28.990156,
