step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,9530000,4495,9570,35.998295,,0,9,9,108,91701,7966,3457,9438299,16,151,2244,1,142921,1,401,1,2387292,1,2602786,1,173271,1,4115766,1,13617,1,646133,1,11012,4,545304,4,67944,4,944640,4,1865935,8,2807118,108,0,0,3276,1,20631,1,2926,1,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1
1,8444700,4196,9570,35.993866,,0,8,8,96,59416,1653,4970,8385284,16,139,150,1,35841,1,180,1,1921294,1,2599269,1,105388,1,3711570,1,11593,1,492710,1,9038,4,500636,4,66792,4,884071,4,1729276,8,2608377,96,0,0,3186,1,21552,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1
2,8257200,4142,9570,35.986713,,0,8,8,96,59895,1242,6493,8197305,16,139,401,1,25771,1,541,1,1928658,1,2592837,1,88995,1,3548579,1,11523,1,357765,1,7395,4,487410,4,66020,4,869262,4,1722783,8,2585552,96,0,0,3076,1,30240,1,3387,1,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1
3,8193100,4111,9570,35.976837,,0,8,8,96,54111,2004,10080,8138989,16,139,411,1,28717,1,60,1,1969569,1,2497950,1,97823,1,3533509,1,10952,1,331323,1,10350,4,484404,4,66611,4,876396,4,1717523,8,2583838,96,0,0,4669,1,37173,1,3056,1,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1
4,8048900,4100,9570,35.964233,,0,8,8,96,50407,5421,2666,7998493,16,139,240,1,25180,1,100,1,1958758,1,2434445,1,87212,1,3481467,1,11092,1,295071,1,7855,4,483622,4,66361,4,870134,4,1718815,8,2586283,96,0,0,3186,1,28416,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1
5,8116000,4087,9570,35.948902,,0,8,8,96,53852,1523,2274,8062148,16,139,150,1,24819,1,60,1,1932045,1,2450256,1,88765,1,3555112,1,10942,1,380990,1,8026,4,500185,4,67563,4,866777,4,1695249,8,2559751,96,0,0,3447,1,28697,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1
6,8019700,4079,9570,35.93085,,0,8,8,96,36918,1152,2255,7982782,16,139,40,1,24799,1,150,1,1934249,1,2404846,1,87643,1,3520143,1,10911,1,334970,1,8697,4,521728,4,68234,4,857328,4,1703355,8,2558428,96,0,0,2866,1,19248,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1
7,7939500,4073,9570,35.910072,,0,8,8,96,44130,1092,2154,7895370,16,139,110,1,25150,1,170,1,1931013,1,2380608,1,94406,1,3453151,1,10761,1,309009,1,7254,4,479144,4,66291,4,859142,4,1704737,8,2561725,96,0,0,2936,1,20941,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1
8,7988600,4066,9570,35.88657,,0,8,8,96,71267,1002,2144,7917333,16,139,110,1,25039,1,50,1,1934410,1,2382763,1,86009,1,3471798,1,17154,1,306694,1,7375,4,479274,4,66100,4,855435,4,1700619,8,2553910,96,0,0,2996,1,48245,1,4058,1,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1
9,7954200,4061,9570,35.86034,,0,8,8,96,51696,1373,2455,7902504,16,139,240,1,29278,1,30,1,1933348,1,2354417,1,85528,1,3483090,1,16573,1,289681,1,8146,4,481528,4,66120,4,858190,4,1723254,8,2578989,96,0,0,4218,1,47654,1,2926,1,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1
