step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,7282700,4495,9570,35.998295,,0,9,9,108,86844,6403,4258,7195856,16,153,1092,1,141938,1,281,1,2105809,1,1058581,1,154011,1,3721981,1,12164,1,1378797,1,13266,4,679048,4,83453,4,365074,4,640743,8,1001559,108,0,0,6954,1,545006,1,3236,1,0,0,0,0,0,0,724397,1,127560,1,86479,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1
1,5769800,4196,9570,35.993866,,0,8,8,96,38409,1433,2124,5731391,16,142,220,1,41842,1,281,1,2073767,1,566017,1,94705,1,2943488,1,11072,1,1173606,1,12064,4,582239,4,77041,4,309315,4,533273,8,840464,96,0,0,5571,1,246131,1,2816,1,0,0,0,0,0,0,523755,1,33906,1,4769,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1
2,5544400,4142,9570,35.986713,,0,8,8,96,35915,5371,2164,5508485,16,142,50,1,25971,1,70,1,1888865,1,475691,1,104034,1,3002453,1,11352,1,997311,1,14949,4,709197,4,85347,4,339173,4,661764,8,998774,96,0,0,5902,1,180483,1,2956,1,0,0,0,0,0,0,414451,1,53745,1,4308,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1
3,5170700,4111,9570,35.976837,,0,8,8,96,37609,1323,9469,5133091,16,142,20,1,25540,1,120,1,1902191,1,424300,1,86339,1,2682628,1,11953,1,788242,1,14158,4,602649,4,78133,4,349454,4,678267,8,1018252,96,0,0,6242,1,160544,1,3617,1,0,0,0,0,0,0,396596,1,18727,1,5170,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1
4,5097100,4100,9570,35.964233,,0,8,8,96,39076,1102,4369,5058024,16,142,20,1,26873,1,130,1,1944714,1,438738,1,84616,1,2550449,1,12484,1,775798,1,12124,4,575205,4,77692,4,296690,4,554154,8,846476,96,0,0,5912,1,248095,1,3677,1,0,0,0,0,0,0,406365,1,25410,1,3888,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1
5,5951300,4087,9570,35.948902,,0,8,8,96,38644,1583,4709,5912656,16,142,140,1,27834,1,120,1,2178922,1,545677,1,93303,1,3054946,1,11713,1,1365541,1,12324,4,569835,4,78353,4,303985,4,549585,8,848860,96,0,0,6002,1,164903,1,2836,1,0,0,0,0,0,0,488556,1,46872,1,5731,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1
6,5267500,4079,9570,35.93085,,0,8,8,96,37760,1162,2144,5229740,16,142,100,1,25750,1,341,1,1899215,1,536169,1,104364,1,2651978,1,11823,1,932163,1,12224,4,571187,4,78223,4,300508,4,570366,8,868729,96,0,0,5491,1,177958,1,2695,1,0,0,0,0,0,0,496130,1,32303,1,3838,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1
7,6245200,4073,9570,35.910072,,0,8,8,96,54806,1914,2345,6190394,16,137,150,1,34888,1,150,1,2239280,1,502077,1,101178,1,3300997,1,11673,1,962212,1,13106,4,772160,4,82592,4,460531,4,806237,8,1264423,96,0,0,5912,1,193478,1,2856,1,0,0,0,0,0,0,457550,1,31331,1,3757,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1
8,5949700,4066,9570,35.88657,,0,8,8,96,52294,6954,3246,5897406,16,128,140,1,34708,1,130,1,2319728,1,478556,1,88463,1,2964028,1,11653,1,928336,1,12825,4,678868,4,78463,4,354894,4,701913,8,1053561,96,0,0,5491,1,193318,1,2966,1,0,0,0,0,0,0,441504,1,29317,1,3767,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1
9,5469200,4061,9570,35.86034,,0,8,8,96,36954,1162,2284,5432246,16,142,110,1,35349,1,110,1,2316521,1,427937,1,88112,1,2552693,1,11412,1,760808,1,11693,4,572770,4,76139,4,331088,4,623309,8,952112,96,0,0,9268,1,163740,1,2715,1,0,0,0,0,0,0,398640,1,20620,1,4769,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1
10,5259700,4053,9570,35.831387,,0,8,8,96,37334,1182,2094,5222366,16,142,50,1,25460,1,100,1,2185475,1,433608,1,86660,1,2479370,1,11643,1,771870,1,11973,4,572540,4,77662,4,288464,4,564755,8,851125,96,0,0,7164,1,181014,1,2745,1,0,0,0,0,0,0,401515,1,24588,1,3577,1,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,48,1
11,5260100,4054,9570,35.79971,,0,8,8,96,41532,1283,2024,5218568,16,142,50,1,26191,1,250,1,1956217,1,476412,1,104875,1,2643170,1,11402,1,979997,1,12064,4,572460,4,79736,4,287072,4,549345,8,834392,96,0,0,5972,1,152468,1,2775,1,0,0,0,0,0,0,436414,1,32173,1,3787,1,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,48,1
12,5449800,4056,9570,35.765305,,0,8,8,96,39457,1253,2585,5410343,16,142,10,1,25640,1,200,1,1907131,1,487083,1,87461,1,2891466,1,11352,1,893698,1,12064,4,648358,4,77902,4,361287,4,713666,8,1072368,96,0,0,5892,1,174571,1,2775,1,0,0,0,0,0,0,454669,1,25079,1,3607,1,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,48,1
13,4971500,4055,9570,35.728176,,0,8,8,96,35084,1062,2185,4936416,16,142,40,1,25500,1,110,1,1904596,1,427105,1,87140,1,2480773,1,11152,1,767461,1,11563,4,577860,4,76990,4,298714,4,577530,8,874059,96,0,0,6122,1,160684,1,2785,1,0,0,0,0,0,0,400714,1,18997,1,3627,1,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,48,1
14,5160500,4060,9570,35.688324,,0,8,8,96,35826,1252,1944,5124674,16,142,50,1,25680,1,200,1,2049299,1,417717,1,86649,1,2532163,1,12915,1,815876,1,12074,4,574634,4,77812,4,279567,4,542892,8,820515,96,0,0,5922,1,219059,1,3076,1,0,0,0,0,0,0,378110,1,31922,1,3707,1,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,48,1
15,5055800,4057,9570,35.64575,,0,8,8,96,40950,1172,2325,5014850,16,142,220,1,26913,1,621,1,1910016,1,432696,1,115997,1,2517344,1,11042,1,857427,1,12224,4,573342,4,78574,4,286380,4,555206,8,839261,96,0,0,6032,1,144322,1,2665,1,0,0,0,0,0,0,394291,1,30329,1,4118,1,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,48,1
16,5315100,4055,9570,35.600445,,0,8,8,96,37877,1152,2084,5277223,16,142,40,1,25159,1,80,1,1907571,1,466833,1,90527,1,2776211,1,10801,1,865984,1,13456,4,680762,4,78924,4,329825,4,629501,8,957242,96,0,0,5952,1,167347,1,3306,1,0,0,0,0,0,0,414601,1,45519,1,3667,1,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,48,1
17,5156200,4051,9570,35.552414,,0,8,8,96,37207,1283,2485,5118993,16,142,10,1,25360,1,80,1,1914445,1,403970,1,86028,1,2677197,1,11903,1,764195,1,12555,4,578311,4,85988,4,396305,4,662255,8,1056076,96,0,0,6112,1,166906,1,3286,1,0,0,0,0,0,0,379733,1,18055,1,3497,1,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,48,1
18,5136700,4049,9570,35.501663,,0,8,8,96,39099,1122,2124,5097601,16,142,30,1,25821,1,291,1,1922731,1,439279,1,87371,1,2607250,1,14829,1,769615,1,12074,4,575115,4,77391,4,298885,4,566087,8,862848,96,0,0,5451,1,293324,1,8186,1,0,0,0,0,0,0,406074,1,25760,1,3667,1,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,48,1
19,5568900,4050,9570,35.448185,,0,8,8,96,37530,1593,2655,5531370,16,142,30,1,30059,1,120,1,2041644,1,495670,1,87772,1,2864644,1,11432,1,1168676,1,12304,4,576418,4,78003,4,299075,4,561258,8,857678,96,0,0,6012,1,158410,1,2896,1,0,0,0,0,0,0,445742,1,43114,1,3537,1,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,48,1
20,6803000,4829,9570,35.391983,,0,14,12,144,48007,2926,6262,6754993,16,209,220,1,38976,1,90,1,2269780,1,515739,1,318393,1,3599691,1,12104,1,1410860,1,12474,4,691192,4,76981,4,399481,4,777381,8,1129870,144,40730,24,6633,1,218868,1,2896,1,0,0,0,0,0,0,429620,1,62182,1,17995,1,18718,1,144,1,9570,1,4829,1,18862,1,9570,1,48,1
21,5958500,4715,9570,35.333054,,0,13,11,132,38800,1162,5401,5919700,16,202,120,1,31011,1,190,1,1927430,1,523875,1,141557,1,3283864,1,11653,1,1133437,1,13035,4,688928,4,78073,4,396395,4,698817,8,1060334,132,29478,24,6833,1,264417,1,2765,1,0,0,0,0,0,0,466242,1,46501,1,7154,1,17266,1,101,1,9570,1,4715,1,17367,1,9570,1,48,1
22,5825500,4565,9570,35.2714,,0,13,10,120,39522,1252,4669,5785978,16,202,170,1,25911,1,100,1,1909565,1,559474,1,126678,1,3152106,1,11973,1,992151,1,12174,4,673467,4,77712,4,402557,4,774756,8,1112476,120,60168,36,6302,1,209009,1,2725,1,0,0,0,0,0,0,516190,1,31882,1,6873,1,16624,1,220,1,9570,1,4565,1,16844,1,9570,1,48,1
23,5569600,4496,9570,35.207024,,0,13,10,120,37699,1182,5441,5531901,16,202,190,1,25871,1,180,1,1909395,1,502703,1,101589,1,2978937,1,13035,1,841306,1,11262,4,610154,4,77712,4,435833,4,752953,8,1126554,120,56791,36,9048,1,234669,1,4819,1,0,0,0,0,0,0,462184,1,30460,1,5060,1,16445,1,200,1,9570,1,4496,1,16645,1,9570,1,48,1
24,5585700,4419,9570,35.13992,,0,12,10,120,36846,1052,4819,5548854,16,190,20,1,34908,1,110,1,2071642,1,509256,1,99254,1,2819195,1,14468,1,823922,1,12114,4,602138,4,80778,4,371066,4,684880,8,1029354,120,21773,24,7735,1,231874,1,3637,1,0,0,0,0,0,0,470611,1,30510,1,4890,1,16356,1,88,1,9570,1,4419,1,16444,1,9570,1,48,1
