step,wall_ns,manifolds,pairs,top_y,awake
0,8978900,4495,9570,35.998295,
1,8061600,4196,9570,35.993866,
2,7841800,4142,9570,35.986713,
3,7726600,4111,9570,35.976837,
4,7731600,4100,9570,35.964233,
5,7685200,4087,9570,35.948902,
6,7619600,4079,9570,35.93085,
7,7596000,4073,9570,35.910072,
8,7985200,4066,9570,35.88657,
9,7564500,4061,9570,35.86034,
10,7521900,4053,9570,35.831387,
11,8576800,4054,9570,35.79971,
12,7614800,4056,9570,35.765305,
13,7826700,4055,9570,35.728176,
14,7813700,4060,9570,35.688324,
15,7583700,4057,9570,35.64575,
16,7984100,4055,9570,35.600445,
17,8488500,4051,9570,35.552414,
18,8078600,4049,9570,35.501663,
19,7660300,4050,9570,35.448185,
20,8475900,4829,9570,35.391983,
21,9607600,4715,9570,35.333054,
22,10834700,4565,9570,35.2714,
23,9155500,4496,9570,35.207024,
24,8560000,4419,9570,35.13992,
25,9643400,4390,9570,35.07009,
26,9002400,4353,9570,34.997536,
27,9359300,4336,9570,34.92226,
28,9657300,4982,9570,34.844257,
29,9454900,4783,9570,34.763527,
30,9458300,4670,9570,34.680073,
31,9213000,4639,9570,34.593895,
32,8609000,4573,9570,34.504993,
33,9010400,4491,9570,34.413364,
34,9602900,5031,9570,34.31901,
35,9235200,4806,9570,34.221935,
36,9471200,4646,9570,34.12213,
37,8647300,4535,9570,34.019604,
38,8685700,4502,9570,33.91435,
39,9039000,4984,9570,33.806374,
40,9334600,5009,9570,33.69567,
41,9074900,4852,9570,33.58224,
42,9155200,4753,9570,33.466087,
43,8920000,4728,9570,33.34721,
44,9570400,4996,9570,33.22561,
45,9327200,5112,9570,33.10128,
46,10163200,4923,9570,32.974224,
47,10290100,4760,9570,32.844448,
48,10695600,5001,9570,32.711945,
49,10066000,5139,9570,32.576717,
50,9286900,4996,9570,32.438763,
51,9227700,4871,9570,32.298084,
52,9376400,5093,9570,32.154682,
53,9223700,4972,9570,32.008553,
54,9363300,4792,9570,31.8597,
55,9266100,4796,9570,31.70812,
56,9338500,4911,9570,31.553818,
57,9129500,4780,9570,31.39679,
58,8962700,4734,9570,31.237036,
59,9028600,4748,9570,31.074558,
60,8999800,4704,9570,30.909355,
61,9342700,4678,9570,30.741426,
62,8902000,4666,9570,30.570772,
63,8865100,4609,9570,30.397394,
64,8837400,4623,9570,30.22129,
65,8819400,4625,9570,30.042463,
66,8837300,4579,9570,29.860909,
67,9109300,4610,9570,29.67663,
68,9071000,4550,9570,29.489626,
69,8757900,4524,9570,29.299898,
70,8888600,4535,9570,29.107445,
71,8755300,4528,9570,28.912266,
72,8690500,4533,9570,28.714361,
73,9636400,4529,9570,28.745474,
74,8733300,4530,9570,28.77165,
75,8961600,4529,9570,28.79591,
76,9155100,4524,9570,28.816788,
77,11015500,4517,9570,28.83433,
78,9274700,4520,9570,28.848581,
79,9566300,4514,9568,28.862343,
80,9083800,4519,9568,28.873486,
81,8964400,4518,9568,28.88324,
82,8839700,4518,9568,28.892859,
83,8703600,4516,9568,28.90075,
84,8617400,4517,9567,28.907646,
85,9784500,4508,9565,28.914537,
86,9526400,4519,9565,28.920815,
87,9065800,4516,9565,28.92588,
88,8903900,4518,9565,28.930962,
89,9158400,4519,9565,28.935617,
90,9123200,4514,9565,28.939785,
91,9426300,4516,9565,28.943506,
92,8669200,4512,9565,28.946703,
93,8619400,4508,9565,28.949604,
94,8623800,4522,9565,28.952375,
95,8609100,4519,9565,28.954878,
96,9645700,4521,9565,28.957104,
97,9582400,4517,9565,28.9592,
98,8674100,4515,9565,28.960983,
99,8695000,4520,9565,28.96278,
100,8845500,4521,9564,28.964386,
101,8775500,4521,9564,28.965906,
102,8721700,4521,9563,28.967402,
103,8747500,4520,9563,28.968788,
104,9291600,4522,9563,28.969984,
105,9007500,4518,9563,28.971111,
106,8648400,4521,9563,28.97221,
107,9114600,4523,9563,28.97325,
108,8958800,4515,9562,28.974203,
109,8614100,4517,9562,28.975157,
110,8612100,4516,9562,28.976004,
111,8602200,4515,9562,28.976778,
112,8549300,4519,9562,28.977486,
113,8631400,4520,9562,28.978231,
114,8707800,4520,9562,28.97893,
115,8631000,4519,9561,28.979557,
116,8623100,4526,9561,28.980162,
117,8598200,4519,9561,28.980728,
118,8681400,4521,9561,28.981266,
119,8633400,4517,9561,28.981787,
120,8571600,4523,9561,28.982262,
121,8550200,4523,9561,28.98269,
122,8732800,4521,9561,28.983118,
123,8609100,4522,9561,28.98351,
124,9033900,4518,9561,28.98387,
125,8642800,4521,9561,28.984217,
126,8984000,4521,9561,28.984558,
127,8563100,4517,9561,28.98485,
128,8578300,4522,9561,28.98514,
129,9521000,4521,9561,28.98541,
130,9155200,4519,9560,28.98568,
131,8595800,4526,9559,28.98593,
132,8600100,4524,9559,28.986149,
133,9015400,4516,9559,28.98636,
134,8542400,4520,9559,28.98657,
135,9121200,4522,9559,28.986776,
136,9399000,4519,9559,28.986969,
137,8734700,4521,9559,28.987137,
138,9191900,4521,9559,28.9873,
139,9248300,4521,9559,28.987465,
140,9390100,4518,9559,28.987623,
141,9508100,4523,9559,28.987766,
142,8655500,4524,9559,28.987892,
143,9918100,4523,9559,28.98802,
144,10203300,4520,9559,28.988153,
145,10773500,4519,9559,28.98826,
146,9430500,4520,9559,28.988363,
147,8951900,4522,9559,28.988459,
148,8872100,4517,9559,28.988543,
149,8978200,4519,9559,28.988642,
150,9084400,4522,9559,28.98874,
151,8829500,4520,9559,28.98882,
152,8735500,4523,9559,28.988888,
153,9579300,4523,9559,28.988964,
154,10717800,4524,9559,28.989048,
155,9162000,4521,9559,28.989117,
156,10713900,4520,9559,28.989172,
157,9639700,4519,9559,28.989218,
158,8700400,4519,9559,28.98927,
159,9080900,4518,9559,28.98933,
160,8765900,4519,9559,28.989386,
161,9068400,4521,9559,28.989433,
162,8662200,4518,9559,28.989477,
163,8733100,4520,9559,28.989515,
164,8653700,4520,9559,28.989552,
165,8904800,4519,9559,28.989582,
166,9124300,4516,9559,28.989613,
167,9703700,4518,9559,28.989645,
168,9778300,4518,9559,28.989676,
169,10150900,4514,9559,28.9897,
170,9464600,4515,9559,28.989725,
171,8621100,4512,9559,28.989754,
172,8800600,4513,9559,28.98977,
173,8602000,4515,9559,28.989801,
174,8624400,4515,9559,28.989834,
175,8792100,4515,9559,28.989851,
176,9009800,4514,9559,28.989864,
177,9174500,4516,9559,28.989883,
178,9508500,4515,9559,28.989906,
179,10150300,4515,9559,28.989923,
180,9222200,4515,9559,28.98993,
181,10536800,4517,9559,28.98993,
182,9306800,4517,9559,28.98994,
183,8589600,4516,9559,28.989958,
184,9022800,4516,9559,28.98997,
185,9014700,4514,9559,28.989977,
186,8707500,4515,9559,28.98999,
187,8570300,4516,9559,28.990005,
188,8696500,4519,9559,28.990013,
189,8911600,4519,9559,28.990015,
190,8711200,4519,9559,28.990025,
191,8635100,4520,9559,28.99004,
192,8854600,4522,9559,28.990047,
193,8672100,4521,9559,28.990053,
194,8640100,4522,9559,28.990055,
195,9946600,4521,9559,28.99006,
196,8595100,4522,9559,28.99006,
197,8560700,4523,9559,28.990076,
198,8613000,4523,9559,28.990084,
199,9123900,4524,9559,28.990086,
200,8597700,4522,9559,28.990088,
201,8604400,4522,9559,28.990097,
202,8563200,4521,9559,28.99011,
203,9146100,4525,9559,28.990112,
204,8918000,4526,9559,28.990108,
205,8539200,4524,9559,28.990114,
206,8512800,4523,9559,28.99012,
207,8665500,4523,9559,28.990118,
208,8566200,4523,9559,28.990112,
209,9103700,4522,9559,28.990116,
210,10565400,4522,9559,28.990122,
211,10034500,4523,9559,28.990128,
212,9547800,4523,9559,28.990124,
213,9167800,4523,9559,28.99013,
214,8686200,4524,9559,28.990137,
215,8666300,4524,9559,28.990137,
216,8743400,4526,9559,28.990137,
217,8679800,4524,9559,28.990143,
218,8631500,4525,9559,28.990149,
219,8640900,4524,9559,28.990149,
220,8652600,4523,9559,28.990152,
221,8605500,4522,9559,28.99016,
222,8620400,4522,9559,28.990164,
223,8562600,4520,9559,28.990162,
224,9418100,4521,9559,28.99016,
225,9501400,4522,9559,28.990166,
226,9266300,4521,9559,28.990166,
227,8674300,4522,9559,28.990166,
228,8623100,4521,9559,28.990168,
229,8555800,4519,9559,28.990175,
230,8593000,4521,9559,28.990171,
231,8664200,4522,9559,28.990166,
232,8674700,4523,9559,28.990173,
233,8555700,4527,9559,28.990175,
234,8547800,4523,9559,28.990168,
235,9109800,4525,9559,28.99017,
236,9168700,4525,9559,28.990175,
237,8626800,4526,9559,28.990175,
238,9449100,4525,9559,28.990175,
239,8976900,4524,9559,28.990175,
240,8712400,4524,9559,28.990175,
241,8602300,4521,9559,28.990175,
242,8651800,4520,9559,28.990175,
243,9188300,4520,9559,28.990175,
244,9313600,4521,9559,28.990171,
245,10107100,4520,9559,28.990164,
246,8683700,4521,9559,28.990164,
247,8797500,4521,9559,28.990164,
248,8660400,4520,9559,28.990164,
249,8841100,4522,9559,28.990164,
250,8601700,4521,9559,28.990164,
251,8749200,4522,9559,28.990164,
252,8633200,4523,9559,28.990164,
253,8716600,4523,9559,28.99017,
254,8961500,4523,9559,28.99017,
255,9260000,4521,9559,28.99017,
256,8656100,4519,9559,28.99017,
257,8687800,4519,9559,28.990171,
258,8731300,4520,9559,28.990177,
259,9960800,4520,9559,28.990177,
260,9204300,4520,9559,28.990177,
261,8609800,4519,9559,28.99018,
262,8692400,4518,9559,28.990187,
263,8813500,4518,9559,28.990187,
264,8994900,4518,9559,28.990187,
265,9083200,4518,9559,28.990187,
266,8629400,4518,9559,28.990187,
267,8943900,4518,9559,28.990187,
268,9934800,4518,9559,28.990187,
269,10095800,4518,9559,28.990187,
270,8932000,4518,9559,28.990187,
271,8604300,4518,9559,28.990187,
272,8841000,4518,9559,28.990187,
273,8707800,4518,9559,28.990187,
274,8664000,4518,9559,28.990187,
275,8684900,4518,9559,28.990187,
276,8895800,4519,9559,28.990183,
277,9006600,4518,9559,28.990183,
278,8705900,4518,9559,28.990183,
279,8983600,4519,9559,28.990183,
280,8819200,4518,9559,28.990183,
281,9000500,4520,9559,28.990183,
282,8647200,4520,9559,28.990185,
283,8568300,4518,9559,28.990185,
284,9062200,4518,9559,28.990185,
285,9077400,4519,9559,28.990185,
286,9469600,4520,9559,28.990185,
287,10796000,4519,9559,28.990185,
288,9682900,4520,9559,28.990185,
289,10519600,4518,9559,28.990185,
290,9593600,4517,9559,28.99019,
291,9398500,4517,9559,28.99019,
292,9573900,4519,9559,28.99019,
293,9168000,4517,9559,28.990187,
294,8777900,4517,9559,28.990185,
295,8718800,4516,9559,28.990192,
296,9118200,4516,9559,28.990198,
297,9246000,4515,9559,28.990198,
298,8873500,4515,9559,28.990196,
299,8946600,4515,9559,28.990194,
300,8705400,4515,9559,28.990194,
301,8853600,4515,9559,28.990194,
302,8766200,4515,9559,28.990194,
303,8652700,4516,9559,28.990194,
304,8576200,4515,9559,28.990194,
305,8658300,4517,9559,28.990194,
306,8678900,4517,9559,28.990194,
307,9155400,4517,9559,28.990194,
308,9548600,4516,9559,28.990194,
309,8993900,4516,9559,28.990194,
310,8729800,4516,9559,28.990194,
311,8608800,4516,9559,28.990194,
312,10198000,4515,9559,28.990194,
313,8853800,4515,9559,28.990194,
314,9095400,4515,9559,28.990194,
315,10166500,4517,9559,28.990194,
316,10093900,4515,9559,28.990194,
317,9266200,4517,9559,28.990194,
318,9852600,4516,9559,28.990192,
319,9313500,4516,9559,28.99019,
320,9089000,4515,9559,28.990196,
321,9145400,4515,9559,28.990198,
322,8758400,4517,9559,28.990198,
323,8694500,4517,9559,28.990198,
324,8780300,4517,9559,28.990198,
325,9583200,4516,9559,28.990194,
326,8639600,4516,9559,28.990189,
327,9266100,4516,9559,28.990189,
328,9691500,4515,9559,28.990189,
329,9302000,4514,9559,28.990189,
330,9295200,4515,9559,28.990189,
331,8699200,4513,9559,28.990189,
332,8702200,4513,9559,28.990189,
333,8624700,4512,9559,28.990185,
334,8839000,4513,9559,28.990185,
335,8968900,4514,9559,28.990185,
336,9391500,4513,9559,28.990185,
337,8761800,4516,9559,28.990185,
338,8662900,4517,9559,28.990185,
339,8545700,4518,9559,28.990185,
340,8582100,4517,9559,28.990185,
341,8752300,4517,9559,28.990185,
342,8643400,4517,9559,28.990185,
343,9040600,4517,9559,28.990185,
344,10108200,4517,9559,28.990185,
345,8850700,4517,9559,28.990189,
346,8619100,4517,9559,28.990189,
347,8636100,4517,9559,28.990189,
348,9564800,4517,9559,28.990189,
349,8747500,4516,9559,28.990189,
350,8679100,4515,9559,28.990189,
351,9393200,4516,9559,28.990189,
352,8819500,4517,9559,28.990189,
353,8631900,4518,9559,28.990189,
354,8883100,4518,9559,28.990189,
355,9560600,4519,9559,28.990189,
356,9300700,4518,9559,28.990189,
357,9104700,4519,9559,28.990189,
358,9557000,4520,9559,28.990189,
359,9315700,4521,9559,28.990189,
360,8804300,4521,9559,28.990189,
361,8820600,4521,9559,28.990189,
362,8641800,4521,9559,28.990189,
363,8691600,4521,9559,28.990189,
364,8643500,4521,9559,28.990189,
365,9327800,4521,9559,28.990189,
366,9914100,4521,9559,28.990189,
367,8905200,4521,9559,28.990189,
368,8744100,4521,9559,28.990187,
369,9360400,4520,9559,28.990185,
370,9758200,4520,9559,28.990189,
371,8665200,4520,9559,28.990189,
372,8550800,4520,9559,28.990189,
373,8599500,4520,9559,28.990189,
374,8620200,4520,9559,28.990189,
375,9304900,4520,9559,28.990189,
376,9465600,4520,9559,28.990189,
377,8678700,4520,9559,28.990189,
378,9311900,4520,9559,28.990189,
379,9557200,4520,9559,28.990189,
380,10273500,4521,9559,28.990189,
381,8820300,4521,9559,28.990189,
382,8797400,4521,9559,28.990189,
383,8802100,4521,9559,28.990189,
384,8845200,4521,9559,28.990189,
385,8650100,4521,9559,28.990189,
386,8616300,4520,9559,28.990189,
387,8553600,4520,9559,28.990189,
388,8656000,4520,9559,28.990189,
389,8636900,4520,9559,28.990189,
390,8635300,4521,9559,28.990189,
391,9552900,4521,9559,28.990189,
392,9039500,4521,9559,28.990189,
393,8726700,4521,9559,28.990189,
394,9278200,4521,9559,28.990189,
395,9410800,4520,9559,28.990189,
396,8599500,4520,9559,28.990189,
397,9367700,4520,9559,28.990189,
398,9229800,4520,9559,28.990187,
399,8677000,4519,9559,28.990181,
400,8573500,4520,9559,28.990177,
401,8565000,4520,9559,28.990183,
402,8711900,4520,9559,28.990183,
403,8773100,4520,9559,28.990175,
404,8686000,4520,9559,28.990175,
405,8584900,4520,9559,28.990175,
406,8631900,4520,9559,28.99018,
407,8584900,4519,9559,28.99018,
408,9279300,4519,9559,28.99018,
409,11454900,4518,9559,28.99018,
410,10105900,4519,9559,28.99018,
411,10490400,4519,9559,28.99018,
412,9289700,4519,9559,28.99018,
413,9180600,4519,9559,28.99018,
414,9222300,4519,9559,28.99018,
415,8986600,4519,9559,28.99018,
416,8671100,4519,9559,28.99018,
417,9406100,4519,9559,28.990177,
418,10240100,4519,9559,28.990175,
419,11176700,4519,9559,28.990168,
420,9968300,4519,9559,28.990166,
421,10071100,4520,9559,28.990166,
422,9953400,4519,9559,28.990166,
423,9029400,4519,9559,28.990166,
424,9514600,4519,9559,28.990166,
425,9026700,4518,9559,28.990166,
426,8883000,4520,9559,28.990166,
427,8746600,4519,9559,28.990158,
428,8654500,4519,9559,28.990158,
429,8656300,4519,9559,28.990156,
430,8632200,4518,9559,28.990152,
431,8741200,4518,9559,28.990156,
432,8690200,4518,9559,28.990158,
433,8624800,4518,9559,28.990156,
434,8981100,4518,9559,28.990156,
435,8933000,4519,9559,28.990156,
436,9276100,4519,9559,28.990156,
437,9700400,4519,9559,28.990156,
438,9385100,4519,9559,28.990156,
439,9074900,4520,9559,28.990156,
440,8683800,4521,9559,28.990154,
441,8689000,4521,9559,28.990154,
442,8646600,4522,9559,28.990156,
443,8652600,4523,9559,28.990156,
444,9182000,4524,9559,28.990156,
445,9255100,4523,9559,28.990156,
446,9709300,4522,9559,28.990156,
447,10289500,4523,9559,28.990156,
448,9422700,4523,9559,28.990156,
449,9063100,4522,9559,28.990156,
450,8751600,4522,9559,28.990156,
451,8635700,4523,9559,28.990152,
452,8647200,4523,9559,28.99015,
453,9046300,4522,9559,28.990156,
454,9168400,4522,9559,28.990156,
455,8648700,4521,9559,28.990156,
456,8633900,4522,9559,28.990152,
457,8595600,4522,9559,28.990152,
458,8663100,4521,9559,28.990152,
459,8643800,4523,9559,28.990152,
460,8574700,4522,9559,28.990152,
461,8584000,4521,9559,28.990152,
462,8827100,4522,9559,28.990152,
463,8823000,4522,9559,28.990152,
464,9005300,4521,9559,28.990152,
465,9117700,4523,9559,28.990152,
466,8834300,4523,9559,28.990147,
467,8649800,4523,9559,28.990145,
468,8829700,4523,9559,28.990145,
469,9514400,4523,9559,28.990139,
470,9156200,4522,9559,28.990139,
471,8656000,4521,9559,28.990147,
472,8583900,4521,9559,28.990149,
473,8698700,4520,9559,28.990149,
474,8853000,4520,9559,28.990149,
475,8822400,4519,9559,28.990149,
476,9524900,4519,9559,28.990149,
477,8767500,4519,9559,28.990149,
478,9458100,4519,9559,28.990145,
479,9740000,4518,9559,28.99014,
480,8626400,4517,9559,28.99014,
481,8600800,4516,9559,28.99014,
482,10083900,4516,9559,28.99014,
483,8676000,4516,9559,28.99014,
484,8537400,4515,9559,28.99014,
485,8961900,4516,9559,28.99014,
486,8865600,4514,9559,28.99014,
487,8841300,4514,9559,28.990133,
488,9215900,4514,9559,28.990128,
489,10296600,4513,9559,28.990131,
490,8747000,4513,9559,28.990131,
491,9013000,4514,9559,28.990131,
492,10241400,4514,9559,28.990131,
493,9807700,4514,9559,28.990131,
494,10252500,4513,9559,28.99013,
495,8961300,4514,9559,28.990126,
496,8701800,4514,9559,28.990126,
497,10169100,4515,9559,28.990126,
498,8814600,4514,9559,28.990126,
499,8987200,4515,9559,28.990126,
500,8582300,4514,9559,28.990126,
