step,wall_ns,manifolds,pairs,top_y,awake
0,8187500,4495,9570,35.998295,
1,6402600,4196,9570,35.993866,
2,5316200,4142,9570,35.986713,
3,5431300,4111,9570,35.976837,
4,5545500,4100,9570,35.964233,
5,5003700,4087,9570,35.948902,
6,5929000,4079,9570,35.93085,
7,5615600,4073,9570,35.910072,
8,5134400,4066,9570,35.88657,
9,5432100,4061,9570,35.86034,
10,5186700,4053,9570,35.831387,
11,5544700,4054,9570,35.79971,
12,5449800,4056,9570,35.765305,
13,5499400,4055,9570,35.728176,
14,4994800,4060,9570,35.688324,
15,4975300,4057,9570,35.64575,
16,5048000,4055,9570,35.600445,
17,5591900,4051,9570,35.552414,
18,5272400,4049,9570,35.501663,
19,4985000,4050,9570,35.448185,
20,6103800,4829,9570,35.391983,
21,5976700,4715,9570,35.333054,
22,6077000,4565,9570,35.2714,
23,5810700,4496,9570,35.207024,
24,5392400,4419,9570,35.13992,
25,6083100,4390,9570,35.07009,
26,5968100,4353,9570,34.997536,
27,5735600,4336,9570,34.92226,
28,6346200,4982,9570,34.844257,
29,6301900,4783,9570,34.763527,
30,7444300,4670,9570,34.680073,
31,6753400,4639,9570,34.593895,
32,6403900,4573,9570,34.504993,
33,6031800,4491,9570,34.413364,
34,6857000,5031,9570,34.31901,
35,5942700,4806,9570,34.221935,
36,5981500,4646,9570,34.12213,
37,6041500,4535,9570,34.019604,
38,5563500,4502,9570,33.91435,
39,5998900,4984,9570,33.806374,
40,6321500,5009,9570,33.69567,
41,6071300,4852,9570,33.58224,
42,5640100,4753,9570,33.466087,
43,5875100,4728,9570,33.34721,
44,6862200,4996,9570,33.22561,
45,6319400,5112,9570,33.10128,
46,5867000,4923,9570,32.974224,
47,5956600,4760,9570,32.844448,
48,6140000,5001,9570,32.711945,
49,6526000,5139,9570,32.576717,
50,6085300,4996,9570,32.438763,
51,6067800,4871,9570,32.298084,
52,6095900,5093,9570,32.154682,
53,6430200,4972,9570,32.008553,
54,5734700,4792,9570,31.8597,
55,6802800,4796,9570,31.70812,
56,7294200,4911,9570,31.553818,
57,7448900,4780,9570,31.39679,
58,6498900,4734,9570,31.237036,
59,6420500,4748,9570,31.074558,
60,6533400,4704,9570,30.909355,
61,7559900,4678,9570,30.741426,
62,7139100,4666,9570,30.570772,
63,6454800,4609,9570,30.397394,
64,5798900,4623,9570,30.22129,
65,6498200,4625,9570,30.042463,
66,7517800,4579,9570,29.860909,
67,8349300,4610,9570,29.67663,
68,7705200,4550,9570,29.489626,
69,8977500,4524,9570,29.299898,
70,9532700,4535,9570,29.107445,
71,10438100,4528,9570,28.912266,
72,9880000,4533,9570,28.714361,
73,8778100,4529,9570,28.745474,
74,7219700,4530,9570,28.77165,
75,6918500,4529,9570,28.79591,
76,7116700,4524,9570,28.816788,
77,8528200,4517,9570,28.83433,
78,7251200,4520,9570,28.848581,
79,6992700,4514,9568,28.862343,
80,6936000,4519,9568,28.873486,
81,6334900,4518,9568,28.88324,
82,6840600,4518,9568,28.892859,
83,7140700,4516,9568,28.90075,
84,6048800,4517,9567,28.907646,
85,6001600,4508,9565,28.914537,
86,6163300,4519,9565,28.920815,
87,6041900,4516,9565,28.92588,
88,6759600,4518,9565,28.930962,
89,6525100,4519,9565,28.935617,
90,6743100,4514,9565,28.939785,
91,7124900,4516,9565,28.943506,
92,6618900,4512,9565,28.946703,
93,6273000,4508,9565,28.949604,
94,6163500,4522,9565,28.952375,
95,6297600,4519,9565,28.954878,
96,6739300,4521,9565,28.957104,
97,6764900,4517,9565,28.9592,
98,7468700,4515,9565,28.960983,
99,7230600,4520,9565,28.96278,
100,7269100,4521,9564,28.964386,
101,6274700,4521,9564,28.965906,
