step,wall_ns,manifolds,pairs,top_y,awake
0,6208900,4495,9570,35.998295,
1,4835800,4196,9570,35.993866,
2,4287000,4142,9570,35.986713,
3,4512200,4111,9570,35.976837,
4,4361300,4100,9570,35.964233,
5,4191900,4087,9570,35.948902,
6,4449800,4079,9570,35.93085,
7,4353000,4073,9570,35.910072,
8,4159700,4066,9570,35.88657,
9,4344500,4061,9570,35.86034,
10,4218100,4053,9570,35.831387,
11,4289000,4054,9570,35.79971,
12,4285000,4056,9570,35.765305,
13,4154200,4055,9570,35.728176,
14,4324600,4060,9570,35.688324,
15,4145300,4057,9570,35.64575,
16,4275000,4055,9570,35.600445,
17,4315200,4051,9570,35.552414,
18,4208600,4049,9570,35.501663,
19,4199300,4050,9570,35.448185,
20,4674500,4829,9570,35.391983,
21,4852300,4715,9570,35.333054,
22,4763900,4565,9570,35.2714,
23,4472200,4496,9570,35.207024,
24,4352100,4419,9570,35.13992,
25,4675900,4390,9570,35.07009,
26,4409600,4353,9570,34.997536,
27,4342900,4336,9570,34.92226,
28,5157900,4982,9570,34.844257,
29,4823700,4783,9570,34.763527,
30,4717000,4670,9570,34.680073,
31,4593400,4639,9570,34.593895,
32,4511500,4573,9570,34.504993,
33,4411900,4491,9570,34.413364,
34,4847200,5031,9570,34.31901,
35,4630000,4806,9570,34.221935,
36,4848100,4646,9570,34.12213,
37,4514000,4535,9570,34.019604,
38,4476800,4502,9570,33.91435,
39,4811400,4984,9570,33.806374,
40,4741600,5009,9570,33.69567,
41,4774200,4852,9570,33.58224,
42,5122900,4753,9570,33.466087,
43,5403900,4728,9570,33.34721,
44,5906200,4996,9570,33.22561,
45,5711600,5112,9570,33.10128,
46,5457500,4923,9570,32.974224,
47,5425700,4760,9570,32.844448,
48,5250600,5001,9570,32.711945,
49,5853400,5139,9570,32.576717,
50,4873900,4996,9570,32.438763,
51,5000300,4871,9570,32.298084,
52,4949400,5093,9570,32.154682,
53,5039600,4972,9570,32.008553,
54,4789500,4792,9570,31.8597,
55,5227500,4796,9570,31.70812,
56,4940000,4911,9570,31.553818,
57,4876000,4780,9570,31.39679,
58,4594300,4734,9570,31.237036,
59,4711500,4748,9570,31.074558,
60,4747800,4704,9570,30.909355,
61,4432400,4678,9570,30.741426,
62,4584100,4666,9570,30.570772,
63,4537200,4609,9570,30.397394,
64,4490800,4623,9570,30.22129,
65,4947900,4625,9570,30.042463,
66,4719800,4579,9570,29.860909,
67,4535200,4610,9570,29.67663,
68,4684500,4550,9570,29.489626,
69,4567500,4524,9570,29.299898,
70,4494800,4535,9570,29.107445,
71,4549800,4528,9570,28.912266,
72,4546600,4533,9570,28.714361,
73,4437000,4529,9570,28.745474,
74,4820600,4530,9570,28.77165,
75,4643700,4529,9570,28.79591,
76,4463900,4524,9570,28.816788,
77,4521700,4517,9570,28.83433,
78,4554300,4520,9570,28.848581,
79,4628400,4514,9568,28.862343,
80,4459600,4519,9568,28.873486,
81,4472000,4518,9568,28.88324,
82,4660100,4518,9568,28.892859,
83,4839100,4516,9568,28.90075,
84,4691400,4517,9567,28.907646,
85,4839700,4508,9565,28.914537,
86,5324300,4519,9565,28.920815,
87,5875000,4516,9565,28.92588,
88,5123200,4518,9565,28.930962,
89,4815700,4519,9565,28.935617,
90,5120300,4514,9565,28.939785,
91,5231600,4516,9565,28.943506,
92,4865900,4512,9565,28.946703,
93,4998300,4508,9565,28.949604,
94,4748900,4522,9565,28.952375,
95,4520700,4519,9565,28.954878,
96,4757200,4521,9565,28.957104,
97,4957200,4517,9565,28.9592,
98,5003500,4515,9565,28.960983,
99,4494400,4520,9565,28.96278,
100,4649200,4521,9564,28.964386,
101,4996800,4521,9564,28.965906,
102,4470600,4521,9563,28.967402,
103,4767500,4520,9563,28.968788,
104,4849600,4522,9563,28.969984,
105,4466700,4518,9563,28.971111,
106,5432300,4521,9563,28.97221,
107,5180300,4523,9563,28.97325,
108,4910600,4515,9562,28.974203,
109,4891400,4517,9562,28.975157,
110,5102900,4516,9562,28.976004,
111,5825600,4515,9562,28.976778,
112,4826800,4519,9562,28.977486,
113,5043400,4520,9562,28.978231,
114,5554800,4520,9562,28.97893,
115,5221100,4519,9561,28.979557,
116,4722100,4526,9561,28.980162,
117,4758400,4519,9561,28.980728,
118,4806600,4521,9561,28.981266,
119,4590400,4517,9561,28.981787,
120,4662100,4523,9561,28.982262,
121,4852000,4523,9561,28.98269,
122,4895100,4521,9561,28.983118,
123,4703900,4522,9561,28.98351,
124,4818800,4518,9561,28.98387,
125,5116300,4521,9561,28.984217,
126,4590300,4521,9561,28.984558,
127,4567100,4517,9561,28.98485,
128,4948300,4522,9561,28.98514,
129,4574900,4521,9561,28.98541,
130,4514100,4519,9560,28.98568,
131,5145500,4526,9559,28.98593,
132,4692900,4524,9559,28.986149,
133,4686400,4516,9559,28.98636,
134,4662700,4520,9559,28.98657,
135,4590400,4522,9559,28.986776,
136,4563600,4519,9559,28.986969,
137,4714600,4521,9559,28.987137,
138,4704200,4521,9559,28.9873,
139,4664700,4521,9559,28.987465,
140,4552300,4518,9559,28.987623,
141,4681400,4523,9559,28.987766,
142,4694800,4524,9559,28.987892,
143,4598100,4523,9559,28.98802,
144,4545500,4520,9559,28.988153,
145,4537600,4519,9559,28.98826,
146,4752100,4520,9559,28.988363,
147,4613300,4522,9559,28.988459,
148,4529100,4517,9559,28.988543,
149,4718100,4519,9559,28.988642,
150,4683300,4522,9559,28.98874,
151,5203600,4520,9559,28.98882,
152,4689200,4523,9559,28.988888,
153,4602000,4523,9559,28.988964,
154,4494300,4524,9559,28.989048,
155,4500000,4521,9559,28.989117,
156,4510300,4520,9559,28.989172,
157,4500800,4519,9559,28.989218,
158,4545100,4519,9559,28.98927,
159,4620700,4518,9559,28.98933,
160,5094400,4519,9559,28.989386,
161,4846700,4521,9559,28.989433,
162,4824100,4518,9559,28.989477,
163,4415000,4520,9559,28.989515,
164,4973700,4520,9559,28.989552,
165,5377700,4519,9559,28.989582,
166,4692700,4516,9559,28.989613,
167,5013600,4518,9559,28.989645,
168,5199800,4518,9559,28.989676,
169,4837500,4514,9559,28.9897,
170,4632600,4515,9559,28.989725,
171,5395600,4512,9559,28.989754,
172,5807300,4513,9559,28.98977,
173,5024900,4515,9559,28.989801,
174,4650600,4515,9559,28.989834,
175,4598200,4515,9559,28.989851,
176,4545200,4514,9559,28.989864,
177,4658000,4516,9559,28.989883,
178,4572700,4515,9559,28.989906,
179,4498700,4515,9559,28.989923,
180,4425000,4515,9559,28.98993,
181,4538500,4517,9559,28.98993,
182,4567500,4517,9559,28.98994,
183,4578800,4516,9559,28.989958,
184,4710600,4516,9559,28.98997,
185,4928500,4514,9559,28.989977,
186,4771300,4515,9559,28.98999,
187,5269100,4516,9559,28.990005,
188,5797300,4519,9559,28.990013,
189,4780100,4519,9559,28.990015,
190,5053200,4519,9559,28.990025,
191,5189600,4520,9559,28.99004,
192,5562300,4522,9559,28.990047,
193,4777300,4521,9559,28.990053,
194,4798800,4522,9559,28.990055,
195,4585300,4521,9559,28.99006,
196,4525200,4522,9559,28.99006,
197,4505900,4523,9559,28.990076,
198,4601900,4523,9559,28.990084,
199,4505100,4524,9559,28.990086,
200,4452600,4522,9559,28.990088,
201,4669700,4522,9559,28.990097,
202,4514800,4521,9559,28.99011,
203,4769300,4525,9559,28.990112,
204,4580100,4526,9559,28.990108,
205,4607400,4524,9559,28.990114,
206,4798200,4523,9559,28.99012,
207,4547900,4523,9559,28.990118,
208,4784600,4523,9559,28.990112,
209,5454700,4522,9559,28.990116,
210,4930000,4522,9559,28.990122,
211,4915200,4523,9559,28.990128,
212,4585500,4523,9559,28.990124,
213,4494800,4523,9559,28.99013,
214,4919700,4524,9559,28.990137,
215,4690500,4524,9559,28.990137,
216,4617600,4526,9559,28.990137,
217,4860100,4524,9559,28.990143,
218,4507800,4525,9559,28.990149,
219,4527300,4524,9559,28.990149,
220,4760100,4523,9559,28.990152,
221,4537200,4522,9559,28.99016,
222,4649300,4522,9559,28.990164,
223,5475200,4520,9559,28.990162,
224,4843500,4521,9559,28.99016,
225,4640500,4522,9559,28.990166,
226,4664900,4521,9559,28.990166,
227,4578700,4522,9559,28.990166,
228,4576200,4521,9559,28.990168,
229,4657600,4519,9559,28.990175,
230,4510400,4521,9559,28.990171,
231,4715700,4522,9559,28.990166,
232,4660800,4523,9559,28.990173,
233,4548500,4527,9559,28.990175,
234,4493100,4523,9559,28.990168,
235,4604600,4525,9559,28.99017,
236,4609300,4525,9559,28.990175,
237,4736700,4526,9559,28.990175,
238,5277700,4525,9559,28.990175,
239,5353800,4524,9559,28.990175,
240,4974000,4524,9559,28.990175,
241,4904200,4521,9559,28.990175,
242,5387100,4520,9559,28.990175,
243,5340300,4520,9559,28.990175,
244,5020000,4521,9559,28.990171,
245,5032600,4520,9559,28.990164,
246,5601300,4521,9559,28.990164,
247,5267100,4521,9559,28.990164,
248,4661500,4520,9559,28.990164,
249,4552100,4522,9559,28.990164,
250,5025900,4521,9559,28.990164,
251,4514500,4522,9559,28.990164,
252,4717200,4523,9559,28.990164,
253,4746800,4523,9559,28.99017,
254,4509500,4523,9559,28.99017,
255,4497200,4521,9559,28.99017,
256,4824000,4519,9559,28.99017,
257,4514600,4519,9559,28.990171,
258,4579500,4520,9559,28.990177,
259,4846900,4520,9559,28.990177,
260,4508600,4520,9559,28.990177,
261,4541900,4519,9559,28.99018,
262,4879900,4518,9559,28.990187,
263,4556100,4518,9559,28.990187,
264,4600700,4518,9559,28.990187,
265,4796500,4518,9559,28.990187,
266,4564400,4518,9559,28.990187,
267,4664300,4518,9559,28.990187,
268,4693600,4518,9559,28.990187,
269,4554300,4518,9559,28.990187,
270,4532200,4518,9559,28.990187,
271,4906100,4518,9559,28.990187,
272,4597600,4518,9559,28.990187,
273,4500700,4518,9559,28.990187,
274,4899700,4518,9559,28.990187,
275,4705200,4518,9559,28.990187,
276,4541400,4519,9559,28.990183,
277,4692600,4518,9559,28.990183,
278,4708000,4518,9559,28.990183,
279,4686800,4519,9559,28.990183,
280,5127200,4518,9559,28.990183,
281,4553700,4520,9559,28.990183,
282,4480400,4520,9559,28.990185,
283,4575800,4518,9559,28.990185,
284,4503000,4518,9559,28.990185,
285,4635800,4519,9559,28.990185,
286,4571200,4520,9559,28.990185,
287,4719400,4519,9559,28.990185,
288,5051900,4520,9559,28.990185,
289,4704200,4518,9559,28.990185,
290,4577600,4517,9559,28.99019,
291,4484200,4517,9559,28.99019,
292,4663300,4519,9559,28.99019,
293,4546100,4517,9559,28.990187,
294,4540200,4517,9559,28.990185,
295,4513400,4516,9559,28.990192,
296,4468900,4516,9559,28.990198,
297,4439800,4515,9559,28.990198,
298,4628200,4515,9559,28.990196,
299,4564400,4515,9559,28.990194,
300,4486800,4515,9559,28.990194,
301,4837600,4515,9559,28.990194,
302,4576800,4515,9559,28.990194,
303,4694700,4516,9559,28.990194,
304,4671800,4515,9559,28.990194,
305,4514100,4517,9559,28.990194,
306,4455800,4517,9559,28.990194,
307,5173400,4517,9559,28.990194,
308,4557300,4516,9559,28.990194,
309,4468300,4516,9559,28.990194,
