step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,13273700,4495,9570,35.998295,,0,9,9,108,87469,11041,7745,13186231,16,151,1012,1,125683,1,250,1,2454181,1,2782395,1,214364,1,7593618,1,14728,1,1714341,1,10240,4,756111,4,87399,4,1324749,4,2611765,8,3928769,108,0,0,7284,1,1058855,1,11833,1,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1
1,12303300,4196,9570,35.993866,,0,8,8,96,62295,2355,7955,12241005,16,139,1112,1,68903,1,180,1,2429343,1,2856478,1,104322,1,6767723,1,12945,1,2096650,1,8977,4,638774,4,69144,4,1225778,4,2372072,8,3589894,96,0,0,6483,1,344556,1,2936,1,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1
2,10758400,4142,9570,35.986713,,0,8,8,96,60516,1433,9919,10697884,16,139,180,1,27543,1,50,1,2024170,1,2796161,1,99903,1,5736501,1,13376,1,1119182,1,9108,4,613996,4,87048,4,1181813,4,2334670,8,3506563,96,0,0,6963,1,378762,1,3527,1,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1
3,10743200,4111,9570,35.976837,,0,8,8,96,83680,1884,7715,10659520,16,139,261,1,29056,1,120,1,2027336,1,2881716,1,158606,1,5550321,1,12103,1,1143759,1,7995,4,611191,4,68753,4,1181733,4,2303860,8,3477878,96,0,0,7344,1,220606,1,3196,1,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1
4,10281800,4100,9570,35.964233,,0,8,8,96,45517,4238,4088,10236283,16,139,90,1,28475,1,60,1,2026544,1,2641482,1,93350,1,5434107,1,12174,1,926951,1,10600,4,628594,4,69454,4,1169198,4,2323438,8,3488549,96,0,0,6372,1,292184,1,3076,1,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1
5,10240400,4087,9570,35.948902,,0,8,8,96,43083,1803,3717,10197317,16,139,30,1,27994,1,40,1,2012407,1,2686850,1,103650,1,5354262,1,12083,1,1025832,1,8276,4,606672,4,68392,4,1156885,4,2281377,8,3434544,96,0,0,6072,1,196209,1,2745,1,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1
6,10373300,4079,9570,35.93085,,0,8,8,96,48897,1533,3968,10324403,16,139,90,1,27653,1,40,1,2012507,1,2678875,1,96136,1,5496728,1,12374,1,1038506,1,8476,4,610579,4,68703,4,1176883,4,2282940,8,3455855,96,0,0,6132,1,300180,1,2795,1,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1
7,10225300,4073,9570,35.910072,,0,8,8,96,56738,1403,4328,10168562,16,139,140,1,28054,1,50,1,2004131,1,2681910,1,95745,1,5345966,1,12564,1,991906,1,8587,4,616300,4,68071,4,1143759,4,2305123,8,3444554,96,0,0,5781,1,201800,1,3236,1,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1
8,10084600,4066,9570,35.88657,,0,8,8,96,41641,1603,3807,10042959,16,139,100,1,27032,1,40,1,2002258,1,2590794,1,90314,1,5320728,1,11693,1,918675,1,9047,4,607734,4,70085,4,1139351,4,2288801,8,3424344,96,0,0,6252,1,275542,1,3637,1,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1
9,9995800,4061,9570,35.86034,,0,8,8,96,41913,1112,3687,9953887,16,139,0,1,26842,1,30,1,1987820,1,2586566,1,103881,1,5237076,1,11673,1,988149,1,8396,4,604478,4,67801,4,1132197,4,2241860,8,3370370,96,0,0,6022,1,184256,1,2805,1,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1
10,10009900,4053,9570,35.831387,,0,8,8,96,45172,1192,3968,9964728,16,139,70,1,27493,1,40,1,1976137,1,2577519,1,92549,1,5278907,1,12013,1,929986,1,8837,4,599488,4,67561,4,1134221,4,2256358,8,3386612,96,0,0,5801,1,272146,1,3316,1,0,0,0,0,0,0,0,0,0,0,0,0,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,0,1
11,9861400,4054,9570,35.79971,,0,8,8,96,37755,1272,4378,9823645,16,139,90,1,26692,1,20,1,1964234,1,2554845,1,91717,1,5174054,1,11993,1,933563,1,8386,4,593366,4,67400,4,1120434,4,2246279,8,3362335,96,0,0,5951,1,194616,1,2785,1,0,0,0,0,0,0,0,0,0,0,0,0,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,0,1
12,10295300,4056,9570,35.765305,,0,8,8,96,62174,1513,3958,10233126,16,139,70,1,26461,1,80,1,1965446,1,2777245,1,96246,1,5353561,1,14017,1,913444,1,8216,4,596182,4,66949,4,1126085,4,2230589,8,3352716,96,0,0,5671,1,401105,1,3807,1,0,0,0,0,0,0,0,0,0,0,0,0,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1
13,10400100,4055,9570,35.728176,,0,8,8,96,46551,1543,4138,10353549,16,139,100,1,52081,1,40,1,2490541,1,2537692,1,90595,1,5170347,1,12153,1,989221,1,8416,4,587495,4,67009,4,1113441,4,2200761,8,3310064,96,0,0,5641,1,194145,1,2675,1,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1
14,9852700,4060,9570,35.688324,,0,8,8,96,42260,1633,4038,9810440,16,139,20,1,26682,1,90,1,1941841,1,2574052,1,92168,1,5164205,1,11382,1,902854,1,7955,4,584369,4,65697,4,1107770,4,2212554,8,3316286,96,0,0,5811,1,271825,1,3737,1,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1
15,9862500,4057,9570,35.64575,,0,8,8,96,44646,1824,4129,9817854,16,139,10,1,26511,1,40,1,1987920,1,2542090,1,108339,1,5141662,1,11282,1,915869,1,8907,4,589368,4,75065,4,1124532,4,2210770,8,3331174,96,0,0,7905,1,204715,1,2705,1,0,0,0,0,0,0,0,0,0,0,0,0,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1
