step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,9374800,4495,9570,35.998295,,0,9,9,108,82338,10961,3296,9292462,16,151,852,1,127238,1,561,1,2210311,1,2568087,1,232663,1,4138964,1,13787,1,802692,1,17785,4,625567,4,78974,4,868430,4,1709947,8,2575081,108,0,0,3477,1,18556,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1
1,7744700,4196,9570,35.993866,,0,8,8,96,39136,1162,3628,7705564,16,139,210,1,31942,1,50,1,1882954,1,2476840,1,92771,1,3209595,1,11202,1,359620,1,8036,4,484282,4,70678,4,762474,4,1497895,8,2256741,96,0,0,2916,1,19979,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1
2,7714600,4142,9570,35.986713,,0,8,8,96,38694,1162,5792,7675906,16,139,40,1,24828,1,120,1,1892673,1,2445559,1,119723,1,3181511,1,11452,1,371403,1,7745,4,479954,4,71359,4,752835,4,1472325,8,2219368,96,0,0,3487,1,18706,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1
3,7506800,4111,9570,35.976837,,0,8,8,96,37095,1002,4589,7469705,16,139,80,1,23716,1,50,1,1895218,1,2349773,1,89905,1,3100012,1,10951,1,301036,1,7174,4,476297,4,70777,4,747474,4,1472425,8,2215310,96,0,0,3046,1,18256,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1
4,7947000,4100,9570,35.964233,,0,8,8,96,85613,4619,2686,7861387,16,139,701,1,34207,1,100,1,1904947,1,2473844,1,108762,1,3322866,1,15961,1,416591,1,8446,4,479914,4,71700,4,753306,4,1500319,8,2250940,96,0,0,3617,1,81639,1,2715,1,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1
5,8485700,4087,9570,35.948902,,0,8,8,96,60927,1453,2245,8424773,16,139,150,1,25399,1,531,1,2711256,1,2431391,1,88392,1,3155450,1,12204,1,316396,1,7384,4,482058,4,72581,4,749669,4,1476864,8,2224287,96,0,0,3928,1,42403,1,2715,1,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1
6,8893600,4079,9570,35.93085,,0,8,8,96,67015,1994,2415,8826585,16,139,120,1,75096,1,100,1,2346205,1,2621561,1,168107,1,3603342,1,12053,1,753005,1,10761,4,501095,4,71078,4,746563,4,1465011,8,2209158,96,0,0,3547,1,47633,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1
7,8672700,4073,9570,35.910072,,0,8,8,96,61885,2575,3066,8610815,16,139,120,1,24207,1,210,1,1890509,1,2729161,1,129552,1,3825173,1,11883,1,611490,1,10921,4,651838,4,86879,4,888489,4,1544996,8,2430419,96,0,0,3326,1,21812,1,2846,1,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1
8,8674900,4066,9570,35.88657,,0,8,8,96,45288,1954,2576,8629612,16,139,110,1,40288,1,190,1,2501187,1,2673282,1,86709,1,3310011,1,17835,1,444144,1,8607,4,477279,4,71098,4,741793,4,1479789,8,2219007,96,0,0,3467,1,79074,1,2805,1,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1
9,7992700,4061,9570,35.86034,,0,8,8,96,59363,1303,2705,7933337,16,139,311,1,25279,1,190,1,1924755,1,2596302,1,86488,1,3271015,1,28996,1,411481,1,7825,4,487218,4,71318,4,745911,4,1485721,8,2228927,96,0,0,4038,1,53464,1,2735,1,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1
