step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,20389700,8555,9570,28.99835,1240,0,16,16,192,90290,17724,13256,20299410,16,239,852,1,126216,1,281,1,2296829,1,3795526,1,453402,1,13612768,1,13536,1,3062319,1,12855,4,1439481,4,74866,4,2518350,4,4993136,8,7498230,192,0,0,13647,1,1454500,1,5370,1,9959,1,3377,2,7184,1,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,0,1
1,14118600,5761,9570,28.995926,1240,0,16,12,144,64132,2966,11272,14054468,16,239,741,1,39196,1,240,1,2070749,1,3370909,1,174700,1,8385006,1,12925,1,1959192,1,8787,4,731624,4,70106,4,1747380,4,3376089,8,4967145,144,145052,48,7384,1,464814,1,3256,1,4539,1,3777,2,5090,1,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,0,1
2,15909400,6723,9570,28.994566,1240,0,16,14,168,67935,8767,8987,15841465,16,239,431,1,28836,1,210,1,2098133,1,3944706,1,197314,1,9552668,1,19167,1,1654590,1,8937,4,903017,4,70708,4,2011163,4,3927623,8,5848160,168,81639,24,15741,1,930821,1,8717,1,4549,1,2114,2,5922,1,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,0,1
3,16032600,6695,9570,28.994541,1240,0,16,14,168,77243,2355,27984,15955357,16,239,501,1,28195,1,150,1,2084526,1,4130948,1,259365,1,9438796,1,12875,1,2110928,1,9338,4,894521,4,72401,4,2037374,4,3902243,8,5855654,168,55979,24,9178,1,384729,1,3126,1,5681,1,1884,2,5040,1,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,0,1
4,15874100,6672,9570,28.994545,1240,0,16,14,168,67052,2335,7004,15807048,16,239,441,1,28796,1,291,1,2088354,1,4287092,1,245307,1,9142570,1,14198,1,1732732,1,18115,4,872197,4,69565,4,1973510,4,3867856,8,5784776,168,49586,24,8517,1,580470,1,4108,1,6232,1,1643,2,5290,1,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,0,1
5,16321700,6758,9570,28.994184,1240,0,16,14,168,69796,2304,6904,16251904,16,239,140,1,54316,1,90,1,2269035,1,4225572,1,210530,1,9479065,1,13156,1,1823879,1,8146,4,895803,4,68704,4,2020973,4,3911321,8,5870132,168,55258,24,8897,1,718979,1,8617,1,4379,1,1573,2,5491,1,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,0,1
6,16101400,6793,9570,28.993921,1240,0,16,14,168,103460,2375,7124,15997940,16,239,180,1,40178,1,341,1,2531917,1,4082985,1,240608,1,9087733,1,13997,1,1693555,1,8497,4,892657,4,68644,4,1981646,4,3841064,8,5752313,168,63273,24,8787,1,573065,1,3868,1,6072,1,1834,2,5671,1,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,0,1
7,16141200,6783,9570,28.993895,1240,0,16,14,168,90738,1874,8096,16050462,16,239,100,1,28716,1,331,1,2232765,1,4252996,1,205831,1,9314234,1,15490,1,2131708,1,9228,4,881726,4,68113,4,1963350,4,3841315,8,5737364,168,59205,24,9088,1,389909,1,3647,1,4749,1,1643,2,7885,1,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,0,1
8,16198600,6772,9570,28.993822,1240,0,16,14,168,51510,2665,7555,16147090,16,239,150,1,38645,1,180,1,2144002,1,4004612,1,191432,1,9755573,1,12494,1,1862965,1,14809,4,876345,4,68413,4,1945345,4,3804012,8,5679031,168,62772,24,12003,1,1145629,1,8105,1,4639,1,2074,2,8567,1,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,0,1
9,15349100,6790,9570,28.993675,1240,0,16,14,168,54018,1533,6222,15295082,16,239,361,1,30569,1,341,1,2057814,1,4046243,1,266108,1,8880991,1,12655,1,1802998,1,8577,4,882958,4,67541,4,1903594,4,3741791,8,5579276,168,59887,24,8797,1,446449,1,3687,1,6072,1,1523,2,5471,1,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,0,1
10,15519400,6786,9570,28.993578,1240,0,16,14,168,65108,2034,6613,15454292,16,239,401,1,28896,1,381,1,1948111,1,4101210,1,198787,1,9163571,1,12935,1,1997006,1,8787,4,874983,4,67852,4,1895609,4,3735960,8,5561231,168,63724,24,9188,1,557304,1,2966,1,4419,1,1984,2,5481,1,0,0,0,0,0,0,22700,1,254,1,9570,1,6786,1,22954,1,9570,1,0,1
11,15586000,6806,9570,28.99352,1240,0,16,14,168,57704,2385,6132,15528296,16,239,421,1,28946,1,70,1,1920226,1,4165185,1,191693,1,9209320,1,12434,1,2263785,1,8667,4,864582,4,67782,4,1905889,4,3686634,8,5520823,168,65568,24,8847,1,386322,1,2986,1,4419,1,1503,2,5521,1,0,0,0,0,0,0,22716,1,263,1,9570,1,6806,1,22979,1,9570,1,0,1
12,16801800,6806,9570,28.993486,1240,0,16,14,168,91614,2795,6453,16710186,16,239,621,1,48534,1,190,1,2283103,1,4022197,1,192595,1,10136183,1,26762,1,2990138,1,10260,4,923417,4,66439,4,1879477,4,3684830,8,5494581,168,63273,24,8687,1,551984,1,4058,1,5190,1,2615,2,6292,1,0,0,0,0,0,0,22744,1,264,1,9570,1,6806,1,23008,1,9570,1,0,1
13,16007600,6780,9570,28.993422,1240,0,16,14,168,48516,2315,6493,15959084,16,239,341,1,66810,1,271,1,2498141,1,4069729,1,230529,1,9081431,1,11833,1,2169231,1,8456,4,875293,4,65528,4,1883615,4,3655122,8,5469272,168,62973,24,9619,1,396822,1,3246,1,5330,1,1804,2,5050,1,0,0,0,0,0,0,22736,1,253,1,9570,1,6780,1,22989,1,9570,1,0,1
14,16745900,6784,9570,28.99337,1240,0,16,14,168,82506,4589,8026,16663394,16,239,180,1,28596,1,140,1,1901280,1,4501810,1,190731,1,10017473,1,23185,1,2232424,1,8577,4,894410,4,66850,4,1930456,4,3919948,8,5777021,168,65357,24,14188,1,920311,1,11723,1,4599,1,1944,2,7455,1,0,0,0,0,0,0,22775,1,271,1,9570,1,6784,1,23046,1,9570,1,0,1
15,16029100,6765,9570,28.993326,1240,0,16,14,168,71088,2444,7044,15958012,16,239,681,1,43515,1,721,1,2567536,1,3904999,1,261419,1,9166326,1,12815,1,2196745,1,8136,4,864362,4,65878,4,1900308,4,3650714,8,5487217,168,56760,24,8827,1,452691,1,3226,1,6012,1,1773,2,5210,1,0,0,0,0,0,0,22775,1,254,1,9570,1,6765,1,23029,1,9570,1,0,1
16,15074700,6760,9570,28.993288,1240,0,16,14,168,52489,1904,7064,15022211,16,239,120,1,27413,1,150,1,1904326,1,3982319,1,192865,1,8902914,1,12104,1,1876311,1,9368,4,863721,4,66439,4,1869999,4,3655313,8,5456127,168,62121,24,9338,1,536003,1,3326,1,4218,1,1483,2,5491,1,0,0,0,0,0,0,22734,1,256,1,9570,1,6760,1,22990,1,9570,1,0,1
17,15366500,6761,9570,28.993235,1240,0,16,14,168,51269,1894,6172,15315231,16,239,180,1,28716,1,180,1,1912481,1,4061142,1,188206,1,9112492,1,11833,1,2133952,1,9879,4,893859,4,67091,4,1854378,4,3654211,8,5444725,168,57692,24,9178,1,474022,1,3196,1,4389,1,1383,2,5060,1,0,0,0,0,0,0,22757,1,248,1,9570,1,6761,1,23005,1,9570,1,0,1
18,15866400,6734,9570,28.99321,1240,0,16,14,168,58721,2795,6212,15807679,16,239,70,1,27974,1,220,1,1910728,1,3827418,1,186483,1,9832382,1,22404,1,2166416,1,9899,4,920000,4,65548,4,1868406,4,3643269,8,5448091,168,57372,24,13707,1,1116002,1,12885,1,5681,1,2214,2,5561,1,0,0,0,0,0,0,22736,1,249,1,9570,1,6734,1,22985,1,9570,1,0,1
19,15827200,6754,9570,28.99318,1240,0,16,14,168,55220,2435,6312,15771980,16,239,591,1,29157,1,240,1,2371334,1,3926891,1,213786,1,9217726,1,12254,1,2313251,1,8276,4,869352,4,66269,4,1832015,4,3640293,8,5407903,168,58093,24,8907,1,459825,1,3627,1,6372,1,1553,2,5551,1,0,0,0,0,0,0,22779,1,242,1,9570,1,6754,1,23021,1,9570,1,0,1
20,14850500,6753,9570,28.99314,1240,0,16,14,168,66683,2064,6222,14783817,16,239,511,1,32303,1,230,1,1909816,1,3942391,1,224357,1,8655192,1,19017,1,1633479,1,8617,4,858140,4,73132,4,1830622,4,3632118,8,5399757,168,56760,24,8917,1,592282,1,3316,1,5160,1,1583,2,5761,1,0,0,0,0,0,0,22809,1,233,1,9570,1,6753,1,23042,1,9570,1,0,1
21,14814800,6741,9570,28.993107,1240,0,16,14,168,60450,1944,6052,14754350,16,239,170,1,34497,1,381,1,1905598,1,3974303,1,183217,1,8644371,1,11813,1,1809230,1,8056,4,862879,4,65838,4,1842595,4,3644331,8,5423323,168,57552,24,8597,1,385540,1,3517,1,4529,1,1793,2,5521,1,0,0,0,0,0,0,22787,1,225,1,9570,1,6741,1,23012,1,9570,1,0,1
22,14810400,6739,9570,28.993093,1240,0,16,14,168,55178,2064,6573,14755222,16,239,1062,1,31371,1,120,1,1911219,1,3905319,1,185180,1,8708806,1,12144,1,1681813,1,8236,4,862268,4,67942,4,1859609,4,3653980,8,5449223,168,57792,24,8847,1,549549,1,3326,1,4338,1,1563,2,5270,1,0,0,0,0,0,0,22813,1,227,1,9570,1,6739,1,23040,1,9570,1,0,1
23,15737700,6730,9570,28.993065,1240,0,16,14,168,67077,2405,6252,15670623,16,239,401,1,33996,1,281,1,1910478,1,3867365,1,187034,1,9658754,1,12314,1,2387396,1,8106,4,857709,4,76880,4,2114675,4,3770757,8,5825235,168,53945,24,18596,1,400068,1,4589,1,4158,1,8206,2,5210,1,0,0,0,0,0,0,22796,1,232,1,9570,1,6730,1,23028,1,9570,1,0,1
24,15280300,6730,9570,28.993042,1240,0,16,14,168,79992,2124,6443,15200308,16,239,110,1,26822,1,160,1,1910558,1,3931711,1,373697,1,8942581,1,14669,1,1902432,1,8567,4,860244,4,65467,4,1870740,4,3627599,8,5434384,168,57512,24,8807,1,577203,1,4529,1,8256,1,1513,2,5100,1,0,0,0,0,0,0,22785,1,251,1,9570,1,6730,1,23036,1,9570,1,0,1
