step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,13110400,8555,9570,28.99835,1240,0,16,16,192,84048,20199,6392,13026352,16,239,1262,1,132496,1,331,1,2308294,1,3343296,1,327313,1,6899012,1,14348,1,1055712,1,9518,4,1050822,4,75386,4,1564626,4,3045891,8,4604124,192,0,0,6122,1,52051,1,2926,1,7875,1,1333,2,6553,1,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,0,1
1,10160600,5761,9570,28.995926,1240,0,16,12,144,78021,1774,5612,10082579,16,239,852,1,67380,1,150,1,2344775,1,2989081,1,185950,1,4483200,1,11192,1,644166,1,8286,4,606483,4,74013,4,1038488,4,2059222,8,3001564,144,90535,48,4108,1,33074,1,2735,1,4048,1,1683,2,5120,1,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,0,1
2,11420500,6723,9570,28.994566,1240,0,16,14,168,72343,5250,5851,11348157,16,239,301,1,25089,1,40,1,1928059,1,3974076,1,219334,1,5189657,1,11602,1,664926,1,7955,4,735553,4,73713,4,1213116,4,2410672,8,3566858,168,51079,24,5070,1,60106,1,2785,1,3918,1,1353,2,5240,1,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,0,1
3,11519000,6695,9570,28.994541,1240,0,16,14,168,58777,1493,5682,11460223,16,239,832,1,36090,1,120,1,2099901,1,3690627,1,245936,1,5375045,1,11673,1,817671,1,9498,4,747856,4,73983,4,1217986,4,2429438,8,3607496,168,34246,24,4930,1,57351,1,3206,1,4519,1,2114,2,5000,1,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,0,1
4,11143600,6672,9570,28.994545,1240,0,16,14,168,59584,1543,4089,11084016,16,239,331,1,34397,1,140,1,1948629,1,3713963,1,184316,1,5190999,1,11242,1,682029,1,7615,4,725804,4,74354,4,1227694,4,2401735,8,3595202,168,30138,24,4789,1,52141,1,2765,1,4038,1,1393,2,5100,1,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,0,1
5,11263000,6758,9570,28.994184,1240,0,16,14,168,57669,1804,4159,11205331,16,239,230,1,25720,1,30,1,1927428,1,3740263,1,192743,1,5306713,1,12204,1,747526,1,8005,4,729110,4,74414,4,1237203,4,2431282,8,3629729,168,34597,24,5501,1,57401,1,3196,1,3888,1,1363,2,6022,1,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,0,1
6,11275800,6793,9570,28.993921,1240,0,16,14,168,54068,1884,4269,11221732,16,239,311,1,25439,1,170,1,1938168,1,3757306,1,192462,1,5296042,1,11833,1,711957,1,7765,4,743829,4,81057,4,1233075,4,2445690,8,3633797,168,40699,24,4980,1,52401,1,2906,1,3787,1,1413,2,5300,1,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,0,1
7,11288000,6783,9570,28.993895,1240,0,16,14,168,59024,2074,3988,11228976,16,239,291,1,25950,1,90,1,1935613,1,3750834,1,187152,1,5317724,1,11322,1,697639,1,7705,4,752736,4,74444,4,1236331,4,2476369,8,3669076,168,39637,24,4869,1,51981,1,2815,1,4008,1,1363,2,5390,1,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,0,1
8,11229100,6772,9570,28.993822,1240,0,16,14,168,54529,1663,4099,11174571,16,239,281,1,25249,1,50,1,1932557,1,3726898,1,192292,1,5285893,1,11352,1,709041,1,7494,4,741183,4,74424,4,1245368,4,2430531,8,3632504,168,39296,24,5110,1,57662,1,2795,1,3968,1,1333,2,5320,1,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,0,1
9,11285000,6790,9570,28.993675,1240,0,16,14,168,82164,1994,4028,11202836,16,239,230,1,25579,1,30,1,1937717,1,3700857,1,247078,1,5279610,1,11733,1,693892,1,7615,4,752375,4,74484,4,1235650,4,2449397,8,3641302,168,39717,24,5030,1,45899,1,2815,1,3797,1,1433,2,5230,1,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,0,1
