step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,14217300,8555,9570,28.99835,,0,16,16,192,76805,18366,7464,14140495,16,235,2355,1,122879,1,481,1,2116912,1,3857522,1,363065,1,7659577,1,17704,1,1394428,1,15179,4,1109535,4,73222,4,1634685,4,3274761,8,4901981,192,0,0,6863,1,127287,1,5250,1,0,0,0,0,0,0,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,0,1
1,10745400,5761,9570,28.995926,,0,16,12,144,47411,2675,5511,10697989,16,235,411,1,37222,1,421,1,1905060,1,3503785,1,238072,1,4999050,1,13967,1,934846,1,10801,4,612369,4,66118,4,1116058,4,2162580,8,3179466,144,93662,48,4589,1,84664,1,4348,1,0,0,0,0,0,0,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,0,1
2,11888400,6723,9570,28.994566,,0,16,14,168,52631,3326,7264,11835769,16,235,1333,1,31641,1,451,1,1899890,1,3788889,1,198315,1,5901142,1,14107,1,1126859,1,9789,4,731721,4,66148,4,1282391,4,2579230,8,3800301,168,54055,24,6603,1,91197,1,3878,1,0,0,0,0,0,0,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,0,1
3,12677000,6695,9570,28.994541,,0,16,14,168,64192,1633,6503,12612808,16,235,311,1,30179,1,281,1,2568098,1,3842894,1,187705,1,5969244,1,14097,1,1261330,1,9879,4,766138,4,67231,4,1275718,4,2516879,8,3750073,168,36020,24,5210,1,62541,1,2685,1,0,0,0,0,0,0,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,0,1
4,11752600,6672,9570,28.994545,,0,16,14,168,40762,1383,4439,11711838,16,235,70,1,35820,1,261,1,2245772,1,3755324,1,185510,1,5475555,1,13526,1,769465,1,8507,4,726621,4,66038,4,1278734,4,2530866,8,3773509,168,31651,24,5010,1,85656,1,3276,1,0,0,0,0,0,0,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,0,1
5,11771300,6758,9570,28.994184,,0,16,14,168,42740,2164,4188,11728560,16,235,110,1,25590,1,140,1,1898387,1,3933600,1,216050,1,5640486,1,14198,1,875090,1,9018,4,733094,4,69154,4,1290547,4,2554542,8,3804489,168,36411,24,5330,1,97950,1,3597,1,0,0,0,0,0,0,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,0,1
6,13442300,6793,9570,28.993921,,0,16,14,168,104464,2735,4719,13337836,16,235,200,1,67591,1,200,1,2543140,1,4030278,1,469081,1,6204090,1,23255,1,1343029,1,11713,4,753734,4,66199,4,1319092,4,2552899,8,3826282,168,40990,24,9038,1,136585,1,9068,1,0,0,0,0,0,0,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,0,1
7,13615500,6783,9570,28.993895,,0,16,14,168,98746,2625,4258,13516754,16,235,1232,1,44376,1,1002,1,2883060,1,4055447,1,406409,1,6109456,1,15771,1,1254637,1,10691,4,772841,4,67261,4,1318050,4,2551185,8,3824258,168,40719,24,6803,1,119923,1,5441,1,0,0,0,0,0,0,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,0,1
8,13376100,6772,9570,28.993822,,0,16,14,168,68663,2896,4490,13307437,16,235,180,1,29387,1,391,1,1904750,1,4014387,1,310623,1,7012721,1,34998,1,1854702,1,15029,4,920438,4,102770,4,1405590,4,2560924,8,3919833,168,42192,24,6783,1,138529,1,5060,1,0,0,0,0,0,0,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,0,1
9,13748000,6790,9570,28.993675,,0,16,14,168,56607,3427,4759,13691393,16,235,511,1,38615,1,491,1,2595381,1,4024868,1,259083,1,6728789,1,43655,1,1711404,1,17153,4,879789,4,69826,4,1293532,4,2562126,8,3809429,168,41471,24,8997,1,174309,1,8226,1,0,0,0,0,0,0,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,0,1
10,13523800,6786,9570,28.993578,,0,16,14,168,66351,3687,4349,13457449,16,235,521,1,40759,1,591,1,1904359,1,4168186,1,298870,1,7029834,1,14328,1,1686616,1,32603,4,923414,4,75216,4,1384710,4,2774569,8,4106285,168,48644,24,6833,1,134762,1,7424,1,0,0,0,0,0,0,0,0,0,0,0,0,22700,1,254,1,9570,1,6786,1,22954,1,9570,1,0,1
11,12009700,6806,9570,28.99352,,0,16,14,168,50952,1523,4319,11958748,16,235,761,1,29267,1,331,1,1900181,1,3951525,1,192624,1,5870071,1,13987,1,1036092,1,10140,4,777891,4,68603,4,1301708,4,2577156,8,3828756,168,45789,24,5701,1,87470,1,3787,1,0,0,0,0,0,0,0,0,0,0,0,0,22716,1,263,1,9570,1,6806,1,22979,1,9570,1,0,1
12,11699300,6806,9570,28.993486,,0,16,14,168,64993,2625,4309,11634307,16,235,100,1,24658,1,10,1,1901163,1,3812766,1,188496,1,5686665,1,20450,1,848959,1,9559,4,752932,4,70376,4,1301197,4,2593818,8,3843404,168,47302,24,6302,1,96067,1,4829,1,0,0,0,0,0,0,0,0,0,0,0,0,22744,1,264,1,9570,1,6806,1,23008,1,9570,1,0,1
13,12525500,6780,9570,28.993422,,0,16,14,168,55439,2595,4990,12470061,16,235,491,1,38475,1,190,1,2222958,1,4046189,1,203696,1,5936551,1,21512,1,898826,1,9939,4,841915,4,70156,4,1347317,4,2585432,8,3881790,168,45969,24,9458,1,166684,1,4228,1,0,0,0,0,0,0,0,0,0,0,0,0,22736,1,253,1,9570,1,6780,1,22989,1,9570,1,0,1
14,13240200,6784,9570,28.99337,,0,16,14,168,68476,1603,3938,13171724,16,235,581,1,78803,1,401,1,2780030,1,3897530,1,517966,1,5879450,1,16963,1,1072183,1,8987,4,782720,4,67030,4,1293703,4,2560143,8,3804570,168,45338,24,5421,1,83853,1,3807,1,0,0,0,0,0,0,0,0,0,0,0,0,22775,1,271,1,9570,1,6784,1,23046,1,9570,1,0,1
15,12741900,6765,9570,28.993326,,0,16,14,168,67643,2314,4800,12674257,16,235,180,1,26321,1,190,1,2139455,1,3942087,1,271588,1,6276912,1,17524,1,1393126,1,11492,4,823970,4,68874,4,1299334,4,2550404,8,3803096,168,41841,24,13336,1,106817,1,7244,1,0,0,0,0,0,0,0,0,0,0,0,0,22775,1,254,1,9570,1,6765,1,23029,1,9570,1,0,1
16,13142500,6760,9570,28.993288,,0,16,14,168,70109,4960,4860,13072391,16,235,351,1,37623,1,230,1,2416453,1,3966113,1,201792,1,6435690,1,14137,1,1414237,1,26582,4,942711,4,73312,4,1319403,4,2558349,8,3832133,168,40759,24,5481,1,86578,1,4078,1,0,0,0,0,0,0,0,0,0,0,0,0,22734,1,256,1,9570,1,6760,1,22990,1,9570,1,0,1
17,12769600,6761,9570,28.993235,,0,16,14,168,69442,4038,4449,12700158,16,235,521,1,36982,1,120,1,2248127,1,4097118,1,210890,1,6091371,1,15029,1,1141798,1,22564,4,881652,4,70808,4,1306017,4,2566816,8,3827604,168,40779,24,5811,1,87049,1,4819,1,0,0,0,0,0,0,0,0,0,0,0,0,22757,1,248,1,9570,1,6761,1,23005,1,9570,1,0,1
18,11906900,6734,9570,28.99321,,0,16,14,168,54689,2475,4069,11852211,16,235,391,1,25239,1,110,1,1902716,1,4049636,1,199377,1,5660875,1,13867,1,893766,1,9508,4,741711,4,66088,4,1301027,4,2547228,8,3803557,168,40629,24,5070,1,90426,1,3577,1,0,0,0,0,0,0,0,0,0,0,0,0,22736,1,249,1,9570,1,6734,1,22985,1,9570,1,0,1
19,11817300,6754,9570,28.99318,,0,16,14,168,43432,1553,4299,11773868,16,235,190,1,25850,1,60,1,1908918,1,3925414,1,248322,1,5651176,1,13937,1,902994,1,9919,4,744556,4,65998,4,1295887,4,2551235,8,3802255,168,40569,24,4940,1,70777,1,3316,1,0,0,0,0,0,0,0,0,0,0,0,0,22779,1,242,1,9570,1,6754,1,23021,1,9570,1,0,1
20,11634000,6753,9570,28.99314,,0,16,14,168,45381,1112,4048,11588619,16,235,160,1,26441,1,170,1,1900381,1,3769351,1,195770,1,5683038,1,13306,1,887694,1,9358,4,789213,4,68764,4,1293853,4,2562177,8,3811463,168,40519,24,5290,1,62752,1,2825,1,0,0,0,0,0,0,0,0,0,0,0,0,22809,1,233,1,9570,1,6753,1,23042,1,9570,1,0,1
21,11390000,6741,9570,28.993107,,0,16,14,168,43331,1242,4469,11346669,16,235,100,1,24708,1,261,1,1899419,1,3703293,1,186743,1,5518529,1,13616,1,691824,1,9769,4,806316,4,70327,4,1310535,4,2544953,8,3810611,168,40408,24,5521,1,75206,1,2836,1,0,0,0,0,0,0,0,0,0,0,0,0,22787,1,225,1,9570,1,6741,1,23012,1,9570,1,0,1
22,11584900,6739,9570,28.993093,,0,16,14,168,43162,1373,4019,11541738,16,235,110,1,25019,1,190,1,1902666,1,3828837,1,230949,1,5540301,1,13667,1,783141,1,7935,4,739947,4,66980,4,1294194,4,2548931,8,3798757,168,40348,24,5260,1,89323,1,3216,1,0,0,0,0,0,0,0,0,0,0,0,0,22813,1,227,1,9570,1,6739,1,23040,1,9570,1,0,1
23,11992400,6730,9570,28.993065,,0,16,14,168,60204,1663,4770,11932196,16,235,50,1,24758,1,261,1,1898327,1,3728752,1,254314,1,6011306,1,14428,1,1118693,1,19308,4,904507,4,69705,4,1291729,4,2526748,8,3776915,168,36791,24,5461,1,70236,1,3256,1,0,0,0,0,0,0,0,0,0,0,0,0,22796,1,232,1,9570,1,6730,1,23028,1,9570,1,0,1
24,12658600,6730,9570,28.993042,,0,16,14,168,68005,2916,4269,12590595,16,235,661,1,36150,1,832,1,2350926,1,3965592,1,207263,1,6013761,1,15410,1,1080869,1,18005,4,866483,4,72982,4,1310556,4,2550995,8,3816673,168,40609,24,5431,1,100165,1,5360,1,0,0,0,0,0,0,0,0,0,0,0,0,22785,1,251,1,9570,1,6730,1,23036,1,9570,1,0,1
25,12155600,6722,9570,28.99303,,0,16,14,168,52021,1814,4209,12103579,16,235,551,1,26752,1,80,1,1901974,1,4222752,1,209066,1,5727775,1,14628,1,971196,1,12344,4,747241,4,69455,4,1285056,4,2537799,8,3777797,168,40849,24,6573,1,91107,1,5190,1,0,0,0,0,0,0,0,0,0,0,0,0,22767,1,236,1,9570,1,6722,1,23003,1,9570,1,0,1
26,12353400,6733,9570,28.993017,,0,16,14,168,72958,2916,4328,12280442,16,235,170,1,25199,1,301,1,1902746,1,4146083,1,263281,1,5921401,1,21261,1,979422,1,11372,4,809522,4,66138,4,1305065,4,2544312,8,3804580,168,40469,24,9859,1,183536,1,9258,1,0,0,0,0,0,0,0,0,0,0,0,0,22803,1,237,1,9570,1,6733,1,23040,1,9570,1,0,1
27,12443000,6733,9570,28.992998,,0,16,14,168,73525,2244,4519,12369475,16,235,130,1,43535,1,501,1,2234831,1,4011341,1,253072,1,5809013,1,17053,1,1035080,1,9699,4,750908,4,67912,4,1292951,4,2547688,8,3795351,168,40769,24,6222,1,93281,1,3026,1,0,0,0,0,0,0,0,0,0,0,0,0,22820,1,245,1,9570,1,6733,1,23065,1,9570,1,0,1
28,12527500,6715,9570,28.992983,,0,16,14,168,47310,1373,4249,12480190,16,235,581,1,31732,1,100,1,1914258,1,3803077,1,224576,1,6491699,1,14168,1,1353128,1,10751,4,753984,4,78152,4,1443674,4,2764269,8,4159979,168,43715,24,5441,1,77240,1,3687,1,0,0,0,0,0,0,0,0,0,0,0,0,22813,1,227,1,9570,1,6715,1,23040,1,9570,1,0,1
29,11435000,6720,9570,28.992973,,0,16,14,168,41240,1082,3857,11393760,16,235,70,1,24848,1,210,1,1905902,1,3770594,1,187695,1,5490925,1,13516,1,749436,1,8747,4,742041,4,65928,4,1281800,4,2576665,8,3813587,168,41020,24,4970,1,57462,1,2795,1,0,0,0,0,0,0,0,0,0,0,0,0,22798,1,240,1,9570,1,6720,1,23038,1,9570,1,0,1
