step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,11976100,8555,9570,28.99835,,0,16,16,192,85761,7435,9869,11890339,16,233,1222,1,127459,1,281,1,2065770,1,1443436,1,513251,1,7721966,1,16953,1,2739034,1,15610,4,1331578,4,100165,4,792526,4,1273665,8,2056322,192,0,0,14749,1,1440801,1,6402,1,0,0,0,0,0,0,865418,1,258935,1,137879,1,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,48,1
1,8335800,5761,9570,28.995926,,0,16,12,144,44483,1904,6252,8291317,16,238,681,1,48064,1,210,1,2078565,1,944813,1,283934,1,4920881,1,14168,1,2047876,1,13065,4,677822,4,79545,4,509885,4,1003778,8,1356837,144,150574,48,6873,1,576845,1,3286,1,0,0,0,0,0,0,772838,1,127338,1,30850,1,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,48,1
2,10320500,6723,9570,28.994566,,0,16,14,168,48549,2455,8727,10271951,16,238,240,1,27133,1,250,1,1931689,1,1053966,1,301208,1,6941924,1,15540,1,2538593,1,13186,4,858315,4,79445,4,631362,4,1310156,8,1838006,168,94785,24,13617,1,1484466,1,10330,1,0,0,0,0,0,0,900948,1,92641,1,35920,1,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,48,1
3,10395300,6695,9570,28.994541,,0,16,14,168,53943,2004,17504,10341357,16,225,451,1,36872,1,110,1,2314616,1,865208,1,367988,1,6740892,1,15220,1,2637496,1,16913,4,1140014,4,108842,4,648295,4,1373169,8,1917962,168,85998,24,12464,1,797636,1,4058,1,0,0,0,0,0,0,725846,1,85417,1,35569,1,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,48,1
4,10681200,6672,9570,28.994545,,0,16,14,168,51501,3256,10130,10629699,16,238,220,1,27694,1,391,1,1908664,1,1040801,1,373208,1,7260365,1,18356,1,2631614,1,16091,4,828356,4,80768,4,699284,4,1340606,8,1968310,168,61450,24,63935,1,1586165,1,10290,1,0,0,0,0,0,0,867813,1,121036,1,26201,1,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,48,1
5,9994500,6758,9570,28.994184,,0,16,14,168,46711,1804,7044,9947789,16,233,250,1,45970,1,601,1,2256082,1,799480,1,440289,1,6392061,1,13055,1,3043197,1,14578,4,971185,4,80427,4,631041,4,1103423,8,1668666,168,58755,24,8547,1,535004,1,2856,1,0,0,0,0,0,0,658715,1,93813,1,22494,1,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,48,1
6,8626000,6793,9570,28.993921,,0,16,14,168,40128,1814,3938,8585872,16,238,110,1,32684,1,190,1,2082203,1,746226,1,264716,1,5442559,1,17184,1,1720116,1,12865,4,841472,4,81659,4,617315,4,1076901,8,1623899,168,66380,24,9979,1,1071501,1,8937,1,0,0,0,0,0,0,664607,1,57632,1,10400,1,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,48,1
7,9000700,6783,9570,28.993895,,0,16,14,168,43334,1433,4008,8957366,16,238,311,1,37964,1,431,1,2545086,1,762297,1,197185,1,5399695,1,14398,1,2117572,1,13847,4,839708,4,79525,4,621372,4,1235100,8,1784331,168,68133,24,8657,1,478113,1,4369,1,0,0,0,0,0,0,671360,1,63895,1,11633,1,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,48,1
8,7945700,6772,9570,28.993822,,0,16,14,168,39414,1894,4269,7906286,16,238,200,1,26722,1,40,1,1900939,1,687101,1,192536,1,5084039,1,14709,1,1446622,1,11633,4,845670,4,79174,4,630600,4,1209710,8,1772387,168,63654,24,8196,1,844608,1,5932,1,0,0,0,0,0,0,613627,1,52833,1,9028,1,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,48,1
9,8551300,6790,9570,28.993675,,0,16,14,168,37549,1563,5421,8513751,16,238,100,1,26412,1,40,1,2100719,1,708793,1,192425,1,5470944,1,14318,1,2320608,1,13136,4,928762,4,79205,4,565604,4,1071290,8,1565264,168,66209,24,8767,1,479045,1,2966,1,0,0,0,0,0,0,627845,1,61841,1,9388,1,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,48,1
10,8086000,6786,9570,28.993578,,0,16,14,168,41675,1874,3597,8044325,16,238,50,1,27183,1,50,1,1898224,1,773359,1,213487,1,5117014,1,14959,1,1683555,1,13406,4,941327,4,80908,4,561205,4,1042364,8,1528212,168,71760,24,8727,1,778098,1,5551,1,0,0,0,0,0,0,677822,1,73203,1,8957,1,22700,1,254,1,9570,1,6786,1,22954,1,9570,1,48,1
11,8832500,6806,9570,28.99352,,0,16,14,168,41934,2064,11292,8790566,16,238,230,1,31882,1,160,1,2113153,1,729819,1,365473,1,5536592,1,13256,1,2136088,1,13045,4,850840,4,77852,4,594861,4,1141166,8,1646312,168,78423,24,40208,1,675027,1,5441,1,0,0,0,0,0,0,639343,1,63464,1,12134,1,22716,1,263,1,9570,1,6806,1,22979,1,9570,1,48,1
12,8912700,6806,9570,28.993486,,0,16,14,168,67512,2425,6342,8845188,16,238,190,1,61510,1,180,1,2387017,1,704204,1,191474,1,5485472,1,15140,1,1621023,1,13126,4,884015,4,84615,4,641331,4,1340846,8,1893144,168,82691,24,8687,1,883734,1,5671,1,0,0,0,0,0,0,631031,1,50639,1,8226,1,22744,1,264,1,9570,1,6806,1,23008,1,9570,1,48,1
13,8705400,6780,9570,28.993422,,0,16,14,168,37989,1543,8547,8667411,16,238,321,1,33756,1,331,1,2065550,1,722450,1,197636,1,5633010,1,14358,1,2406906,1,14248,4,1000051,4,80497,4,583368,4,1048766,8,1551537,168,72051,24,8797,1,485668,1,3166,1,0,0,0,0,0,0,629198,1,67492,1,8106,1,22736,1,253,1,9570,1,6780,1,22989,1,9570,1,48,1
