step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,452700,16,31,30.998297,,0,2,0,0,97588,8557,1603,355112,16,67,3697,1,69209,1,1563,1,7275,1,62736,1,33627,1,173849,1,3156,1,69670,1,2224,4,5852,4,4800,4,29649,4,51844,8,0,0,79890,24,341,1,451,1,461,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
1,197800,16,31,30.993937,,0,2,0,0,48551,1222,671,149249,16,67,1002,1,16523,1,90,1,1363,1,31293,1,5030,1,91784,1,2164,1,16102,1,541,4,4880,4,2214,4,23237,4,43016,8,0,0,65581,24,120,1,321,1,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
2,159200,16,31,30.987455,,0,2,0,0,46444,711,2405,112756,16,67,60,1,2054,1,70,1,1002,1,23988,1,1603,1,81944,1,2034,1,4609,1,852,4,5381,4,1814,4,22475,4,45020,8,0,0,65090,24,100,1,271,1,711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,31,1,16,1,63,1,31,1,0,1
3,162700,16,31,30.97999,,0,2,0,0,24894,1112,1182,137806,16,67,100,1,2535,1,50,1,1273,1,25060,1,2064,1,106103,1,621,1,4299,1,521,4,6222,4,2886,4,31152,4,59159,8,0,0,89129,24,100,1,361,1,291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
4,161700,16,31,30.972979,,0,2,0,0,34735,1042,892,126965,16,67,170,1,1423,1,140,1,1102,1,29128,1,1583,1,92646,1,772,1,4138,1,601,4,6613,4,2214,4,27044,4,49810,8,0,0,75962,24,150,1,361,1,671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
5,170400,16,31,30.966393,,0,2,0,0,29157,982,1583,141243,16,67,30,1,1453,1,40,1,1403,1,27265,1,1864,1,108608,1,581,1,4279,1,571,4,6232,4,2585,4,31203,4,62275,8,0,0,91894,24,80,1,271,1,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
6,123200,16,31,30.961182,,0,2,0,0,18690,812,701,104510,16,67,140,1,1162,1,80,1,1002,1,22846,1,1383,1,77325,1,571,1,3026,1,371,4,5481,4,1854,4,22996,4,42245,8,0,0,64539,24,110,1,321,1,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
7,113400,16,31,30.955942,,0,2,0,0,20684,2145,631,92716,16,67,120,1,1092,1,30,1,1012,1,19299,1,1172,1,69720,1,271,1,3287,1,561,4,4830,4,1553,4,20341,4,36713,8,0,0,56423,24,70,1,160,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
8,93700,16,31,30.950468,,0,2,0,0,20994,521,461,72706,16,67,20,1,731,1,20,1,631,1,13327,1,802,1,56904,1,271,1,2084,1,251,4,3367,4,1283,4,16804,4,32365,8,0,0,48707,24,50,1,130,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
9,89600,16,31,30.945265,,0,2,0,0,18027,521,581,71573,16,67,20,1,601,1,40,1,521,1,13206,1,701,1,56253,1,230,1,1964,1,210,4,3377,4,1303,4,16513,4,32154,8,0,0,48086,24,30,1,130,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
