step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,355200,16,31,30.998297,,0,2,0,0,76696,5090,1844,278504,16,62,1443,1,38956,1,391,1,7715,1,39898,1,27033,1,161545,1,1523,1,97360,1,1824,4,3477,4,2795,4,17845,4,30419,8,0,0,46420,24,70,1,2455,1,210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
1,148900,16,31,30.993937,,0,2,0,0,32803,872,661,116097,16,64,50,1,5020,1,40,1,5150,1,31401,1,1493,1,72281,1,661,1,4379,1,331,4,3076,4,1713,4,20059,4,37834,8,0,0,57232,24,80,1,3737,1,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
2,120500,16,31,30.987455,,0,2,0,0,21226,862,671,99274,16,67,50,1,1423,1,30,1,772,1,27033,1,1463,1,68073,1,431,1,4459,1,341,4,3026,4,1433,4,19809,4,37122,8,0,0,56260,24,70,1,822,1,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,31,1,16,1,63,1,31,1,0,1
3,137700,16,31,30.97999,,0,2,0,0,27795,792,631,109905,16,64,230,1,1543,1,70,1,5381,1,31562,1,1483,1,69015,1,621,1,4900,1,321,4,3076,4,1393,4,19999,4,37353,8,0,0,56721,24,80,1,942,1,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
4,116100,16,31,30.972979,,0,2,0,0,26966,581,551,89134,16,61,60,1,922,1,20,1,761,1,19077,1,1092,1,66770,1,431,1,3807,1,261,4,2946,4,1323,4,19388,4,37463,8,0,0,56300,24,90,1,812,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
5,111600,16,31,30.966393,,0,2,0,0,20723,601,631,90877,16,67,50,1,671,1,20,1,641,1,18947,1,1212,1,68975,1,361,1,4479,1,230,4,2916,4,1383,4,19989,4,38285,8,0,0,57643,24,60,1,952,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
6,134000,16,31,30.961182,,0,2,0,0,39215,3377,731,94785,16,62,30,1,691,1,30,1,611,1,20781,1,1172,1,70969,1,501,1,4839,1,220,4,2936,4,1473,4,19398,4,37453,8,0,0,56120,24,80,1,1082,1,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
7,114600,16,31,30.955942,,0,2,0,0,26769,621,561,87831,16,59,180,1,1112,1,50,1,872,1,15520,1,1433,1,68253,1,411,1,4549,1,240,4,2926,4,1232,4,19829,4,37944,8,0,0,57212,24,90,1,751,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
8,118100,16,31,30.950468,,0,2,0,0,26982,741,731,91118,16,67,200,1,1082,1,10,1,772,1,18807,1,1313,1,68534,1,401,1,4449,1,371,4,2956,4,1413,4,19668,4,37814,8,0,0,56751,24,100,1,912,1,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
9,109600,16,31,30.945265,,0,2,0,0,20286,551,571,89314,16,67,30,1,671,1,80,1,711,1,19598,1,1112,1,66800,1,311,1,4238,1,301,4,3707,4,1303,4,19278,4,36662,8,0,0,55368,24,40,1,651,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
