step,wall_ns,manifolds,pairs,top_y,awake
0,5188100,4495,9570,35.998295,
1,4193500,4196,9570,35.993866,
2,3941900,4142,9570,35.986713,
3,3946600,4111,9570,35.976837,
4,4058900,4100,9570,35.964233,
5,3901600,4087,9570,35.948902,
6,3942600,4079,9570,35.93085,
7,3923400,4073,9570,35.910072,
8,3909000,4066,9570,35.88657,
9,3858400,4061,9570,35.86034,
10,3873100,4053,9570,35.831387,
11,3904800,4054,9570,35.79971,
12,3882700,4056,9570,35.765305,
13,3897900,4055,9570,35.728176,
14,3901300,4060,9570,35.688324,
15,3950400,4057,9570,35.64575,
16,3964800,4055,9570,35.600445,
17,3926100,4051,9570,35.552414,
18,3904400,4049,9570,35.501663,
19,3884800,4050,9570,35.448185,
20,4336500,4829,9570,35.391983,
21,4272800,4715,9570,35.333054,
22,4145000,4565,9570,35.2714,
23,4107500,4496,9570,35.207024,
24,4076800,4419,9570,35.13992,
25,4124200,4390,9570,35.07009,
26,4060000,4353,9570,34.997536,
27,4038100,4336,9570,34.92226,
28,4389300,4982,9570,34.844257,
29,4296800,4783,9570,34.763527,
30,4239000,4670,9570,34.680073,
31,4200300,4639,9570,34.593895,
32,4159200,4573,9570,34.504993,
33,4181500,4491,9570,34.413364,
34,4414800,5031,9570,34.31901,
35,4323700,4806,9570,34.221935,
36,4219600,4646,9570,34.12213,
37,4245400,4535,9570,34.019604,
38,4161800,4502,9570,33.91435,
39,4339000,4984,9570,33.806374,
40,4412300,5009,9570,33.69567,
41,4340300,4852,9570,33.58224,
42,4255700,4753,9570,33.466087,
43,4274500,4728,9570,33.34721,
44,4420000,4996,9570,33.22561,
45,4457900,5112,9570,33.10128,
46,4412300,4923,9570,32.974224,
47,4297800,4760,9570,32.844448,
48,4458700,5001,9570,32.711945,
49,4501000,5139,9570,32.576717,
50,4589800,4996,9570,32.438763,
51,4433600,4871,9570,32.298084,
52,4463900,5093,9570,32.154682,
53,4443600,4972,9570,32.008553,
54,4297300,4792,9570,31.8597,
55,4313900,4796,9570,31.70812,
56,4397700,4911,9570,31.553818,
57,4291200,4780,9570,31.39679,
58,4258600,4734,9570,31.237036,
59,4323700,4748,9570,31.074558,
60,4251400,4704,9570,30.909355,
61,4244900,4678,9570,30.741426,
62,4251900,4666,9570,30.570772,
63,4265600,4609,9570,30.397394,
64,4237800,4623,9570,30.22129,
65,4236000,4625,9570,30.042463,
66,4209000,4579,9570,29.860909,
67,4264800,4610,9570,29.67663,
68,4253200,4550,9570,29.489626,
69,4192100,4524,9570,29.299898,
70,4182900,4535,9570,29.107445,
71,4202300,4528,9570,28.912266,
72,4375700,4533,9570,28.714361,
73,4164300,4529,9570,28.745474,
74,4185500,4530,9570,28.77165,
75,4160300,4529,9570,28.79591,
76,4166500,4524,9570,28.816788,
77,4217000,4517,9570,28.83433,
78,4191300,4520,9570,28.848581,
79,4173300,4514,9568,28.862343,
80,4173000,4519,9568,28.873486,
81,4179600,4518,9568,28.88324,
82,4189300,4518,9568,28.892859,
83,4210300,4516,9568,28.90075,
84,4192200,4517,9567,28.907646,
85,4176600,4508,9565,28.914537,
86,4149600,4519,9565,28.920815,
87,4193300,4516,9565,28.92588,
88,4217300,4518,9565,28.930962,
89,4203900,4519,9565,28.935617,
90,4165600,4514,9565,28.939785,
91,4352800,4516,9565,28.943506,
92,4206100,4512,9565,28.946703,
93,4213400,4508,9565,28.949604,
94,4210700,4522,9565,28.952375,
95,4184500,4519,9565,28.954878,
96,4174400,4521,9565,28.957104,
97,4183300,4517,9565,28.9592,
98,4219100,4515,9565,28.960983,
99,4191000,4520,9565,28.96278,
100,4193600,4521,9564,28.964386,
101,4167600,4521,9564,28.965906,
102,4219100,4521,9563,28.967402,
103,4211000,4520,9563,28.968788,
104,4223300,4522,9563,28.969984,
105,4180100,4518,9563,28.971111,
106,4161100,4521,9563,28.97221,
107,4167300,4523,9563,28.97325,
108,4188200,4515,9562,28.974203,
109,4255200,4517,9562,28.975157,
110,4286600,4516,9562,28.976004,
111,4165900,4515,9562,28.976778,
112,4158500,4519,9562,28.977486,
113,4249100,4520,9562,28.978231,
114,4227000,4520,9562,28.97893,
115,4172800,4519,9561,28.979557,
116,4196400,4526,9561,28.980162,
117,4170600,4519,9561,28.980728,
