step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,5541200,4495,9570,35.998295,,0,9,9,108,134652,7404,2245,5406548,16,149,541,1,100785,1,882,1,2074756,1,1180930,1,152404,1,1881543,1,14708,1,563859,1,12624,4,541004,4,88451,4,227509,4,411194,8,636458,108,0,0,3366,1,23485,1,2645,1,0,0,0,0,0,0,906470,1,138688,1,18446,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1
1,4256700,4196,9570,35.993866,,0,8,8,96,88332,1252,1714,4168368,16,142,130,1,37132,1,80,1,2027224,1,426424,1,118669,1,1545764,1,12945,1,353873,1,11703,4,483864,4,81457,4,211749,4,374433,8,584468,96,0,0,3136,1,21722,1,2575,1,0,0,0,0,0,0,401415,1,16592,1,5280,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1
2,4587200,4142,9570,35.986713,,0,8,8,96,36584,4589,2035,4550616,16,142,40,1,30599,1,50,1,2350588,1,443927,1,87629,1,1623575,1,14207,1,280281,1,13095,4,501638,4,90224,4,240935,4,458004,8,696905,96,0,0,3467,1,28595,1,2745,1,0,0,0,0,0,0,410302,1,24537,1,5010,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1
3,3988000,4111,9570,35.976837,,0,8,8,96,34537,1213,5833,3953463,16,142,20,1,25199,1,30,1,1878126,1,446662,1,87279,1,1502761,1,13386,1,349004,1,12163,4,477382,4,79363,4,196169,4,358853,8,549189,96,0,0,2896,1,23145,1,2575,1,0,0,0,0,0,0,408018,1,29246,1,4980,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1
4,3906800,4100,9570,35.964233,,0,8,8,96,33302,1132,3888,3873498,16,142,100,1,25359,1,50,1,1878026,1,414480,1,85355,1,1457043,1,13085,1,282004,1,11663,4,476179,4,78842,4,189586,4,388951,8,574649,96,0,0,2976,1,23075,1,2635,1,0,0,0,0,0,0,388811,1,16812,1,4869,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1
5,3857400,4087,9570,35.948902,,0,8,8,96,32636,1062,3237,3824764,16,142,30,1,25189,1,50,1,1887745,1,407697,1,84503,1,1406515,1,13035,1,277456,1,12163,4,477101,4,78822,4,189225,4,342902,8,528891,96,0,0,2946,1,22193,1,2645,1,0,0,0,0,0,0,381637,1,17424,1,4829,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1
6,3864200,4079,9570,35.93085,,0,8,8,96,32633,1032,1443,3831567,16,142,30,1,25169,1,20,1,1887394,1,403940,1,83952,1,1417988,1,13075,1,277235,1,11903,4,477472,4,78932,4,196339,4,347501,8,542397,96,0,0,2815,1,22143,1,2615,1,0,0,0,0,0,0,380014,1,15320,1,4819,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1
7,4235200,4073,9570,35.910072,,0,8,8,96,38518,1413,1603,4196682,16,142,150,1,30589,1,80,1,1994290,1,452574,1,105985,1,1599959,1,13055,1,340317,1,12574,4,563658,4,87178,4,203743,4,361017,8,563157,96,0,0,2976,1,24457,1,2625,1,0,0,0,0,0,0,424269,1,18846,1,5921,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1
8,4185100,4066,9570,35.88657,,0,8,8,96,40448,1192,1564,4144652,16,142,50,1,30629,1,80,1,2008478,1,415623,1,102077,1,1574770,1,12945,1,340197,1,14708,4,573347,4,78311,4,189786,4,348894,8,537116,96,0,0,2916,1,22844,1,2575,1,0,0,0,0,0,0,386066,1,20520,1,5791,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1
9,3877400,4061,9570,35.86034,,0,8,8,96,31966,1212,1473,3845434,16,142,10,1,30559,1,30,1,1877164,1,405803,1,84162,1,1434630,1,13075,1,277436,1,11953,4,479335,4,78361,4,203232,4,355757,8,557516,96,0,0,2886,1,21862,1,2595,1,0,0,0,0,0,0,380374,1,16782,1,4739,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1
