step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,8427200,4495,9570,35.998295,,0,9,9,108,58976,6924,2936,8368224,16,151,401,1,98256,1,240,1,1893417,1,2543825,1,129458,1,3687827,1,14800,1,574827,1,8367,4,525498,4,65511,4,829545,4,1652567,8,2479175,108,0,0,3517,1,18517,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1
1,7716500,4196,9570,35.993866,,0,8,8,96,49284,1162,3598,7667216,16,139,180,1,41633,1,70,1,2055070,1,2304568,1,87054,1,3166056,1,12585,1,314067,1,6954,4,469156,4,63517,4,766970,4,1520784,8,2284156,96,0,0,3016,1,17956,1,2475,1,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1
2,7749500,4142,9570,35.986713,,0,8,8,96,373265,1142,4659,7376235,16,139,140,1,22986,1,70,1,1881584,1,2276722,1,85491,1,3091297,1,17946,1,257764,1,7254,4,464707,4,63467,4,758263,4,1515213,8,2268816,96,0,0,2976,1,18076,1,2435,1,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1
3,7372000,4111,9570,35.976837,,0,8,8,96,52408,1132,4609,7319592,16,139,140,1,25090,1,50,1,1901163,1,2234518,1,85430,1,3060335,1,12866,1,252303,1,6984,4,462332,4,63577,4,757742,4,1492908,8,2246040,96,0,0,3036,1,17796,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1
4,7367600,4100,9570,35.964233,,0,8,8,96,44030,5431,2525,7323570,16,139,50,1,23547,1,30,1,1893528,1,2226802,1,82134,1,3084654,1,12826,1,248105,1,7024,4,461962,4,64148,4,764034,4,1509962,8,2271472,96,0,0,2896,1,18577,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1
5,7399900,4087,9570,35.948902,,0,8,8,96,51059,1082,2145,7348841,16,139,140,1,23747,1,70,1,1917926,1,2233045,1,83577,1,3077489,1,12846,1,249848,1,7004,4,464336,4,63837,4,756389,4,1511786,8,2266030,96,0,0,2936,1,17745,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1
6,7437800,4079,9570,35.93085,,0,8,8,96,44290,1172,2185,7393510,16,139,140,1,23607,1,70,1,1869079,1,2289327,1,85090,1,3113571,1,12625,1,249778,1,7104,4,476972,4,64749,4,770698,4,1520293,8,2288806,96,0,0,2966,1,17375,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1
7,8253700,4073,9570,35.910072,,0,8,8,96,474581,1513,2275,7779119,16,139,30,1,22826,1,50,1,1883608,1,2519787,1,88547,1,3251667,1,12605,1,304928,1,7836,4,504947,4,68326,4,804585,4,1536976,8,2339286,96,0,0,2906,1,17144,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1
8,7414900,4066,9570,35.88657,,0,8,8,96,46751,1142,2235,7368149,16,139,130,1,22966,1,70,1,1865331,1,2272494,1,102995,1,3091558,1,12605,1,255951,1,7124,4,469306,4,64218,4,763724,4,1507407,8,2268896,96,0,0,2966,1,17254,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1
9,8394700,4061,9570,35.86034,,0,8,8,96,800670,1032,2074,7594030,16,139,30,1,22896,1,50,1,1879670,1,2569787,1,82755,1,3026187,1,12655,1,247083,1,7054,4,460950,4,63406,4,745928,4,1478349,8,2222203,96,0,0,2956,1,16964,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1
10,7511800,4053,9570,35.831387,,0,8,8,96,47168,1222,2705,7464632,16,139,160,1,28777,1,90,1,1990080,1,2285009,1,84118,1,3063502,1,12896,1,247033,1,7094,4,462012,4,64078,4,753704,4,1505113,8,2256111,96,0,0,3056,1,17655,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,0,1
11,7429400,4054,9570,35.79971,,0,8,8,96,35590,1112,2185,7393810,16,139,50,1,23457,1,40,1,1906303,1,2313465,1,85030,1,3052971,1,12495,1,252514,1,7054,4,465038,4,63887,4,756880,4,1483469,8,2238165,96,0,0,2755,1,17846,1,2415,1,0,0,0,0,0,0,0,0,0,0,0,0,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,0,1
12,7362700,4056,9570,35.765305,,0,8,8,96,33759,972,2214,7328941,16,139,40,1,22856,1,40,1,1884019,1,2263686,1,84358,1,3061427,1,12515,1,247704,1,7074,4,464406,4,63867,4,755116,4,1499231,8,2252133,96,0,0,2735,1,17846,1,2475,1,0,0,0,0,0,0,0,0,0,0,0,0,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1
13,7422900,4055,9570,35.728176,,0,8,8,96,31284,1032,2074,7391616,16,139,40,1,23036,1,80,1,1897465,1,2292063,1,85230,1,3081197,1,12505,1,257103,1,6894,4,469336,4,64098,4,758824,4,1502067,8,2258816,96,0,0,2916,1,16473,1,2455,1,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1
14,7398700,4060,9570,35.688324,,0,8,8,96,31753,1002,2244,7366947,16,139,40,1,23016,1,90,1,1904700,1,2272403,1,84088,1,3069804,1,12806,1,245520,1,6823,4,464567,4,63948,4,755157,4,1510223,8,2263135,96,0,0,2856,1,17194,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1
15,7454300,4057,9570,35.64575,,0,8,8,96,36451,902,2225,7417849,16,139,110,1,23407,1,40,1,1903608,1,2255330,1,82585,1,3139884,1,12886,1,271011,1,7164,4,480639,4,64829,4,770237,4,1522016,8,2290028,96,0,0,2956,1,17605,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1
16,7384400,4055,9570,35.600445,,0,8,8,96,33836,852,2335,7350564,16,139,140,1,23597,1,20,1,1904570,1,2238486,1,83436,1,3087720,1,12595,1,246722,1,7104,4,468114,4,64689,4,773864,4,1504061,8,2275589,96,0,0,2776,1,17094,1,2445,1,0,0,0,0,0,0,0,0,0,0,0,0,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,0,1
