step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,11428900,4495,9570,35.998295,,0,9,9,108,495795,14257,5070,10933105,16,151,421,1,124127,1,90,1,2035787,1,2488001,1,173141,1,6093464,1,18075,1,1499613,1,10360,4,648268,4,66046,4,1159544,4,2317685,8,3472159,108,0,0,6001,1,369055,1,2635,1,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1
1,9827100,4196,9570,35.993866,,0,8,8,96,124124,1353,6653,9702976,16,139,160,1,41670,1,100,1,2189540,1,2310732,1,111172,1,5032809,1,16792,1,886172,1,7464,4,567954,4,71817,4,1088989,4,2161928,8,3244264,96,0,0,5340,1,239287,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1
2,9258000,4142,9570,35.986713,,0,8,8,96,122377,1302,5751,9135623,16,139,140,1,33654,1,130,1,2022612,1,2255907,1,85754,1,4718900,1,18525,1,768607,1,7424,4,562023,4,64503,4,1061717,4,2109327,8,3165293,96,0,0,5320,1,136100,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1
3,9462600,4111,9570,35.976837,,0,8,8,96,56671,1473,7384,9405929,16,139,190,1,31691,1,80,1,2142431,1,2313006,1,92426,1,4812979,1,13125,1,805588,1,6993,4,566912,4,64723,4,1077968,4,2129786,8,3200370,96,0,0,6152,1,150728,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1
4,9015200,4100,9570,35.964233,,0,8,8,96,56906,4519,2886,8958294,16,139,311,1,25659,1,70,1,1906670,1,2304239,1,83660,1,4625221,1,12464,1,732018,1,7264,4,552896,4,63642,4,1043793,4,2061095,8,3102003,96,0,0,5150,1,152321,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1
5,8923300,4087,9570,35.948902,,0,8,8,96,52253,1182,3186,8871047,16,139,140,1,30779,1,50,1,1912121,1,2214528,1,86485,1,4614110,1,12835,1,720486,1,7514,4,563766,4,64082,4,1044053,4,2070563,8,3111431,96,0,0,5310,1,134457,1,2695,1,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1
6,8977300,4079,9570,35.93085,,0,8,8,96,38323,1773,4168,8938977,16,139,50,1,24026,1,50,1,1863548,1,2236620,1,85102,1,4716585,1,12995,1,726748,1,10260,4,573365,4,64443,4,1051347,4,2131951,8,3179130,96,0,0,5380,1,148614,1,2705,1,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1
7,9968900,4073,9570,35.910072,,0,8,8,96,686257,1162,3126,9282643,16,139,140,1,39946,1,20,1,2181335,1,2298488,1,85393,1,4657893,1,19427,1,741927,1,7605,4,568055,4,64774,4,1053672,4,2085772,8,3136318,96,0,0,5190,1,127243,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1
8,9432400,4066,9570,35.88657,,0,8,8,96,100042,1062,3206,9332358,16,139,140,1,34847,1,50,1,2116020,1,2418888,1,81365,1,4667942,1,13105,1,777555,1,7364,4,557615,4,64543,4,1061887,4,2064492,8,3123173,96,0,0,5160,1,125690,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1
9,8948500,4061,9570,35.86034,,0,8,8,96,45722,1112,3196,8902778,16,139,140,1,23795,1,70,1,1891772,1,2239265,1,83059,1,4652012,1,12664,1,718171,1,7414,4,560039,4,64823,4,1080583,4,2079841,8,3157228,96,0,0,5310,1,132162,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1
