step,wall_ns,manifolds,pairs,top_y,awake
0,5265800,4495,9570,35.998295,
1,4099200,4196,9570,35.993866,
2,3888800,4142,9570,35.986713,
3,3849100,4111,9570,35.976837,
4,3837000,4100,9570,35.964233,
5,3844800,4087,9570,35.948902,
6,3839500,4079,9570,35.93085,
7,3910700,4073,9570,35.910072,
8,3931700,4066,9570,35.88657,
9,3912700,4061,9570,35.86034,
10,3855400,4053,9570,35.831387,
11,3849100,4054,9570,35.79971,
12,3849800,4056,9570,35.765305,
13,3857000,4055,9570,35.728176,
14,3877000,4060,9570,35.688324,
15,3882900,4057,9570,35.64575,
16,3904900,4055,9570,35.600445,
17,3907800,4051,9570,35.552414,
18,3844600,4049,9570,35.501663,
19,3870700,4050,9570,35.448185,
20,4296500,4829,9570,35.391983,
21,4192600,4715,9570,35.333054,
22,4205500,4565,9570,35.2714,
23,4190200,4496,9570,35.207024,
24,4185400,4419,9570,35.13992,
25,4235900,4390,9570,35.07009,
26,4033100,4353,9570,34.997536,
27,4026800,4336,9570,34.92226,
28,4364200,4982,9570,34.844257,
29,4252500,4783,9570,34.763527,
30,4201100,4670,9570,34.680073,
31,4313700,4639,9570,34.593895,
32,4203000,4573,9570,34.504993,
33,4192400,4491,9570,34.413364,
34,4333000,5031,9570,34.31901,
35,4296300,4806,9570,34.221935,
36,4260300,4646,9570,34.12213,
37,4209300,4535,9570,34.019604,
38,4147200,4502,9570,33.91435,
39,4320000,4984,9570,33.806374,
40,4408100,5009,9570,33.69567,
41,4294500,4852,9570,33.58224,
42,4306900,4753,9570,33.466087,
43,4274500,4728,9570,33.34721,
44,4446300,4996,9570,33.22561,
45,4459300,5112,9570,33.10128,
46,4424400,4923,9570,32.974224,
47,4325800,4760,9570,32.844448,
48,4397700,5001,9570,32.711945,
49,4517900,5139,9570,32.576717,
50,4426000,4996,9570,32.438763,
51,4369400,4871,9570,32.298084,
52,4460600,5093,9570,32.154682,
53,4488100,4972,9570,32.008553,
54,4348400,4792,9570,31.8597,
55,4322800,4796,9570,31.70812,
56,4407100,4911,9570,31.553818,
57,4248400,4780,9570,31.39679,
58,4264400,4734,9570,31.237036,
59,4275800,4748,9570,31.074558,
60,4333500,4704,9570,30.909355,
61,4222900,4678,9570,30.741426,
62,4239200,4666,9570,30.570772,
63,4244700,4609,9570,30.397394,
64,4304000,4623,9570,30.22129,
65,4232400,4625,9570,30.042463,
66,4203100,4579,9570,29.860909,
67,4204400,4610,9570,29.67663,
68,4282700,4550,9570,29.489626,
69,4148900,4524,9570,29.299898,
70,4180200,4535,9570,29.107445,
71,4171500,4528,9570,28.912266,
72,4179800,4533,9570,28.714361,
73,4197300,4529,9570,28.745474,
74,4219300,4530,9570,28.77165,
75,4226100,4529,9570,28.79591,
76,4175600,4524,9570,28.816788,
77,4141100,4517,9570,28.83433,
78,4176600,4520,9570,28.848581,
79,4247000,4514,9568,28.862343,
80,4135700,4519,9568,28.873486,
81,4142900,4518,9568,28.88324,
82,4162300,4518,9568,28.892859,
83,4165000,4516,9568,28.90075,
84,4164500,4517,9567,28.907646,
85,4188000,4508,9565,28.914537,
86,4160100,4519,9565,28.920815,
87,4143400,4516,9565,28.92588,
88,4230200,4518,9565,28.930962,
89,4163300,4519,9565,28.935617,
90,4176500,4514,9565,28.939785,
91,4201000,4516,9565,28.943506,
92,4161500,4512,9565,28.946703,
93,4145300,4508,9565,28.949604,
94,4192000,4522,9565,28.952375,
95,4136500,4519,9565,28.954878,
96,4168100,4521,9565,28.957104,
97,4174800,4517,9565,28.9592,
98,4193700,4515,9565,28.960983,
99,4156100,4520,9565,28.96278,
100,4168900,4521,9564,28.964386,
101,4160900,4521,9564,28.965906,
102,4184900,4521,9563,28.967402,
103,4203600,4520,9563,28.968788,
104,4171600,4522,9563,28.969984,
105,4173500,4518,9563,28.971111,
106,4270300,4521,9563,28.97221,
107,4192300,4523,9563,28.97325,
108,4223900,4515,9562,28.974203,
109,4203900,4517,9562,28.975157,
110,4146500,4516,9562,28.976004,
111,4171100,4515,9562,28.976778,
112,4150400,4519,9562,28.977486,
113,4396800,4520,9562,28.978231,
114,4375700,4520,9562,28.97893,
115,4191500,4519,9561,28.979557,
116,4163000,4526,9561,28.980162,
117,4163500,4519,9561,28.980728,
118,4208600,4521,9561,28.981266,
119,4151400,4517,9561,28.981787,
120,4162200,4523,9561,28.982262,
121,4141300,4523,9561,28.98269,
122,4190000,4521,9561,28.983118,
