step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,11882500,4495,9570,35.998295,,0,9,9,108,718564,8918,5851,11163936,18,152,361,1,98774,1,120,1,1900694,1,2509658,1,543445,1,179933,1,5917325,1,13627,1,1466764,1,8847,4,637730,4,65338,4,1136547,4,2219028,8,3349724,108,0,0,5972,1,365667,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1
1,10599100,4196,9570,35.993866,,0,8,8,96,286642,1373,5922,10312458,18,140,421,1,43836,1,361,1,2050688,1,2520439,1,543335,1,115356,1,5022051,1,15971,1,968678,1,8076,4,601889,4,63094,4,1056200,4,2084404,8,3134683,96,0,0,5330,1,230341,1,2665,1,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1
2,10103500,4142,9570,35.986713,,0,8,8,96,209623,1212,5882,9893877,18,140,541,1,30249,1,90,1,2082581,1,2404321,1,543445,1,122149,1,4695361,1,15140,1,879373,1,7405,4,555098,4,62803,4,1033195,4,2020710,8,3048023,96,0,0,5180,1,127931,1,2455,1,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1
3,10032400,4111,9570,35.976837,,0,8,8,96,197828,1182,5631,9834572,18,140,110,1,30269,1,70,1,2072381,1,2384312,1,543425,1,112981,1,4674580,1,16442,1,859705,1,7545,4,559216,4,62843,4,1024818,4,2027984,8,3047171,96,0,0,5270,1,123462,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1
4,9972300,4100,9570,35.964233,,0,8,8,96,118972,1252,5591,9853328,18,140,301,1,34027,1,571,1,2053925,1,2401275,1,543365,1,101799,1,4707244,1,10821,1,828934,1,7865,4,569085,4,62983,4,1054015,4,2049686,8,3098111,96,0,0,5150,1,125797,1,2475,1,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1
5,9831200,4087,9570,35.948902,,0,8,8,96,445568,1123,3047,9385632,18,140,140,1,22975,1,70,1,1898240,1,2252824,1,543375,1,85918,1,4566548,1,15540,1,715893,1,7605,4,559707,4,63725,4,1041401,4,2045578,8,3083932,96,0,0,5160,1,123913,1,2445,1,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1
6,9516800,4079,9570,35.93085,,0,8,8,96,64618,1633,3517,9452182,18,140,150,1,31281,1,50,1,1894492,1,2286761,1,543325,1,85077,1,4600515,1,10531,1,728658,1,7675,4,557011,4,63044,4,1036842,4,2064976,8,3098301,96,0,0,5160,1,132981,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1
7,9370600,4073,9570,35.910072,,0,8,8,96,52130,1152,3046,9318470,18,140,220,1,23065,1,70,1,1891877,1,2233246,1,543365,1,86279,1,4529806,1,10541,1,739479,1,7455,4,553585,4,62713,4,1019438,4,2014227,8,3030619,96,0,0,5170,1,124053,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1
8,9447700,4066,9570,35.88657,,0,8,8,96,57990,1042,3367,9389710,18,140,140,1,23045,1,60,1,1906816,1,2275248,1,543355,1,84987,1,4545357,1,10701,1,725181,1,7094,4,552302,4,62522,4,1016772,4,2030970,8,3044375,96,0,0,5300,1,141648,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1
9,9457900,4061,9570,35.86034,,0,8,8,96,56928,1133,3236,9400972,18,140,611,1,24869,1,70,1,1910694,1,2231503,1,543295,1,83804,1,4595685,1,10440,1,718147,1,7845,4,575778,4,63354,4,1034417,4,2066269,8,3097450,96,0,0,5160,1,121107,1,2475,1,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1
10,9408200,4053,9570,35.831387,,0,8,8,96,52597,1112,3197,9355603,18,140,220,1,23085,1,50,1,1910634,1,2257604,1,543455,1,86029,1,4524125,1,10400,1,734599,1,7515,4,552903,4,62643,4,1020770,4,2006692,8,3024266,96,0,0,5180,1,130235,1,2475,1,0,0,0,0,0,0,0,0,0,0,0,0,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,0,1
11,9450700,4054,9570,35.79971,,0,8,8,96,52374,1573,3377,9398326,18,140,140,1,23115,1,70,1,1909732,1,2254488,1,543365,1,86610,1,4569875,1,10931,1,738788,1,7735,4,565929,4,63224,4,1038916,4,2019567,8,3055107,96,0,0,5310,1,126328,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,0,1
12,9371200,4056,9570,35.765305,,0,8,8,96,39594,1122,3146,9331606,18,140,80,1,23596,1,50,1,1874193,1,2230501,1,543275,1,83043,1,4566278,1,10591,1,724129,1,7585,4,558254,4,63585,4,1029157,4,2046089,8,3072100,96,0,0,5160,1,128762,1,2435,1,0,0,0,0,0,0,0,0,0,0,0,0,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1
13,9425100,4055,9570,35.728176,,0,8,8,96,40139,992,3126,9384961,18,140,20,1,23075,1,30,1,1865576,1,2353542,1,543395,1,83143,1,4505759,1,10420,1,728558,1,7465,4,555519,4,62543,4,1014949,4,2005179,8,3017002,96,0,0,5170,1,122881,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1
14,9419400,4060,9570,35.688324,,0,8,8,96,40131,972,3026,9379269,18,140,100,1,23035,1,20,1,1890715,1,2242775,1,543214,1,81670,1,4586858,1,10881,1,725111,1,7424,4,558514,4,63154,4,1048244,4,2041861,8,3087079,96,0,0,5330,1,133742,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1
15,9392300,4057,9570,35.64575,,0,8,8,96,44392,962,2967,9347908,18,140,200,1,26382,1,100,1,1911896,1,2228387,1,543214,1,80969,1,4546389,1,10370,1,717526,1,7735,4,568795,4,63534,4,1026602,4,2032373,8,3056007,96,0,0,5300,1,120987,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1
16,9775400,4055,9570,35.600445,,0,8,8,96,61656,1162,3888,9713744,18,140,30,1,22955,1,20,1,1885475,1,2479248,1,543204,1,86770,1,4684880,1,11162,1,799948,1,7715,4,568584,4,63354,4,1034818,4,2065397,8,3096327,96,0,0,5270,1,136117,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,0,1
17,9548500,4051,9570,35.552414,,0,8,8,96,35789,1073,3166,9512711,18,140,261,1,29488,1,50,1,2059185,1,2231342,1,543305,1,81911,1,4556519,1,10651,1,717306,1,7655,4,552683,4,62822,4,1021892,4,2032212,8,3050938,96,0,0,5310,1,153030,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,0,1
18,9441000,4049,9570,35.501663,,0,8,8,96,37864,912,3738,9403136,18,140,20,1,23406,1,30,1,1865736,1,2310738,1,543174,1,85047,1,4563973,1,11012,1,754539,1,7094,4,551932,4,62663,4,1025259,4,2015129,8,3036650,96,0,0,5381,1,138551,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,0,1
19,9366800,4050,9570,35.448185,,0,8,8,96,43050,842,3106,9323750,18,140,90,1,23777,1,30,1,1829765,1,2263395,1,543164,1,85267,1,4566959,1,11302,1,716734,1,7184,4,550328,4,62492,4,1017253,4,2066139,8,3080286,96,0,0,6092,1,137079,1,2816,1,0,0,0,0,0,0,0,0,0,0,0,0,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,0,1
20,11045100,4829,9570,35.391983,,0,14,12,144,45666,1393,4629,10999434,18,212,80,1,24829,1,70,1,1886577,1,2553323,1,543245,1,112711,1,5867177,1,11422,1,1138751,1,7916,4,692617,4,64957,4,1259538,4,2464690,8,3682486,144,37113,24,6513,1,228077,1,2725,1,0,0,0,0,0,0,0,0,0,0,0,0,18718,1,144,1,9570,1,4829,1,18862,1,9570,1,0,1
21,10643200,4715,9570,35.333054,,0,13,11,132,36536,1222,4278,10606664,18,200,120,1,24017,1,60,1,1841308,1,2666345,1,543194,1,107461,1,5413027,1,11132,1,872941,1,7755,4,624985,4,63224,4,1203949,4,2362710,8,3537261,132,25119,24,5851,1,267855,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,17266,1,101,1,9570,1,4715,1,17367,1,9570,1,0,1
22,10576700,4565,9570,35.2714,,0,13,10,120,377494,1142,4078,10199206,18,200,50,1,23145,1,50,1,1825918,1,2554917,1,543255,1,100707,1,5136114,1,15049,1,840176,1,7495,4,597831,4,62512,4,1161827,4,2284216,8,3389171,120,52793,36,5541,1,172899,1,2475,1,0,0,0,0,0,0,0,0,0,0,0,0,16624,1,220,1,9570,1,4565,1,16844,1,9570,1,0,1
23,11424900,4496,9570,35.207024,,0,13,10,120,506926,1393,4088,10917974,18,200,220,1,29568,1,70,1,2187026,1,2783765,1,543485,1,115136,1,5248214,1,10491,1,1004017,1,7765,4,616508,4,64336,4,1141206,4,2257343,8,3346417,120,48044,36,5431,1,147619,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,16445,1,200,1,9570,1,4496,1,16645,1,9570,1,0,1
24,10210100,4419,9570,35.13992,,0,12,10,120,91673,1242,3938,10118427,18,188,641,1,23456,1,70,1,1894773,1,2548654,1,543425,1,105447,1,4990920,1,11042,1,828483,1,7465,4,583163,4,62913,4,1113632,4,2191043,8,3281991,120,18747,24,5431,1,195082,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,16356,1,88,1,9570,1,4419,1,16444,1,9570,1,0,1
25,10149800,4390,9570,35.07009,,0,12,9,108,53877,1212,4218,10095923,18,188,321,1,23817,1,50,1,1901035,1,2556129,1,543355,1,95577,1,4964518,1,11122,1,773746,1,7334,4,580648,4,63364,4,1140204,4,2239538,8,3308924,108,66601,36,5581,1,149242,1,3647,1,0,0,0,0,0,0,0,0,0,0,0,0,16055,1,291,1,9570,1,4390,1,16346,1,9570,1,0,1
26,10073700,4353,9570,34.997536,,0,12,9,108,49898,1202,3918,10023802,18,188,701,1,25760,1,60,1,1912708,1,2532763,1,543395,1,97190,1,4900793,1,10430,1,780469,1,7354,4,580047,4,63094,4,1103583,4,2160874,8,3205892,108,54647,36,5381,1,195603,1,3186,1,0,0,0,0,0,0,0,0,0,0,0,0,16062,1,229,1,9570,1,4353,1,16291,1,9570,1,0,1
