step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,9541400,4495,9570,35.998295,,0,9,9,108,244444,8551,2616,9296956,18,152,832,1,146860,1,581,1,2081739,1,2686042,1,429304,1,182067,1,3747898,1,21633,1,739254,1,8792,4,549559,4,68247,4,787813,4,1561442,8,2346639,108,0,0,3288,1,18455,1,2496,1,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1
1,8404100,4196,9570,35.993866,,0,8,8,96,86538,1163,4030,8317562,18,140,150,1,43316,1,90,1,2020338,1,2645532,1,428592,1,92567,1,3074425,1,12551,1,346550,1,6787,4,470876,4,66082,4,733450,4,1426551,8,2155971,96,0,0,3037,1,17463,1,2466,1,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1
2,7939400,4142,9570,35.986713,,0,8,8,96,51061,1083,5153,7888339,18,140,170,1,29172,1,50,1,2103392,1,2275063,1,428612,1,86121,1,2953328,1,12431,1,255407,1,6987,4,464019,4,66232,4,717090,4,1419834,8,2131772,96,0,0,3047,1,17172,1,2456,1,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1
3,8379200,4111,9570,35.976837,,0,8,8,96,440839,1243,5865,7938361,18,140,140,1,23438,1,40,1,1898980,1,2322439,1,428782,1,107083,1,3144557,1,12902,1,323283,1,7539,4,499516,4,70754,4,769047,4,1450229,8,2213412,96,0,0,3047,1,17353,1,2546,1,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1
4,7902100,4100,9570,35.964233,,0,8,8,96,50451,1173,5363,7851649,18,140,190,1,30996,1,70,1,2038493,1,2274913,1,428732,1,84096,1,2981687,1,12471,1,247658,1,7148,4,464319,4,70603,4,724849,4,1443372,8,2162858,96,0,0,2927,1,17212,1,2426,1,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1
5,7759900,4087,9570,35.948902,,0,8,8,96,49107,1053,2016,7710793,18,140,140,1,23387,1,60,1,1897256,1,2309117,1,428662,1,87114,1,2952546,1,12511,1,247517,1,6767,4,467116,4,66323,4,726343,4,1415213,8,2139540,96,0,0,3017,1,16591,1,2606,1,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1
6,7708100,4079,9570,35.93085,,0,8,8,96,50558,1143,2396,7657542,18,140,160,1,23498,1,40,1,1898950,1,2236779,1,428562,1,84878,1,2972164,1,12511,1,249623,1,7739,4,481151,4,67105,4,723766,4,1419083,8,2140453,96,0,0,2887,1,17202,1,2466,1,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1
7,7701100,4073,9570,35.910072,,0,8,8,96,36210,1002,2086,7664890,18,140,40,1,23317,1,40,1,1863393,1,2311643,1,428572,1,83705,1,2941659,1,12521,1,253322,1,7027,4,468309,4,66834,4,715837,4,1406041,8,2119791,96,0,0,2887,1,17944,1,2456,1,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1
8,7718700,4066,9570,35.88657,,0,8,8,96,48807,1895,2156,7669893,18,140,80,1,23448,1,40,1,1867754,1,2264497,1,428632,1,87805,1,2984825,1,12811,1,244640,1,7007,4,463006,4,72027,4,717421,4,1442420,8,2157685,96,0,0,2887,1,20450,1,13072,1,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1
9,8381000,4061,9570,35.86034,,0,8,8,96,88099,1764,2506,8292901,18,140,10,1,30214,1,160,1,2092034,1,2475194,1,429153,1,89700,1,3161880,1,14556,1,428642,1,7869,4,473682,4,68167,4,727165,4,1428656,8,2153314,96,0,0,3458,1,19708,1,2767,1,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1
