step,wall_ns,manifolds,pairs,top_y,awake
0,5079900,4495,9570,35.998295,
1,3983700,4196,9570,35.993866,
2,3912500,4142,9570,35.986713,
3,3886900,4111,9570,35.976837,
4,3899300,4100,9570,35.964233,
5,3921200,4087,9570,35.948902,
6,3921400,4079,9570,35.93085,
7,4069700,4073,9570,35.910072,
8,3896500,4066,9570,35.88657,
9,3845000,4061,9570,35.86034,
10,3827800,4053,9570,35.831387,
11,4813200,4054,9570,35.79971,
12,3996000,4056,9570,35.765305,
13,3860100,4055,9570,35.728176,
14,3875600,4060,9570,35.688324,
15,3910000,4057,9570,35.64575,
16,3918800,4055,9570,35.600445,
17,3883600,4051,9570,35.552414,
18,3879900,4049,9570,35.501663,
19,3887100,4050,9570,35.448185,
20,4324600,4829,9570,35.391983,
21,4320200,4715,9570,35.333054,
22,4208700,4565,9570,35.2714,
23,4136000,4496,9570,35.207024,
24,4067200,4419,9570,35.13992,
25,4104200,4390,9570,35.07009,
26,4069000,4353,9570,34.997536,
27,4064100,4336,9570,34.92226,
28,4365300,4982,9570,34.844257,
29,4295900,4783,9570,34.763527,
30,4231400,4670,9570,34.680073,
31,4206200,4639,9570,34.593895,
32,4154400,4573,9570,34.504993,
33,4165700,4491,9570,34.413364,
34,4368500,5031,9570,34.31901,
35,4297400,4806,9570,34.221935,
36,4267300,4646,9570,34.12213,
37,4457300,4535,9570,34.019604,
38,4419200,4502,9570,33.91435,
39,4354600,4984,9570,33.806374,
40,4417700,5009,9570,33.69567,
41,4310200,4852,9570,33.58224,
42,4279400,4753,9570,33.466087,
43,4260100,4728,9570,33.34721,
44,4416200,4996,9570,33.22561,
45,4487100,5112,9570,33.10128,
46,4365100,4923,9570,32.974224,
47,4306800,4760,9570,32.844448,
48,4464300,5001,9570,32.711945,
49,4498800,5139,9570,32.576717,
50,4433200,4996,9570,32.438763,
51,4378200,4871,9570,32.298084,
52,4490000,5093,9570,32.154682,
53,4398100,4972,9570,32.008553,
54,4314000,4792,9570,31.8597,
55,4384700,4796,9570,31.70812,
56,4345500,4911,9570,31.553818,
57,4325600,4780,9570,31.39679,
58,4339200,4734,9570,31.237036,
59,4331100,4748,9570,31.074558,
60,4389400,4704,9570,30.909355,
61,4331900,4678,9570,30.741426,
62,4316400,4666,9570,30.570772,
63,4274300,4609,9570,30.397394,
64,4279700,4623,9570,30.22129,
65,4296800,4625,9570,30.042463,
66,4222000,4579,9570,29.860909,
67,4243700,4610,9570,29.67663,
68,4227900,4550,9570,29.489626,
69,4221600,4524,9570,29.299898,
70,4232100,4535,9570,29.107445,
71,4201200,4528,9570,28.912266,
72,4173800,4533,9570,28.714361,
73,4225800,4529,9570,28.745474,
74,4197600,4530,9570,28.77165,
75,4168600,4529,9570,28.79591,
76,4172800,4524,9570,28.816788,
77,4306300,4517,9570,28.83433,
78,4218400,4520,9570,28.848581,
79,4188100,4514,9568,28.862343,
80,4138200,4519,9568,28.873486,
81,4243800,4518,9568,28.88324,
82,4215400,4518,9568,28.892859,
83,4259100,4516,9568,28.90075,
84,4460100,4517,9567,28.907646,
85,4157900,4508,9565,28.914537,
86,4147300,4519,9565,28.920815,
87,4165500,4516,9565,28.92588,
88,4401900,4518,9565,28.930962,
89,4343800,4519,9565,28.935617,
90,4153200,4514,9565,28.939785,
91,4197300,4516,9565,28.943506,
92,4189300,4512,9565,28.946703,
93,4165000,4508,9565,28.949604,
94,4159400,4522,9565,28.952375,
95,4163600,4519,9565,28.954878,
96,4169200,4521,9565,28.957104,
97,4188800,4517,9565,28.9592,
98,4192600,4515,9565,28.960983,
99,4161200,4520,9565,28.96278,
100,4159300,4521,9564,28.964386,
101,4157200,4521,9564,28.965906,
102,4164900,4521,9563,28.967402,
103,4207700,4520,9563,28.968788,
104,4185500,4522,9563,28.969984,
105,4222700,4518,9563,28.971111,
106,4162100,4521,9563,28.97221,
107,4207700,4523,9563,28.97325,
108,4348000,4515,9562,28.974203,
109,4334700,4517,9562,28.975157,
110,4282100,4516,9562,28.976004,
111,4327300,4515,9562,28.976778,
112,4195800,4519,9562,28.977486,
113,4150000,4520,9562,28.978231,
114,4189000,4520,9562,28.97893,
115,4195700,4519,9561,28.979557,
116,4181900,4526,9561,28.980162,
117,4210900,4519,9561,28.980728,
118,4189900,4521,9561,28.981266,
119,4159700,4517,9561,28.981787,
120,4198300,4523,9561,28.982262,
121,4170400,4523,9561,28.98269,
122,4215600,4521,9561,28.983118,
123,4224700,4522,9561,28.98351,
124,4171600,4518,9561,28.98387,
125,4182200,4521,9561,28.984217,
126,4173300,4521,9561,28.984558,
127,4168500,4517,9561,28.98485,
128,4213900,4522,9561,28.98514,
129,4211300,4521,9561,28.98541,
130,4157500,4519,9560,28.98568,
131,4176000,4526,9559,28.98593,
132,4208900,4524,9559,28.986149,
133,4224000,4516,9559,28.98636,
134,4197300,4520,9559,28.98657,
135,4222500,4522,9559,28.986776,
136,4223200,4519,9559,28.986969,
137,4283600,4521,9559,28.987137,
138,4242500,4521,9559,28.9873,
139,4157400,4521,9559,28.987465,
140,4183600,4518,9559,28.987623,
141,4221600,4523,9559,28.987766,
142,4203800,4524,9559,28.987892,
143,4228900,4523,9559,28.98802,
144,4204900,4520,9559,28.988153,
145,4193700,4519,9559,28.98826,
146,4192800,4520,9559,28.988363,
147,4284400,4522,9559,28.988459,
148,4231700,4517,9559,28.988543,
149,4161800,4519,9559,28.988642,
150,4173200,4522,9559,28.98874,
151,4191300,4520,9559,28.98882,
152,4181300,4523,9559,28.988888,
153,4239900,4523,9559,28.988964,
154,4188000,4524,9559,28.989048,
155,4149900,4521,9559,28.989117,
156,4194400,4520,9559,28.989172,
157,4182300,4519,9559,28.989218,
158,4164200,4519,9559,28.98927,
159,4232700,4518,9559,28.98933,
160,4142900,4519,9559,28.989386,
161,4149200,4521,9559,28.989433,
162,4177800,4518,9559,28.989477,
163,4183400,4520,9559,28.989515,
164,4163400,4520,9559,28.989552,
165,4224100,4519,9559,28.989582,
166,4150900,4516,9559,28.989613,
167,4338300,4518,9559,28.989645,
168,4189200,4518,9559,28.989676,
169,4199300,4514,9559,28.9897,
170,4210300,4515,9559,28.989725,
171,4162100,4512,9559,28.989754,
172,4162100,4513,9559,28.98977,
173,4174600,4515,9559,28.989801,
174,4177900,4515,9559,28.989834,
175,4214900,4515,9559,28.989851,
176,4195400,4514,9559,28.989864,
177,4178300,4516,9559,28.989883,
178,4165500,4515,9559,28.989906,
179,4174200,4515,9559,28.989923,
180,4188100,4515,9559,28.98993,
181,4250500,4517,9559,28.98993,
182,4265500,4517,9559,28.98994,
183,4193300,4516,9559,28.989958,
184,4177200,4516,9559,28.98997,
185,4173000,4514,9559,28.989977,
186,4206100,4515,9559,28.98999,
187,4143600,4516,9559,28.990005,
188,4154500,4519,9559,28.990013,
189,4281600,4519,9559,28.990015,
190,4185600,4519,9559,28.990025,
191,4220500,4520,9559,28.99004,
192,4200100,4522,9559,28.990047,
193,4168900,4521,9559,28.990053,
194,4206600,4522,9559,28.990055,
195,4184600,4521,9559,28.99006,
196,4193300,4522,9559,28.99006,
197,4214500,4523,9559,28.990076,
198,4183500,4523,9559,28.990084,
199,4168200,4524,9559,28.990086,
200,4185400,4522,9559,28.990088,
201,4186300,4522,9559,28.990097,
202,4211900,4521,9559,28.99011,
203,4210000,4525,9559,28.990112,
204,4200900,4526,9559,28.990108,
205,4182900,4524,9559,28.990114,
206,4162500,4523,9559,28.99012,
207,4205500,4523,9559,28.990118,
208,4212600,4523,9559,28.990112,
209,4163900,4522,9559,28.990116,
210,4173500,4522,9559,28.990122,
211,4193700,4523,9559,28.990128,
212,4205600,4523,9559,28.990124,
213,4276500,4523,9559,28.99013,
214,4234500,4524,9559,28.990137,
215,4199800,4524,9559,28.990137,
216,4291500,4526,9559,28.990137,
217,4231200,4524,9559,28.990143,
218,4186000,4525,9559,28.990149,
219,4195400,4524,9559,28.990149,
220,4195400,4523,9559,28.990152,
221,4187500,4522,9559,28.99016,
222,4211700,4522,9559,28.990164,
223,4255000,4520,9559,28.990162,
224,4182700,4521,9559,28.99016,
225,4203300,4522,9559,28.990166,
226,4189300,4521,9559,28.990166,
227,4216100,4522,9559,28.990166,
228,4200700,4521,9559,28.990168,
229,4185800,4519,9559,28.990175,
230,4219700,4521,9559,28.990171,
231,4210200,4522,9559,28.990166,
232,4237100,4523,9559,28.990173,
233,4208600,4527,9559,28.990175,
234,4192600,4523,9559,28.990168,
235,4213900,4525,9559,28.99017,
236,4179400,4525,9559,28.990175,
237,4224800,4526,9559,28.990175,
238,4237000,4525,9559,28.990175,
239,4201900,4524,9559,28.990175,
240,4186500,4524,9559,28.990175,
241,4183500,4521,9559,28.990175,
242,4224700,4520,9559,28.990175,
243,4207100,4520,9559,28.990175,
244,4191300,4521,9559,28.990171,
245,4275900,4520,9559,28.990164,
246,4230200,4521,9559,28.990164,
247,4220800,4521,9559,28.990164,
248,4157700,4520,9559,28.990164,
249,4178500,4522,9559,28.990164,
250,4184500,4521,9559,28.990164,
251,4184200,4522,9559,28.990164,
252,4209100,4523,9559,28.990164,
253,4215300,4523,9559,28.99017,
254,4163000,4523,9559,28.99017,
255,4185000,4521,9559,28.99017,
256,4187800,4519,9559,28.99017,
257,4303500,4519,9559,28.990171,
258,4230200,4520,9559,28.990177,
259,4165300,4520,9559,28.990177,
260,4257300,4520,9559,28.990177,
261,4230500,4519,9559,28.99018,
262,4246500,4518,9559,28.990187,
263,4200300,4518,9559,28.990187,
264,4189100,4518,9559,28.990187,
265,4194800,4518,9559,28.990187,
266,4179400,4518,9559,28.990187,
267,4210100,4518,9559,28.990187,
268,4263200,4518,9559,28.990187,
269,4193700,4518,9559,28.990187,
270,4190900,4518,9559,28.990187,
271,4196500,4518,9559,28.990187,
272,4269700,4518,9559,28.990187,
273,4221600,4518,9559,28.990187,
274,4195200,4518,9559,28.990187,
275,4235000,4518,9559,28.990187,
276,4966700,4519,9559,28.990183,
277,4232000,4518,9559,28.990183,
278,4225200,4518,9559,28.990183,
279,4233700,4519,9559,28.990183,
280,4201300,4518,9559,28.990183,
281,4213100,4520,9559,28.990183,
282,4193600,4520,9559,28.990185,
283,4217000,4518,9559,28.990185,
284,4164400,4518,9559,28.990185,
285,4186200,4519,9559,28.990185,
286,4247400,4520,9559,28.990185,
287,4210300,4519,9559,28.990185,
288,4282700,4520,9559,28.990185,
289,4172800,4518,9559,28.990185,
290,4196400,4517,9559,28.99019,
291,4187300,4517,9559,28.99019,
292,4196300,4519,9559,28.99019,
293,4220600,4517,9559,28.990187,
294,4180400,4517,9559,28.990185,
295,4188200,4516,9559,28.990192,
296,4189800,4516,9559,28.990198,
297,4372200,4515,9559,28.990198,
298,4328900,4515,9559,28.990196,
299,4194000,4515,9559,28.990194,
300,4189300,4515,9559,28.990194,
301,4316000,4515,9559,28.990194,
302,4217500,4515,9559,28.990194,
303,4193100,4516,9559,28.990194,
304,4222000,4515,9559,28.990194,
305,4193000,4517,9559,28.990194,
306,4252700,4517,9559,28.990194,
307,4201300,4517,9559,28.990194,
308,4173400,4516,9559,28.990194,
309,4192900,4516,9559,28.990194,
310,4194900,4516,9559,28.990194,
311,4220400,4516,9559,28.990194,
312,4261300,4515,9559,28.990194,
313,4195700,4515,9559,28.990194,
314,4233000,4515,9559,28.990194,
315,4205300,4517,9559,28.990194,
316,4252000,4515,9559,28.990194,
317,4203200,4517,9559,28.990194,
318,4179700,4516,9559,28.990192,
319,4200400,4516,9559,28.99019,
320,4181900,4515,9559,28.990196,
321,4231800,4515,9559,28.990198,
322,4207600,4517,9559,28.990198,
323,4176000,4517,9559,28.990198,
324,4257800,4517,9559,28.990198,
325,4224000,4516,9559,28.990194,
326,4226600,4516,9559,28.990189,
327,4174300,4516,9559,28.990189,
328,4199700,4515,9559,28.990189,
