step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,13621000,8555,9570,28.99835,,0,16,16,192,199560,8216,6403,13421440,16,235,691,1,126560,1,321,1,1902522,1,3432229,1,314360,1,7618395,1,26362,1,1137213,1,8437,4,1035502,4,67162,4,1796192,4,3521285,8,5311074,192,0,0,5922,1,35831,1,2635,1,0,0,0,0,0,0,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,0,1
1,10375300,5761,9570,28.995926,,0,16,12,144,144693,1433,5582,10230607,16,235,210,1,51532,1,210,1,2145571,1,2891212,1,193421,1,4926847,1,21603,1,600334,1,7585,4,633429,4,65098,4,1218754,4,2360796,8,3471275,144,102693,48,4729,1,31913,1,2775,1,0,0,0,0,0,0,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,0,1
2,11400200,6723,9570,28.994566,,0,16,14,168,117879,2886,7165,11282321,16,235,230,1,37654,1,240,1,2089992,1,3388864,1,182831,1,5564504,1,18006,1,503393,1,7405,4,724188,4,72774,4,1415802,4,2790544,8,4139253,168,59928,24,4699,1,40259,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,0,1
3,12589600,6695,9570,28.994541,,0,16,14,168,967429,1353,5461,11622171,16,235,461,1,30149,1,110,1,2199458,1,3710919,1,226276,1,5433326,1,21472,1,528011,1,7324,4,704379,4,63666,4,1367707,4,2713251,8,4036230,168,39267,24,4689,1,40460,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,0,1
4,11382200,6672,9570,28.994545,,0,16,14,168,52926,1252,3889,11329274,16,235,120,1,31071,1,230,1,2102547,1,3530483,1,179544,1,5470980,1,14298,1,480498,1,7425,4,717144,4,65169,4,1394831,4,2759282,8,4115426,168,34799,24,4789,1,37955,1,2635,1,0,0,0,0,0,0,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,0,1
5,12235700,6758,9570,28.994184,,0,16,14,168,532559,1613,4028,11703141,16,235,170,1,31222,1,130,1,2139229,1,3740788,1,236667,1,5530698,1,24238,1,477241,1,7344,4,729268,4,65419,4,1410662,4,2794541,8,4160906,168,40269,24,4850,1,37193,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,0,1
6,11951200,6793,9570,28.993921,,0,16,14,168,149795,2044,4049,11801405,16,235,150,1,37714,1,160,1,2154249,1,3779334,1,235575,1,5570206,1,24017,1,463113,1,7375,4,732094,4,65118,4,1419991,4,2835592,8,4206455,168,45079,24,4940,1,37344,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,0,1
7,12094900,6783,9570,28.993895,,0,16,14,168,163038,1363,4159,11931862,16,235,170,1,36672,1,170,1,2158367,1,3767600,1,226617,1,5724330,1,17935,1,570986,1,7815,4,775750,4,65118,4,1462925,4,2795163,8,4209361,168,44568,24,4950,1,37714,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,0,1
8,12124800,6772,9570,28.993822,,0,16,14,168,562347,1473,3848,11562453,16,235,601,1,30921,1,110,1,2143167,1,3717151,1,225344,1,5426131,1,19028,1,461991,1,7445,4,719810,4,65159,4,1387917,4,2736377,8,4076399,168,44047,24,5591,1,37845,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,0,1
9,11833600,6790,9570,28.993675,,0,16,14,168,59369,1804,3908,11774231,16,235,80,1,32173,1,160,1,2154559,1,3601964,1,218992,1,5752726,1,13577,1,672997,1,7635,4,735410,4,66952,4,1417496,4,2801826,8,4170455,168,44959,24,4980,1,41061,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,0,1
