step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,393000,16,31,30.998297,,0,2,0,0,80491,5681,2064,312509,16,67,852,1,39215,1,140,1,6543,1,40407,1,31450,1,192369,1,1533,1,115161,1,1864,4,4258,4,2906,4,21451,4,37672,8,0,0,57059,24,100,1,3106,1,170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
1,133600,16,31,30.993937,,0,2,0,0,36644,802,581,96956,16,67,150,1,6843,1,70,1,781,1,17744,1,1302,1,69643,1,421,1,4078,1,301,4,3006,4,1373,4,19648,4,37071,8,0,0,56138,24,70,1,3186,1,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
2,101200,16,31,30.987455,,0,2,0,0,26397,721,2004,74803,16,67,20,1,852,1,90,1,651,1,16331,1,1192,1,55296,1,371,1,3457,1,321,4,2375,4,1122,4,15500,4,30899,8,0,0,44395,24,70,1,741,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,31,1,16,1,63,1,31,1,0,1
3,113900,16,31,30.97999,,0,2,0,0,26523,601,631,87377,16,67,70,1,792,1,40,1,721,1,18125,1,1022,1,66217,1,391,1,4238,1,291,4,2855,4,1232,4,19087,4,36931,8,0,0,55386,24,70,1,832,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
4,94900,16,31,30.972979,,0,2,0,0,24856,471,471,70044,16,67,30,1,621,1,50,1,581,1,14117,1,902,1,53432,1,311,1,3437,1,290,4,2324,4,1042,4,15349,4,29567,8,0,0,44445,24,40,1,862,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
5,112000,16,31,30.966393,,0,2,0,0,25454,681,611,86546,16,67,20,1,731,1,40,1,601,1,18415,1,822,1,65516,1,401,1,3958,1,210,4,2936,4,1232,4,18926,4,36480,8,0,0,54795,24,80,1,942,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
6,92800,16,31,30.961182,,0,2,0,0,24199,471,432,68601,16,67,10,1,581,1,10,1,471,1,13265,1,681,1,53312,1,271,1,3366,1,250,4,2314,4,972,4,15209,4,29757,8,0,0,44534,24,90,1,822,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
7,113000,16,31,30.955942,,0,2,0,0,26584,2094,621,86416,16,67,10,1,761,1,20,1,541,1,15610,1,741,1,68361,1,371,1,4108,1,250,4,2845,4,1222,4,19517,4,37442,8,0,0,56338,24,50,1,771,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
8,90500,16,31,30.950468,,0,2,0,0,24093,461,451,66407,16,67,10,1,591,1,20,1,461,1,11502,1,671,1,52881,1,271,1,3306,1,190,4,2304,4,952,4,15309,4,29527,8,0,0,44385,24,40,1,731,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
9,98100,16,31,30.945265,,0,2,0,0,25080,711,521,73020,16,67,170,1,751,1,50,1,611,1,15951,1,1222,1,53923,1,341,1,3477,1,271,4,2425,4,1172,4,15369,4,29627,8,0,0,44475,24,60,1,721,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
