step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,10361200,8555,9570,28.99835,,0,16,16,192,156051,7144,7034,10205149,16,226,982,1,123922,1,190,1,2194684,1,1304807,1,331126,1,6237746,1,11693,1,2290090,1,14839,4,1262394,4,84725,4,592907,4,1083284,8,1669158,192,0,0,12064,1,887192,1,3106,1,0,0,0,0,0,0,805081,1,251120,1,123752,1,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,48,1
1,6389600,5761,9570,28.995926,,0,16,12,144,50166,1303,5431,6339434,16,238,140,1,36912,1,110,1,1913335,1,633046,1,155784,1,3588895,1,11212,1,1045320,1,12204,4,673334,4,79555,4,467523,4,911519,8,1223709,144,149903,48,6302,1,388999,1,2836,1,0,0,0,0,0,0,583529,1,25039,1,19428,1,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,48,1
2,6759400,6723,9570,28.994566,,0,16,14,168,41036,1363,8417,6718364,16,238,170,1,26161,1,50,1,1917272,1,657994,1,180442,1,3925222,1,11052,1,1204231,1,12434,4,825111,4,78954,4,514655,4,979772,8,1400142,168,85868,24,7615,1,298362,1,2725,1,0,0,0,0,0,0,598388,1,28606,1,25911,1,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,48,1
3,6659500,6695,9570,28.994541,,0,16,14,168,50229,1293,6824,6609271,16,238,140,1,25830,1,60,1,1923575,1,662493,1,180552,1,3805729,1,10891,1,1193209,1,12745,4,818087,4,79285,4,507641,4,959573,8,1402838,168,57552,24,7525,1,223426,1,2946,1,0,0,0,0,0,0,611574,1,29508,1,16282,1,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,48,1
4,6795600,6672,9570,28.994545,,0,16,14,168,41717,1313,6663,6753883,16,238,150,1,25390,1,50,1,1930819,1,705667,1,184079,1,3894712,1,13015,1,1203780,1,12324,4,822305,4,81239,4,499595,4,1017676,8,1455992,168,54617,24,7515,1,246140,1,2826,1,0,0,0,0,0,0,663335,1,24879,1,12444,1,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,48,1
5,6698300,6758,9570,28.994184,,0,16,14,168,34342,1283,3968,6663958,16,238,170,1,31572,1,70,1,1980195,1,655840,1,181284,1,3803785,1,11042,1,1195554,1,12755,4,826613,4,78874,4,503102,4,953000,8,1393229,168,58905,24,7855,1,222013,1,2735,1,0,0,0,0,0,0,607476,1,30640,1,10691,1,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,48,1
6,6696500,6793,9570,28.993921,,0,16,14,168,34697,1222,3798,6661803,16,238,50,1,25339,1,30,1,1925659,1,654137,1,180703,1,3864924,1,10961,1,1226103,1,12665,4,840541,4,79545,4,509985,4,950325,8,1391356,168,65157,24,7735,1,234077,1,2725,1,0,0,0,0,0,0,614059,1,26241,1,9078,1,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,48,1
7,6691000,6783,9570,28.993895,,0,16,14,168,45719,1262,5581,6645281,16,238,150,1,30469,1,70,1,1938654,1,614179,1,185723,1,3863121,1,12915,1,1217937,1,12935,4,832525,4,79655,4,499014,4,979692,8,1406936,168,66189,24,8066,1,229237,1,2795,1,0,0,0,0,0,0,568349,1,30109,1,8627,1,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,48,1
8,6659900,6772,9570,28.993822,,0,16,14,168,32243,1102,3898,6627657,16,238,20,1,30469,1,40,1,1897323,1,640049,1,183017,1,3866116,1,10621,1,1224500,1,12865,4,838637,4,79515,4,505537,4,951768,8,1388821,168,64586,24,7805,1,241772,1,2615,1,0,0,0,0,0,0,599660,1,26291,1,9198,1,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,48,1
9,6650100,6790,9570,28.993675,,0,16,14,168,34286,1192,3677,6615814,16,238,60,1,25119,1,30,1,1898746,1,638506,1,180593,1,3861898,1,10861,1,1217817,1,12995,4,846592,4,79706,4,498553,4,950876,8,1381236,168,64516,24,8236,1,243205,1,2725,1,0,0,0,0,0,0,595953,1,27363,1,8266,1,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,48,1
10,6763600,6786,9570,28.993578,,0,16,14,168,33764,1062,3968,6729836,16,238,80,1,25460,1,100,1,1894999,1,644117,1,181745,1,3972544,1,10791,1,1224540,1,12705,4,847314,4,79155,4,501178,4,993058,8,1420092,168,70177,24,7835,1,302601,1,3096,1,0,0,0,0,0,0,595613,1,32684,1,8947,1,22700,1,254,1,9570,1,6786,1,22954,1,9570,1,48,1
11,6773900,6806,9570,28.99352,,0,16,14,168,32421,1403,4038,6741479,16,238,10,1,25550,1,50,1,1895730,1,636983,1,182616,1,3989658,1,10881,1,1216094,1,12585,4,849498,4,79525,4,497211,4,1066852,8,1489217,168,70808,24,7956,1,255158,1,3377,1,0,0,0,0,0,0,592877,1,31021,1,8306,1,22716,1,263,1,9570,1,6806,1,22979,1,9570,1,48,1
