step,wall_ns,manifolds,pairs,top_y,awake
0,7571500,4495,9570,35.998295,
1,5837400,4196,9570,35.993866,
2,5505100,4142,9570,35.986713,
3,5304600,4111,9570,35.976837,
4,5617200,4100,9570,35.964233,
5,5292100,4087,9570,35.948902,
6,6077400,4079,9570,35.93085,
7,5875700,4073,9570,35.910072,
8,5479900,4066,9570,35.88657,
9,6024000,4061,9570,35.86034,
10,5385200,4053,9570,35.831387,
11,5455200,4054,9570,35.79971,
12,5692100,4056,9570,35.765305,
13,5780600,4055,9570,35.728176,
14,5682400,4060,9570,35.688324,
15,5346900,4057,9570,35.64575,
16,6338500,4055,9570,35.600445,
17,6106100,4051,9570,35.552414,
18,5664700,4049,9570,35.501663,
19,5432700,4050,9570,35.448185,
20,6741600,4829,9570,35.391983,
21,6133200,4715,9570,35.333054,
22,6243200,4565,9570,35.2714,
23,5902800,4496,9570,35.207024,
24,6279200,4419,9570,35.13992,
25,6220900,4390,9570,35.07009,
26,6284900,4353,9570,34.997536,
27,6316700,4336,9570,34.92226,
28,6818400,4982,9570,34.844257,
29,6488700,4783,9570,34.763527,
30,6302800,4670,9570,34.680073,
31,6191700,4639,9570,34.593895,
32,5925800,4573,9570,34.504993,
33,5888300,4491,9570,34.413364,
34,7175300,5031,9570,34.31901,
35,7109500,4806,9570,34.221935,
36,6268800,4646,9570,34.12213,
37,6061600,4535,9570,34.019604,
38,6292500,4502,9570,33.91435,
39,6696300,4984,9570,33.806374,
40,6822600,5009,9570,33.69567,
41,7041200,4852,9570,33.58224,
42,6961900,4753,9570,33.466087,
43,6960800,4728,9570,33.34721,
44,7196500,4996,9570,33.22561,
45,7113500,5112,9570,33.10128,
46,6908300,4923,9570,32.974224,
47,6630400,4760,9570,32.844448,
48,6605300,5001,9570,32.711945,
49,6836700,5139,9570,32.576717,
50,6366500,4996,9570,32.438763,
51,6347800,4871,9570,32.298084,
52,6966700,5093,9570,32.154682,
53,6992800,4972,9570,32.008553,
54,6424400,4792,9570,31.8597,
55,6686300,4796,9570,31.70812,
56,6492000,4911,9570,31.553818,
57,6160600,4780,9570,31.39679,
58,5998800,4734,9570,31.237036,
59,6189400,4748,9570,31.074558,
60,6726900,4704,9570,30.909355,
61,6905500,4678,9570,30.741426,
62,7126600,4666,9570,30.570772,
63,7062000,4609,9570,30.397394,
64,6467400,4623,9570,30.22129,
65,6402300,4625,9570,30.042463,
66,6348500,4579,9570,29.860909,
67,6414200,4610,9570,29.67663,
68,6267000,4550,9570,29.489626,
69,6110100,4524,9570,29.299898,
70,6139300,4535,9570,29.107445,
71,6213900,4528,9570,28.912266,
72,5972500,4533,9570,28.714361,
73,5953300,4529,9570,28.745474,
74,6692400,4530,9570,28.77165,
75,6676200,4529,9570,28.79591,
76,6516400,4524,9570,28.816788,
77,6384800,4517,9570,28.83433,
78,6606500,4520,9570,28.848581,
79,6408100,4514,9568,28.862343,
80,6088000,4519,9568,28.873486,
81,6154200,4518,9568,28.88324,
82,6217600,4518,9568,28.892859,
83,5951700,4516,9568,28.90075,
84,5930200,4517,9567,28.907646,
85,6152400,4508,9565,28.914537,
86,6430000,4519,9565,28.920815,
87,6709800,4516,9565,28.92588,
88,6541400,4518,9565,28.930962,
89,6830000,4519,9565,28.935617,
90,6572400,4514,9565,28.939785,
91,6604700,4516,9565,28.943506,
92,6502100,4512,9565,28.946703,
93,6161200,4508,9565,28.949604,
94,6686100,4522,9565,28.952375,
95,6927600,4519,9565,28.954878,
96,6774000,4521,9565,28.957104,
97,6171700,4517,9565,28.9592,
98,6212400,4515,9565,28.960983,
99,6879300,4520,9565,28.96278,
100,6314800,4521,9564,28.964386,
101,6532300,4521,9564,28.965906,
102,6653600,4521,9563,28.967402,
103,6262200,4520,9563,28.968788,
104,6563300,4522,9563,28.969984,
105,6482500,4518,9563,28.971111,
106,6375700,4521,9563,28.97221,
107,6174200,4523,9563,28.97325,
108,6213100,4515,9562,28.974203,
109,6088500,4517,9562,28.975157,
110,6087000,4516,9562,28.976004,
111,6215700,4515,9562,28.976778,
112,6271400,4519,9562,28.977486,
113,6182200,4520,9562,28.978231,
114,6259900,4520,9562,28.97893,
115,6487300,4519,9561,28.979557,
116,6804700,4526,9561,28.980162,
117,6682800,4519,9561,28.980728,
118,6441900,4521,9561,28.981266,
119,6527900,4517,9561,28.981787,
120,6320800,4523,9561,28.982262,
121,6208800,4523,9561,28.98269,
122,6171000,4521,9561,28.983118,
123,6386200,4522,9561,28.98351,
124,6366100,4518,9561,28.98387,
125,6392500,4521,9561,28.984217,
126,6677400,4521,9561,28.984558,
127,6681100,4517,9561,28.98485,
128,6495700,4522,9561,28.98514,
129,6564500,4521,9561,28.98541,
130,6529800,4519,9560,28.98568,
131,6529300,4526,9559,28.98593,
132,6635300,4524,9559,28.986149,
133,7060900,4516,9559,28.98636,
134,7221200,4520,9559,28.98657,
135,6954400,4522,9559,28.986776,
136,6880100,4519,9559,28.986969,
137,7202500,4521,9559,28.987137,
138,6976900,4521,9559,28.9873,
139,6873500,4521,9559,28.987465,
140,6567200,4518,9559,28.987623,
141,6511200,4523,9559,28.987766,
142,6487100,4524,9559,28.987892,
143,6430400,4523,9559,28.98802,
144,6411200,4520,9559,28.988153,
145,6313800,4519,9559,28.98826,
146,6224300,4520,9559,28.988363,
147,6181100,4522,9559,28.988459,
148,6159800,4517,9559,28.988543,
149,6518800,4519,9559,28.988642,
150,6887100,4522,9559,28.98874,
151,7142500,4520,9559,28.98882,
152,7315500,4523,9559,28.988888,
153,7236100,4523,9559,28.988964,
154,7102400,4524,9559,28.989048,
155,7172500,4521,9559,28.989117,
156,6509100,4520,9559,28.989172,
157,6688200,4519,9559,28.989218,
158,6759700,4519,9559,28.98927,
159,6301800,4518,9559,28.98933,
160,6495200,4519,9559,28.989386,
161,6563900,4521,9559,28.989433,
162,6418100,4518,9559,28.989477,
163,6416900,4520,9559,28.989515,
164,6593000,4520,9559,28.989552,
165,6413700,4519,9559,28.989582,
166,6363200,4516,9559,28.989613,
167,6726900,4518,9559,28.989645,
168,6172400,4518,9559,28.989676,
169,6142400,4514,9559,28.9897,
170,6146100,4515,9559,28.989725,
171,6384300,4512,9559,28.989754,
172,6362600,4513,9559,28.98977,
173,6594900,4515,9559,28.989801,
174,6464300,4515,9559,28.989834,
175,6619100,4515,9559,28.989851,
176,6956700,4514,9559,28.989864,
177,6860100,4516,9559,28.989883,
178,7095400,4515,9559,28.989906,
179,6904000,4515,9559,28.989923,
180,7128800,4515,9559,28.98993,
181,6958200,4517,9559,28.98993,
182,6767800,4517,9559,28.98994,
183,6595600,4516,9559,28.989958,
184,6482200,4516,9559,28.98997,
185,6360800,4514,9559,28.989977,
186,6419400,4515,9559,28.98999,
187,6168500,4516,9559,28.990005,
188,6236200,4519,9559,28.990013,
189,6936800,4519,9559,28.990015,
190,6629000,4519,9559,28.990025,
191,6544800,4520,9559,28.99004,
192,6245800,4522,9559,28.990047,
193,6282800,4521,9559,28.990053,
194,6739300,4522,9559,28.990055,
195,6628000,4521,9559,28.99006,
196,6746400,4522,9559,28.99006,
197,6511600,4523,9559,28.990076,
198,6498800,4523,9559,28.990084,
199,6423900,4524,9559,28.990086,
200,6297800,4522,9559,28.990088,
201,6339800,4522,9559,28.990097,
202,6282300,4521,9559,28.99011,
203,6171900,4525,9559,28.990112,
204,6588100,4526,9559,28.990108,
205,6510900,4524,9559,28.990114,
206,6227200,4523,9559,28.99012,
207,6357100,4523,9559,28.990118,
208,6580100,4523,9559,28.990112,
209,6534900,4522,9559,28.990116,
210,6514200,4522,9559,28.990122,
211,6566800,4523,9559,28.990128,
212,6291300,4523,9559,28.990124,
213,6207800,4523,9559,28.99013,
214,6213100,4524,9559,28.990137,
215,6249300,4524,9559,28.990137,
216,6102300,4526,9559,28.990137,
217,6095300,4524,9559,28.990143,
218,6450000,4525,9559,28.990149,
219,6212100,4524,9559,28.990149,
220,6547200,4523,9559,28.990152,
221,6420800,4522,9559,28.99016,
222,6413600,4522,9559,28.990164,
223,6412400,4520,9559,28.990162,
224,6339300,4521,9559,28.99016,
225,6608600,4522,9559,28.990166,
226,6270300,4521,9559,28.990166,
227,6201000,4522,9559,28.990166,
228,6290000,4521,9559,28.990168,
229,6534400,4519,9559,28.990175,
230,6459400,4521,9559,28.990171,
231,6990400,4522,9559,28.990166,
232,7063700,4523,9559,28.990173,
233,6941400,4527,9559,28.990175,
234,6999600,4523,9559,28.990168,
235,6783500,4525,9559,28.99017,
236,6549500,4525,9559,28.990175,
237,6268100,4526,9559,28.990175,
238,6435300,4525,9559,28.990175,
239,6958500,4524,9559,28.990175,
240,6467600,4524,9559,28.990175,
241,6926000,4521,9559,28.990175,
242,6687300,4520,9559,28.990175,
243,6886400,4520,9559,28.990175,
244,6497600,4521,9559,28.990171,
245,6439800,4520,9559,28.990164,
246,6199400,4521,9559,28.990164,
247,6513800,4521,9559,28.990164,
248,6085300,4520,9559,28.990164,
249,6130300,4522,9559,28.990164,
250,6153300,4521,9559,28.990164,
251,6181400,4522,9559,28.990164,
252,6495500,4523,9559,28.990164,
253,6611400,4523,9559,28.99017,
254,6571000,4523,9559,28.99017,
255,6552400,4521,9559,28.99017,
256,6382000,4519,9559,28.99017,
257,6427000,4519,9559,28.990171,
258,6360200,4520,9559,28.990177,
259,6143900,4520,9559,28.990177,
260,6005600,4520,9559,28.990177,
261,6104000,4519,9559,28.99018,
262,6158200,4518,9559,28.990187,
263,6285100,4518,9559,28.990187,
264,6439500,4518,9559,28.990187,
265,6407300,4518,9559,28.990187,
266,6473100,4518,9559,28.990187,
267,6171000,4518,9559,28.990187,
268,6301300,4518,9559,28.990187,
269,6549700,4518,9559,28.990187,
270,5997300,4518,9559,28.990187,
271,6102100,4518,9559,28.990187,
272,6089100,4518,9559,28.990187,
273,6153800,4518,9559,28.990187,
274,6352800,4518,9559,28.990187,
275,6324800,4518,9559,28.990187,
276,6159400,4519,9559,28.990183,
277,6141300,4518,9559,28.990183,
278,6060500,4518,9559,28.990183,
279,6001900,4519,9559,28.990183,
280,6061400,4518,9559,28.990183,
281,6607400,4520,9559,28.990183,
282,6797900,4520,9559,28.990185,
283,6742600,4518,9559,28.990185,
284,6421300,4518,9559,28.990185,
285,6147000,4519,9559,28.990185,
286,6614400,4520,9559,28.990185,
287,6754100,4519,9559,28.990185,
288,6680900,4520,9559,28.990185,
289,6083800,4518,9559,28.990185,
290,6130800,4517,9559,28.99019,
291,6246700,4517,9559,28.99019,
292,6283500,4519,9559,28.99019,
293,5945500,4517,9559,28.990187,
294,5994200,4517,9559,28.990185,
295,6320500,4516,9559,28.990192,
296,6470100,4516,9559,28.990198,
297,6333900,4515,9559,28.990198,
298,6060100,4515,9559,28.990196,
299,6059900,4515,9559,28.990194,
300,6184700,4515,9559,28.990194,
301,5892400,4515,9559,28.990194,
302,5938300,4515,9559,28.990194,
303,5996900,4516,9559,28.990194,
304,6236400,4515,9559,28.990194,
305,6554700,4517,9559,28.990194,
306,6556100,4517,9559,28.990194,
307,6113300,4517,9559,28.990194,
308,6180300,4516,9559,28.990194,
309,6520600,4516,9559,28.990194,
310,6645000,4516,9559,28.990194,
311,6495000,4516,9559,28.990194,
312,6807300,4515,9559,28.990194,
313,6764900,4515,9559,28.990194,
314,6793700,4515,9559,28.990194,
315,6477900,4517,9559,28.990194,
316,7309600,4515,9559,28.990194,
317,6463000,4517,9559,28.990194,
318,6401100,4516,9559,28.990192,
319,6290700,4516,9559,28.99019,
320,6611900,4515,9559,28.990196,
321,6219200,4515,9559,28.990198,
322,6604500,4517,9559,28.990198,
323,6290500,4517,9559,28.990198,
324,6234100,4517,9559,28.990198,
325,6098200,4516,9559,28.990194,
326,5949100,4516,9559,28.990189,
327,5928100,4516,9559,28.990189,
328,5997600,4515,9559,28.990189,
329,6408700,4514,9559,28.990189,
330,6136300,4515,9559,28.990189,
331,6349100,4513,9559,28.990189,
332,6330800,4513,9559,28.990189,
333,6410100,4512,9559,28.990185,
334,6233300,4513,9559,28.990185,
335,6068900,4514,9559,28.990185,
336,6295100,4513,9559,28.990185,
337,5976800,4516,9559,28.990185,
338,6175700,4517,9559,28.990185,
339,6536900,4518,9559,28.990185,
340,6769000,4517,9559,28.990185,
341,6932500,4517,9559,28.990185,
342,6806300,4517,9559,28.990185,
343,6317100,4517,9559,28.990185,
344,6291500,4517,9559,28.990185,
345,6071500,4517,9559,28.990189,
346,6156300,4517,9559,28.990189,
347,6269900,4517,9559,28.990189,
348,6384500,4517,9559,28.990189,
349,6220600,4516,9559,28.990189,
350,6034500,4515,9559,28.990189,
351,6041000,4516,9559,28.990189,
352,6118900,4517,9559,28.990189,
353,6462900,4518,9559,28.990189,
354,6613300,4518,9559,28.990189,
355,6286000,4519,9559,28.990189,
356,6197100,4518,9559,28.990189,
357,6376700,4519,9559,28.990189,
358,6402300,4520,9559,28.990189,
359,6304500,4521,9559,28.990189,
360,6255000,4521,9559,28.990189,
361,6447700,4521,9559,28.990189,
362,7250000,4521,9559,28.990189,
363,6812300,4521,9559,28.990189,
364,6439000,4521,9559,28.990189,
365,6563700,4521,9559,28.990189,
366,6821600,4521,9559,28.990189,
367,7068300,4521,9559,28.990189,
368,6955500,4521,9559,28.990187,
369,6898400,4520,9559,28.990185,
370,6935700,4520,9559,28.990189,
371,7039900,4520,9559,28.990189,
372,7053900,4520,9559,28.990189,
373,7007200,4520,9559,28.990189,
374,6453500,4520,9559,28.990189,
375,6487000,4520,9559,28.990189,
376,6434900,4520,9559,28.990189,
377,6303700,4520,9559,28.990189,
378,6740200,4520,9559,28.990189,
379,6371800,4520,9559,28.990189,
380,6245500,4521,9559,28.990189,
381,6144600,4521,9559,28.990189,
382,6231700,4521,9559,28.990189,
383,5969700,4521,9559,28.990189,
384,6021700,4521,9559,28.990189,
385,6132300,4521,9559,28.990189,
386,6459000,4520,9559,28.990189,
387,6479900,4520,9559,28.990189,
388,6520500,4520,9559,28.990189,
389,6144400,4520,9559,28.990189,
390,6179500,4521,9559,28.990189,
391,6036900,4521,9559,28.990189,
392,5973900,4521,9559,28.990189,
393,6032200,4521,9559,28.990189,
394,6358000,4521,9559,28.990189,
395,6169900,4520,9559,28.990189,
396,6280900,4520,9559,28.990189,
397,6432300,4520,9559,28.990189,
398,6426600,4520,9559,28.990187,
399,6796100,4519,9559,28.990181,
400,6671300,4520,9559,28.990177,
401,6709300,4520,9559,28.990183,
402,6512500,4520,9559,28.990183,
403,6328300,4520,9559,28.990175,
404,6222400,4520,9559,28.990175,
405,5998600,4520,9559,28.990175,
406,6155200,4520,9559,28.99018,
407,6295300,4519,9559,28.99018,
408,6210800,4519,9559,28.99018,
409,6741300,4518,9559,28.99018,
410,6666600,4519,9559,28.99018,
411,6452300,4519,9559,28.99018,
412,6411400,4519,9559,28.99018,
413,6438000,4519,9559,28.99018,
414,6227800,4519,9559,28.99018,
415,6173900,4519,9559,28.99018,
416,6090000,4519,9559,28.99018,
417,6010800,4519,9559,28.990177,
418,6407000,4519,9559,28.990175,
419,6230700,4519,9559,28.990168,
420,6405800,4519,9559,28.990166,
421,6343600,4520,9559,28.990166,
422,6231700,4519,9559,28.990166,
423,6316700,4519,9559,28.990166,
424,6284000,4519,9559,28.990166,
425,6291700,4518,9559,28.990166,
426,6028500,4520,9559,28.990166,
427,5968300,4519,9559,28.990158,
428,6110900,4519,9559,28.990158,
429,6151700,4519,9559,28.990156,
430,6310500,4518,9559,28.990152,
431,6474400,4518,9559,28.990156,
432,6161200,4518,9559,28.990158,
433,6126100,4518,9559,28.990156,
434,6181800,4518,9559,28.990156,
435,6087600,4519,9559,28.990156,
436,6012600,4519,9559,28.990156,
437,6159000,4519,9559,28.990156,
438,6322600,4519,9559,28.990156,
439,6511400,4520,9559,28.990156,
440,6599600,4521,9559,28.990154,
441,6242400,4521,9559,28.990154,
442,6351600,4522,9559,28.990156,
443,6220000,4523,9559,28.990156,
444,6084600,4524,9559,28.990156,
445,5982800,4523,9559,28.990156,
446,6014000,4522,9559,28.990156,
447,6005100,4523,9559,28.990156,
448,6532900,4523,9559,28.990156,
449,6566200,4522,9559,28.990156,
450,6649100,4522,9559,28.990156,
451,6759400,4523,9559,28.990152,
452,6751900,4523,9559,28.99015,
453,6495200,4522,9559,28.990156,
454,6482000,4522,9559,28.990156,
455,6379100,4521,9559,28.990156,
456,6470600,4522,9559,28.990152,
457,6530600,4522,9559,28.990152,
