step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,7799000,8555,9570,28.99835,1240,0,16,16,192,72436,19839,6493,7726564,16,242,1242,1,117081,1,481,1,1889736,1,1194732,1,331936,1,4177127,1,14228,1,1139984,1,18456,4,1190353,4,94817,4,551841,4,1051779,8,1597127,192,0,0,6864,1,84327,1,3347,1,7545,1,1493,2,6483,1,792216,1,247149,1,44548,1,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,48,1
1,6076700,5761,9570,28.995926,1240,0,16,12,144,42051,1403,4739,6034649,16,242,291,1,44037,1,120,1,2416176,1,659804,1,157241,1,2745658,1,11322,1,596780,1,12014,4,652790,4,81451,4,424289,4,895039,8,1208860,144,105729,48,6713,1,57183,1,4539,1,4258,1,1373,2,7825,1,594195,1,39378,1,19719,1,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,48,1
2,5893500,6723,9570,28.994566,1240,0,16,14,168,37664,1393,10481,5855836,16,242,130,1,29398,1,220,1,1892631,1,665696,1,183793,1,3070931,1,13036,1,680796,1,12274,4,737438,4,81471,4,423397,4,987181,8,1330760,168,69337,24,7064,1,122212,1,6072,1,3858,1,1503,2,6272,1,591259,1,42935,1,25571,1,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,48,1
3,5920200,6695,9570,28.994541,1240,0,16,14,168,35878,3567,3047,5884322,16,242,120,1,27965,1,90,1,2195460,1,705475,1,183904,1,2760447,1,10861,1,782216,1,13867,4,727869,4,81060,4,371304,4,713460,8,1038642,168,43075,24,4880,1,48596,1,2806,1,4399,1,1373,2,5050,1,626168,1,55921,1,17254,1,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,48,1
4,5722400,6672,9570,28.994545,1240,0,16,14,168,34216,1242,2856,5688184,16,242,80,1,25661,1,70,1,2054211,1,698391,1,184545,1,2713905,1,11322,1,728470,1,13777,4,719502,4,79347,4,368649,4,736035,8,1065376,168,36452,24,4759,1,48977,1,2916,1,3727,1,1423,2,5080,1,626779,1,50430,1,12875,1,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,48,1
5,5914000,6758,9570,28.994184,1240,0,16,14,168,38165,1684,2967,5875835,16,242,110,1,25711,1,70,1,1900727,1,996480,1,186749,1,2754615,1,11372,1,725945,1,13507,4,735975,4,80088,4,378929,4,748349,8,1081387,168,42925,24,8387,1,47574,1,2976,1,4188,1,1493,2,5521,1,926191,1,51031,1,11112,1,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,48,1
6,5758300,6793,9570,28.993921,1240,0,16,14,168,38062,1072,2976,5720238,16,242,130,1,25661,1,30,1,1901980,1,658983,1,220686,1,2901706,1,11062,1,733149,1,14408,4,833187,4,80018,4,424048,4,740293,8,1113851,168,47514,24,4950,1,56381,1,2836,1,3908,1,1854,2,5601,1,614545,1,27524,1,11853,1,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,48,1
7,5696500,6783,9570,28.993895,1240,0,16,14,168,37894,1072,3548,5658606,16,242,150,1,26001,1,30,1,1898623,1,674113,1,184094,1,2864863,1,10731,1,550188,1,12395,4,787837,4,80359,4,459849,4,882104,8,1291913,168,46492,24,7094,1,66972,1,4268,1,3848,1,1363,2,7515,1,626659,1,31162,1,9118,1,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,48,1
8,5601500,6772,9570,28.993822,1240,0,16,14,168,35878,1433,3627,5565622,16,242,10,1,26983,1,30,1,1900447,1,676908,1,181990,1,2767751,1,11503,1,645877,1,12455,4,740153,4,79397,4,373548,4,794060,8,1114924,168,49057,24,7204,1,96922,1,5160,1,3777,1,1483,2,6282,1,618964,1,40400,1,10551,1,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,48,1
9,5706200,6790,9570,28.993675,1240,0,16,14,168,34659,1212,3518,5671541,16,242,140,1,28065,1,30,1,2013560,1,668652,1,215706,1,2734095,1,11292,1,688251,1,12555,4,741546,4,79056,4,391925,4,745814,8,1084824,168,49398,24,4830,1,55850,1,2836,1,3607,1,1393,2,5220,1,603854,1,49488,1,9960,1,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,48,1
