step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,18510800,8555,9570,28.99835,1240,0,16,16,192,135303,17204,11032,18375497,16,239,1242,1,137572,1,190,1,2132882,1,3639445,1,266578,1,12179771,1,17815,1,2289282,1,9990,4,1259814,4,69317,4,2311857,4,4500990,8,6801815,192,0,0,14018,1,1674014,1,13767,1,8837,1,2004,2,8677,1,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,0,1
1,14631000,5761,9570,28.995926,1240,0,16,12,144,86688,3547,12505,14544312,16,239,271,1,54267,1,230,1,2129486,1,3133583,1,179716,1,9008233,1,38526,1,2284352,1,8457,4,700457,4,65951,4,1602472,4,3155356,8,4608884,144,136440,48,24609,1,1136129,1,11924,1,5771,1,2405,2,6803,1,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,0,1
2,14982800,6723,9570,28.994566,1240,0,16,14,168,64948,8337,8737,14917852,16,239,421,1,27625,1,351,1,2014388,1,3855773,1,196920,1,8808247,1,14128,1,1710035,1,7856,4,821356,4,67163,4,1875533,4,3648032,8,5437755,168,77073,24,8757,1,645698,1,4379,1,4830,1,1463,2,4810,1,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,0,1
3,15037400,6695,9570,28.994541,1240,0,16,14,168,72054,2796,24769,14965346,16,239,291,1,27785,1,200,1,1919500,1,3888838,1,183884,1,8927684,1,17164,1,1882727,1,12254,4,814282,4,68876,4,1911925,4,3682540,8,5511250,168,58446,24,8727,1,527033,1,3978,1,4779,1,1543,2,6222,1,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,0,1
4,15680300,6672,9570,28.994545,1240,0,16,14,168,52603,1764,6693,15627697,16,239,230,1,28076,1,271,1,1890793,1,4257989,1,185197,1,9244891,1,20250,1,2105378,1,7936,4,809993,4,71111,4,1839812,4,3599195,8,5386513,168,45801,24,9118,1,784243,1,4308,1,4940,1,1693,2,5401,1,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,0,1
5,15000400,6758,9570,28.994184,1240,0,16,14,168,51507,2535,5972,14948893,16,239,581,1,27034,1,100,1,1933868,1,3804762,1,186219,1,8981129,1,15200,1,1866014,1,7675,4,850313,4,67894,4,1896845,4,3667029,8,5505860,168,52043,24,8547,1,596631,1,6282,1,3838,1,2084,2,5441,1,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,0,1
6,16814800,6793,9570,28.993921,1240,0,16,14,168,85482,3457,6733,16729318,16,239,110,1,27154,1,261,1,1894300,1,3952565,1,416004,1,10420589,1,18336,1,3155968,1,8607,4,877517,4,66542,4,1925903,4,3707409,8,5566991,168,59588,24,8487,1,643213,1,3747,1,12284,1,2104,2,5351,1,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,0,1
7,14710700,6783,9570,28.993895,1240,0,16,14,168,47071,1703,6293,14663629,16,239,311,1,38636,1,240,1,2113764,1,3881484,1,182962,1,8431692,1,14539,1,1532684,1,8878,4,836175,4,65660,4,1876475,4,3695165,8,5508214,168,57133,24,8477,1,391465,1,3507,1,4719,1,1593,2,5190,1,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,0,1
8,15970300,6772,9570,28.993822,1240,0,16,14,168,82678,3948,6373,15887622,16,239,130,1,26653,1,70,1,1887396,1,4039386,1,223713,1,9673490,1,36783,1,2223953,1,8587,4,853560,4,71131,4,1898508,4,3700686,8,5533895,168,58927,24,17034,1,876425,1,5581,1,6072,1,1974,2,6032,1,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,0,1
9,16160000,6790,9570,28.993675,1240,0,16,14,168,77463,2375,6363,16082537,16,239,471,1,114086,1,361,1,2430151,1,3911894,1,278171,1,9333397,1,14008,1,2350874,1,8387,4,858880,4,67223,4,1924169,4,3677821,8,5537061,168,58566,24,9449,1,417587,1,3356,1,5531,1,1673,2,6072,1,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,0,1
